species,naming_authority,site,edaphic_preference,fire_response,juvenile_period,juvenile_period_value_type,flowering_time,flowering_notes,other_notes
Astroloma stomarrhena,Sond.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnyyynnn,,
Astroloma xerophyllum,(DC.) Sond.,Northern Sandplain shrublands,Sand,Seed,≤4,bin,nnnnnnnyynnn,,
Conostephium pendulum,Benth.,Northern Sandplain shrublands,Sand,Sprout,≤5,bin,nnnnnnnynnnn,,
Leucopogon striatus,,Northern Sandplain shrublands,Generalist,Sprout and seed,≤2,bin,nnnyyyyyyynn,,
Leucopogon conostephioides,DC.,Northern Sandplain shrublands,Generalist,Seed,≤5,bin,nnnnnnyynnnn,,
Leucopogon crassiflorus,F.Muell.,Northern Sandplain shrublands,Sand,,≤5,bin,nnnnnnnyyynn,,Species poorly known (after Marchant and Keighery 1979)
Leucopogon cryptanthus,Benth.,Northern Sandplain shrublands,Generalist,,,,nnnnnnnnnnyy,,
Lysinema ciliatum,R.Br.,Northern Sandplain shrublands,Sand,Seed,≤4,bin,nnnnnnnyyynn,,
Monotaxis grandiflora,Endl.,Northern Sandplain shrublands,,,,,,,
Dampiera juncea,Benth.,Northern Sandplain shrublands,Generalist,,,,nnnnnnnnnyyy,,
Dampiera lindleyi,De Vriesse,Northern Sandplain shrublands,Laterite,Sprout,,,,,Species poorly known (after Marchant and Keighery 1979)
Dampiera spicigera,Benth.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnnnyyn,,
Dampiera stenostachya,E.Pritzel.,Northern Sandplain shrublands,,,,,,,
Lechenaultia biloba,Lindl.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnnnnynn,,
Lechenaultia floribunda,Benth.,Northern Sandplain shrublands,,Seed,,,,,
Lechenaultia formosa,R.Br.,Northern Sandplain shrublands,Sand,,,,nnnnnnnnnnyy,,
Scaevola canescens,Benth.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnyynnn,,
Scaevola glandulifera,DC.,Northern Sandplain shrublands,,,,,nnnnnnnnnnyy,,
Scaevola paludosa,R.Br.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Velleia trinervis,Labill.,Northern Sandplain shrublands,Sand,Seed,,,nnnnnnnnnnyy,,
Verreauxia villosa,E.Pritzel.,Northern Sandplain shrublands,Sand,Seed,2,mean,nnnnnnnnnnyy,,
Glisschrocaryon aureum var. aureum,(Lindl.) Orch.,Northern Sandplain shrublands,,,,,nnnnnnnnnynn,,
Cassytha pubescens,R.Br.,Northern Sandplain shrublands,Sand,Seed,,,,,Species poorly known (after Marchant and Keighery 1979)
Hemiandra pungens,R.Br.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnnnnyy,,
Lobelia gibbosa,Labill.,Northern Sandplain shrublands,,,,,,,
Logania spermacocea,F.Muell.,Northern Sandplain shrublands,Generalist,,,,nnnnnnnnnnyy,,
Nuytsia floribunda,(Labill.) R.Br.,Northern Sandplain shrublands,Sand,Sprout,,,,,
Plagianthus monoica,Ewart,Northern Sandplain shrublands,,,,,,,
Acacia auronitens,Lindl.,Northern Sandplain shrublands,,Sprout and seed,,,,,
