Plant_name,location_txt,Lat,Long,date,Poll_order,Poll_Fam,Poll_Sp,Method,Poll_type,Poll_evidence,Pollinator_to_use,Publication
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,4/5/1996,Aves,,Spangled Drongo,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,29/4/1997,Aves,Psittacidae,Swift Parrot,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,23/5/1996,Aves,,Common Myna,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/4/1998,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/6/1995,Aves,Psittacidae,Little Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/4/1998,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/4/1998,Aves,Meliphagidae,Red Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,11/9/1995,Aves,,Red-whiskered Bulbul,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,11/9/1995,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/4/1998,Aves,,Spangled Drongo,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,2/8/1996,Aves,,White-throated Treecreeper,Observation,pollination_vector_possible,assumed pollinator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus robusta,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/4/1998,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Eucalyptus tereticornis,Myall Lakes National Park,-32.53333333,152.3,28/7/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Hardenbergia violacea,Myall Lakes National Park,-32.53333333,152.3,30/7/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Kennedia rubicunda,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Kennedia rubicunda,Myall Lakes National Park,-32.53333333,152.3,14/8/1996,Aves,,Green Catbird,Observation,flower_visitor,flower_predator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Kennedia rubicunda,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Kennedia rubicunda,Myall Lakes National Park,-32.53333333,152.3,13/8/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Kennedia rubicunda,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,4/9/1995,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Lantana camara,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,2/8/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Lantana camara,Seven Mile Beach National Park,-34.81666667,150.75,26/5/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Myall Lakes National Park,-32.53333333,152.3,23/9/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Myall Lakes National Park,-32.53333333,152.3,23/9/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Myall Lakes National Park,-32.53333333,152.3,5/7/1996,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Myall Lakes National Park,-32.53333333,152.3,23/9/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Myall Lakes National Park,-32.53333333,152.3,22/9/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Myall Lakes National Park,-32.53333333,152.3,23/9/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leptospermum laevigatum,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,12/8/1995,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leucopogon parviflorus,Eurobodalla National Park,-35.93333333,150.1666667,23/7/1996,Aves,Psittacidae,Crimson Rosella,Observation,flower_visitor,flower_predator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Leucopogon parviflorus,Myall Lakes National Park,-32.53333333,152.3,19/6/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Dunbogan,-31.65,152.8166667,14/4/1996,Aves,Psittacidae,Scaly-breasted Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,Brown Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Myall Lakes National Park,-32.53333333,152.3,7/7/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Myall Lakes National Park,-32.53333333,152.3,28/7/1996,Aves,Meliphagidae,Yellow-faced Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,9/4/1996,Aves,Meliphagidae,Lewin's Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,2/4/1996,Aves,Meliphagidae,Little Friarbird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,2/4/1996,Aves,Meliphagidae,Little Wattlebird,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,2/4/1996,Aves,Psittacidae,Rainbow Lorikeet,Observation,pollination_vector_possible,assumed pollinator,Psittacidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,01/05/1996,Aves,Meliphagidae,Scarlet Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Melaleuca quinquenervia,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,2/4/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Muellerina celastroides,Myall Lakes National Park,-32.53333333,152.3,28/1/1997,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Muellerina celastroides,Myall Lakes National Park,-32.53333333,152.3,28/1/1997,Aves,Meliphagidae,Scarlet Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Persoonia lanceolata,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,7/2/1996,Aves,,Silvereye,Observation,pollination_vector_possible,assumed pollinator,Silvereye,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Persoonia stradbrokensis,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,8/1/1996,Aves,Meliphagidae,Brown Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Persoonia stradbrokensis,Yuraygir National Park/Bundjalung National Park,-29.4,153.35,8/1/1996,Aves,Meliphagidae,White-cheeked Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Pimelea linifolia,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,1/6/1996,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Rubus sp.,Perkins Beach Recreation Reserve,-34.51666667,150.8833333,14/12/1995,Aves,Meliphagidae,New Holland Honeyeater,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Scaevola calendulacea,Myall Lakes National Park,-32.53333333,152.3,29/7/1996,Aves,,Forest Raven,Observation,flower_visitor,flower_predator,Aves,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
Styphelia viridis,Myall Lakes National Park,-32.53333333,152.3,25/5/1997,Aves,Meliphagidae,Eastern Spinebill,Observation,pollination_vector_possible,assumed pollinator,Meliphagidae,"Gosper CR (1999) Plant food resources of birds in coastal dune communities in New South Wales. Corella 23, 53-62."
