genus,species,binomial,longevity,growth form,height min (m),height (m),leaf type,leaf shape,leaf length min (cm),leaf length max (cm),leaf width min (cm),leaf width max (cm),flowering time,leaf longevity,seed length (mm),seed width (mm),seed breadth (mm),seed shape
Ludwigia,octovalvis,Ludwigia octovalvis,perennial,shrub,0.5,2,simple,linear,3.5,11,0.3,1.7,ephemeral,evergreen,,,,
Lumnitzera,littorea,Lumnitzera littorea,perennial,tree,3,5,simple,elliptical,2,8,1.5,2.5,jun-feb,evergreen,,,,
Lumnitzera,racemosa,Lumnitzera racemosa,perennial,tree,5,8,simple,elliptical,2,,1,2.5,oct-may,evergreen,,,,
Bauhinia,binatum,Bauhinia binatum,perennial,shrub,,5,compound,elliptical,2,4.5,1.2,3,nov-jun,semi-deciduous,,,,
Bauhinia,cunninghamii,Bauhinia cunninghamii,perennial,tree,5,10,compound,elliptical,2,3,1,2.5,jun-sep,semi-deciduous,,,,
Macaranga,involucrata,Macaranga involucrata,perennial,tree,4,12,simple,elliptical,8.5,22,7.5,20,mar-sep,evergreen,,,,
Malaisia,scandens,Malaisia scandens,perennial,liana,,,simple,elliptical,5,15,2.5,7,oct-nov,evergreen,,,,
Mallotus,nesophilus,Mallotus nesophilus,perennial,tree,4,10,simple,elliptical,4.5,13,4.5,8,mar-sep,evergreen,,,,
Mallotus,philippinensis,Mallotus philippinensis,perennial,tree,5,10,simple,elliptical,7.5,20,4.5,10,oct-dec,evergreen,,,,
Maranthes,corymbosa,Maranthes corymbosa,perennial,tree,10,25,simple,elliptical,7.5,15.5,3.5,4,may-sep,evergreen,,,,
Maytenus,ferdinandi,Maytenus ferdinandi,perennial,tree,4,8,simple,elliptical,4,10,2,5,nov-jan,evergreen,,,,
Melaleuca,argentea,Melaleuca argentea,perennial,tree,10,20,simple,elliptical,5,14,0.6,2,jun-oct,evergreen,,,,
Melaleuca,cajuputi,Melaleuca cajuputi,perennial,tree,10,30,simple,elliptical,5,10,1,2,may-oct,evergreen,,,,
Melaleuca,cornucopiae,Melaleuca cornucopiae,perennial,shrub,1,3,simple,elliptical,3,9.5,0.4,1.2,jun-feb,evergreen,,,,
Melaleuca,dealbata,Melaleuca dealbata,perennial,tree,5,20,simple,elliptical,5.5,13,1.5,2.7,aug-nov,evergreen,,,,
Melaleuca,leucadendra,Melaleuca leucadendra,perennial,tree,10,30,simple,elliptical,7,18.5,1,2.5,apr-sep,evergreen,,,,
Melaleuca,magnifica,Melaleuca magnifica,perennial,shrub,1,3,simple,elliptical,4,9,0.5,1.1,ephemeral,evergreen,,,,
Melaleuca,minutifolia,Melaleuca minutifolia,perennial,tree,3,7,simple,elliptical,0.1,0.3,0.1,0.1,sep-dec,evergreen,,,,
Melaleuca,nervosa,Melaleuca nervosa,perennial,tree,4,10,simple,elliptical,5,10.5,1,2.5,apr-sep,evergreen,,,,
Melaleuca,symphyocarpa,Melaleuca symphyocarpa,perennial,tree,4,10,simple,elliptical,3.5,7,0.9,1.6,ephemeral,evergreen,,,,
Melaleuca,viridifolia,Melaleuca viridifolia,perennial,tree,3,10,simple,elliptical,7,19,2.5,5.5,nov-apr,evergreen,,,,
Melastoma,polyanthum,Melastoma polyanthum,perennial,shrub,1,2,simple,elliptical,5,20,5,9.5,ephemeral,evergreen,,,,
Melhania,oblongifolia,Melhania oblongifolia,perennial,shrub,0.2,0.8,simple,elliptical,1.5,7,0.8,4.2,ephemeral,evergreen,,,,
Melodorum,rupestre,Melodorum rupestre,perennial,liana,2,10,simple,elliptical,4,12.5,2.5,6.5,nov-mar,evergreen,,,,
Messerschmidia,argentea,Messerschmidia argentea,perennial,shrub,1.5,3,simple,elliptical,9.5,20,4,7,ephemeral,evergreen,,,,
Micromelum,minutum,Micromelum minutum,perennial,shrub,3,10,compound,elliptical,4.7,12.5,2,6.3,ephemeral,evergreen,,,,
Miliusa,brahei,Miliusa brahei,perennial,tree,10,20,simple,elliptical,5.5,14,3,5.5,sep-oct,deciduous,,,,
Mimusops,elengi,Mimusops elengi,perennial,tree,10,15,simple,elliptical,5,14,2.5,6,nov-jan,evergreen,,,,
Morinda,citrifolia,Morinda citrifolia,perennial,tree,3,10,simple,elliptical,10,30,5,15,jul-dec,evergreen,,,,
Mucuna,gigantea,Mucuna gigantea,perennial,liana,,,simple,elliptical,10,14,5,8,nov-dec,deciduous,,,,
Murraya,paniculata,Murraya paniculata,perennial,shrub,1,5,compound,elliptical,1.5,7.3,1.5,4.3,nov-dec,evergreen,,,,
Myristica,insipida,Myristica insipida,perennial,tree,10,20,simple,elliptical,10,21,3.5,8,feb-mar,evergreen,,,,
Myrtella,cordata,Myrtella cordata,perennial,shrub,,3,simple,elliptical,1.5,3.5,0.2,0.7,dec-may,evergreen,,,,
Nauclea,orientalis,Nauclea orientalis,perennial,tree,10,25,simple,elliptical,14.5,30,9,17,sep-dec,evergreen,,,,
Nervilia,aragoana,Nervilia aragoana,perennial,herb,,0.35,simple,elliptical,9,12,9.5,12.5,oct-dec,evergreen,,,,
Nervilia,holochila,Nervilia holochila,perennial,herb,,0.35,simple,elliptical,9.5,12,4,7,oct-dec,evergreen,,,,
Opilia,amentacea,Opilia amentacea,perennial,liana,,10,simple,elliptical,5,14,2,5,aug-oct,evergreen,,,,
Osbeckia,australiana,Osbeckia australiana,perennial,shrub,,1.5,simple,elliptical,3,7,0.4,0.9,feb-sep,evergreen,,,,
Osbornia,octodonta,Osbornia octodonta,perennial,tree,2,4,simple,elliptical,2,5,1,2,nov-feb,evergreen,,,,
Owenia,reticulata,Owenia reticulata,perennial,tree,,10,compound,elliptical,3.5,11,2.5,4.7,oct-dec,semi-deciduous,,,,
Owenia,vernicosa,Owenia vernicosa,perennial,tree,4,12,compound,elliptical,5,12,1.3,2.2,sep-nov,semi-deciduous,,,,
Pachygone,ovata,Pachygone ovata,perennial,liana,,,simple,elliptical,4,17,2.5,11.5,sep-nov,evergreen,,,,
Pachynema,complanatum,Pachynema complanatum,perennial,shrub,0.54,1.5,simple,elliptical,,,,,ephemeral,evergreen,,,,
Pachynema,dilatatum,Pachynema dilatatum,perennial,shrub,,1.5,simple,elliptical,,,,,ephemeral,evergreen,,,,
Pandanus,aquaticus,Pandanus aquaticus,perennial,tree,,3,simple,linear,1.2,1.8,3,7,,evergreen,,,,
Peltophorum,pterocarpum,Peltophorum pterocarpum,perennial,tree,10,15,compound,elliptical,1,2,0.5,1,aug-jan,deciduous,,,,
Pemphis,acidula,Pemphis acidula,perennial,tree,2,4,compound,elliptical,1,2.5,0.4,1.1,apr-nov,evergreen,,,,
Persoonia,falcata,Persoonia falcata,perennial,shrub,3,5,simple,elliptical,10,20,0.5,2.5,jun-sep,evergreen,,,,
Petalostigma,pubescens,Petalostigma pubescens,perennial,tree,3,6,simple,elliptical,2.5,5,1.5,3.2,oct-dec,evergreen,,,,
Pittosporum,melanospermum,Pittosporum melanospermum,perennial,tree,5,10,simple,elliptical,6.5,14,2.5,5,jan-mar,evergreen,,,,
Pittosporum,moluccanum,Pittosporum moluccanum,perennial,tree,3,6,simple,elliptical,7,14.5,2.5,5.2,feb-mar,evergreen,,,,
Pityrodia,jamesii,Pityrodia jamesii,perennial,shrub,0.5,2,simple,elliptical,0.5,3.5,0.2,0.8,oct-mar,evergreen,,,,
Pityrodia,lanuginosa,Pityrodia lanuginosa,perennial,shrub,0.5,1,simple,elliptical,1,2.5,0.3,0.8,jan-jun,evergreen,,,,
Pityrodia,pungens,Pityrodia pungens,perennial,shrub,0.5,0.75,simple,elliptical,1,4,0.2,0.4,jan-jun,evergreen,,,,
Pityrodia,ternifolia,Pityrodia ternifolia,perennial,shrub,1,2,simple,elliptical,1.2,7,0.7,3.5,feb-oct,evergreen,,,,
Planchonella,pohlmaniana,Planchonella pohlmaniana,perennial,tree,5,8,simple,elliptical,7,15.5,3.5,9,nov-dec,semi-deciduous,,,,
Planchonia,careya,Planchonia careya,perennial,tree,4,10,simple,elliptical,2.5,10,3,6,jul-oct,deciduous,,,,
Pleurocarpaea,denticulata,Pleurocarpaea denticulata,perennial,herb,0.2,0.8,simple,elliptical,2.5,10,0.9,5,oct-feb,evergreen,,,,
Polyalthia,australis,Polyalthia australis,perennial,tree,10,20,simple,elliptical,8,20,3,9,aug-oct,evergreen,,,,
Polymeria,ambigua,Polymeria ambigua,perennial,herb,,,simple,elliptical,1.8,6,0.4,2,mar-sep,evergreen,,,,
Pongamia,pinnata,Pongamia pinnata,perennial,tree,5,10,simple,elliptical,4.5,15,3.7,9,sep-nov,evergreen,,,,
Pouteria,sericea,Pouteria sericea,perennial,tree,3,10,simple,elliptical,5,14,3,6.5,apr-dec,evergreen,,,,
Premna,acuminata,Premna acuminata,perennial,tree,2,5,simple,elliptical,6,13,3,9,nov-may,evergreen,,,,
Premna,serratifolia,Premna serratifolia,perennial,tree,2,3,simple,elliptical,7,15,5,10,jan-jun,evergreen,,,,
Psychotria,nesophila,Psychotria nesophila,perennial,tree,5,6,simple,elliptical,5.5,11.5,3,5,jul-dec,semi-deciduous,,,,
Ptychosperma,bleeseri,Ptychosperma bleeseri,perennial,palm,5,10,palmate,,,,,,,,,,,
Rapanea,benthamiana,Rapanea benthamiana,perennial,tree,4,8,simple,elliptical,5.5,12,1.8,4,may-sep,evergreen,,,,
Regelia,punicea,Regelia punicea,perennial,shrub,2,3,simple,elliptical,0.1,0.2,0.1,0.1,ephemeral,evergreen,,,,
Rhaphidophora,australasica,Rhaphidophora australasica,perennial,climber,,,simple,elliptical,30,80,7.5,35,dec-mar,evergreen,,,,
Rhizophora,apiculata,Rhizophora apiculata,perennial,tree,5,12,simple,elliptical,8,19,4,9,aug-nov,evergreen,,,,
Rhizophora,stylosa,Rhizophora stylosa,perennial,tree,5,12,simple,elliptical,6,14,4,8,apr-nov,evergreen,,,,
rhodamnia,australis,rhodamnia australis,perennial,tree,3,8,simple,elliptical,6,9.5,2.5,5,dec-feb,evergreen,,,,
Santalum,album,Santalum album,perennial,tree,,3,simple,elliptical,2.5,7,1.5,4,dec-jan,evergreen,,,,
Sarcostemma,australe,Sarcostemma australe,perennial,climber,,,,,,,,,may-jul,evergreen,,,,
scaevola,sericea,scaevola sericea,perennial,shrub,2,3,simple,elliptical,10,22,6,11.5,ephemeral,evergreen,,,,
schefflera,actinophylla,schefflera actinophylla,perennial,shrub,10,20,simple,elliptical,12.5,24,6,11,aug-dec,evergreen,,,,
Schizaea,dichotoma,Schizaea dichotoma,perennial,fern,,,,,,,,,,,,,,
Semecarpus,australiensis,Semecarpus australiensis,perennial,tree,,10,simple,elliptical,10,30,4,12,aug-oct,deciduous,,,,
Sesbania,benthamiana,Sesbania benthamiana,perennial,shrub,2,4,compound,elliptical,1,3.5,0.2,0.5,feb-jun,evergreen,,,,
Sesbania,formosa,Sesbania formosa,perennial,tree,10,15,compound,elliptical,3,6,1,1.5,may-jun,evergreen,,,,
Sesuvium,portulacastrum,Sesuvium portulacastrum,perennial,herb,,0.1,simple,elliptical,1,7,0.2,1.5,ephemeral,evergreen,,,,
Solanum,echinatum,Solanum echinatum,perennial,shrub,,0.5,simple,elliptical,3,6,2,3,ephemeral,evergreen,,,,
Sonneratia,alba,Sonneratia alba,perennial,tree,4,5,simple,elliptical,4.8,10.7,2.7,7.5,mar-oct,evergreen,,,,
Stemodia,lythrifolia,Stemodia lythrifolia,perennial,herb,0.3,1,simple,elliptical,1.5,5,0.4,1.7,nov-may,evergreen,,,,
Stenocarpus,cunninghamii,Stenocarpus cunninghamii,perennial,tree,3,6,simple,elliptical,6,13,3,10.5,jul-oct,evergreen,,,,
Stenochlaena,palustris,Stenochlaena palustris,perennial,fern,,,,,,,,,,,,,,
Sterculia,holtzei,Sterculia holtzei,perennial,tree,10,20,simple,elliptical,8,23,5.5,10,may-sep,semi-deciduous,,,,
Sterculia,quadrifida,Sterculia quadrifida,perennial,tree,5,10,simple,elliptical,9,20,5.5,17,feb-nov,deciduous,,,,
Strychnos,lucida,Strychnos lucida,perennial,tree,3,5,simple,elliptical,3,7.5,2,4.2,oct-jan,evergreen,,,,
Syzygium,angophoroides,Syzygium angophoroides,perennial,tree,10,30,simple,elliptical,8,16,2.5,5.5,sep-nov,evergreen,,,,
Syzygium,armstrongii,Syzygium armstrongii,perennial,tree,12,20,simple,elliptical,5.5,14.5,1.7,4,sep-dec,evergreen,,,,
Syzygium,eucalyptoides subsp. Eucalyptoides,Syzygium eucalyptoides subsp. Eucalyptoides,perennial,tree,3,5,simple,elliptical,7,15,0.4,2.3,aug-nov,evergreen,,,,
Syzygium,eucalyptoides subsp. Bleeseri,Syzygium eucalyptoides subsp. Bleeseri,perennial,tree,5,10,simple,elliptical,4,13.5,2,12,aug-nov,evergreen,,,,
Syzygium,fibrosum,Syzygium fibrosum,perennial,tree,5,10,simple,elliptical,5.5,11,3,5.5,apr-oct,evergreen,,,,
Syzygium,forte,Syzygium forte,perennial,tree,,30,simple,elliptical,7.7,12.8,2.5,6,sep-dec,evergreen,,,,
Syzygium,minutuliflorum,Syzygium minutuliflorum,perennial,tree,15,25,simple,elliptical,7.4,12.7,2.7,5.4,oct-nov,evergreen,,,,
Syzygium,nervosum,Syzygium nervosum,perennial,tree,15,25,simple,elliptical,9.6,17.5,3.4,6.6,sep-nov,evergreen,,,,
Syzygium,suborbiculare,Syzygium suborbiculare,perennial,tree,8,12,simple,elliptical,7.2,19,4,13,jul-oct,evergreen,,,,
Tacca,leontopetaloides,Tacca leontopetaloides,perennial,herb,0.5,1,simple,lobed,,,,,oct-mar,evergreen,,,,
Tamarindus,indica,Tamarindus indica,perennial,tree,15,25,compound,elliptical,1.2,2.6,0.4,0.9,nov-feb,evergreen,,,,
Templetonia,hookeri,Templetonia hookeri,perennial,shrub,1,3,simple,linear,2,11.5,0.1,0.1,ephemeral,evergreen,,,,
Terminalia,arostrata,Terminalia arostrata,perennial,tree,7,12,simple,elliptical,3,8,1.5,3,oct-jan,deciduous,,,,
Terminalia,carpentariae,Terminalia carpentariae,perennial,tree,5,15,simple,elliptical,5,12,3.5,10,oct-dec,deciduous,,,,
Terminalia,erythrocarpa,Terminalia erythrocarpa,perennial,tree,,10,simple,elliptical,9,20,2,6,oct-dec,deciduous,,,,
Terminalia,ferdinandiana,Terminalia ferdinandiana,perennial,tree,4,10,simple,elliptical,5,25,5,20,sep-nov,deciduous,,,,
Terminalia,grandiflora,Terminalia grandiflora,perennial,tree,7,15,simple,elliptical,4,12,1,2,aug-oct,semi-deciduous,,,,
Terminalia,platyphylla,Terminalia platyphylla,perennial,tree,10,20,simple,elliptical,7,19,3,13,oct-feb,deciduous,,,,
Terminalia,pterocarya,Terminalia pterocarya,perennial,tree,3,7,simple,elliptical,1.5,5.5,0.6,3,nov-may,deciduous,,,,
Terminalia,sericocarpa,Terminalia sericocarpa,perennial,tree,15,30,simple,elliptical,2,2,1.5,8,sep-dec,deciduous,,,,
Thespesia,populneoides,Thespesia populneoides,perennial,tree,5,6,simple,elliptical,6,13.5,7.5,13,jan-may,evergreen,,,,
Thespesia,thespesioides,Thespesia thespesioides,perennial,shrub,1,2,simple,elliptical,3,16.5,3,20,jan-mar,evergreen,,,,
Thysanotus,banksii,Thysanotus banksii,perennial,herb,,0.6,simple,linear,20,60,0.1,0.1,jan-may,evergreen,,,,
Timonius,timon,Timonius timon,perennial,tree,5,15,simple,elliptical,7,18,2,4.7,may-nov,evergreen,,,,
Trema,aspera,Trema aspera,perennial,tree,2,4,simple,elliptical,2,12.5,1.5,5,feb-may,evergreen,,,,
Trichodesma,zeylanicum,Trichodesma zeylanicum,perennial,shrub,0.4,0.6,simple,elliptical,6,14,0.9,4.8,mar-sep,evergreen,,,,
Urena,lobata,Urena lobata,perennial,shrub,,1.5,simple,elliptical,3.5,8.5,2,8,feb-jun,evergreen,,,,
Urticularia,fulva,Urticularia fulva,perennial,herb,0.2,0.3,,,,,,,apr-oct,evergreen,,,,
Urticularia,odorata,Urticularia odorata,perennial,herb,0.25,0.7,,,,,,,apr-oct,evergreen,,,,
Uvaria,holtzei,Uvaria holtzei,perennial,climber,,,simple,elliptical,7.2,23,4,9.5,nov-jan,evergreen,,,,
Vavaea,australiana,Vavaea australiana,perennial,tree,5,10,simple,elliptical,6,24,4.5,12,aug-jan,evergreen,,,,
Verticordia,cunninghamii,Verticordia cunninghamii,perennial,shrub,1.5,5,simple,elliptical,0.8,1.8,,,jul-oct,evergreen,,,,
Verticordia,decussata,Verticordia decussata,perennial,shrub,1,2,simple,elliptical,0.1,0.3,0.1,0.1,jul-nov,evergreen,,,,
Vigna,vexillata,Vigna vexillata,perennial,climber,,,compound,elliptical,5,11.5,1.9,2.4,dec-mar,evergreen,,,,
Vitex,acuminata,Vitex acuminata,perennial,tree,7,15,simple,elliptical,5,15.5,2,5.5,jun-jan,semi-deciduous,,,,
Vitex,glabrata,Vitex glabrata,perennial,tree,7,12,compound,elliptical,4,18.5,3,10,sep-jan,deciduous,,,,
Vitex,rotundifolia,Vitex rotundifolia,perennial,shrub,0.1,0.5,simple,elliptical,1.5,5.5,1,3,ephemeral,evergreen,,,,
Vitex,trifolia,Vitex trifolia,perennial,shrub,0.5,3,simple,elliptical,2.5,9,1.4,4,mar-oct,evergreen,,,,
Wrightia,pubescens,Wrightia pubescens,perennial,tree,3,7,simple,elliptical,4,13,2,6,nov-mar,semi-deciduous,,,,
Wrightia,saligna,Wrightia saligna,perennial,tree,4,5,simple,elliptical,5.5,15,0.5,1.4,oct-jan,evergreen,,,,
Xanthostemon,eucalyptoides,Xanthostemon eucalyptoides,perennial,tree,12,20,simple,elliptical,8,17,4.5,8.5,jul-oct,evergreen,,,,
Xanthostemon,paradoxus,Xanthostemon paradoxus,perennial,tree,4,10,simple,elliptical,7.5,20,3.5,10,ephemeral,evergreen,,,,
Xanthostemon,psidioides,Xanthostemon psidioides,perennial,tree,5,10,simple,elliptical,6,14.5,3,6.5,jan-apr,evergreen,,,,
Xanthostemon,umbrosus,Xanthostemon umbrosus,perennial,tree,,5,simple,elliptical,4,8,2.8,3.8,dec-mar,evergreen,,,,
Xylocarpus,australasicus,Xylocarpus australasicus,perennial,tree,10,15,compound,elliptical,4.2,13.5,2,7,jun-oct,evergreen,,,,
Ziziphus,oenoplia,Ziziphus oenoplia,perennial,shrub,,3,simple,elliptical,3,6.5,1.5,3.5,nov-feb,evergreen,,,,
Zornia,nervata,Zornia nervata,perennial,shrub,,0.4,compound,elliptical,0.3,2.5,0.4,1.2,mar-apr,evergreen,,,,
