name_original,Wood density (g/cm^3),metadata_id,primary_source_id,secondary_ref
Diospyros indet,0.801,62,60,Wells_2009
Endiandra cowleyana,0.641,62,60,Wells_2009
Endiandra leptodendron,0.749,62,60,Wells_2009
Endiandra montana,0.646,62,60,Wells_2009
Endiandra palmerstonii,0.648,62,60,Wells_2009
Endiandra sankeyana,0.71,62,60,Wells_2009
Endiandra sideroxylon,0.689,62,60,Wells_2009
Endiandra wolfei,0.861,62,60,Wells_2009
Eupomatia barbata,0.612,62,60,Wells_2009
Eupomatia laurina,0.544,62,60,Wells_2009
Ficus septica,0.422,62,60,Wells_2009
Gossia dallachyana,0.814,62,60,Wells_2009
Guioa acutifolia,0.607,62,60,Wells_2009
Guioa lasioneura,0.536,62,60,Wells_2009
Haplostichanthus indet,0.621,62,60,Wells_2009
Linospadix minor,0.817,62,60,Wells_2009
Litsea bindoniana,0.456,62,60,Wells_2009
Litsea leefeana,0.439,62,60,Wells_2009
Mackinlaya confusa,0.725,62,60,Wells_2009
Neolitsea dealbata,0.498,62,60,Wells_2009
Pandanus monticola,0.331,62,60,Wells_2009
Pilidiostigma tropicum,0.632,62,60,Wells_2009
Pittosporum rubiginosum,0.722,62,60,Wells_2009
Polyosma hirsuta,0.632,62,60,Wells_2009
Polyscias mollis,0.411,62,60,Wells_2009
Pseuduvaria villosa,0.581,62,60,Wells_2009
Psychotria indet,0.678,62,60,Wells_2009
Rubus alceifolius,0.35,62,60,Wells_2009
Sarcopteryx martyana,0.562,62,60,Wells_2009
Symplocos hayesii,0.679,62,60,Wells_2009
Symplocos paucistaminea,0.448,62,60,Wells_2009
Tetrasynandra laxiflora,0.527,62,60,Wells_2009
Wilkiea indet,0.684,62,60,Wells_2009
