Veg,Tag_no,Species,Prefire ht,Dbh @ 0.5 m (mm),DBH @ 1.3 m (cm),BT1,BT2,BT3,BTMean,Notes,diameter,site
,12,Eucalyptus tetrodonta,21,,25.2,10,11,10,10.33333333,,25.2,Litchfield
,13,Eucalyptus miniata,16,,15.2,10,10,10,10,,15.2,Litchfield
,14,Eucalyptus miniata,18.75,,24.2,15.5,15,13.5,14.66666667,,24.2,Litchfield
,22,Eucalyptus tetrodonta,13,,13.8,9,13,10,10.66666667,,13.8,Litchfield
,23,Eucalyptus tetrodonta,17,,14.1,10,10,11,10.33333333,,14.1,Litchfield
,24,Eucalyptus tetrodonta,18.75,,24.4,9,10.5,8.5,9.333333333,,24.4,Litchfield
,26,Corymbia porrecta,9.25,,14.7,11,10.5,10.5,10.66666667,,14.7,Litchfield
,-,Eucalyptus tetrodonta,,,3.9,9,9,9,9,,3.9,Litchfield
,-,Eucalyptus miniata,,,7.7,9,8,8.5,8.5,,7.7,Litchfield
,-,Eucalyptus miniata,,,4.2,6,5,6,5.666666667,,4.2,Litchfield
,-,Eucalyptus tetrodonta,,,3.7,7.5,7,7,7.166666667,,3.7,Litchfield
,-,Eucalyptus tetrodonta,,,26,7,7,6,6.666666667,,26,Litchfield
,-,Eucalyptus tetrodonta,,,2.9,4,4,4,4,,2.9,Litchfield
,-,Eucalyptus tetrodonta,,,2.9,5,5,5,5,,2.9,Litchfield
,-,Eucalyptus miniata,,,15.5,9,9.5,7,8.5,,15.5,Litchfield
,-,Eucalyptus miniata,,,45.7,16,15,12,14.33333333,,45.7,Litchfield
,-,Eucalyptus miniata,,,35.7,22,22,22,22,,35.7,Litchfield
,-,Eucalyptus miniata,,,21.2,18,17,18,17.66666667,,21.2,Litchfield
,-,Eucalyptus miniata,,,12.5,12,11,14,12.33333333,,12.5,Litchfield
,-,Eucalyptus tetrodonta,,,10.1,11,10,7,9.333333333,,10.1,Litchfield
,-,Eucalyptus tetrodonta,,,10.8,8.5,7,8.5,8,,10.8,Litchfield
,-,Eucalyptus tetrodonta,,,16.6,9,12,9,10,,16.6,Litchfield
,-,Eucalyptus tetrodonta,,,11.6,7.5,7.5,7.5,7.5,,11.6,Litchfield
,-,Eucalyptus tetrodonta,,,18.9,14,10,11.5,11.83333333,,18.9,Litchfield
,-,Eucalyptus tetrodonta,,,5.6,8,6,6,6.666666667,,5.6,Litchfield
,14,Buchanania obovata,12,,16.35,13.5,15,14,14.16666667,,16.35,Litchfield
,16,Gardenia megasperma,5.5,,5.4,5,3.5,3.5,4,,5.4,Litchfield
,35,Erythrophleum chlorostachys,12,,18.8,18.5,17,17.5,17.66666667,,18.8,Litchfield
,41,Eucalyptus miniata,8.5,,10.6,6.5,5,6,5.833333333,,10.6,Litchfield
,46,Eucalyptus tetrodonta,14,,15.35,10,10,9.5,9.833333333,,15.35,Litchfield
,54,Acacia sp.,4.5,,6.6,7,7,6,6.666666667,,6.6,Litchfield
,1,Eucalyptus tetrodonta,19,,25.2,6.5,9,8,7.833333333,,25.2,Litchfield
,2,Terminalia latipes,4.5,,6.7,8.5,9,8,8.5,,6.7,Litchfield
,3,Petalostigma pubescens,4,,6.4,7,10,11,9.333333333,,6.4,Litchfield
,9,Gardenia megasperma,4,,9.9,4,7,6,5.666666667,,9.9,Litchfield
,10,Blepharocarya depauperata,14,,32.4,18,19,18,18.33333333,,32.4,Litchfield
,13,Eucalyptus tetrodonta,21,,49.3,21,13,20,18,,49.3,Litchfield
,14b,Syzygium eucalyptoides subsp.bleeseri,7,,18,8,10,9,9,,18,Litchfield
,17,Vitex glabrata,4.5,,6.6,5,6.5,6.5,6,,6.6,Litchfield
,18,Petalostigma pubescens,4.5,,7.7,11,9.5,11,10.5,,7.7,Litchfield
,19,Buchanania obovata,5.5,,15,12,15,16,14.33333333,,15,Litchfield
,20,Eucalyptus miniata,10,,10.3,11,11,11,11,,10.3,Litchfield
,23,Eucalyptus miniata,14,,23.4,22,19,23.5,21.5,,23.4,Litchfield
,25,Petalostigma pubescens,4,,6.7,8,7,7,7.333333333,,6.7,Litchfield
,26,Eucalyptus tetrodonta,5,,10.5,8,12,14,11.33333333,,10.5,Litchfield
,27,Canarium australianum,8,,6.1,8,9,8,8.333333333,,6.1,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,10,7,6.5,6,6.5,,10,Litchfield
,-,Buchanania obovata,,,4.1,5,5,6,5.333333333,,4.1,Litchfield
,-,Petalostigma pubescens,,,7.3,9,11,9.5,9.833333333,,7.3,Litchfield
,-,Petalostigma pubescens,,,5.8,8,11,7.5,8.833333333,,5.8,Litchfield
,-,Eucalyptus miniata,,,18.2,17,17,14,16,,18.2,Litchfield
,-,Erythrophleum chlorostachys,,,9,13,12,11.5,12.16666667,,9,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,8.7,4.5,5.5,4.5,4.833333333,,8.7,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,8.8,4.5,6,5,5.166666667,,8.8,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,11.9,4.5,5.5,5.5,5.166666667,,11.9,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,5,6,6,5,5.666666667,,5,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,11.6,4,4,5,4.333333333,,11.6,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,13.9,6.5,5.5,5.5,5.833333333,,13.9,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,8.6,4,4.5,5,4.5,,8.6,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,20.1,6.5,6.5,7.5,6.833333333,,20.1,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,5.3,4.5,5,5,4.833333333,,5.3,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,12,5.5,5.5,6,5.666666667,,12,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,10.3,6.5,5.5,6,6,,10.3,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,16.1,5,5,5,5,,16.1,Litchfield
,-,Syzygium eucalyptoides subsp.bleeseri,,,11.6,6.5,5,6.5,6,,11.6,Litchfield
,2,Eucalyptus miniata,7.5,,14.3,10,12,11,11,,14.3,Litchfield
,3,Erythrophleum chlorostachys,11.5,,28.9,11.5,19,24,18.16666667,,28.9,Litchfield
,4,Eucalyptus miniata,9,,16,10.5,13,13.5,12.33333333,,16,Litchfield
,5,Eucalyptus miniata,17,,34.5,34,25.5,26,28.5,,34.5,Litchfield
,7,Corymbia polysciada,9,,12.4,11,10.5,11.5,11,,12.4,Litchfield
,8,Eucalyptus miniata,11.5,,17.1,15,15,14.5,14.83333333,,17.1,Litchfield
,10,Gardenia megasperma,6.1,,6.3,3,3,3.5,3.166666667,,6.3,Litchfield
,11,Eucalyptus phoenicea,10,,23.9,12,14,17,14.33333333,,23.9,Litchfield
,12,Erythrophleum chlorostachys,6,,7.2,10.5,9,13,10.83333333,,7.2,Litchfield
,14,Erythrophleum chlorostachys,12.5,,20.4,17,24,22,21,,20.4,Litchfield
,15,Eucalyptus phoenicea,10.5,,20,17.5,17.5,19,18,,20,Litchfield
,16,Erythrophleum chlorostachys,11,,28.6,14,17,14,15,,28.6,Litchfield
,20,Eucalyptus phoenicea,9.5,,20,13.5,12.5,12,12.66666667,,20,Litchfield
,21,Eucalyptus phoenicea,8,,16.6,14.5,16,17,15.83333333,,16.6,Litchfield
,-,Erythrophleum chlorostachys,,,7.2,10.5,10.5,9.5,10.16666667,,7.2,Litchfield
,-,Eucalyptus phoenicea,,,8.9,9.5,8.5,8,8.666666667,,8.9,Litchfield
,-,Eucalyptus phoenicea,,,19.2,8.5,9,9,8.833333333,,19.2,Litchfield
,-,Eucalyptus phoenicea,,,11.7,9,11,9.5,9.833333333,,11.7,Litchfield
,-,Eucalyptus phoenicea,,,12.3,8,9,10.5,9.166666667,,12.3,Litchfield
,-,Eucalyptus phoenicea,,,12.5,10.5,9,11,10.16666667,,12.5,Litchfield
,-,Eucalyptus phoenicea,,,18.7,17,15,15,15.66666667,,18.7,Litchfield
,-,Eucalyptus phoenicea,,,16.3,12.5,16,13,13.83333333,,16.3,Litchfield
,-,Eucalyptus phoenicea,,,15.2,8.5,11.5,11.5,10.5,,15.2,Litchfield
,-,Eucalyptus phoenicea,,,9.5,11.5,12,13,12.16666667,,9.5,Litchfield
,-,Eucalyptus phoenicea,,,12.4,11,10,10,10.33333333,,12.4,Litchfield
,-,Eucalyptus phoenicea,,,27.3,23,21,19,21,,27.3,Litchfield
,-,Eucalyptus phoenicea,,,23.8,16,17,21,18,,23.8,Litchfield
,-,Erythrophleum chlorostachys,,,15.9,19,14,15,16,,15.9,Litchfield
,-,Erythrophleum chlorostachys,,,7.2,10.5,9,13,10.83333333,,7.2,Litchfield
,-,Eucalyptus miniata,,,39.1,37,31,28,32,,39.1,Litchfield
,-,Eucalyptus phoenicea,,,41.2,7.5,9,8,8.166666667,,41.2,Litchfield
,-,Eucalyptus phoenicea,,,17.9,19,13,13,15,,17.9,Litchfield
,-,Eucalyptus phoenicea,,,20.1,17.5,20,20,19.16666667,,20.1,Litchfield
,-,Erythrophleum chlorostachys,,,7.5,9,9,10,9.333333333,,7.5,Litchfield
,22,Corymbia polysciada,8.75,,11.9,10,11,10.5,10.5,,11.9,Litchfield
,25,Corymbia polysciada,8.5,,12.9,12,10.5,10.5,11,,12.9,Litchfield
,36,Corymbia polysciada,11,,19.2,10.5,9,10,9.833333333,,19.2,Litchfield
,38,Corymbia polysciada,12,,13.4,8.5,8.5,9,8.666666667,,13.4,Litchfield
,-,Corymbia polysciada,,,9.8,10,9,8,9,,9.8,Litchfield
,-,Corymbia polysciada,,,16.7,11,10.5,11,10.83333333,,16.7,Litchfield
,-,Corymbia polysciada,,,12.2,12,8.5,11.5,10.66666667,,12.2,Litchfield
,-,Corymbia polysciada,,,11.7,13,13,13,13,,11.7,Litchfield
,-,Corymbia polysciada,,,10.6,10,9.5,11.5,10.33333333,,10.6,Litchfield
,-,Corymbia polysciada,,,9.1,10,10,9,9.666666667,,9.1,Litchfield
,-,Corymbia polysciada,,,8.5,9.5,7,8,8.166666667,,8.5,Litchfield
,-,Corymbia polysciada,,,7.2,9,9,8,8.666666667,,7.2,Litchfield
,-,Corymbia polysciada,,,6.4,8,8.5,8,8.166666667,,6.4,Litchfield
,-,Corymbia polysciada,,,14.7,12.5,11.5,10,11.33333333,,14.7,Litchfield
,-,Corymbia polysciada,,,18,13,14,13.5,13.5,,18,Litchfield
,-,Corymbia polysciada,,,19.8,10,10.5,10,10.16666667,,19.8,Litchfield
,-,Corymbia polysciada,,,6.8,8,8,7,7.666666667,,6.8,Litchfield
,-,Corymbia polysciada,,,18.6,12,12,11.5,11.83333333,,18.6,Litchfield
,-,Corymbia polysciada,,,12.7,10,12.5,13,11.83333333,,12.7,Litchfield
,-,Corymbia polysciada,,,3.8,7,6,6,6.333333333,,3.8,Litchfield
,28,Acacia lamprocarpa,9.5,,17.9,11,10,8,9.666666667,,17.9,Litchfield
,37,Grevillea decurrens,4.5,,6.7,7,9,7,7.666666667,,6.7,Litchfield
,-,Acacia lamprocarpa,,,4.5,9,8.5,8.5,8.666666667,,4.5,Litchfield
,-,Acacia lamprocarpa,,,5.4,5.5,6.5,6.5,6.166666667,,5.4,Litchfield
,-,Acacia lamprocarpa,,,17.7,7,10,9,8.666666667,,17.7,Litchfield
,-,Acacia lamprocarpa,,,17.8,10.5,10,8.5,9.666666667,,17.8,Litchfield
,-,Acacia lamprocarpa,,,8.9,9,8,8,8.333333333,,8.9,Litchfield
,-,Acacia lamprocarpa,,,7.3,9,9,8,8.666666667,,7.3,Litchfield
,-,Acacia lamprocarpa,,,8.2,11.5,8,7.5,9,,8.2,Litchfield
,-,Acacia lamprocarpa,,,9.1,8.5,8,9,8.5,,9.1,Litchfield
,-,Acacia lamprocarpa,,,8,7,6,7,6.666666667,,8,Litchfield
,-,Acacia lamprocarpa,,,9.4,6,7.5,10,7.833333333,,9.4,Litchfield
,-,Acacia lamprocarpa,,,13.2,9,10,11,10,,13.2,Litchfield
,-,Acacia lamprocarpa,,,4.6,7.5,7.5,8.5,7.833333333,,4.6,Litchfield
,-,Acacia lamprocarpa,,,3.95,11,7.5,6,8.166666667,,3.95,Litchfield
,-,Acacia lamprocarpa,,,12.3,10,10,8,9.333333333,,12.3,Litchfield
,-,Acacia lamprocarpa,,,2.9,4,4,4,4,,2.9,Litchfield
,-,Acacia lamprocarpa,,,5.9,5,4.5,7,5.5,,5.9,Litchfield
,1,Eucalyptus miniata,18,,34.6,30,21.5,22.5,24.66666667,,34.6,Litchfield
,2,Eucalyptus miniata,20.5,,44.7,23,21,18.5,20.83333333,,44.7,Litchfield
,4,Eucalyptus tetrodonta,8.4,,9.6,8,9,7,8,,9.6,Litchfield
,6,Buchanania obovata,5.2,,6.85,14.5,12.5,13.5,13.5,,6.85,Litchfield
,7,Callitris intratropica,16,,21.65,16,14,14,14.66666667,,21.65,Litchfield
,8,Callitris intratropica,10,,15.5,11,10,11,10.66666667,,15.5,Litchfield
,9,Callitris intratropica,13,,18.05,12,12.5,11,11.83333333,,18.05,Litchfield
,10,Callitris intratropica,11,,15.6,12,10,12,11.33333333,,15.6,Litchfield
,11,Eucalyptus tetrodonta,20.14,,37.6,20,14,20,18,,37.6,Litchfield
,12,Eucalyptus tetrodonta,20.5,,23.8,9,10.5,8.5,9.333333333,,23.8,Litchfield
,13,Eucalyptus tetrodonta,12,,16.5,11,11,9.5,10.5,,16.5,Litchfield
,14,Erythrophleum chlorostachys,6.5,,9,10,10,11,10.33333333,,9,Litchfield
,15,Gardenia megasperma,4.25,,6.1,5,5,6,5.333333333,,6.1,Litchfield
,17,Eucalyptus tetrodonta,10,,15.1,8,8,8,8,,15.1,Litchfield
,18,Eucalyptus tetrodonta,16,,24.2,10,11,13,11.33333333,,24.2,Litchfield
,20,Eucalyptus tetrodonta,22,,42.8,12.5,12.5,12.5,12.5,,42.8,Litchfield
,21,Eucalyptus tetrodonta,27.5,,36.1,15.5,15,13,14.5,,36.1,Litchfield
,22,Eucalyptus miniata,13,,37.3,27,21,21,23,,37.3,Litchfield
,24,Pouteria arnhemica,5.25,,7.8,17,15,11,14.33333333,,7.8,Litchfield
,26,Eucalyptus tetrodonta,15,,24.6,10.5,14,14,12.83333333,,24.6,Litchfield
,27,Eucalyptus tetrodonta,15.9,,17.1,12,12,12,12,,17.1,Litchfield
,30,Owenia vernicosa,4.2,,6.7,8.5,8.5,8.5,8.5,,6.7,Litchfield
,-,Callitris intratropica,9.5,,11.3,7,7,7.5,7.166666667,,11.3,Litchfield
,-,Callitris intratropica,10,,13.7,9,8.5,9,8.833333333,,13.7,Litchfield
,-,Erythrophleum chlorostachys,,,15.8,12,12.5,13,12.5,,15.8,Litchfield
,-,Callitris intratropica,8,,8.7,7,6,5,6,,8.7,Litchfield
,-,Eucalyptus tetrodonta,,,6.5,7.5,9,10,8.833333333,,6.5,Litchfield
,-,Callitris intratropica,3.5,,3.65,7,8,6,7,,3.65,Litchfield
,-,Eucalyptus tetrodonta,,,6.3,7,8,8,7.666666667,,6.3,Litchfield
,-,Callitris intratropica,8.5,,11.7,8,9,8,8.333333333,,11.7,Litchfield
,-,Eucalyptus tetrodonta,,,10,9,7.5,10,8.833333333,,10,Litchfield
,-,Callitris intratropica,11,,18.8,11,11,11,11,,18.8,Litchfield
,-,Callitris intratropica,8,,14.7,9,10,10,9.666666667,,14.7,Litchfield
,-,Callitris intratropica,9.5,,9.9,5,5,6,5.333333333,,9.9,Litchfield
,-,Terminalia carpentariae,,,3.7,6,6,6,6,,3.7,Litchfield
,-,Terminalia carpentariae,,,2.8,5,5,5.5,5.166666667,,2.8,Litchfield
,-,Eucalyptus tetrodonta,,,25.8,11,15,15.5,13.83333333,,25.8,Litchfield
,-,Erythrophleum chlorostachys,,,10.6,16,14,16,15.33333333,,10.6,Litchfield
,-,Buchanania obovata,,,8.75,12,13,12.5,12.5,,8.75,Litchfield
,-,Terminalia carpentariae,,,8,10,9.5,10,9.833333333,,8,Litchfield
,-,Terminalia carpentariae,,,6.5,12,10,10,10.66666667,,6.5,Litchfield
,-,Terminalia carpentariae,,,3.5,5.5,7,6.5,6.333333333,,3.5,Litchfield
,-,Callitris intratropica,,,27.3,12,12,11.5,11.83333333,,27.3,Litchfield
,-,Erythrophleum chlorostachys,,,30.1,30,22,23,25,,30.1,Litchfield
,-,Callitris intratropica,,,10.6,8,7,8,7.666666667,,10.6,Litchfield
,-,Erythrophleum chlorostachys,,,9.4,11,11,12,11.33333333,,9.4,Litchfield
,-,Eucalyptus miniata,,,36.05,25,21,20,22,,36.05,Litchfield
,-,Eucalyptus miniata,,,37.7,23,22,19.5,21.5,,37.7,Litchfield
,-,Eucalyptus miniata,,,15.6,15,15,12,14,,15.6,Litchfield
,-,Eucalyptus miniata,,,27.6,19,16,16,17,,27.6,Litchfield
,-,Eucalyptus miniata,,,10.8,13,12,9,11.33333333,,10.8,Litchfield
,-,Eucalyptus miniata,,,39.3,24,22,22,22.66666667,,39.3,Litchfield
,2,Banksia dentata,4.5,,7.1,8,9,9,8.666666667,,7.1,Litchfield
,12,Banksia dentata,5.5,,13.95,16.5,16.5,13.5,15.5,,13.95,Litchfield
,15,Banksia dentata,,,10.35,14.5,11,13,12.83333333,,10.35,Litchfield
,16,Melaleuca nervosa,7,,10.4,5,5.5,5.5,5.333333333,,10.4,Litchfield
,19,Banksia dentata,5.5,,9.7,11.5,8,11.5,10.33333333,,9.7,Litchfield
,20,Banksia dentata,6,,9.15,8.5,7.5,9.5,8.5,,9.15,Litchfield
,22,Melaleuca nervosa,22.7,,13,9,7,7.5,7.833333333,,13,Litchfield
,23,Melaleuca nervosa,10,,25,13,8.5,10.5,10.66666667,,25,Litchfield
,24,Banksia dentata,5.5,,8.7,10,11,9.9,10.3,,8.7,Litchfield
,26,Banksia dentata,6,,12.05,11.5,9,10.5,10.33333333,,12.05,Litchfield
,31,Banksia dentata,5,,10.65,7.5,7,8,7.5,,10.65,Litchfield
,33,Banksia dentata,6.5,,8.35,7.5,8,6.5,7.333333333,,8.35,Litchfield
,34,Banksia dentata,7,,14.35,11.5,11.5,10,11,,14.35,Litchfield
,39,Grevillea pteridifolia,11,,14.05,7.5,8,8,7.833333333,,14.05,Litchfield
,46,Grevillea pteridifolia,7.5,,12.5,7.5,8.5,7.5,7.833333333,,12.5,Litchfield
,47,Banksia dentata,4.5,,5.5,11,10,9,10,,5.5,Litchfield
,49,Banksia dentata,4,,8.95,9.5,9,10.5,9.666666667,,8.95,Litchfield
,50,Banksia dentata,4.5,,9.25,7,9,10.25,8.75,,9.25,Litchfield
,48,Banksia dentata,,,8.3,12,15,13,13.33333333,,8.3,Litchfield
,33b,Banksia dentata,6.5,,8.8,9,9,9,9,,8.8,Litchfield
,-,Grevillea pteridifolia,7,,7.2,5.5,5.5,6,5.666666667,,7.2,Litchfield
,-,Grevillea pteridifolia,4.5,,3.15,4,4,4,4,,3.15,Litchfield
,-,Grevillea pteridifolia,6.5,,4.9,4,5,4,4.333333333,,4.9,Litchfield
,-,Grevillea pteridifolia,6,,5.25,5,4,6,5,,5.25,Litchfield
,-,Banksia dentata,6.5,,10.8,11,15,11.5,12.5,,10.8,Litchfield
,-,Grevillea pteridifolia,8.5,,8.2,5.5,6,6.5,6,,8.2,Litchfield
,-,Grevillea pteridifolia,8,,6.5,6,6,6,6,,6.5,Litchfield
,-,Grevillea pteridifolia,9,,8,6,6,6,6,,8,Litchfield
,-,Grevillea pteridifolia,7,,8.5,6,6,6,6,,8.5,Litchfield
,-,Grevillea pteridifolia,7,,5.35,5,4.5,4.5,4.666666667,,5.35,Litchfield
,-,Grevillea pteridifolia,8,,6.8,6,6,7,6.333333333,,6.8,Litchfield
,-,Grevillea pteridifolia,6,,4.7,4.5,5,5,4.833333333,,4.7,Litchfield
,-,Grevillea pteridifolia,5.5,,3.4,4,4,4,4,,3.4,Litchfield
,-,Melaleuca nervosa,7.5,,8.2,6,7.5,7.5,7,,8.2,Litchfield
,-,Melaleuca nervosa,6,,9.3,6.5,7,8.5,7.333333333,,9.3,Litchfield
,-,Melaleuca nervosa,6.5,,13.9,10,11,10,10.33333333,,13.9,Litchfield
,-,Melaleuca nervosa,9,,8,8,8,9,8.333333333,,8,Litchfield
,-,Melaleuca nervosa,7,,8.05,8,9,8,8.333333333,,8.05,Litchfield
,-,Melaleuca nervosa,5.5,,10.2,9,9.5,9,9.166666667,,10.2,Litchfield
,-,Melaleuca nervosa,5,,12.1,9.5,9.5,10.5,9.833333333,,12.1,Litchfield
,7,Terminalia carpentariae,8,,8.5,10,10,11,10.33333333,,8.5,Litchfield
,10,Terminalia carpentariae,7.8,,6.2,7,7,7,7,,6.2,Litchfield
,11,Terminalia carpentariae,6.5,,67,7,8,7,7.333333333,,67,Litchfield
,12,Eucalyptus tetrodonta,21,,44.5,8,9,6,7.666666667,,44.5,Litchfield
,13,Terminalia carpentariae,9,,8.8,9,9,9,9,,8.8,Litchfield
,19,Erythrophleum chlorostachys,7,,12.6,16,14,13,14.33333333,,12.6,Litchfield
,20,Erythrophleum chlorostachys,6,,7.7,13,15,12,13.33333333,,7.7,Litchfield
,22,Eucalyptus tetrodonta,19,,29.8,18,16,15,16.33333333,,29.8,Litchfield
,24,Buchanania obovata,7,,11.1,15,14.5,13,14.16666667,,11.1,Litchfield
,25,Eucalyptus tetrodonta,13,,15.5,7,8.5,10,8.5,,15.5,Litchfield
,30,Erythrophleum chlorostachys,9,,17,18,12,20,16.66666667,,17,Litchfield
,31,Eucalyptus tetrodonta,18.5,,43.1,10.5,12.5,10,11,,43.1,Litchfield
,32,Pouteria arnhemica,6,,6.7,10,13,13,12,,6.7,Litchfield
,36,Terminalia carpentariae,8,,10,10,11,10,10.33333333,,10,Litchfield
,40,Syzygium suborbiculare,7.5,,17.8,12,13,18,14.33333333,,17.8,Litchfield
,44,Erythrophleum chlorostachys,7.5,,13.6,15,18,12,15,,13.6,Litchfield
,47,Eucalyptus tetrodonta,15,,18,14.5,15,14,14.5,,18,Litchfield
,48,Owenia vernicosa,8,,7.85,9,8,9,8.666666667,,7.85,Litchfield
,51,Erythrophleum chlorostachys,11.5,,25.8,13,15.5,20,16.16666667,,25.8,Litchfield
,55,Eucalyptus tetrodonta,12,,11.7,12,8.5,11,10.5,,11.7,Litchfield
,56,Erythrophleum chlorostachys,6,,11.4,14,14,12,13.33333333,,11.4,Litchfield
,58,Erythrophleum chlorostachys,12.5,,26.9,17,16,13,15.33333333,,26.9,Litchfield
,59,Denhamia obscura,11.5,,15.9,8,9,8,8.333333333,,15.9,Litchfield
,61,Eucalyptus tetrodonta,18,,26.9,15,12,12.5,13.16666667,,26.9,Litchfield
,62,Eucalyptus tetrodonta,20,,21.4,13.5,16,15,14.83333333,,21.4,Litchfield
,64,Erythrophleum chlorostachys,11,,13.4,12,10,10,10.66666667,,13.4,Litchfield
,73,Acacia lamprocarpa,7,,10.15,9,8,8,8.333333333,,10.15,Litchfield
,-,Erythrophleum chlorostachys,,,6.3,9,12,11,10.66666667,,6.3,Litchfield
,-,Terminalia carpentariae,,,6.2,7,8,8.5,7.833333333,,6.2,Litchfield
,-,Terminalia carpentariae,,,6.9,9,9,10,9.333333333,,6.9,Litchfield
,-,Terminalia carpentariae,,,6.6,7,9,9,8.333333333,,6.6,Litchfield
,-,Terminalia carpentariae,,,10.35,8,8,9,8.333333333,,10.35,Litchfield
,-,Terminalia carpentariae,,,5,7,8,9,8,,5,Litchfield
,-,Terminalia carpentariae,,,3.3,6,6,5,5.666666667,,3.3,Litchfield
,-,Buchanania obovata,,,11.6,12,15,14,13.66666667,,11.6,Litchfield
,-,Terminalia carpentariae,,,6.95,9,9,10,9.333333333,,6.95,Litchfield
,-,Erythrophleum chlorostachys,,,7.45,8.5,6.5,10,8.333333333,,7.45,Litchfield
,-,Eucalyptus tetrodonta,,,6.8,9.5,10,8.5,9.333333333,,6.8,Litchfield
,-,Eucalyptus tetrodonta,,,5,7,10,8.5,8.5,,5,Litchfield
,-,Erythrophleum chlorostachys,1.4,,20,6,5,5,5.333333333,,20,Litchfield
,-,Erythrophleum chlorostachys,1.4,,16,3,3,4.5,3.5,,16,Litchfield
,-,Terminalia carpentariae,1.35,,18.4,3.5,3.5,4,3.666666667,,18.4,Litchfield
,-,Terminalia carpentariae,1.35,,19.4,5,4.5,5,4.833333333,,19.4,Litchfield
,-,Terminalia carpentariae,1.77,,19,3.5,4,4,3.833333333,,19,Litchfield
,-,Erythrophleum chlorostachys,0.85,,12.6,3.5,4,3.5,3.666666667,,12.6,Litchfield
,-,Terminalia carpentariae,1.54,,23,4.5,4.5,5,4.666666667,,23,Litchfield
,-,Terminalia carpentariae,1.68,,22,4.5,5.5,5,5,,22,Litchfield
,-,Erythrophleum chlorostachys,1.86,,45.3,11,11,10,10.66666667,,45.3,Litchfield
,-,Erythrophleum chlorostachys,1.3,,22.2,7,6,7,6.666666667,,22.2,Litchfield
,-,Terminalia carpentariae,1.55,,22.5,4,4.5,5,4.5,,22.5,Litchfield
,-,Erythrophleum chlorostachys,0.68,,11.2,3,3,3,3,,11.2,Litchfield
,-,Erythrophleum chlorostachys,0.9,,15.4,4,4.5,4,4.166666667,,15.4,Litchfield
,-,Erythrophleum chlorostachys,0.55,,8.6,3,3,3.5,3.166666667,,8.6,Litchfield
,-,Terminalia carpentariae,1.48,,22.8,4,3,3.5,3.5,,22.8,Litchfield
,-,Eucalyptus tetrodonta,0.9,,9.2,3.5,2.5,2.5,2.833333333,,9.2,Litchfield
,-,Syzygium suborbiculare,2.2,,34.9,5,7,6,6,,34.9,Litchfield
,-,Syzygium suborbiculare,2,,22,3.5,3.5,5,4,,22,Litchfield
,-,Eucalyptus tetrodonta,,,6,11,10,10,10.33333333,,6,Litchfield
,-,Eucalyptus tetrodonta,,,22.8,13,12.5,15,13.5,,22.8,Litchfield
,-,Eucalyptus tetrodonta,,,12.8,10,12,10,10.66666667,,12.8,Litchfield
,-,Eucalyptus tetrodonta,,,14.7,10,11,10.5,10.5,,14.7,Litchfield
,-,Eucalyptus tetrodonta,,,8.5,8.5,8,9,8.5,,8.5,Litchfield
,-,Erythrophleum chlorostachys,,,11.4,15,15,16,15.33333333,,11.4,Litchfield
,-,Owenia vernicosa,,,8.9,6.5,8,7,7.166666667,,8.9,Litchfield
,-,Erythrophleum chlorostachys,,,7.6,9,10,10,9.666666667,,7.6,Litchfield
,-,Eucalyptus tetrodonta,,,7.1,9.5,12,9,10.16666667,,7.1,Litchfield
,-,Eucalyptus tetrodonta,,,12.23,9,11,8,9.333333333,,12.23,Litchfield
,-,Terminalia carpentariae,,,9.55,9,9,10,9.333333333,,9.55,Litchfield
,-,Eucalyptus tetrodonta,,,38.9,10,14,12,12,,38.9,Litchfield
,-,Eucalyptus tetrodonta,,,11.1,9,7,9,8.333333333,,11.1,Litchfield
,-,Erythrophleum chlorostachys,,,13.9,12,19,16.5,15.83333333,,13.9,Litchfield
,-,Erythrophleum chlorostachys,,,29.6,26.5,20.5,22.5,23.16666667,,29.6,Litchfield
,-,Erythrophleum chlorostachys,,,13.65,16.5,18,14,16.16666667,,13.65,Litchfield
,-,Buchanania obovata,,,4.45,9,7,7.5,7.833333333,,4.45,Litchfield
,-,Syzygium suborbiculare,,,6.6,9,10,8.5,9.166666667,,6.6,Litchfield
,8,Corymbia polysciada,14.5,,27.6,12.5,18,16.5,15.66666667,,27.6,Litchfield
,15,Corymbia polysciada,10.5,,20.04,11,13,11.5,11.83333333,,20.04,Litchfield
,23,Corymbia grandifolia,8,,15,7,7,6.5,6.833333333,,15,Litchfield
