species_name,family,authority,TPL_ID,status,APC_name,APC_ID,APNI_ID
Brachyscome microcarpa,Compositae,F.Muell.,gcc-50981,Accepted,Brachyscome microcarpa,2913023,65342
Brachyscome muelleri,Compositae,Sond.,gcc-141684,Accepted,Brachyscome muelleri,2890062,65349
Brachyscome muelleroides,Compositae,G.L.Davis,gcc-77896,Accepted,Brachyscome muelleroides,2889995,65357
Brachyscome multifida,Compositae,DC.,gcc-126439,Accepted,Brachyscome multifida,2920780,65371
Brachyscome nodosa,Compositae,P.S.Short & Kuniaki Watan.,gcc-49075,Accepted,Brachyscome nodosa,2919744,119329
Brachyscome nova-anglica,Compositae,G.L.Davis,gcc-132427,Accepted,Brachyscome nova-anglica,2893951,65421
Brachyscome obovata,Compositae,G.L.Davis,gcc-134426,Accepted,Brachyscome obovata,2909431,65434
Brachyscome oncocarpa,Compositae,Diels,gcc-36255,Accepted,Brachyscome oncocarpa,2900109,65441
Brachyscome papillosa,Compositae,G.L.Davis,gcc-134883,Accepted,Brachyscome papillosa,2915300,65455
Brachyscome parvula,Compositae,Hook.f.,gcc-117433,Accepted,Brachyscome parvula,2905787,65465
Brachyscome perpusilla,Compositae,(Steetz) J.M.Black,gcc-131856,Accepted,Brachyscome perpusilla,2895095,65491
Brachyscome procumbens,Compositae,G.L.Davis,gcc-37987,Accepted,Brachyscome procumbens,2905259,65524
Brachyscome ptychocarpa,Compositae,F.Muell.,gcc-45173,Accepted,Brachyscome ptychocarpa,2921118,65535
Brachyscome pusilla,Compositae,Steetz,gcc-4124,Accepted,Brachyscome pusilla,2909572,65555
Brachyscome radicans,Compositae,Steetz ex Lehm.,gcc-81386,Accepted,Brachyscome nivalis,2899516,65397
Brachyscome rara,Compositae,G.L.Davis,gcc-41789,Accepted,Brachyscome rara,2895887,65572
Brachyscome readeri,Compositae,G.L.Davis,gcc-88895,Accepted,Brachyscome readeri,2911199,65578
Brachyscome rigidula,Compositae,(DC.) G.L.Davis,gcc-95166,Accepted,Brachyscome rigidula,2907989,65591
Brachyscome salkiniae,NA,NA,NA,NA,Brachyscome salkiniae,2891351,217940
Brachyscome scapigera,Compositae,(Sieber ex Spreng.) DC.,gcc-102166,Accepted,Brachyscome scapigera,2921166,65652
Brachyscome smithwhitei,Compositae,P.S.Short & Watan.,gcc-41252,Accepted,Brachyscome smithwhitei,2886463,119330
Brachyscome spathulata,Compositae,Gaudich.,gcc-29103,Accepted,Brachyscome spathulata,2886446,65693
Brachyscome stolonifera,Compositae,G.L.Davis,gcc-1372,Accepted,Brachyscome stolonifera,2902175,65715
Brachyscome stuartii,Compositae,Benth.,gcc-133276,Accepted,Brachyscome stuartii,2909708,65743
Brachyscome tadgellii,Compositae,Tovey & P.Morris,gcc-103847,Accepted,Brachyscome tadgellii,2905014,65756
Brachyscome tatei,Compositae,J.M.Black,gcc-141447,Accepted,Brachyscome tatei,2900888,65764
Brachyscome tenuiscapa,Compositae,Hook.f.,gcc-143809,Accepted,Brachyscome tenuiscapa,2906753,65802
Brachyscome tesquorum,Compositae,J.M.Black,gcc-83891,Accepted,Brachyscome tesquorum,2911796,65831
Brachyscome trachycarpa,Compositae,F.Muell.,gcc-101819,Accepted,Brachyscome trachycarpa,2912089,65853
Brachyscome whitei,Compositae,G.L.Davis,gcc-126608,Accepted,Brachyscome whitei,2895721,65899
Brachyscome xanthocarpa,Compositae,D.A.Cooke,gcc-129193,Accepted,Brachyscome xanthocarpa,2889914,65904
Brachysema celsianum,Leguminosae,Lem.,ild-34248,Accepted,Gastrolobium celsianum,2912328,167755
Brachysema praemorsum,Leguminosae,Meissner,ild-34767,Accepted,Gastrolobium praemorsum,2905887,167749
Brachysema sericeum,Leguminosae,(Sm.) Domin,ild-34850,Accepted,Gastrolobium sericeum,2915857,167746
Brachysola coerulea,Lamiaceae,(F.Muell. & Tate) Rye,kew-23879,Accepted,Brachysola coerulea,7464914,173333
Brachysola halganiacea,Lamiaceae,(F.Muell.) Rye,kew-23880,Accepted,Brachysola halganiacea,2914567,173335
Brachystegia spiciformis,Leguminosae,Benth.,ild-903,Accepted,NA,NA,NA
Brachystelma glabriflorum,Apocynaceae,(F.Muell.) Schltr.,kew-2681579,Accepted,Brachystelma glabriflorum,2895592,66336
Brackenridgea nitida,Ochnaceae,(F.Muell.) P.O.Karis,kew-2681739,Accepted,Brackenridgea nitida,2892058,66422
Brasenia schreberi,Cabombaceae,J.F.Gmel.,kew-24045,Accepted,Brasenia schreberi,2889046,66537
Brassica elongata,Brassicaceae,Ehrh.,kew-2682188,Accepted,Brassica elongata,2904576,66600
Brassica fruticulosa,Brassicaceae,Cirillo,kew-2682229,Accepted,Brassica fruticulosa,2891463,66606
Brassica juncea,Brassicaceae,(L.) Czern.,kew-2682298,Accepted,NA,NA,NA
Brassica napus,Brassicaceae,L.,kew-2682380,Accepted,NA,NA,NA
Brassica nigra,Brassicaceae,(L.) K.Koch,kew-2682421,Accepted,Brassica nigra,2920908,66646
Brassica oleracea,Brassicaceae,L.,kew-2682457,Accepted,Brassica oleracea,2904448,66653
Brassica rapa,Brassicaceae,L.,kew-2682652,Accepted,Brassica rapa,2892816,66663
Brassica tournefortii,Brassicaceae,Gouan,kew-2682848,Accepted,Brassica tournefortii,2912157,66698
Breonia chinensis,Rubiaceae,(Lam.) Capuron,kew-24358,Accepted,NA,NA,NA
Breynia cernua,Phyllanthaceae,(Poir.) Müll.Arg.,kew-24391,Accepted,Breynia cernua,2915091,67118
Breynia oblongifolia,Phyllanthaceae,(Müll.Arg.) Müll.Arg.,kew-24421,Accepted,Breynia oblongifolia,2898881,67150
Breynia stipitata,Phyllanthaceae,Müll.Arg.,kew-24448,Accepted,Breynia cernua,2915091,67118
Bridelia exaltata,Phyllanthaceae,F.Muell.,kew-24514,Accepted,Bridelia exaltata,2910914,171710
Bridelia finalis,Phyllanthaceae,P.I.Forst.,kew-343139,Accepted,Bridelia finalis,2893320,195921
Bridelia insulana,Phyllanthaceae,Hance,kew-24545,Accepted,Bridelia insulana,2903225,171723
Bridelia leichhardtii,Phyllanthaceae,Baill. ex Müll.Arg.,kew-24554,Accepted,Bridelia leichhardtii,2907364,124848
Bridelia tomentosa,Phyllanthaceae,Blume,kew-24668,Accepted,Bridelia tomentosa,2918920,125281
Briza maxima,Poaceae,L.,kew-400234,Accepted,Briza maxima,2908064,67427
Briza minor,Poaceae,L.,kew-400281,Accepted,Briza minor,2920944,67452
Briza subaristata,Poaceae,Lam.,kew-400332,Accepted,Briza subaristata,2886045,67460
Bromus alopecuros,Poaceae,Poir.,kew-400611,Accepted,Bromus alopecuros,2887552,132868
Bromus arenarius,Poaceae,Labill.,kew-400650,Accepted,Bromus arenarius,2912583,67749
Bromus arvensis,Poaceae,L.,kew-400659,Accepted,NA,NA,NA
Bromus brevis,Poaceae,Steud.,kew-400754,Accepted,Bromus brevis,2903516,67818
Bromus catharticus,Poaceae,Vahl,kew-400803,Accepted,Bromus catharticus,2898628,67827
Bromus diandrus,Poaceae,Roth,kew-400915,Accepted,Bromus diandrus,2891835,67885
Bromus hordeaceus,Poaceae,L.,kew-401143,Accepted,Bromus hordeaceus,7746707,67927
Bromus inermis,Poaceae,Leyss.,kew-401195,Accepted,Bromus inermis,2915801,67948
Bromus madritensis,Poaceae,L.,kew-401383,Accepted,Bromus madritensis,2912030,68018
Bromus racemosus,Poaceae,L.,kew-401730,Accepted,Bromus racemosus,2901668,68079
Bromus rigidus,Poaceae,Roth,kew-401784,Accepted,Bromus diandrus,2891835,67885
Bromus rubens,Poaceae,L.,kew-401803,Accepted,Bromus rubens,2904955,68096
Bromus secalinus,Poaceae,L.,kew-401862,Accepted,Bromus secalinus,2894318,68119
Bromus sterilis,Poaceae,L.,kew-402009,Accepted,Bromus sterilis,7747353,68155
Bromus tectorum,Poaceae,L.,kew-402067,Accepted,Bromus tectorum,2898498,68165
Brownlowia argentata,Malvaceae,Kurz,kew-2683916,Accepted,Brownlowia argentata,2918691,116968
Brucea javanica,Simaroubaceae,(L.) Merr.,kew-2683970,Accepted,Brucea javanica,2886241,68271
Bruguiera cylindrica,Rhizophoraceae,(L.) Blume,kew-2684033,Accepted,Bruguiera cylindrica,2918727,68329
Bruguiera exaristata,Rhizophoraceae,Ding Hou,kew-2684037,Accepted,Bruguiera exaristata,2910019,68341
Bruguiera gymnorhiza,Rhizophoraceae,(L.) Lam.,kew-2684038,Accepted,Bruguiera gymnorhiza,2909075,68363
Bruguiera parviflora,Rhizophoraceae,(Roxb.) Wight & Arn. ex Griff.,kew-2684048,Accepted,Bruguiera parviflora,2901861,68373
Bruguiera sexangula,Rhizophoraceae,(Lour.) Poir.,kew-2684052,Accepted,Bruguiera sexangula,2915219,68398
Brunonia australis,Goodeniaceae,R.Br.,kew-2684267,Accepted,Brunonia australis,2915709,68426
Brunoniella acaulis,Acanthaceae,(R.Br.) Bremek.,kew-2684274,Accepted,Brunoniella acaulis,2905107,68499
Brunoniella australis,Acanthaceae,(Cav.) Bremek.,kew-2684276,Accepted,Brunoniella australis,2906157,68509
Brunoniella pumilio,Acanthaceae,(R.Br.) Bremek.,kew-2684279,Accepted,Brunoniella pumilio,2887339,68519
Bryophyllum delagoense,Crassulaceae,(Eckl. & Zeyh.) Druce,kew-2684562,Accepted,Bryophyllum delagoense,2905853,118286
Bryophyllum pinnatum,Crassulaceae,(Lam.) Oken,kew-2684576,Accepted,Bryophyllum pinnatum,2911886,208242
Bryophyllum proliferum,Crassulaceae,Bowie ex Hook.,kew-2684579,Accepted,Bryophyllum proliferum,2903131,116508
Buchanania amboinensis,Anacardiaceae,Miq.,kew-2684786,Accepted,NA,NA,NA
Buchanania arborescens,Anacardiaceae,(Blume) Blume,kew-2684757,Accepted,Buchanania arborescens,2897989,68747
Buchanania macrocarpa,Anacardiaceae,Lauterb.,kew-2684802,Accepted,NA,NA,NA
Buchanania mangoides,Anacardiaceae,F.Muell.,kew-2684805,Accepted,Buchanania mangoides,2899315,68775
Buchanania obovata,Anacardiaceae,Engl.,kew-2684818,Accepted,Buchanania obovata,2887105,68814
Buchnera ciliata,Orobanchaceae,Pennell,kew-2684970,Accepted,Buchnera ciliata,2895050,117112
Buchnera gracilis,Orobanchaceae,R.Br.,kew-2685028,Accepted,Buchnera gracilis,2887323,68929
Buchnera linearis,Orobanchaceae,R.Br.,kew-2685061,Accepted,Buchnera asperata,2898778,68903
Buchnera ramosissima,Orobanchaceae,R.Br.,kew-2685132,Accepted,Buchnera ramosissima,2921098,68998
Buchnera tetragona,Orobanchaceae,R.Br.,kew-2685172,Accepted,Buchnera tetragona,2897351,69041
Buchnera urticifolia,Orobanchaceae,R.Br.,kew-2685181,Accepted,Buchnera urticifolia,2918571,69051
Buckinghamia celsissima,Proteaceae,F.Muell.,kew-2685246,Accepted,Buckinghamia celsissima,2896198,69067
Buckinghamia ferruginiflora,Proteaceae,Foreman & B.Hyland,kew-2685247,Accepted,Buckinghamia ferruginiflora,2886921,69071
Budawangia gnidioides,Ericaceae,(Summerh.) I.Telford,kew-2685283,Accepted,Budawangia gnidioides,2887325,118305
Buddleja davidii,Scrophulariaceae,Franch.,kew-2685390,Accepted,Buddleja davidii,2909070,116843
Buddleja madagascariensis,Scrophulariaceae,Lam.,kew-2685510,Accepted,Buddleja madagascariensis,2900953,69091
Buglossoides arvensis,Boraginaceae,(L.) I.M.Johnst.,kew-2685783,Accepted,Buglossoides arvensis,2906400,69141
Bulbine alata,Xanthorrhoeaceae,Baijnath,kew-301252,Accepted,Bulbine alata,2917334,69177
Bulbine bulbosa,Xanthorrhoeaceae,(R.Br.) Haw.,kew-301270,Accepted,Bulbine bulbosa,2894148,69206
Bulbine glauca,Xanthorrhoeaceae,(Raf.) E.M.Watson,kew-301313,Accepted,Bulbine glauca,2895020,69227
Bulbine pendula,Xanthorrhoeaceae,Keighery,kew-330467,Accepted,Bulbine pendula,2908019,191870
Bulbine semibarbata,Xanthorrhoeaceae,(R.Br.) Haw.,kew-301377,Accepted,Bulbine semibarbata,2893560,69237
Bulbine vagans,Xanthorrhoeaceae,E.M.Watson,kew-301404,Accepted,Bulbine vagans,2913493,69268
Bulbophyllum argyropus,Orchidaceae,(Endl.) Rchb.f.,kew-25191,Accepted,NA,NA,NA
Bulbophyllum bracteatum,Orchidaceae,(Fitzg.) F.M.Bailey,kew-25327,Accepted,Bulbophyllum bracteatum,NA,69451
Bulbophyllum elisae,Orchidaceae,(F.Muell.) Benth.,kew-25787,Accepted,Bulbophyllum elisae,NA,69491
Bulbophyllum exiguum,Orchidaceae,F.Muell.,kew-25831,Accepted,Bulbophyllum exiguum,NA,NZOR-4-119201
Bulbophyllum globuliforme,Orchidaceae,Nicholls,kew-25996,Accepted,Bulbophyllum globuliforme,2891560,69536
Bulbophyllum minutissimum,Orchidaceae,(F.Muell.) F.Muell.,kew-26625,Accepted,Bulbophyllum minutissimum,NA,69643
Bulbophyllum schillerianum,Orchidaceae,Rchb.f.,kew-27309,Accepted,Bulbophyllum schillerianum,NA,69718
Bulbophyllum shepherdii,Orchidaceae,(F.Muell.) Rchb.f.,kew-27367,Accepted,Bulbophyllum shepherdii,NA,69733
Bulbophyllum weinthalii,Orchidaceae,R.S.Rogers,kew-27747,Accepted,Bulbophyllum weinthalii,NA,69796
Bulbostylis barbata,Cyperaceae,(Rottb.) C.B.Clarke,kew-222283,Accepted,Bulbostylis barbata,2889089,69822
Bulbostylis burbidgeae,Cyperaceae,K.L.Wilson,kew-222300,Accepted,Bulbostylis burbidgeae,2912026,69824
Bulbostylis densa,Cyperaceae,(Wall.) Hand.-Mazz.,kew-222351,Accepted,Bulbostylis densa,2911481,207060
Bulbostylis pyriformis,Cyperaceae,S.T.Blake,kew-222499,Accepted,Bulbostylis pyriformis,2908702,69852
Bulbostylis striatella,Cyperaceae,C.B.Clarke,kew-222545,Accepted,Bulbostylis striatella,2890338,208882
Bulbostylis turbinata,Cyperaceae,S.T.Blake,kew-222583,Accepted,Bulbostylis turbinata,2905914,69859
Bupleurum lancifolium,Apiaceae,Hornem.,kew-2686818,Accepted,Bupleurum lancifolium,2898269,116515
Bupleurum semicompositum,Apiaceae,L.,kew-2687141,Accepted,Bupleurum semicompositum,2889561,69989
Burchardia bairdiae,Colchicaceae,Keighery,kew-301497,Accepted,Burchardia bairdiae,2917716,70014
Burchardia congesta,Colchicaceae,Lindl.,kew-301498,Accepted,Burchardia congesta,2912917,70017
Burchardia monantha,Colchicaceae,Domin,kew-301499,Accepted,Burchardia monantha,2915600,70025
Burchardia multiflora,Colchicaceae,Lindl.,kew-301500,Accepted,Burchardia multiflora,2899048,70032
Burchardia rosea,Colchicaceae,Keighery,kew-301502,Accepted,Burchardia rosea,2892928,70048
Burchardia umbellata,Colchicaceae,R.Br.,kew-301503,Accepted,Burchardia umbellata,2890796,70052
Burckella obovata,Sapotaceae,(G.Forst.) Pierre,kew-28061,Accepted,NA,NA,NA
Burmannia disticha,Burmanniaceae,L.,kew-222671,Accepted,Burmannia disticha,2900088,70173
Burmannia juncea,Burmanniaceae,Sol. ex R.Br.,kew-222697,Accepted,Burmannia juncea,2895981,70182
Burnettia cuneata,Orchidaceae,Lindl.,kew-28114,Accepted,Burnettia cuneata,NA,70200
Bursaria calcicola,Pittosporaceae,"L.W.Cayzer, Crisp & I.Telford",kew-2687428,Accepted,unknown,unknown,unknown
Bursaria incana,Pittosporaceae,Lindl.,kew-2687430,Accepted,Bursaria incana,2911906,70292
Bursaria longisepala,Pittosporaceae,Domin,kew-2687437,Accepted,Bursaria longisepala,2901183,70344
Bursaria occidentalis,Pittosporaceae,E.M.Benn.,kew-2687439,Accepted,Bursaria occidentalis,2921119,70359
Bursaria reevesii,Pittosporaceae,"L.W.Cayzer, Crisp & I.Telford",kew-2687442,Accepted,unknown,unknown,unknown
Bursaria spinosa,Pittosporaceae,Cav.,kew-2687443,Accepted,Bursaria spinosa,7743730,70380
Bursaria spinosa subsp. lasiophylla,Pittosporaceae,"(E.M.Benn.) L.W.Cayzer, Crisp & I.Telford",kew-2687450,Accepted,unknown,unknown,unknown
Bursaria spinosa subsp. spinosa,Pittosporaceae,Cav.,kew-2687443,Accepted,Bursaria spinosa subsp. spinosa,2899644,142036
Bursaria spinosa var. obovata,Pittosporaceae,Cav.,kew-2687443,Accepted,Bursaria spinosa subsp. spinosa,2899644,142036
Bursaria tenuifolia,Pittosporaceae,F.M.Bailey,kew-2687458,Accepted,Bursaria tenuifolia,2892753,70498
Byblis aquatica,Byblidaceae,Lowrie & Conran,kew-28204,Accepted,Byblis aquatica,2890274,164721
Byblis filifolia,Byblidaceae,Planch.,kew-28206,Accepted,Byblis filifolia,2892750,70951
Byblis gigantea,Byblidaceae,Lindl.,kew-28207,Accepted,Byblis gigantea,2904923,70960
Byblis lamellata,Byblidaceae,Conran & Lowrie,kew-222756,Accepted,Byblis lamellata,2915472,180779
Byblis liniflora,Byblidaceae,Salisb.,kew-28209,Accepted,Byblis liniflora,2890957,70978
Byblis rorida,Byblidaceae,Lowrie & Conran,kew-28211,Accepted,Byblis rorida,2898788,164722
Cabomba caroliniana,Cabombaceae,A.Gray,kew-28282,Accepted,Cabomba caroliniana,2891201,89390
Cadaba capparoides,Capparaceae,DC.,kew-2689646,Accepted,Cadaba capparoides,2898820,89446
Cadellia pentastylis,Surianaceae,F.Muell.,kew-2689709,Accepted,Cadellia pentastylis,2912802,89474
Caelospermum dasylobum,NA,NA,NA,NA,Caelospermum dasylobum,NA,237439
Caelospermum paniculatum,NA,NA,NA,NA,Caelospermum paniculatum,NA,237513
Caesalpinia bonduc,Leguminosae,(L.) Roxb.,ild-927,Accepted,Caesalpinia bonduc,2915451,89643
Caesalpinia coriaria,Leguminosae,(Jacq.) Willd.,ild-929,Accepted,Caesalpinia coriaria,NA,116792
Caesalpinia crista,Leguminosae,L.,ild-10998,Accepted,Caesalpinia crista,2887820,89677
Caesalpinia decapetala,Leguminosae,(Roth) Alston,ild-934,Accepted,Caesalpinia decapetala,2907249,89683
Caesalpinia erythrocarpa,Leguminosae,Pedley,kew-2689848,Unresolved,Caesalpinia erythrocarpa,2904134,154410
Caesalpinia gilliesii,Leguminosae,(Hook.) D.Dietr.,ild-33318,Accepted,Caesalpinia gilliesii,2919194,201562
Caesalpinia globulorum,Leguminosae,Bakh.f. & P.Royen,ild-24183,Accepted,Caesalpinia major,2894255,89703
Caesalpinia hymenocarpa,Leguminosae,(Prain) Hattink,ild-34640,Accepted,Caesalpinia hymenocarpa,2886604,116681
Caesalpinia nitens,Leguminosae,(F.Muell. ex Benth.) Pedley,kew-2689993,Unresolved,Caesalpinia nitens,2914325,154449
Caesalpinia pyramidalis,Leguminosae,Tul.,ild-28286,Accepted,NA,NA,NA
Caesalpinia robusta,Leguminosae,(C.T.White) Pedley,ild-34681,Accepted,Caesalpinia robusta,2893358,89729
Caesalpinia scortechinii,Leguminosae,(F.Muell.) Hattink,ild-34308,Accepted,Caesalpinia scortechinii,2897096,89735
Caesalpinia subtropica,Leguminosae,Pedley,ild-34455,Accepted,Caesalpinia subtropica,2908848,89755
Caesalpinia traceyi,Leguminosae,Pedley,kew-2690127,Unresolved,Caesalpinia traceyi,2892129,154351
Caesia alpina,Xanthorrhoeaceae,Hook.f.,kew-301548,Accepted,Caesia alpina,2890875,89830
Caesia calliantha,Xanthorrhoeaceae,R.J.F.Hend.,kew-301551,Accepted,Caesia calliantha,2892734,89835
Caesia chlorantha,Xanthorrhoeaceae,F.Muell.,kew-301553,Accepted,Caesia chlorantha,2907109,89845
Caesia micrantha,Xanthorrhoeaceae,Lindl.,kew-301567,Accepted,Caesia micrantha,2904117,89944
Caesia occidentalis,Xanthorrhoeaceae,R.Br.,kew-301570,Accepted,Caesia occidentalis,2905546,89977
Caesia parviflora,Xanthorrhoeaceae,R.Br.,kew-301572,Accepted,Caesia parviflora,2888833,90000
Caesia parviflora var. minor,Xanthorrhoeaceae,R.Br.,kew-301572,Accepted,Caesia parviflora var. minor,2903673,90006
Caesia parviflora var. vittata,Xanthorrhoeaceae,(R.Br.) R.J.F.Hend.,kew-301575,Accepted,Caesia parviflora var. vittata,2912497,90019
Caesia rigidifolia,Xanthorrhoeaceae,F.Muell.,kew-301578,Accepted,Caesia rigidifolia,2913102,90024
Caesia setifera,Xanthorrhoeaceae,Baker,kew-301581,Accepted,Caesia setifera,2894760,90045
Caesia viscida,Xanthorrhoeaceae,Keighery,kew-301587,Accepted,Caesia viscida,2893495,117937
Cajanus acutifolius,Leguminosae,(F.Muell.) Maesen,ild-40782,Accepted,Cajanus acutifolius,2892649,90135
Cajanus cajan,Leguminosae,(L.) Millsp.,ild-2524,Accepted,Cajanus cajan,2889232,239168
Cajanus marmoratus,Leguminosae,(Benth.) F.Muell.,ild-34667,Accepted,Cajanus marmoratus,2893309,90185
Cajanus reticulatus,Leguminosae,(Dryand.) F.Muell.,ild-40787,Accepted,Cajanus reticulatus,2898228,90194
Cajanus scarabaeoides,Leguminosae,(L.) Thouars,ild-2526,Accepted,Cajanus scarabaeoides,2920829,90206
Cajanus scarabaeoides var. pedunculatus,Leguminosae,Maesen,ild-34286,Accepted,Cajanus scarabaeoides var. pedunculatus,2887001,116336
Cakile edentula,Brassicaceae,(Bigelow) Hook.,kew-2690380,Accepted,Cakile edentula,2918067,90332
Cakile maritima,Brassicaceae,Scop.,kew-2690424,Accepted,Cakile maritima,2919041,90410
Caladenia abbreviata,Orchidaceae,Hopper & A.P.Br.,kew-222764,Accepted,NA,NA,NA
Caladenia alata,Orchidaceae,R.Br.,kew-28437,Accepted,Caladenia alata,NA,NZOR-4-92142
Caladenia applanata,Orchidaceae,Hopper & A.P.Br.,kew-222766,Accepted,Caladenia applanata,NA,231503
Caladenia arenaria,Orchidaceae,Fitzg.,kew-28449,Accepted,Caladenia arenaria,2910924,90627
Caladenia arenicola,Orchidaceae,Hopper & A.P.Br.,kew-222769,Accepted,Caladenia arenicola,NA,132383
Caladenia arrecta,Orchidaceae,Hopper & A.P.Br.,kew-222770,Accepted,Caladenia arrecta,2911277,135942
Caladenia attingens,Orchidaceae,Hopper & A.P.Br.,kew-222771,Accepted,Caladenia attingens,NA,135730
Caladenia aurantiaca,Orchidaceae,(R.S.Rogers) Rupp,kew-28458,Accepted,Caladenia aurantiaca,NA,90650
Caladenia barbarella,Orchidaceae,Hopper & A.P.Br.,kew-222774,Accepted,Caladenia barbarella,2895878,172989
Caladenia barbarossa,Orchidaceae,Rchb.f.,kew-28460,Accepted,Caladenia barbarossa,NA,90657
Caladenia bicalliata,Orchidaceae,R.S.Rogers,kew-28465,Accepted,Caladenia bicalliata,NA,90685
Caladenia brevisura,Orchidaceae,Hopper & A.P.Br.,kew-222776,Accepted,Caladenia brevisura,NA,128306
Caladenia brownii,Orchidaceae,Hopper,kew-222777,Accepted,Caladenia brownii,NA,231521
Caladenia bryceana,Orchidaceae,R.S.Rogers,kew-28472,Accepted,Caladenia bryceana subsp. bryceana,2912256,182278
Caladenia busselliana,Orchidaceae,Hopper & A.P.Br.,kew-222780,Accepted,Caladenia busselliana,2905825,182280
Caladenia caesarea,Orchidaceae,(Domin) M.A.Clem. & Hopper,kew-28475,Accepted,Caladenia caesarea subsp. maritima,2919112,182282
Caladenia cairnsiana,Orchidaceae,F.Muell.,kew-28476,Accepted,Caladenia cairnsiana,NA,90748
Caladenia cardiochila,Orchidaceae,Tate,kew-28481,Accepted,Caladenia tessellata,2900910,92495
Caladenia carnea,Orchidaceae,R.Br.,kew-28482,Accepted,Caladenia carnea,2894779,90774
Caladenia carnea sensu Willis (1970),Orchidaceae,R.Br.,kew-28482,Accepted,Caladenia carnea,2894779,90774
Caladenia catenata,Orchidaceae,(Sm.) Druce,kew-28499,Accepted,Caladenia carnea,2894779,90774
Caladenia chapmanii,Orchidaceae,Hopper & A.P.Br.,kew-222785,Accepted,Caladenia chapmanii,NA,123740
Caladenia christineae,Orchidaceae,Hopper & A.P.Br.,kew-222786,Accepted,Caladenia christineae,2911342,182284
Caladenia citrina,Orchidaceae,Hopper & A.P.Br.,kew-222787,Accepted,Caladenia citrina,NA,123741
Caladenia clarkiae,Orchidaceae,D.L.Jones,kew-28507,Accepted,Caladenia clarkiae,NA,117355
Caladenia clavigera,Orchidaceae,A.Cunn. ex Lindl.,kew-28508,Accepted,Caladenia clavigera,NA,90985
Caladenia cleistantha,Orchidaceae,D.L.Jones,kew-28510,Accepted,Caladenia cleistantha,NA,117358
Caladenia concinna,Orchidaceae,(Rupp) D.L.Jones & M.A.Clem.,kew-28513,Accepted,Caladenia amoena,2898730,147527
Caladenia concolor,Orchidaceae,Fitzg.,kew-28514,Accepted,Caladenia concolor,2916278,90994
Caladenia congesta,Orchidaceae,R.Br.,kew-28516,Accepted,Caladenia congesta,NA,91004
Caladenia corynephora,Orchidaceae,A.S.George,kew-28520,Accepted,Caladenia corynephora,NA,91032
Caladenia crebra,Orchidaceae,A.S.George,kew-28522,Accepted,Caladenia crebra,NA,91041
Caladenia cristata,Orchidaceae,R.S.Rogers,kew-28523,Accepted,Caladenia cristata,NA,91050
Caladenia cruscula,Orchidaceae,Hopper & A.P.Br.,kew-222789,Accepted,Caladenia cruscula,NA,231432
Caladenia cucullata,Orchidaceae,Fitzg.,kew-28525,Accepted,Caladenia cucullata,NA,91059
Caladenia curtisepala,Orchidaceae,D.L.Jones,kew-28527,Accepted,Caladenia curtisepala,NA,117364
Caladenia decora,Orchidaceae,Hopper & A.P.Br.,kew-222790,Accepted,Caladenia decora,NA,231529
Caladenia denticulata,Orchidaceae,Lindl.,kew-28532,Accepted,Caladenia denticulata,NA,91101
Caladenia dilatata,Orchidaceae,R.Br.,kew-28534,Accepted,Caladenia macroclavia,2892407,117373
Caladenia dimidia,Orchidaceae,Hopper & A.P.Br.,kew-222791,Accepted,Caladenia dimidia,NA,231407
Caladenia dimorpha,Orchidaceae,Fitzg.,kew-28541,Accepted,Caladenia dimorpha,NA,91157
Caladenia discoidea,Orchidaceae,Lindl.,kew-28543,Accepted,Caladenia discoidea,NA,91176
Caladenia dorrienii,Orchidaceae,Domin,kew-28544,Accepted,Caladenia dorrienii,2899754,91187
Caladenia doutchiae,Orchidaceae,O.H.Sarg.,kew-28545,Accepted,Caladenia doutchiae,NA,91198
Caladenia drakeoides,Orchidaceae,Hopper & A.P.Br.,kew-222792,Accepted,Caladenia drakeoides,2889254,172990
Caladenia drummondii,Orchidaceae,Benth.,kew-28546,Accepted,Caladenia drummondii,NA,91207
Caladenia dundasiae,Orchidaceae,Hopper & A.P.Br.,kew-222793,Accepted,Caladenia dundasiae,NA,231813
Caladenia elegans,Orchidaceae,Hopper & A.P.Br.,kew-222794,Accepted,Caladenia elegans,2892597,182285
Caladenia ensata,Orchidaceae,Nicholls,kew-28552,Accepted,Caladenia ensata,NA,91265
Caladenia ericksoniae,Orchidaceae,Nicholls,kew-28553,Accepted,Caladenia x ericksoniae,NA,122996
Caladenia erythrochila,Orchidaceae,Hopper & A.P.Br.,kew-222798,Accepted,Caladenia erythrochila,NA,231814
Caladenia evanescens,Orchidaceae,Hopper & A.P.Br.,kew-222799,Accepted,Caladenia evanescens,NA,173157
Caladenia excelsa,Orchidaceae,Hopper & A.P.Br.,kew-222800,Accepted,Caladenia excelsa,2886135,123013
Caladenia exilis,Orchidaceae,Hopper & A.P.Br.,kew-222801,Accepted,Caladenia exilis,NA,173158
Caladenia exstans,Orchidaceae,Hopper & A.P.Br.,kew-222806,Accepted,Caladenia exstans,NA,231537
Caladenia falcata,Orchidaceae,(Nicholls) M.A.Clem. & Hopper,kew-28555,Accepted,Caladenia falcata,NA,91288
Caladenia ferruginea,Orchidaceae,Nicholls,kew-28556,Accepted,Caladenia ferruginea,NA,91294
