Site,Season,Species,Plant,Time,A,E,gs,WP,WP_pre_dawn,WP_midday,Ves Count,Phenology,Diameter,Area,Dry weight,SLA,Height max (m),Ks (kg m-1 MPa-1 s-1),KL (kg m-1 MPa-1 s-1),Kh,WP min predawn (MPa),Huber value,Max vessel length (cm),Av. conduit diameter (um),dh mean hydraulic diameter (um),wood density (g/cm3),context
1,Wet,Brachychiton australis,3,15:00:00,9.078,1.734,0.04,-1.633333333,NA,-1.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Brachychiton australis,3,17:00:00,5.07,2.488,0.148,-1.05,NA,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Brachychiton australis,4,9:00:00,7.758,3.078,0.2,-1.833333333,NA,-1.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Brachychiton australis,4,11:00:00,7.16,4.554,0.276,-2.283333333,NA,-2.283333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Brachychiton australis,4,13:00:00,5.112,5.228,0.196,-1.95,NA,-1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Brachychiton australis,4,15:00:00,2.404,2.424,0.044,-2.2,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Brachychiton australis,4,17:00:00,3.266,1.746,0.052,-2.25,NA,-2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Cochlospermum gillivraei,1,9:00:00,6.618,3.088,0.272,-1.166666667,NA,-1.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Cochlospermum gillivraei,1,11:00:00,6.426,4.678,0.294,-1.683333333,NA,-1.683333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Cochlospermum gillivraei,1,13:00:00,5.888,3.852,0.18,-1.5,NA,-1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Cochlospermum gillivraei,1,15:00:00,5.446,3,0.128,-1.466666667,NA,-1.466666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Cochlospermum gillivraei,1,17:00:00,2.904,1.172,0.066,-1.066666667,NA,-1.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Cochlospermum gillivraei,2,9:00:00,5.218,1.79,0.106,-1.25,NA,-1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Cochlospermum gillivraei,2,11:00:00,5.74,3.27,0.148,-1.533333333,NA,-1.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Cochlospermum gillivraei,2,13:00:00,5.918,4.77,0.252,-1.45,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Cochlospermum gillivraei,2,15:00:00,6.48,3.212,0.15,-1.45,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Cochlospermum gillivraei,2,17:00:00,6.942,2.856,0.132,-1.183333333,NA,-1.183333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Cochlospermum gillivraei,3,9:00:00,7.782,8.818,0.663333333,-1.375,NA,-1.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Cochlospermum gillivraei,3,11:00:00,8.4,8.615,0.496666667,-1.416666667,NA,-1.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Cochlospermum gillivraei,3,13:00:00,6.166,5.79,0.356,-1.383333333,NA,-1.383333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Cochlospermum gillivraei,3,15:00:00,3.25,3.132,0.078,-1.45,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Cochlospermum gillivraei,3,17:00:00,3.616,1.764,0.052,-1.45,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Cochlospermum gillivraei,4,9:00:00,8.472,6.646,0.956,-0.75,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Cochlospermum gillivraei,4,11:00:00,6.41,6.874,0.424,-1.016666667,NA,-1.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Cochlospermum gillivraei,4,13:00:00,4.08,4.01,0.116,-1.083333333,NA,-1.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Cochlospermum gillivraei,4,15:00:00,4,1.17,0.018,-1.066666667,NA,-1.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Cochlospermum gillivraei,4,17:00:00,2.956,1.902,0.058,-0.9,NA,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet/Dry,Alphitonia excelsa,1,9:00:00,7.626,2.728,0.164,-2.466666667,NA,-2.466666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Alphitonia excelsa,1,11:00:00,7.298,4.05,0.206,-2.283333333,NA,-2.283333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Alphitonia excelsa,1,13:00:00,5.006,4.176,0.182,-2.2,NA,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Alphitonia excelsa,1,15:00:00,5.084,2.922,0.122,-2.05,NA,-2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Alphitonia excelsa,1,17:00:00,1.908,0.806,0.07,-1.733333333,NA,-1.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Alphitonia excelsa,2,9:00:00,7.44,3.128,0.144,-2.75,NA,-2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Alphitonia excelsa,2,11:00:00,6.63,3.422,0.132,-2.233333333,NA,-2.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Alphitonia excelsa,2,13:00:00,5.718,3.234,0.106,-2.266666667,NA,-2.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Alphitonia excelsa,2,15:00:00,5.872,2.846,0.104,-2.283333333,NA,-2.283333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
