ID,Ref,AusTraits_key,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments,site_name,soil type,lat/lon source,veg_stratum,MAP (mm),elevation (m),description,doi,site_name_complete
250,13,Landsberg_1990,149.2,-35.3,NA,NA,241,NA,0.0145,NA,NA,46.9,D,Eucalyptus blakelyi,Australia,NA,"3 Oct 82, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
251,13,Landsberg_1990,149.2,-35.3,NA,NA,211,NA,0.0158,NA,NA,48.3,D,Eucalyptus blakelyi,Australia,NA,"3 Oct 82, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
252,13,Landsberg_1990,149.2,-35.3,NA,NA,226,NA,0.0153,NA,NA,49.7,D,Eucalyptus blakelyi,Australia,NA,"2 Nov 82, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
253,13,Landsberg_1990,149.2,-35.3,NA,NA,177,NA,0.0185,NA,NA,54,D,Eucalyptus blakelyi,Australia,NA,"2 Nov 82, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
254,13,Landsberg_1990,149.2,-35.3,NA,NA,175,NA,0.0171,NA,NA,56.4,D,Eucalyptus blakelyi,Australia,NA,"2 Dec 82, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
255,13,Landsberg_1990,149.2,-35.3,NA,NA,144,NA,0.0202,NA,NA,59.8,D,Eucalyptus blakelyi,Australia,NA,"2 Dec 82, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
256,13,Landsberg_1990,149.2,-35.3,NA,NA,190,NA,0.0147,NA,NA,56,D,Eucalyptus blakelyi,Australia,NA,"27 Dec 82, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
257,13,Landsberg_1990,149.2,-35.3,NA,NA,164,NA,0.0176,NA,NA,57.4,D,Eucalyptus blakelyi,Australia,NA,"27 Dec 82, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
258,13,Landsberg_1990,149.2,-35.3,NA,NA,210,NA,0.0144,NA,NA,53.8,D,Eucalyptus blakelyi,Australia,NA,"25 Jan 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
259,13,Landsberg_1990,149.2,-35.3,NA,NA,162,NA,0.0165,NA,NA,58,D,Eucalyptus blakelyi,Australia,NA,"25 Jan 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
260,13,Landsberg_1990,149.2,-35.3,NA,NA,221,NA,0.0143,NA,NA,50,D,Eucalyptus blakelyi,Australia,NA,"24 Feb 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
261,13,Landsberg_1990,149.2,-35.3,NA,NA,182,NA,0.016,NA,NA,51.4,D,Eucalyptus blakelyi,Australia,NA,"24 Feb 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
262,13,Landsberg_1990,149.2,-35.3,NA,NA,217,NA,0.0147,NA,NA,50.1,D,Eucalyptus blakelyi,Australia,NA,"9 Mar 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
263,13,Landsberg_1990,149.2,-35.3,NA,NA,179,NA,0.0164,NA,NA,52.6,D,Eucalyptus blakelyi,Australia,NA,"9 Mar 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
264,13,Landsberg_1990,149.2,-35.3,NA,NA,227,NA,0.0159,NA,NA,51,D,Eucalyptus blakelyi,Australia,NA,"7 Apr 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
265,13,Landsberg_1990,149.2,-35.3,NA,NA,186,NA,0.0173,NA,NA,54,D,Eucalyptus blakelyi,Australia,NA,"7 Apr 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
266,13,Landsberg_1990,149.2,-35.3,NA,NA,222,NA,0.0163,NA,NA,51,D,Eucalyptus blakelyi,Australia,NA,"4 May 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
267,13,Landsberg_1990,149.2,-35.3,NA,NA,191,NA,0.0185,NA,NA,52.2,D,Eucalyptus blakelyi,Australia,NA,"4 May 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
268,13,Landsberg_1990,149.2,-35.3,NA,NA,213,NA,0.0173,NA,NA,52.8,D,Eucalyptus blakelyi,Australia,NA,"14 Jun 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
269,13,Landsberg_1990,149.2,-35.3,NA,NA,195,NA,0.019,NA,NA,53.1,D,Eucalyptus blakelyi,Australia,NA,"14 Jun 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
270,13,Landsberg_1990,149.2,-35.3,NA,NA,234,NA,0.0178,NA,NA,48.9,D,Eucalyptus blakelyi,Australia,NA,"25 Jul 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
271,13,Landsberg_1990,149.2,-35.3,NA,NA,202,NA,0.0192,NA,NA,50.5,D,Eucalyptus blakelyi,Australia,NA,"25 Jul 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
272,13,Landsberg_1990,149.2,-35.3,NA,NA,225,NA,0.0176,NA,NA,51.8,D,Eucalyptus blakelyi,Australia,NA,"7 Sep 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
273,13,Landsberg_1990,149.2,-35.3,NA,NA,189,NA,0.0186,NA,NA,53.8,D,Eucalyptus blakelyi,Australia,NA,"7 Sep 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
274,13,Landsberg_1990,149.2,-35.3,NA,NA,166,NA,0.0218,NA,NA,60.2,D,Eucalyptus blakelyi,Australia,NA,"12 Nov 83, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
275,13,Landsberg_1990,149.2,-35.3,NA,NA,126,NA,0.0244,NA,NA,62.8,D,Eucalyptus blakelyi,Australia,NA,"12 Nov 83, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
276,13,Landsberg_1990,149.2,-35.3,NA,NA,150,NA,0.0175,NA,NA,61.2,D,Eucalyptus blakelyi,Australia,NA,"5 Jan 84, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
277,13,Landsberg_1990,149.2,-35.3,NA,NA,117,NA,0.0189,NA,NA,64,D,Eucalyptus blakelyi,Australia,NA,"5 Jan 84, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
278,13,Landsberg_1990,149.2,-35.3,NA,NA,175,NA,0.0159,NA,NA,57.5,D,Eucalyptus blakelyi,Australia,NA,"1 Mar 84, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
279,13,Landsberg_1990,149.2,-35.3,NA,NA,165,NA,0.0159,NA,NA,55.1,D,Eucalyptus blakelyi,Australia,NA,"1 Mar 84, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
280,13,Landsberg_1990,149.2,-35.3,NA,NA,193,NA,0.016,NA,NA,53.7,D,Eucalyptus blakelyi,Australia,NA,"11 May 84, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
281,13,Landsberg_1990,149.2,-35.3,NA,NA,167,NA,0.0162,NA,NA,54.7,D,Eucalyptus blakelyi,Australia,NA,"11 May 84, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
282,13,Landsberg_1990,149.2,-35.3,NA,NA,205,NA,0.0143,NA,NA,52.3,D,Eucalyptus blakelyi,Australia,NA,"3 Aug 84, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
283,13,Landsberg_1990,149.2,-35.3,NA,NA,179,NA,0.0155,NA,NA,52.6,D,Eucalyptus blakelyi,Australia,NA,"3 Aug 84, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
284,13,Landsberg_1990,149.2,-35.3,NA,NA,212,NA,0.012,NA,NA,49.9,D,Eucalyptus blakelyi,Australia,NA,"24 Sep 84, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
285,13,Landsberg_1990,149.2,-35.3,NA,NA,186,NA,0.0119,NA,NA,50.9,D,Eucalyptus blakelyi,Australia,NA,"24 Sep 84, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
286,13,Landsberg_1990,149.2,-35.3,NA,NA,198,NA,0.0102,NA,NA,53.5,D,Eucalyptus blakelyi,Australia,NA,"8 Jan 85, H""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
287,13,Landsberg_1990,149.2,-35.3,NA,NA,167,NA,0.0123,NA,NA,55.6,D,Eucalyptus blakelyi,Australia,NA,"8 Jan 85, D""","Hall, ACT",NA,author,NA,NA,NA,pastoral property,10.1111/j.1442-9993.1990.tb01023.x,"Landsberg_1990 Hall, ACT"
