Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,SeedDM,cotsExp,cotsEH,cotsFR,LEE,StemDensitys1,LDMs1,LDVs1,LAs1,LtLeafs1,LMAs1,LSleafs1,LSSs1,StemDensitys2,LDMs2,LDVs2,LAs2,LtLeafs2,LMAs2,LSleafs2,LSSs2
Gmelina fasciculiflora,C,34,4,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,668.181,1,1,1,2.1,0.42,0.32,0.4,29.29,0.09,37.49,1.31,13.97,0.47,0.42,0.57,27.14,0.21,119.93,5.35,25.36
Gossia dallachiana,S,16,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,44,1,1,1,1.84,0.64,0.31,0.32,24.87,0.18,55.73,2.3,13.17,0.81,0.34,0.36,92.09,0.22,80.35,2.92,13.09
Guioa acutifolia,T,22,2,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,32.5,1,0,0,2.8,0.61,0.41,0.4,3.82,0.12,53.35,1.54,12.46,0.61,0.47,0.56,27.64,0.19,101.04,2.38,12.55
Guioa lasioneura,S,17,2,6.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,49,1,1,1,2.02,0.62,0.37,0.4,8.8,0.13,51.05,1.65,12.88,0.54,0.4,0.47,24.27,0.16,75.75,1.73,10.73
Gymnostachys anceps,H,1,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,228.6,0,0,0,1.9,,,,,,,,,,,,180,,,,
Haplostichanthus rufescens,S,12,3,4.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,119.114,0,0,0,1.15,0.43,0.32,0.29,11.26,0.14,41.67,1.72,12.02,0.62,0.34,0.33,32.46,0.16,54.2,1.86,11.41
Harpullia frutescens,S,2.5,2,4,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,78.31,0,0,0,1.4,0.51,0.31,0.34,20.04,0.12,39.98,1.11,9.43,0.63,0.31,0.31,31.38,0.13,41.38,1.18,8.93
Harpullia rhyticarpa,S,14,2,4.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,309.142,0,0,0,1.3,0.5,0.27,0.32,19.64,0.14,43.49,1.23,9.08,0.74,0.36,0.39,44.1,0.17,65.24,1.62,9.57
Hedycarya loxocarya,T,23,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,35,1,1,1,2.36,0.37,0.18,0.18,33.37,0.2,34.61,1.57,8.02,0.59,0.24,0.22,55.33,0.3,64.49,2.56,8.64
Helicia nortoniana,S,14,2,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,24.89,1,1,1,2.1,0.51,0.35,0.39,33.21,0.13,49.61,1.75,13.63,0.58,0.42,0.5,34.73,0.19,94.16,2.25,12.44
Hibbertia scandens,L,22,2,7,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,7.8199,1,1,1,2.8,,,,,,,,,,,,9.8,,,,
Hippocratea barbata,L,29,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,41.498,0,0,0,1.72,0.55,0.25,0.25,18.19,0.17,42.74,2.32,13.48,,,,46.2,,,,
Hoya pottsii,V,16,2,6.5,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,0.896,1,1,1,3,,,,,,,,,,,,126,,,,
Hylandia dockrillii,C,30,4,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,469.959,0,1,0,2.4,,,,,,,,,0.48,0.37,0.47,102.11,0.28,132.02,11.18,40.53
Hymenosporum flavum,T,26,3,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,5.53,1,1,1,2.2,,,,,,,,,0.61,,,20,,,,
Hypserpa decumbens,L,41,2,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,19.738,1,1,1,1.21,0.56,0.32,0.31,49.73,0.12,36.92,0.89,7.49,,,,20.2,,,,
Ichnocarpus frutescens,V,29,1,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,33.86,0,0,0,2.18,0.49,0.24,0.22,9.3,0.17,36.73,1.4,8.34,,,,40.95,,,,
Irvingbaileya australis,T,23,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,220,1,1,1,2.3,,,,,,,,,0.43,0.33,0.33,34.74,0.23,75.37,2.23,9.78
Lantana camara,V,15,1,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,12.3375,1,1,1,3.4,0.17,0.16,0.17,17.43,0.12,19.62,0.57,4.95,0.45,0.22,0.27,16.17,0.13,34.37,0.92,7.12
Levieria acuminata,S,14,2,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,21.612,1,1,1,2.8,0.25,0.17,0.16,19.02,0.18,28.55,1.07,6.22,0.37,0.2,0.18,28.47,0.23,40.79,1.51,6.47
Linospadix minor,S,2,2,4.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,31.844,0,0,0,1.63,0.33,0.28,0.33,31.1,0.13,43.35,2.95,22.6,0.82,0.31,0.37,55.67,0.14,51.67,5.43,39.01
Litsea bindoniana,C,30,3,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,290,0,0,0,2.1,0.36,0.26,0.37,35.97,0.12,44.41,1.46,12.06,0.43,0.39,0.63,85.38,0.19,120.88,4.66,24.38
Litsea leefeana,C,36,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,377.3735,0,0,0,1.6,0.34,0.28,0.34,33.9,0.12,41.59,1.3,10.7,0.46,0.46,0.45,45.1,0.27,115.44,2.39,13.34
Macaranga involucrata var. mallotoides,S,12,1,7,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,33,1,1,1,3.2,0.38,0.3,0.26,23.62,0.13,34.17,1.04,8.01,0.58,0.34,0.45,60.68,0.14,62.59,0.95,6.81
Macaranga tanarius,S,15,1,7,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,30.422,1,1,1,4.2,0.37,0.29,0.39,25.35,0.11,41.07,0.61,5.77,0.44,0.35,0.59,208.28,0.15,86.84,1.17,8.04
Mackinlaya confusa,S,2.6,3,4,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,42.402,1,1,1,2.26,0.41,0.14,0.16,25.62,0.23,35.34,2.36,10.46,0.72,0.17,0.21,42.73,0.21,43.82,2.14,10.15
Maclura cochinchinensis,L,22,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,9,1,1,1,2.52,0.46,0.3,0.28,0.77,0.1,29.67,0.97,9.21,,,,5,,,,
Melicope bonwickii,T,27,2,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,3.159,1,1,1,2.4,,,,,,,,,0.4,0.36,0.49,108.66,0.24,116.56,1.9,8.05
Melicope elleryana,T,26,1,7,Butterflies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,2.455,1,1,1,2.8,0.28,0.17,0.16,16.53,0.19,30.62,1.63,8.43,0.47,0.33,0.37,46.16,0.26,94.55,1.49,5.8
Melicope xanthoxyloides,S,16,1,7,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1.524,1,1,1,2.32,0.38,0.18,0.17,18.07,0.14,23.46,0.87,6.27,0.43,0.22,0.28,103.38,0.17,46.95,0.9,5.38
Melodinus australis,L,42,2,7,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,51.5,1,1,1,1.43,0.48,0.26,0.21,21.25,0.23,48.81,1.96,8.5,,,,79.8,,,,
Melodinus bacellianus,L,37,2,7,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,46.286,0,0,0,2,,,,,,,,,,,,,,,,
Melodorum topazensis,L,41,3,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,70.669,0,0,0,2.03,0.5,0.39,0.32,25.1,0.12,39.18,1.54,12.91,,,,,,,,
Motherwellia haplosciadea,V,40,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,30.27,1,1,1,2.6,,,,,,,,,,,,,,,,
Mucuna gigantea,L,42,2,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,WL,Wind,W,3841,0,0,0,2.62,,,,,,,,,,,,74.4,,,,
Myristica globosa ssp. muelleri,C,38,3,6.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,1488.9125,0,0,0,1.64,0.42,0.29,0.27,34.68,0.23,61.1,3.79,16.51,0.5,0.36,0.38,68.03,0.24,91.23,2.73,11.42
Neisosperma poweri,S,10,3,5,Butterflies,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,1027.8365,1,1,1,1.86,0.37,0.16,0.14,25.58,0.25,35,1.79,7.19,0.57,0.19,0.17,50.66,0.27,46.1,1.56,5.76
Neolitsea dealbata,T,22,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,160.6387,0,0,0,1.62,0.45,0.36,0.37,33.37,0.12,45.06,2.54,20.86,0.5,0.45,0.55,60.95,0.15,83.59,3.08,20.04
Neosepicaea jucunda,L,44,2,7,Moths,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,20,1,1,1,2.2,0.34,0.22,0.24,32.15,0.16,36.83,2.03,13.05,,,,117.3,,,,
Niemeyera prunifera,C,34,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,8800,0,0,0,1.42,0.52,0.36,0.47,21.45,0.13,58.98,2.71,21.45,0.66,0.41,0.47,33.35,0.16,76.45,5.86,36.05
Opisthiolepis heterophylla,C,36,4,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,180,1,1,1,2.09,0.45,0.24,0.25,24.73,0.2,49.77,1.67,8.47,0.5,0.38,0.46,49.24,0.29,135.66,6.3,21.47
Oplismenus undulatifolius var. mollis,H,0.4,1,4.5,Wind,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,0.7,1,1,1,3.02,0.28,0.24,0.19,2.78,0.11,20.76,1.14,10.59,,,,3.27,,,,
Palmeria scandens,L,41,2,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,25.2091,1,1,1,2.76,0.33,0.2,0.23,35.67,0.15,33.57,0.98,6.77,,,,20,,,,
Pandanus monticola,S,7,2,5.5,Flies,"Fleshy (berry, pome, pepo, etc.)",Multi,CHr,Nonflying,CHR,17,0,0,0,1.68,0.57,0.25,0.28,61.15,0.2,55.1,5.72,28.7,0.33,0.35,0.29,779.54,0.3,86.36,7.79,25.75
Pandorea pandorana,L,43,2,7,Moths,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,4.6749,1,1,1,2.37,0.44,0.24,0.2,5.05,0.1,20.73,0.65,6.29,,,,54.6,,,,
Pararistolochia australopithecurus,V,28,2,5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,51.557,0,1,0,1.58,0.25,0.24,0.3,31.66,0.11,31.7,1.35,12.83,,,,,,,,
Parsonsia densivestita,V,33,2,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,56.146,1,1,1,3.22,0.36,0.15,0.15,10.34,0.12,18.76,0.68,5.48,,,,,,,,
Pilidiostigma tetramerum,S,5,3,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,58.549,0,0,0,2,,,,,,,,,0.81,0.39,0.45,8.41,0.17,74.83,2.16,13.09
Pilidiostigma tropicum,T,26,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivLs,Flying,DivLs,50.686,0,0,0,1.66,0.55,0.24,0.2,3.96,0.14,29.38,1.22,8.31,0.63,0.32,0.29,17.77,0.2,58.05,1.39,7.06
Piper caninum,V,34,2,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,33,1,1,1,2.76,0.15,0.14,0.16,17.17,0.17,27.19,1.09,6.26,,,,108,,,,
Piper hederaceum var. hederaceum,L,41,3,6.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,33.3133,1,1,1,2.54,0.18,0.12,0.13,21.74,0.2,26.91,1.24,6.22,,,,40,,,,
Pittosporum rubiginosum,S,2.8,2,4.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,32.4079,1,1,1,2.22,0.51,0.28,0.31,14.85,0.09,27.6,0.82,9.34,0.72,0.26,0.32,32.29,0.1,33.98,0.85,8.13
Polyalthia michaelii,C,28,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,7805,0,0,0,2.32,0.38,0.32,0.31,18.57,0.14,44.86,1.54,10.74,0.53,0.42,0.47,45.45,0.2,92.44,2.67,13.89
Polyosma hirsuta,S,16,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,142.779,1,1,1,2.69,0.31,0.2,0.27,20.85,0.13,34.56,1.15,8.96,0.63,0.29,0.36,31.1,0.14,48.48,1.59,11.63
Polyscias australiana,S,18,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,8.8447,1,1,1,2.37,0.33,0.2,0.2,50.52,0.16,33.74,1.59,10,0.49,0.3,0.32,72.22,0.19,59.29,1.77,8.92
Polyscias elegans,T,26,1,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,5.965,1,1,1,4.18,0.28,0.24,0.25,8.74,0.16,38.05,0.81,5.18,0.41,0.38,0.46,38,0.22,102.65,1.95,8.32
Polyscias mollis,S,7,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1.5,1,1,1,3.56,0.2,0.14,0.15,41.49,0.13,19.48,0.68,5.26,0.41,0.22,0.26,80.49,0.15,39.22,0.97,6.25
Pothos longipes,V,22,2,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,118.227,0,0,0,1.95,,,,,,,,,,,,13.5,,,,
Planchonella myrsinodendron,C,32,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,477.96,1,1,1,1.82,0.48,0.27,0.35,28.26,0.14,48.24,2.25,16.47,0.65,0.39,0.56,61.46,0.19,108.97,5.78,29.97
Pouteria xerocarpa,T,21,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,115.156,1,1,1,1.49,0.46,0.33,0.35,26.89,0.16,54.54,2.51,15.94,0.58,0.4,0.42,32.57,0.19,77.98,5.61,30.08
Prunus turneriana,C,30,3,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,2798.5312,0,0,0,2.21,0.4,0.32,0.32,33.69,0.13,40.22,1.28,10.21,0.46,0.4,0.48,85.66,0.2,98.11,2.29,11.44
Pseuduvaria villosa,S,5,3,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,204.305,0,0,0,2.7,0.36,0.26,0.26,22.53,0.12,31.98,1.08,8.83,0.58,0.27,0.3,86.16,0.13,38.93,1.14,8.85
Psidium cattleyanum,S,10,1,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,4.259,1,1,1,2.1,0.67,0.26,0.26,6.05,0.17,45.04,1.54,9.01,0.71,0.36,0.38,21.62,0.33,126.65,5.57,17
Psidium guajava,S,12,1,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,12.62,1,1,1,2.46,0.53,0.3,0.34,14.26,0.16,53.24,1.32,8.54,0.6,0.35,0.44,43.19,0.23,101.83,2.51,10.73
Psychotria sp. (Mt Lewis V.K.Moriarty 2445),S,3,3,2.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,11.24,1,1,1,1.19,0.41,0.16,0.18,17.01,0.18,30.9,1.3,7.38,0.68,0.2,0.19,31.85,0.23,43.96,1.77,7.75
Psychotria sp. (Utchee Creek H.Flecker NQNC5313),S,3,3,3.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrS,Avian,Flying,AvFor,23.09,1,1,1,2.26,0.31,0.18,0.2,41.85,0.31,60.69,3.51,11.43,0.53,0.22,0.27,133.75,0.32,86.55,5.6,17.59
Pullea stutzeri,C,31,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,6,1,1,1,2.6,0.45,0.28,0.34,19.48,0.12,39.37,1.17,9.93,0.69,0.41,0.51,57.14,0.26,134.32,3.32,12.65
Randia tuberculosa,S,2.5,2,4.5,Moths,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,8.3435,1,1,1,1.36,0.63,0.25,0.24,6.68,0.21,49.48,1.59,7.63,0.84,0.29,0.3,16.67,0.22,64.71,1.65,7.54
Rhaphidophora australasica,V,29,2,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,0.18,0,0,0,3.4,,,,,,,,,,,,450,,,,
Rhodamnia sessiliflora,S,16,1,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivLs,Flying,DivLs,8.813,1,1,1,1.78,0.61,0.35,0.35,16.98,0.12,43.8,1.55,12.67,0.84,0.46,0.51,30.42,0.2,100.48,2.16,10.99
Rhysotoechia robertsonii,T,20,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,CLFor,Flying,AvFor,295.845,0,0,0,1.36,0.71,0.3,0.37,37.31,0.13,48.88,1.7,12.85,0.7,0.33,0.44,35.73,0.19,85.38,3.81,19.69
Ripogonum album,V,26,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,102.929,0,0,0,2.11,0.45,0.21,0.21,31.8,0.19,40.26,1.98,10.48,,,,20,,,,
Rockinghamia angustifolia,T,20,2,6,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,94.302,1,1,1,2.14,0.42,0.35,0.41,22.18,0.1,40.78,2.16,21.47,0.66,0.43,0.59,68.58,0.13,77.91,2.57,19.14
Rourea brachyandra,L,40,2,6.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,71.674,0,0,0,2.47,0.41,0.28,0.22,13.2,0.13,27.92,1.24,9.51,,,,50.7,,,,
Rubus alceifolius,V,4,1,6,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,DivLs,Flying,DivLs,0.965,1,1,1,3.07,0.28,0.22,0.3,36.22,0.08,25.1,0.54,6.43,0.35,0.29,0.48,175.71,0.09,43.92,0.66,7.17
Sageretia hamosa,L,39,2,6.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,24.54,1,1,1,2.9,,,,,,,,,,,,70.2,,,,
Salacia disepala,L,35,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,1020.024,0,0,0,2.17,0.56,0.34,0.37,35.62,0.16,58.18,2.21,14.27,,,,96,,,,
Sarcopteryx martyana,T,22,2,6.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,56.566,0,0,0,1.62,0.67,0.33,0.33,6.27,0.12,38,2.32,20.16,0.56,0.38,0.46,35.08,0.14,65.77,2.1,14.59
Siphonodon membranaceus,C,28,4,7,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,CHr,Nonflying,CHR,56,1,1,1,2.27,0.47,0.3,0.34,24.51,0.16,55.89,1.92,11.66,0.72,0.4,0.48,29.75,0.27,130.75,4.92,18.23
Sloanea australis ssp. parviflora,T,27,3,6.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,46.873,1,1,1,2.43,0.45,0.34,0.37,22.82,0.13,46.68,1.5,11.86,0.51,0.38,0.43,78.87,0.21,90.81,3.26,14.98
Sloanea langii,C,30,3,6.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,36.811,1,1,1,1.74,0.69,0.41,0.46,47.57,0.1,45.95,0.97,9.9,0.59,0.52,0.7,119.81,0.21,143,6.05,29.99
Sloanea macbrydei,C,31,3,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,204.958,1,1,1,2.02,0.53,0.34,0.36,31.98,0.12,43.97,1.22,10.11,0.5,0.44,0.57,25.32,0.23,129.35,6.52,28.02
Smilax aculeatissima,V,27,1,5.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,14.719,0,0,0,1.92,0.41,0.19,0.19,25.01,0.21,39.69,1.94,9.2,,,,20,,,,
Stachytarpheta cayennensis,H,2,1,5,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,0.895,1,1,1,3.4,,,,,,,,,,,,,,,,
Stenocarpus reticulatus,T,26,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,156.61,1,1,1,1.2,,,,,,,,,0.88,,,,,,,
Stephania japonica,V,29,2,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,18.7475,1,1,1,2.85,0.3,0.17,0.18,16.92,0.12,22.04,0.79,6.51,,,,19.8,,,,
Symplocos cochinchinensis var. pilosiuscula,T,21,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,35.053,1,1,1,1.89,0.46,0.28,0.3,16.93,0.21,62.89,3.05,14.73,0.5,0.36,0.41,41.46,0.26,107.18,7.24,27.89
Symplocos hayesii,S,2.4,3,4,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,63.176,1,1,1,1.53,0.49,,,,,32,,,0.68,0.27,0.31,24.61,0.19,60.34,2.36,12.24
Symplocos paucistaminea,S,16,3,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,28.467,1,1,1,2.16,0.36,0.24,0.28,37.93,0.14,38.29,1.32,9.54,0.45,0.31,0.43,48.8,0.15,64.66,1.77,11.8
Synima macrophylla,S,11,2,5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,Avian,Flying,AvFor,425,0,0,0,2.01,0.5,0.35,0.37,10.77,0.11,40.02,1.4,12.78,0.81,0.34,0.44,87.36,0.17,72.98,2.36,14.04
Syzygium cormiflorum,T,23,3,5.5,Bat,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,6075.6639,0,0,0,1.72,0.48,0.36,0.51,43.72,0.13,66.58,1.88,14.07,0.71,0.46,0.6,44.04,0.23,121.4,6.22,28.45
Syzygium cryptophlebium,S,17,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,85.5,0,0,0,1.89,0.56,0.37,0.29,9.85,0.17,48.6,2.01,11.56,0.68,0.45,0.38,27.52,0.27,101.42,5.4,20.21
Syzygium johnsonii,C,28,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,98.016,0,0,0,2.06,0.52,0.23,0.21,16.14,0.26,53.54,2.25,8.65,0.72,0.35,0.41,21.54,0.32,130.02,6.84,21.79
Syzygium sayeri,C,38,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,1122.6606,0,0,0,2.16,0.42,0.25,0.25,20.63,0.21,52.05,2.14,10.32,0.68,0.31,0.34,54.83,0.26,88.28,2.53,9.85
Tabernaemontana pandacaqui,S,2,2,3.5,Butterflies,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,8.414,1,1,1,1.68,0.42,0.15,0.14,11.38,0.17,23.99,1.01,5.94,0.65,0.19,0.2,24.32,0.18,36.04,1.28,7.27
Ternstroemia cherryi,S,18,3,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,471.8185,1,1,1,2.64,0.3,0.23,0.22,13.62,0.19,40.19,2.23,12.06,0.58,0.34,0.29,44.57,0.37,106.73,4.97,13.65
Tetracera nordtiana,L,28,2,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,12,1,1,1,2.11,0.42,0.28,0.3,28.35,0.15,45.06,1.88,12.6,,,,36,,,,
Tetrastigma nitens,L,44,2,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,58.83,1,1,1,3.06,0.23,0.11,0.13,28.25,0.2,25.6,1.13,5.68,,,,20.42,,,,
Steganthera laxiflora ssp. laxiflora,T,27,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,185.972,1,1,1,2.38,0.34,0.23,0.28,27.04,0.12,33.31,0.96,7.99,0.5,0.32,0.41,40.15,0.15,60.47,1.43,9.9
Toechima erythrocarpum,T,24,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,173.9415,0,0,0,1.08,0.58,0.26,0.29,8.95,0.13,36.81,1.21,9.66,0.68,0.34,0.44,90.38,0.18,80.85,1.52,8.35
Wilkiea cordata,S,3.5,3,4.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,112.168,1,1,1,1.69,0.6,0.26,0.27,31.75,0.18,47.29,2.2,12.51,0.68,0.27,0.33,69.07,0.19,61.27,4.53,24.57
