Species,StrataBinary,Site,SeedDM,seed_mass_to_use,seed_mass_duplicate,taxon_name
Psychotria sp. (Utchee Creek H.Flecker NQNC5313),Stratum_1_seedling,QRS,23.09,NA,Duplicate of Falster_2005_1_09,Psychotria sp. Utchee Creek (H.Flecker NQNC5313)
Pullea stutzeri,Stratum_1_seedling,QRS,6,NA,Duplicate of Kew_2019_1_02599,Pullea stutzeri
Randia tuberculosa,Stratum_1_seedling,QRS,5.7,NA,Duplicate of Grubb_1996_049,Randia tuberculosa
Randia tuberculosa,Stratum_1_seedling,QRS,10.987,10.987,NA,NA
Rhaphidophora australasica,Stratum_1_seedling,QRS,0.18,NA,Duplicate of Kew_2019_1_00590,Rhaphidophora australasica
Rhodamnia sessiliflora,Stratum_1_seedling,QRS,8.813,8.813,NA,NA
Rhysotoechia robertsonii,Stratum_1_seedling,QRS,271.69,NA,Duplicate of Kew_2019_1_13130,Rhysotoechia robertsonii
Rhysotoechia robertsonii,Stratum_1_seedling,QRS,320,NA,Duplicate of Kew_2019_1_13131,Rhysotoechia robertsonii
Ripogonum album,Stratum_1_seedling,QRS,102.929,102.929,NA,NA
Rockinghamia angustifolia,Stratum_1_seedling,QRS,94.302,94.302,NA,NA
Rourea brachyandra,Stratum_1_seedling,QRS,71.674,71.674,NA,NA
Rubus alceifolius,Stratum_1_seedling,QRS,1.08,1.08,NA,NA
Rubus alceifolius,Stratum_1_seedling,QRS,0.85,0.85,NA,NA
Sageretia hamosa,Stratum_1_seedling,QRS,24.54,24.54,NA,NA
Salacia disepala,Stratum_1_seedling,QRS,1020.024,1020.024,NA,NA
Sarcopteryx martyana,Stratum_1_seedling,QRS,56.566,56.566,NA,NA
Siphonodon membranaceus,Stratum_1_seedling,QRS,56,NA,Duplicate of Grubb_1996_029,Siphonodon membranaceus
Sloanea australis ssp. parviflora,Stratum_1_seedling,QRS,46.873,46.873,NA,NA
Sloanea langii,Stratum_1_seedling,QRS,36.811,36.811,NA,NA
Sloanea macbrydei,Stratum_1_seedling,QRS,130,NA,Duplicate of Kew_2019_1_03450,Sloanea macbrydei
Sloanea macbrydei,Stratum_1_seedling,QRS,279.9159817,279.9159817,NA,NA
Smilax aculeatissima,Stratum_1_seedling,QRS,14.719,14.719,NA,NA
Stachytarpheta cayennensis,Stratum_1_seedling,QRS,0.895,0.895,NA,NA
Stenocarpus reticulatus,Stratum_1_seedling,QRS,156.61,156.61,NA,NA
Stephania japonica,Stratum_1_seedling,QRS,14.042,NA,Duplicate of Kew_2019_1_07429,Stephania japonica
Stephania japonica,Stratum_1_seedling,QRS,18.581,NA,Duplicate of Leishman_1993_233,Stephania japonica
Stephania japonica,Stratum_1_seedling,QRS,23.6195,23.6195,NA,NA
Symplocos cochinchinensis var. pilosiuscula,Stratum_1_seedling,QRS,35.053,35.053,NA,NA
Symplocos hayesii,Stratum_1_seedling,QRS,63.176,63.176,NA,NA
Symplocos paucistaminea,Stratum_1_seedling,QRS,28.467,28.467,NA,NA
Synima macrophylla,Stratum_1_seedling,QRS,280,NA,Duplicate of Kew_2019_1_13136,Synima macrophylla
Synima macrophylla,Stratum_1_seedling,QRS,570,570,NA,NA
Syzygium cormiflorum,Stratum_1_seedling,QRS,7320.1886,7320.1886,NA,NA
Syzygium cormiflorum,Stratum_1_seedling,QRS,8614.7962,8614.7962,NA,NA
Syzygium cormiflorum,Stratum_1_seedling,QRS,2292.007,2292.007,NA,NA
Syzygium cryptophlebium,Stratum_1_seedling,QRS,61,NA,Duplicate of Grubb_1996_107,Syzygium cryptophlebium
Syzygium cryptophlebium,Stratum_1_seedling,QRS,110,110,NA,NA
Syzygium johnsonii,Stratum_1_seedling,QRS,98.016,98.016,NA,NA
Syzygium sayeri,Stratum_1_seedling,QRS,841,NA,Duplicate of Falster_2005_1_44,Syzygium sayeri
Syzygium sayeri,Stratum_1_seedling,QRS,1349.9819,1349.9819,NA,NA
Syzygium sayeri,Stratum_1_seedling,QRS,1177,1177,NA,NA
Tabernaemontana pandacaqui,Stratum_1_seedling,QRS,8.414,8.414,NA,NA
Ternstroemia cherryi,Stratum_1_seedling,QRS,373.637,373.637,NA,NA
Ternstroemia cherryi,Stratum_1_seedling,QRS,570,NA,Duplicate of Kew_2019_1_10220,Ternstroemia cherryi
Tetracera nordtiana,Stratum_1_seedling,QRS,12,NA,Duplicate of Grubb_1996_030,Tetracera nordtiana
Tetrastigma nitens,Stratum_1_seedling,QRS,58.83,58.83,NA,NA
Tetrasynandra laxiflora,Stratum_1_seedling,QRS,185.972,185.972,NA,NA
Toechima erythrocarpum,Stratum_1_seedling,QRS,90,NA,Duplicate of Kew_2019_1_13138,Toechima erythrocarpum
Toechima erythrocarpum,Stratum_1_seedling,QRS,183,NA,Duplicate of Kew_2019_1_13139,Toechima erythrocarpum
Toechima erythrocarpum,Stratum_1_seedling,QRS,204.765918,204.765918,NA,NA
Toechima erythrocarpum,Stratum_1_seedling,QRS,218,218,NA,NA
Wilkiea sp. (Barong L.W.Jessup 719),Stratum_1_seedling,QRS,112.168,112.168,NA,NA
Xanthophyllum octandrum,Stratum_1_seedling,QRS,256.6345,256.6345,NA,NA
Angiopteris evecta,Stratum_1_seedling,QRS,0.1,0.1,NA,NA
Blechnum cartilagineum,Stratum_1_seedling,QRS,0.71,0.71,NA,NA
Bowenia spectabilis,Stratum_1_seedling,QRS,2300,NA,Duplicate of Kew_2019_1_13722,Bowenia spectabilis
Diplazium dilatatum,Stratum_1_seedling,QRS,0.05,0.05,NA,NA
Lastreopsis wurunuran,Stratum_1_seedling,QRS,0.02,0.02,NA,NA
Lygodium reticulatum,Stratum_1_seedling,QRS,0.03,0.03,NA,NA
Selaginella longipinna,Stratum_1_seedling,QRS,0.06,0.06,NA,NA
Tectaria confluens,Stratum_1_seedling,QRS,0.04,0.04,NA,NA
