Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,cotsExp,cotsEH,cotsFR,LEE
Salacia disepala,L,35,2,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,2.17
Sarcopteryx martyana,T,22,2,6.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,1.62
Siphonodon membranaceus,C,28,4,7,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,CHr,Nonflying,CHR,1,1,1,2.27
Sloanea australis ssp. parviflora,T,27,3,6.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.43
Sloanea langii,C,30,3,6.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,1.74
Sloanea macbrydei,C,31,3,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.02
Smilax aculeatissima,V,27,1,5.5,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,1.92
Stachytarpheta cayennensis,H,2,1,5,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,3.4
Stenocarpus reticulatus,T,26,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.2
Stephania japonica,V,29,2,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.85
Symplocos cochinchinensis var. pilosiuscula,T,21,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,1.89
Symplocos hayesii,S,2.4,3,4,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,1.53
Symplocos paucistaminea,S,16,3,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.16
Synima macrophylla,S,11,2,5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,Avian,Flying,AvFor,0,0,0,2.01
Syzygium cormiflorum,T,23,3,5.5,Bat,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.72
Syzygium cryptophlebium,S,17,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.89
Syzygium johnsonii,C,28,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,2.06
Syzygium sayeri,C,38,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,2.16
Tabernaemontana pandacaqui,S,2,2,3.5,Butterflies,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,1,1,1,1.68
Ternstroemia cherryi,S,18,3,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,1,1,1,2.64
Tetracera nordtiana,L,28,2,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.11
Tetrastigma nitens,L,44,2,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,3.06
Steganthera laxiflora ssp. laxiflora,T,27,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,1,1,1,2.38
Toechima erythrocarpum,T,24,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,1.08
Wilkiea cordata,S,3.5,3,4.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,Avian,Flying,AvFor,1,1,1,1.69
Xanthophyllum octandrum,C,32,4,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,1,1,1,1.73
Angiopteris evecta,H,3,3,5,None,Spore,SmU,SmUn,,SmUn,,,,
Blechnum cartilagineum,H,1.2,1,4,None,Spore,SmU,SmUn,,SmUn,,,,
Bowenia spectabilis,H,1.4,2,4,Wind,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,,CHR,,,,
Diplazium dilatatum,H,0.5,1,3,None,Spore,SmU,SmUn,,SmUn,,,,
Lastreopsis wurunuran,H,1,2,3,None,Spore,SmU,SmUn,,SmUn,,,,
Lygodium reticulatum,H,12,1,5,None,Spore,SmU,SmUn,,SmUn,,,,
Selaginella longipinna,H,0.6,1,3.5,None,Spore,SmU,SmUn,,SmUn,,,,
Tectaria confluens,H,0.6,2,4,None,Spore,SmU,SmUn,,SmUn,,,,
