Site,latitude (deg),longitude (deg),species_name,Time,Year,Plant ID,Sex,No. flws,No. frt,% frt set,Male frt,No. lvs (flw),No. lvs (frt),"stem (cm) (at flowering for males, fruiting for females)",pedicel (mg),Flws for mean,Flw mass for mn,mean flw (mg),total flw (mg),"total lf (mg) (at flowering for males, fruiting for females)","total stm (mg) (at flowering for males, fruiting for females)",Frts for mean,Frt mass for mn,mean frt (mg),total frt (mg),# lvs/stm(cm),lf(mg)/stm(mg),# flws/# lvs,# flws/stm(cm),flw(mg)/lf(mg),flw(mg)/stm(mg),reprod tissue,RA(leaf bio),Diameter,male stm(cm) frt,male stm(mg) frt,male lf(mg) frt,male ped(mg) frt
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,70,female,93,32,34.40860215,,18,15,18.5,12.9,5,6.7,1.34,137.52,95.7,375.7,5,55.5,11.1,244.8,0.810810811,0.254724514,5.166666667,5.027027027,1.436990596,0.366036731,339.44,3.54691745,6.9,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,72,female,119,47,39.49579832,,23,21,15.5,19.3,5,7,1.4,185.9,206.9,247.4,5,50.3,10.06,365.7,1.35483871,0.836297494,5.173913043,7.677419355,0.898501692,0.751414713,485.8,2.3479942,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,74,female,60,37,61.66666667,,18,21,8,2.9,5,6.9,1.38,85.7,152.2,94.3,5,55.3,11.06,301.3,2.625,1.613997879,3.333333333,7.5,0.563074901,0.908801697,335.94,2.207227332,5.9,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,76,female,45,23,51.11111111,,8,9,10,2.9,5,7.2,1.44,67.7,29.1,132,5,50.8,10.16,193.6,0.9,0.220454545,5.625,4.5,2.326460481,0.512878788,228.18,7.841237113,2,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,78,female,41,42,102.4390244,,27,36,19.5,8.1,5,6.9,1.38,64.68,657.3,318.6,5,55.7,11.14,406.2,1.846153846,2.063088512,1.518518519,2.102564103,0.098402556,0.203013183,412.92,0.628206298,14,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,80,female,91,44,48.35164835,,10,16,11,4,5,4.9,0.98,93.18,142.5,156.6,4,32.7,8.175,244.3,1.454545455,0.909961686,9.1,8.272727273,0.653894737,0.595019157,294.36,2.065684211,3.2,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,82,female,20,13,65,,10,8,8,6.2,5,5.7,1.14,29,109.1,76.8,3,22.6,7.533333333,70.5,1,1.420572917,2,2.5,0.265811182,0.377604167,84.68,0.776168653,2.4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,84,female,47,27,57.44680851,,14,10,6.5,10.1,5,7.8,1.56,83.42,70.1,73.8,5,45.6,9.12,212.9,1.538461538,0.949864499,3.357142857,7.230769231,1.190014265,1.130352304,254.2,3.626248217,4.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,86,female,40,21,52.5,,19,16,5.5,1.4,4,5.3,1.325,54.4,104.7,44.8,4,38.4,9.6,140.2,2.909090909,2.337053571,2.105263158,7.272727273,0.519579752,1.214285714,166.775,1.592884432,3.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,88,female,73,50,68.49315068,,10,12,7,6.8,6,6.7,1.116666667,88.31666667,147.7,103.7,5,50.4,10.08,349.5,1.714285714,1.424300868,7.3,10.42857143,0.597946288,0.851655416,381.9833333,2.586210788,7.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,90,female,46,33,71.73913043,,19,18,11,0,8,7.6,0.95,43.7,97.4,174.1,3,28.1,9.366666667,184.4,1.636363636,0.559448593,2.421052632,4.181818182,0.448665298,0.251005169,196.75,2.020020534,6.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,92,female,101,32,31.68316832,,21,23,10,11.8,5,6.9,1.38,151.18,80.5,118.6,5,76,15.2,281,2.3,0.678752108,4.80952381,10.1,1.878012422,1.27470489,388.02,4.820124224,15.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,94,female,64,18,28.125,,29,30,9,1.6,5,6.5,1.3,84.8,134.4,128.9,3,35.6,11.86666667,139.6,3.333333333,1.042668735,2.206896552,7.111111111,0.630952381,0.657874321,201,1.495535714,14,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,96,female,52,45,86.53846154,,36,34,12,9.4,5,8.7,1.74,99.88,240.2,157.7,5,76,15.2,491.3,2.833333333,1.523145212,1.444444444,4.333333333,0.41582015,0.633354471,512.88,2.135220649,2.2,,,,
