name_original,raw_trait_value,trait,units
Lepidium oxytrichum,0.807,volume seed,mm3
Lespedeza juncea,0.807,volume seed,mm3
Threlkeldia diffusa,0.8174,volume seed,mm3
Atriplex lindleyi,0.8216,volume seed,mm3
Melaleuca globifera,0.8482,volume seed,mm3
Sclerolaena tricuspsis,0.8812,volume seed,mm3
Eclipta prostrata,0.8997,volume seed,mm3
Callicarpa pedunculata,0.9,volume seed,mm3
Ficus macrophylla,0.9,volume seed,mm3
Syncarpia hillii,0.9432,volume seed,mm3
Solanum densivestitum,0.9896,volume seed,mm3
Viola hederacea,0.9948,volume seed,mm3
Ficus platypoda,1,volume seed,mm3
Comesperma defoliatum,1.0375,volume seed,mm3
Atriplex nummularia,1.0454,volume seed,mm3
Stackhousia viminea,1.048,volume seed,mm3
Atriplex spongiosa v. holocarps,1.0847,volume seed,mm3
Zieria microflora,1.1318,volume seed,mm3
Indigofera linifolia,1.132,volume seed,mm3
Eucryphia lucida,1.178,volume seed,mm3
Rhagodia nutans,1.2073,volume seed,mm3
Acomis acoma,1.21,volume seed,mm3
Allocasuarina leuhmannii,1.2441,volume seed,mm3
Goodenia leiosperma,1.2576,volume seed,mm3
Agastachys odorata,1.258,volume seed,mm3
Ruellia australis,1.258,volume seed,mm3
Eucalyptus torquata,1.2828,volume seed,mm3
Duboisia myoporoides,1.3,volume seed,mm3
Allocasuarina rigida,1.3006,volume seed,mm3
Monotoca elliptica,1.31,volume seed,mm3
Casuarina oligodon,1.3204,volume seed,mm3
Bursaria spinosa,1.336,volume seed,mm3
Bassia sclerolaenoides,1.3362,volume seed,mm3
Maireana georgii,1.3362,volume seed,mm3
Rhodamnia acuminata,1.3404,volume seed,mm3
Eucalyptus camaldulensis,1.3477,volume seed,mm3
Goodenia rotundifolia,1.3624,volume seed,mm3
Eucalyptus decorticans,1.4661,volume seed,mm3
Sigesbeckia orientalis,1.467,volume seed,mm3
Acalypha nemorum,1.4714,volume seed,mm3
Evolvulus alsinoides,1.508,volume seed,mm3
Logania micrantha,1.5119,volume seed,mm3
Sclerolaena muricata,1.5708,volume seed,mm3
Atriplex inflata,1.6129,volume seed,mm3
Eucalyptus obliqua,1.6493,volume seed,mm3
Eucalyptus cloeziana,1.6768,volume seed,mm3
Atherosperma moschatum,1.7292,volume seed,mm3
Daviesia elliptica,1.7323,volume seed,mm3
Casuarina monilifera,1.8109,volume seed,mm3
Nematolepis squamosa,1.8787,volume seed,mm3
Cratystylis conocephala,1.885,volume seed,mm3
Mirbelia rubiifolia,1.886,volume seed,mm3
Anopterus glandulosus,1.907,volume seed,mm3
Atriplex spongiosa,1.9116,volume seed,mm3
Maireana excavata,1.9283,volume seed,mm3
Zieria smithii,2,volume seed,mm3
Philotheca deserti/brevifolia,2.0012,volume seed,mm3
Nablonium calyceroides,2.0373,volume seed,mm3
Glochidion fernandi,2.0525,volume seed,mm3
Indigofera fruticosa,2.054,volume seed,mm3
Weinmannia lachnocarpa,2.1463,volume seed,mm3
Daviesia arborea,2.169,volume seed,mm3
Enchylaena tomentosa,2.1798,volume seed,mm3
Glycine clandestina,2.201,volume seed,mm3
Philotheca deserti/deserti,2.2578,volume seed,mm3
Erodium crinitum,2.3056,volume seed,mm3
Indigofera australis,2.358,volume seed,mm3
Maireana triptera,2.3769,volume seed,mm3
Capparis mitchellii,2.4209,volume seed,mm3
Glycine tabacina,2.452,volume seed,mm3
Allocasuarina littoralis,2.568,volume seed,mm3
Casuarina rapuana,2.62,volume seed,mm3
Boerhaavia diffusa,2.64,volume seed,mm3
Galactia tenuiflora,2.641,volume seed,mm3
Calotis dentex,2.723,volume seed,mm3
Acacia howittii,2.7489,volume seed,mm3
Daviesia laevis,2.7628,volume seed,mm3
Rumex brownii,2.8182,volume seed,mm3
Daviesia leptophylla,2.8296,volume seed,mm3
Austromrytus dulcis,2.8798,volume seed,mm3
Acacia verniciflua,3.2987,volume seed,mm3
Dodonaea viscosa,3.301,volume seed,mm3
