taxon_name,scientificNameAuthorship,genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use,original_name
Tecticornia sp. Little Sandy Desert (K.Shepherd & C.Wilkins KS830),WA Herbarium,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia sp. Sunshine Lake (K.A.Shepherd et al. KS 867),WA Herbarium,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia sp. Yoothapina Station (A.A.Mitchell 883),WA Herbarium,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia syncarpa,(Paul G.Wilson) K.A.Sheph. & Paul G.Wilson,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia tenuis,(Benth.) K.A.Sheph. & Paul G.Wilson,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia triandra,(F.Muell.) K.A.Sheph. & Paul G.Wilson,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia undulata,(Paul G.Wilson) K.A.Sheph. & Paul G.Wilson,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia uniflora,(Paul G.Wilson) K.A.Sheph. & Paul G.Wilson,Tecticornia,Halosarcia,2,2,1,16,NA
Tecticornia verrucosa,Paul G.Wilson,Tecticornia,Halosarcia,2,2,1,16,NA
Threlkeldia diffusa,R.Br.,Threlkeldia,Threlkeldia,2,2,1,16,NA
Threlkeldia inchoata,(J.M.Black) J.M.Black,Threlkeldia,Threlkeldia,2,2,1,16,NA
Aldrovanda vesiculosa,L.,Aldrovanda,Aldrovanda,1,2,1,3,NA
Drosera aberrans,(Lowrie & Carlquist) Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera adelae,F.Muell.,Drosera,Drosera,1,NA,1,3,NA
Drosera allantostigma,(N.G.Marchant & Lowrie) Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera andersoniana,W.Fitzg. ex Ewart & Jean White,Drosera,Drosera,1,NA,1,3,NA
Drosera androsacea,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera aquatica,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera arcturi,Hook.,Drosera,Drosera,1,NA,1,3,NA
Drosera aurantiaca,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera auriculata,Backh. ex Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera australis,(N.G.Marchant & Lowrie) Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera x badgerupii,Cheek,Drosera,Drosera,1,NA,1,3,NA
Drosera x badgingarra,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera banksii,R.Br. ex DC.,Drosera,Drosera,1,NA,1,3,NA
Drosera barbigera,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera barrettiorum,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera basifolia,(N.G.Marchant & Lowrie) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera bicolor,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera binata,Labill.,Drosera,Drosera,1,NA,1,3,NA
Drosera bindoon,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera brevicornis,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera broomensis,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera browniana,Lowrie & N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera bulbigena,Morrison,Drosera,Drosera,1,NA,1,3,NA
Drosera bulbosa,Hook.,Drosera,Drosera,1,NA,1,3,NA
Drosera burmanni,Vahl,Drosera,Drosera,1,NA,1,3,NA
Drosera caduca,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera callistos,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera calycina,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera capensis,L.,Drosera,Drosera,1,NA,1,3,NA
Drosera x carbarup,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera citrina,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera closterostigma,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera coalara,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera collina,(N.G.Marchant & Lowrie) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera coomallo,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera cucullata,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera darwinensis,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera depauperata,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera derbyensis,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera dichrosepala,Turcz.,Drosera,Drosera,1,NA,1,3,NA
Drosera dilatato-petiolaris,K.Kondo,Drosera,Drosera,1,NA,1,3,NA
Drosera drummondii,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera echinoblastus,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera eneabba,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera enodes,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera erythrogyne,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera erythrorhiza,Lindl.,Drosera,Drosera,1,NA,1,3,NA
Drosera esperensis,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera falconeri,K.Kondo & Tsang,Drosera,Drosera,1,NA,1,3,NA
Drosera fimbriata,DeBuhr,Drosera,Drosera,1,NA,1,3,NA
Drosera finlaysoniana,Wall. ex Arn.,Drosera,Drosera,1,NA,1,3,NA
Drosera fragrans,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera fulva,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera geniculata,(N.G.Marchant & Lowrie) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera gibsonii,P.Mann,Drosera,Drosera,1,NA,1,3,NA
Drosera gigantea,Lindl.,Drosera,Drosera,1,NA,1,3,NA
Drosera glabriscapa,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera glanduligera,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera graniticola,N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera grievei,Lowrie & N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera hamiltonii,C.R.P.Andrews,Drosera,Drosera,1,NA,1,3,NA
Drosera hartmeyerorum,Schlauer,Drosera,Drosera,1,NA,1,3,NA
Drosera helodes,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera heterophylla,Lindl.,Drosera,Drosera,1,NA,1,3,NA
Drosera hirsuta,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera hookeri,"R.P.Gibson, B.J.Conn & Conran",Drosera,Drosera,1,NA,1,3,NA
Drosera huegelii,Endl.,Drosera,Drosera,1,NA,1,3,NA
Drosera humilis,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera hyperostigma,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera indica,L.,Drosera,Drosera,1,NA,1,3,NA
Drosera indumenta,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera intricata,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera kenneallyi,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera lanata,K.Kondo,Drosera,Drosera,1,NA,1,3,NA
Drosera lasiantha,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera x legrandii,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera leioblastus,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera leucoblasta,Benth.,Drosera,Drosera,1,NA,1,3,NA
Drosera leucostigma,(N.G.Marchant & Lowrie) Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera lowriei,N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera macrantha,Endl.,Drosera,Drosera,1,NA,1,3,NA
Drosera macrophylla,Lindl.,Drosera,Drosera,1,NA,1,3,NA
Drosera magna,(N.G.Marchant & Lowrie) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera major,(Diels) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera mannii,Cheek,Drosera,Drosera,1,NA,1,3,NA
Drosera marchantii,DeBuhr,Drosera,Drosera,1,NA,1,3,NA
Drosera menziesii,R.Br. ex DC.,Drosera,Drosera,1,NA,1,3,NA
Drosera micra,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera micrantha,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera microphylla,Endl.,Drosera,Drosera,1,NA,1,3,NA
Drosera microscapa,Debbert,Drosera,Drosera,1,NA,1,3,NA
Drosera miniata,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera minutiflora,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera modesta,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera monantha,(Lowrie & Carlquist) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera monticola,(Lowrie & N.G.Marchant) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera moorei,(Diels) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera murfetii,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera myriantha,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera nana,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera neesii,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera nitidula,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera nivea,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera occidentalis,Morrison,Drosera,Drosera,1,NA,1,3,NA
Drosera omissa,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera orbiculata,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera ordensis,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera oreopodion,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera paleacea,DC.,Drosera,Drosera,1,NA,1,3,NA
Drosera pallida,Lindl.,Drosera,Drosera,1,NA,1,3,NA
Drosera paradoxa,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera patens,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera pedicellaris,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera peltata,Thunb.,Drosera,Drosera,1,NA,1,3,NA
Drosera petiolaris,DC.,Drosera,Drosera,1,NA,1,3,NA
Drosera x pingellyensis,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera platypoda,Turcz.,Drosera,Drosera,1,NA,1,3,NA
Drosera platystigma,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera porrecta,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera praefolia,Tepper,Drosera,Drosera,1,NA,1,3,NA
Drosera prolifera,C.T.White,Drosera,Drosera,1,NA,1,3,NA
Drosera prophylla,(N.G.Marchant & Lowrie) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera prostrata,(N.G.Marchant & Lowrie) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera prostratoscaposa,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera pulchella,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera purpurascens,Schlotth.,Drosera,Drosera,1,NA,1,3,NA
Drosera pycnoblasta,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera pygmaea,DC.,Drosera,Drosera,1,NA,1,3,NA
Drosera radicans,N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera ramellosa,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera rechingeri,Strid,Drosera,Drosera,1,NA,1,3,NA
Drosera roseana,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera rosulata,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera rupicola,(N.G.Marchant) Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera salina,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera sargentii,Lowrie & N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera schizandra,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera schmutzii,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera scorpioides,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera serpens,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera sewelliae,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera x sidjamesii,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera silvicola,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera spatulata,Labill.,Drosera,Drosera,1,NA,1,3,NA
Drosera spilos,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera sp. Rigid (R.J.Bates 2264),Toelken,Drosera,Drosera,1,NA,1,3,NA
Drosera squamosa,Benth.,Drosera,Drosera,1,NA,1,3,NA
Drosera stelliflora,Lowrie & Carlquist,Drosera,Drosera,1,NA,1,3,NA
Drosera stolonifera,Endl.,Drosera,Drosera,1,NA,1,3,NA
Drosera stricticaulis,(Diels) O.H.Sarg.,Drosera,Drosera,1,NA,1,3,NA
Drosera subhirtella,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera subtilis,N.G.Marchant,Drosera,Drosera,1,NA,1,3,NA
Drosera sulphurea,Lehm.,Drosera,Drosera,1,NA,1,3,NA
Drosera thysanosepala,Diels,Drosera,Drosera,1,NA,1,3,NA
Drosera trichocaulis,(Diels) Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera tubaestylis,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera verrucata,Lowrie & Conran,Drosera,Drosera,1,NA,1,3,NA
Drosera walyunga,N.G.Marchant & Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera whittakeri,Planch.,Drosera,Drosera,1,NA,1,3,NA
Drosera yilgarnensis,R.P.Gibson & B.J.Conn,Drosera,Drosera,1,NA,1,3,NA
Drosera zigzagia,Lowrie,Drosera,Drosera,1,NA,1,3,NA
Drosera zonaria,Planch.,Drosera,Drosera,1,NA,1,3,NA
Frankenia adpressa,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia ambita,Ostenf.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia annua,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia brachyphylla,(Benth.) Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia bracteata,Turcz.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia cinerea,A.DC.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia confusa,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia connata,Sprague,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia cordata,J.M.Black,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia crispa,J.M.Black,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia cupularis,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia densa,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia desertorum,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia drummondii,Benth.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia eremophila,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia fecunda,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia flabellata,Sprague,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia foliosa,J.M.Black,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia georgei,Diels,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia glomerata,Turcz.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia gracilis,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia hispidula,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia interioris,Ostenf.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia irregularis,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia latior,Sprague & Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia laxiflora,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia magnifica,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia muscosa,J.M.Black,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia orthotricha,(J.M.Black) J.M.Black,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia pauciflora,DC.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia pseudoflabellata,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia pulverulenta,L.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia punctata,Turcz.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia scabra,Lindl.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia serpyllifolia,Lindl.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia sessilis,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia setosa,W.Fitzg.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia sp. southern gypsum (M.N.Lyons 2964),WA Herbarium,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia stuartii,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia subteres,Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia tetrapetala,Labill.,Frankenia,Frankenia,NA,NA,1,3,NA
Frankenia uncinata,Sprague & Summerh.,Frankenia,Frankenia,NA,NA,1,3,NA
Macarthuria apetala,Harv.,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria australis,Hügel ex Endl.,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria complanata,E.M.Ross,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria ephedroides,C.T.White,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria georgeana,Keighery,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria intricata,Keighery,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria neocambrica,F.Muell.,Macarthuria,Macarthuria,2,2,1,3,NA
Macarthuria vertex,Lepschi,Macarthuria,Macarthuria,2,2,1,3,NA
Glinus lotoides,L.,Glinus,Glinus,1,NA,1,3,NA
Glinus oppositifolius,(L.) Aug.DC.,Glinus,Glinus,1,NA,1,3,NA
Glinus orygioides,F.Muell.,Glinus,Glinus,1,NA,1,3,NA
Glinus sessiliflorus,P.S.Short,Glinus,Glinus,1,NA,1,3,NA
Mollugo verticillata,L.,Mollugo,Mollugo,1,NA,1,3,NA
Nepenthes mirabilis,(Lour.) Druce,Nepenthes,Nepenthes,4,2,8,3,NA
Nepenthes parvula,Gary W.Wilson & S.Venter,Nepenthes,Nepenthes,4,2,8,3,NA
Nepenthes rowaniae,F.M.Bailey,Nepenthes,Nepenthes,4,2,8,3,NA
Nepenthes tenax,C.Clarke & R.Kruger,Nepenthes,Nepenthes,4,2,8,3,NA
Boerhavia albiflora,Fosberg,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia burbidgeana,Hewson,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia coccinea,Mill.,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia diffusa,L.,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia dominii,Meikle & Hewson,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia gardneri,Hewson,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia glabrata,Blume,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia mutabilis,R.Br.,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia paludosa,(Domin) Meikle,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia repens,L.,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia repleta,Hewson,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia schomburgkiana,Oliv.,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia sp. Bargara (L.Pedley 5382),NA,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia sp. St George (A.Hill AQ399299),NA,Boerhavia,Boerhavia,1,NA,1,1,NA
Boerhavia sp. Winton (D.Halford Q289),NA,Boerhavia,Boerhavia,1,NA,1,1,NA
Commicarpus australis,Meikle,Commicarpus,Commicarpus,2,2,1,1,NA
Commicarpus chinensis,(L.) Heimerl,Commicarpus,Commicarpus,2,2,1,1,NA
Commicarpus insularum,Meikle,Commicarpus,Commicarpus,2,2,1,1,NA
Monococcus echinophorus,F.Muell.,Monococcus,Monococcus,2,2,13,1,NA
Aegialitis annulata,R.Br.,Aegialitis,Aegialitis,2,2,1,3,NA
Limonium australe,(R.Br.) Kuntze,Limonium,Limonium,1,2,1,3,NA
Limonium binervosum,(G.E.Sm.) C.E.Salmon,Limonium,Limonium,1,2,1,3,NA
Limonium companyonis,(Gren. & Billot) Kuntze,Limonium,Limonium,1,2,1,3,NA
Limonium hyblaeum,Brullo,Limonium,Limonium,1,2,1,3,NA
Limonium lobatum,(L.f.) Chaz.,Limonium,Limonium,1,2,1,3,NA
Limonium myrianthum,(Schrenk) Kuntze,Limonium,Limonium,1,2,1,3,NA
Limonium otolepis,(Schrank) Kuntze,Limonium,Limonium,1,2,1,3,NA
Limonium sinuatum,(L.) Mill.,Limonium,Limonium,1,2,1,3,NA
Limonium solanderi,Lincz.,Limonium,Limonium,1,2,1,3,NA
Muellerolimon salicorniaceum,(F.Muell.) Lincz.,Muellerolimon,Muellerolimon,1,2,1,1,NA
Plumbago auriculata,Lam.,Plumbago,Plumbago,2,2,1,3,NA
Plumbago zeylanica,L.,Plumbago,Plumbago,2,2,1,3,NA
Muehlenbeckia adpressa,(Labill.) Meisn.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia australis,(G.Forst.) Meisn.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia axillaris,(Hook.f.) Endl.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia complexa,(A.Cunn.) Meisn.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia diclina,(F.Muell.) F.Muell.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia gracillima,Meisn.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia gunnii,(Hook.f.) Endl.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia polybotrya,Meisn.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia rhyticarya,F.Muell. ex Benth.,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia sp. Mt Brockman (L.A.Craven 2357),K.L.Wilson & Makinson,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Muehlenbeckia sp. Mt Norman (J.T.Hunter 3847),Makinson,Muehlenbeckia,Muehlenbeckia,NA,2,8,16,NA
Persicaria attenuata,(R.Br.) Soják,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria barbata,(L.) H.Hara,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria capitata,(Buch.-Ham. ex D.Don) H.Gross,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria decipiens,(R.Br.) K.L.Wilson,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria filiformis,(Thunb.) Nakai ex A.T.Lee,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria glabra,(Willd.) M.Gomez,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria hydropiper,(L.) Delarbre,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria hydropiperoides,(Michx.) Small,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria lapathifolia,(L.) Delarbre,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria maculosa,Gray,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria odorata,(Lour.) Soják,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria orientalis,(L.) Spach,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria praetermissa,(Hook.f.) H.Hara,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria prostrata,(R.Br.) Soják,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria strigosa,(R.Br.) H.Gross,Persicaria,Persicaria,1,NA,1,16,NA
Persicaria subsessilis,(R.Br.) K.L.Wilson,Persicaria,Persicaria,1,NA,1,16,NA
Polygonum arenastrum,Jord. ex Boreau,Polygonum,Polygonum,1,NA,1,16,NA
Polygonum argyrocoleon,Steud. ex Kunze,Polygonum,Polygonum,1,NA,1,16,NA
Polygonum aviculare,L.,Polygonum,Polygonum,1,NA,1,16,NA
Polygonum bellardii,All.,Polygonum,Polygonum,1,NA,1,16,NA
Polygonum patulum,M.Bieb.,Polygonum,Polygonum,1,NA,1,16,NA
Polygonum plebeium,R.Br.,Polygonum,Polygonum,1,NA,1,16,NA
Rumex acetosella,L.,Rumex,Rumex,1,NA,1,16,NA
Rumex bidens,R.Br.,Rumex,Rumex,1,NA,1,16,NA
Rumex brownii,Campd.,Rumex,Rumex,1,NA,1,16,NA
Rumex bucephalophorus,L.,Rumex,Rumex,1,NA,1,16,NA
Rumex x comaumensis,Rech.f.,Rumex,Rumex,1,NA,1,16,NA
Rumex conglomeratus,Murray,Rumex,Rumex,1,NA,1,16,NA
Rumex crispus,L.,Rumex,Rumex,1,NA,1,16,NA
Rumex crystallinus,Lange,Rumex,Rumex,1,NA,1,16,NA
Rumex drummondii,Meisn.,Rumex,Rumex,1,NA,1,16,NA
Rumex dumosus,A.Cunn. ex Meisn.,Rumex,Rumex,1,NA,1,16,NA
Rumex frutescens,Thouars,Rumex,Rumex,1,NA,1,16,NA
Rumex hymenosepalus,Torr.,Rumex,Rumex,1,NA,1,16,NA
Rumex hypogaeus,T.M.Schust. & Reveal,Rumex,Rumex,1,NA,1,16,NA
Rumex x johannis-moorei,Rech.f.,Rumex,Rumex,1,NA,1,16,NA
Rumex x muretii,Hausskn.,Rumex,Rumex,1,NA,1,16,NA
Rumex obtusifolius,L.,Rumex,Rumex,1,NA,1,16,NA
Rumex x pratensis,Mert. & W.D.J.Koch,Rumex,Rumex,1,NA,1,16,NA
Rumex x pseudopulcher,Hausskn.,Rumex,Rumex,1,NA,1,16,NA
Rumex pulcher,L.,Rumex,Rumex,1,NA,1,16,NA
Rumex sagittatus,Thunb.,Rumex,Rumex,1,NA,1,16,NA
Rumex x schultzei,Hausskn.,Rumex,Rumex,1,NA,1,16,NA
Rumex spinosus,L.,Rumex,Rumex,1,NA,1,16,NA
Rumex stenoglottis,Rech.f.,Rumex,Rumex,1,NA,1,16,NA
Rumex tenax,Rech.f.,Rumex,Rumex,1,NA,1,16,NA
Rumex vesicarius,L.,Rumex,Rumex,1,NA,1,16,NA
Anacampseros australiana,J.M.Black,Anacampseros,Anacampseros,1,2,1,3,NA
"Anacampseros sp. Eremaean (F.Hort, J.Hort & J.Shanks 3248)",WA Herbarium,Anacampseros,Anacampseros,1,2,1,3,NA
