sort,Species,StrataBinary,Site,Lat_decimal,Long_decimal,SeedDM,seed_mass_to_use,study_with_seed_mass_duplicate,StemDensity,StemDensity_to_use,study_duplicated_for_wood_density,LA,LtLeaf,LMA,LDM,LSleaf,LSS,LSD,HeightM,HeightPlant,L1Lflt2,nLsample,LVleaf,LFrLeaf,LDrLeaf,LH20Leaf,LDV,LLV,LFV,LLA,LFA,SLA,LWC,Lasample,LVsample,LFrWtSample,LDryWtSample,LH20WtSample,LSg,Stem water displacement,Stem dry wt,Diam,UniqueID,LeafID,PlantID,SpTrees,SpID,AngioNon,Notes,Location,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,cotsExp,cotsEH,cotsFR,LEE,omit,description
186,Alstonia muelleriana,Stratum_2_adult_plant,Robson Creek secondary SNVF 2000mm metamorphic,-17.139,145.631,NA,NA,NA,NA,NA,NA,NA,NA,127.8118609,0.3787,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,209.7309315,337.5427545,7.824,0.6213,70.168,NA,2.36847,0.89683,1.47164,NA,NA,NA,NA,1331,alsmueARC8,alsmueARC5,Alstonia_muelleriana,Amu,0,Tag-1927 -,R Crk,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
187,Alstonia muelleriana,Stratum_2_adult_plant,Robson Creek secondary SNVF 2000mm metamorphic,-17.139,145.631,NA,NA,NA,NA,NA,NA,NA,NA,121.6278674,0.3784,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,199.7789429,321.4066641,8.2218,0.6216,34.5612,NA,1.11082,0.42036,0.69046,NA,NA,NA,NA,1332,alsmueARC9,alsmueARC5,Alstonia_muelleriana,Amu,0,Tag-1927 -,R Crk,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
188,Alstonia muelleriana,Stratum_1_seedling,QRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,alsmue1RC7,NA,Alstonia_muelleriana,Amu,0,NA,NA,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
189,Alstonia muelleriana,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1318,alsmueA4,NA,Alstonia_muelleriana,Amu,0,NA,NA,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
190,Alstonia muelleriana,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1319,alsmueA5,NA,Alstonia_muelleriana,Amu,0,NA,NA,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
191,Alstonia muelleriana,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,alsmueA6,NA,Alstonia_muelleriana,Amu,0,NA,NA,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
192,Alstonia muelleriana,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1321,alsmueA7,NA,Alstonia_muelleriana,Amu,0,NA,NA,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,NA,NA
193,Alstonia scholaris,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,0.1934,0.1934,NA,20.539,0.175,28.63491627,0.1722,0.9982,5.7041,3.312485482,NA,0.23,1,3,0.3594325,0.3415,0.058813333,0.282686667,0.163628093,0.78648054,0.950108852,137.6340945,166.2690491,34.9224,0.8278,61.617,1.0782975,1.0245,0.17644,0.84806,12.8,0.5834,0.11308,0.4,90,alssch11,alssch11,Alstonia_scholaris,Asc,0,VG seedling,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
194,Alstonia scholaris,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,24.6,0.19,31.05590062,0.22,1.0606,5.5821,2.537318182,NA,NA,1,NA,0.4674,0.347249562,0.076397516,0.270852047,0.163452109,0.579486621,0.742938729,110.1024579,141.1583585,32.2,0.78,75.348,1.431612,1.0636,0.234,0.8296,13.6,NA,NA,NA,91,alssch12,alssch12,Alstonia_scholaris,Asc,0,NA,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
195,Alstonia scholaris,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,19.2,0.18,31.34796238,0.24,0.9358,5.199,2.16625,NA,NA,1,NA,0.3456,0.250783699,0.060188088,0.190595611,0.174155347,0.551491931,0.725647277,99.26854754,130.6165099,31.9,0.76,85.173,1.533114,1.1125,0.267,0.8455,12,NA,NA,NA,92,alssch13,alssch13,Alstonia_scholaris,Asc,0,NA,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
196,Alstonia scholaris,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,64.0017,0.255,75.78111383,0.2578,2.5579,10.0311,3.891039566,41,NA,1,3,1.63204335,1.88114098,0.485013586,1.396127394,0.297180839,0.855447494,1.152629297,218.139111,293.9204708,13.1959,0.7422,192.005,4.8961275,5.64342,1.45504,4.18838,32.8,NA,NA,NA,1333,alsschA1,alssch21,Alstonia_scholaris,Asc,0,NA,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
197,Alstonia scholaris,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,54.0682,0.2525,72.62533317,0.2585,2.6515,10.5011,4.062321083,42,NA,1,3,1.36522205,1.518879064,0.392673091,1.126205972,0.287625082,0.824925127,1.112550932,208.2935945,280.9191102,13.7693,0.7415,162.2047,4.095668675,4.55664,1.17802,3.37862,34,NA,NA,NA,1334,alsschA2,alssch21,Alstonia_scholaris,Asc,0,NA,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
198,Alstonia scholaris,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,47.2249,0.235,75.13317355,0.2812,2.3552,10.022,3.56401138,40,NA,1,2,1.10978515,1.261906336,0.354815376,0.90709096,0.319715632,0.81735727,1.137072645,192.0789584,267.2120716,13.3097,0.7188,94.4497,2.21956795,2.52381,0.70963,1.81418,30.2,NA,NA,NA,1335,alsschA3,alssch22,Alstonia_scholaris,Asc,0,NA,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
199,Alstonia scholaris,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,42.0382,0.2425,77.9435377,0.298,2.3084,9.5191,3.194328859,41,NA,1,2,1.01942635,1.09969,0.32766,0.77203,0.32141665,0.757318074,1.078734133,183.649633,261.5930273,12.8298,0.702,84.0764,2.0388527,2.19938,0.65532,1.54406,29.6,NA,NA,NA,1336,alsschA4,alssch22,Alstonia_scholaris,Asc,0,NA,BrValley,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
200,Alstonia scholaris,Stratum_2_adult_plant,TFRC Arboretum,-17.258,145.485,NA,NA,NA,NA,NA,NA,55.3166,0.3125,113.9030002,0.3498,3.291,10.5312,3.010634648,NA,NA,1,4,1.72864375,1.801325814,0.630075285,1.171250529,0.364489601,0.677554603,1.042045716,211.7358134,325.6392862,8.7794,0.6502,221.2663,6.914571875,7.2053,2.5203,4.685,42.2,NA,NA,NA,1337,alsschA5,alssch23,Alstonia_scholaris,Asc,0,TFRC 404,TFRC arboretum,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
201,Alstonia scholaris,Stratum_1_seedling,QRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,alssch14,NA,Alstonia_scholaris,Asc,0,NA,NA,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
202,Alstonia scholaris,Stratum_1_seedling,QRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,alssch15,NA,Alstonia_scholaris,Asc,0,NA,NA,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
203,Alstonia scholaris,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1338,alsschA6,NA,Alstonia_scholaris,Asc,0,NA,NA,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
204,Alstonia scholaris,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.3444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1339,alsschA7,NA,Alstonia_scholaris,Asc,0,NA,NA,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
205,Alstonia scholaris,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.42161,0.42161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,alsschA8,NA,Alstonia_scholaris,Asc,0,NA,NA,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5,NA,NA
206,Angiopteris evecta,Stratum_1_seedling,QRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1213,zangev11,NA,zAngiopteris_evecta,zAn,1,NA,NA,H,3,3,5,None,Spore,SmU,SmUn,NA,SmUn,NA,NA,NA,NA,NA,NA
207,Antirhea tenuiflora,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,0.3481,0.3481,NA,9.4426,0.125,22.05971565,0.1525,0.6707,5.3654,3.518295082,NA,0.28,1,2,0.1180325,0.136580723,0.02083011,0.115750613,0.176477725,0.980667299,1.157145051,122.5834123,144.6431314,45.3315,0.8475,18.8851,0.23606375,0.27316,0.04166,0.2315,8.6,0.2655,0.0926,0.2,95,antten11,antten11,Antirhea_tenuiflora,Ate,0,NA,BrValley,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
208,Antirhea tenuiflora,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,0.3244,0.3244,NA,25.6526,0.1075,23.35046479,0.143,0.6551,6.0938,4.261398601,NA,0.13,1,1,0.27576545,0.419,0.0599,0.3591,0.217213626,1.302193585,1.519407163,139.9858104,163.33627,42.8257,0.857,25.6526,0.27576545,0.419,0.0599,0.3591,8.4,0.1116,0.03627,0.2,96,antten12,antten12,Antirhea_tenuiflora,Ate,0,NA,BrValley,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
209,Antirhea tenuiflora,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,41.3022,0.1375,35.26578056,0.1926,0.9514,6.9195,3.592679128,16,NA,1,2,0.56790525,0.756230915,0.145655176,0.610575739,0.256478404,1.075136634,1.331614588,147.8312872,183.0970058,28.3561,0.8074,82.6043,1.135809125,1.51246,0.29131,1.22115,12.2,NA,NA,NA,1341,anttenA1,antten21,Antirhea_tenuiflora,Ate,0,NA,BrValley,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
210,Antirhea tenuiflora,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,45.1517,0.145,37.26546051,0.2,1.045,7.207,3.6035,17,NA,1,1,0.65469965,0.84137,0.16826,0.67311,0.257003176,1.028120299,1.285123644,149.0774434,186.3429284,26.8345,0.8,45.1517,0.65469965,0.84137,0.16826,0.67311,13.4,NA,NA,NA,1342,anttenA2,antten21,Antirhea_tenuiflora,Ate,0,NA,BrValley,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
211,Antirhea tenuiflora,Stratum_2_adult_plant,Longlands Gap Rd Wondecla,-17.453,145.449,NA,NA,NA,NA,NA,NA,69.8857,0.135,31.08505493,0.1552,0.9202,6.8165,4.392074742,15,NA,1,2,0.94345695,1.3993,0.21724,1.18206,0.230259666,1.252902954,1.483162533,169.1418988,200.226942,32.1698,0.8448,139.7714,1.8869139,2.7986,0.43448,2.36412,11.8,NA,NA,NA,1343,anttenA3,antten22,Antirhea_tenuiflora,Ate,0,NA,Longlands Gap,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
212,Antirhea tenuiflora,Stratum_2_adult_plant,Longlands Gap Rd Wondecla,-17.453,145.449,NA,NA,NA,NA,NA,NA,60.7245,0.1375,35.30736829,0.1556,0.8111,5.8986,3.790874036,16,NA,1,2,0.834961875,1.378135803,0.214402395,1.163733407,0.25678086,1.39375634,1.6505374,191.6414968,226.9488925,28.3227,0.8444,115.4489,1.587422375,2.6201,0.40762,2.21248,10.4,NA,NA,NA,1344,anttenA4,antten23,Antirhea_tenuiflora,Ate,0,NA,Longlands Gap,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
213,Antirhea tenuiflora,Stratum_2_adult_plant,Mobo Creek Crater Danbulla,-17.174,145.64,NA,NA,NA,NA,NA,NA,45.7234,0.12,37.38569324,0.1908,1.2478,10.3981,5.449737945,NA,NA,1,2,0.5486808,0.89590098,0.170940187,0.724960793,0.311547444,1.321279682,1.632827283,158.5535618,195.9392739,26.7482,0.8092,91.4467,1.0973604,1.7918,0.34188,1.44992,16,NA,NA,NA,1345,anttenA5,antten24,Antirhea_tenuiflora,Ate,0,NA,Mobo Crater,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
214,Antirhea tenuiflora,Stratum_1_seedling,Robson Creek secondary SNVF 2000mm metamorphic,-17.139,145.631,NA,NA,NA,0.3908,0.3908,NA,21.1613,0.1,23.16970885,0.1648,0.7331,7.3307,4.448240291,NA,0.18,1,2,0.211613,0.297600703,0.049030116,0.248570587,0.231697089,1.174647055,1.406344143,117.4647055,140.6344143,43.1598,0.8352,42.3225,0.423225,0.5952,0.09806,0.49714,9.4,0.1021,0.03998,0.25,97,antten13,antten13,Antirhea_tenuiflora,Ate,0,NA,R Crk,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
215,Antirhea tenuiflora,Stratum_1_seedling,Robson Creek secondary SNVF 2000mm metamorphic,-17.139,145.631,NA,NA,NA,0.3812,0.3812,NA,18.8525,0.12,26.20874743,0.1683,0.8578,7.1487,4.247593583,NA,0.18,1,2,0.22623,0.29355,0.04941,0.24414,0.218406229,1.079167219,1.297573266,129.5000663,155.7087919,38.1552,0.8317,37.705,0.45246,0.5871,0.09882,0.48828,11,0.0988,0.03774,0.25,98,antten14,antten14,Antirhea_tenuiflora,Ate,0,NA,R Crk,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
216,Antirhea tenuiflora,Stratum_1_seedling,QRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,antten15,NA,Antirhea_tenuiflora,Ate,0,NA,NA,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
217,Antirhea tenuiflora,Stratum_2_adult_plant,Lit,NA,NA,NA,NA,NA,0.73185,0.73185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1346,anttenA6,NA,Antirhea_tenuiflora,Ate,0,NA,NA,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3,NA,NA
218,Apodytes brachystylis,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,0.3803,0.3803,NA,18.2278,0.2125,35.74760759,0.179,2.3084,10.863,6.068715084,NA,0.14,1,1,0.38734075,0.364,0.06516,0.29884,0.168224036,0.771517069,0.939741042,163.9473771,199.6949714,27.9739,0.821,18.2278,0.38734075,0.364,0.06516,0.29884,29.6,0.167,0.06363,0.3,100,apobra11,apobra11,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
219,Apodytes brachystylis,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,0.4047,0.4047,NA,19.8405,0.2375,44.91313799,0.2044,2.6671,11.2299,5.494080235,NA,0.13,1,1,0.471211875,0.436,0.08911,0.34689,0.189107949,0.736165658,0.925273795,174.8393438,219.7525264,22.2652,0.7956,19.8405,0.471211875,0.436,0.08911,0.34689,34.2,0.1505,0.06103,0.3,101,apobra12,apobra12,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
220,Apodytes brachystylis,Stratum_1_seedling,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,0.4153,0.4153,NA,26.0506,0.205,43.05667981,0.2099,1.4973,7.304,3.479752263,NA,0.2,1,2,0.5340373,0.534281025,0.112165215,0.42211581,0.210032584,0.790423834,1.000456383,162.036886,205.0935585,23.2252,0.7901,52.1011,1.06807255,1.06856,0.22433,0.84423,19.2,0.279,0.1161,0.3,102,apobra13,apobra13,Apodytes_brachystylis,Abr,0,apobra13 - v healthy seedling,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
221,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,45.7168,0.2625,82.87750704,0.3206,1.7001,6.4765,2.020118528,18,NA,1,2,1.200066,1.18174,0.37889,0.80285,0.315723836,0.669004871,0.984729173,175.6137787,258.491408,12.066,0.6794,91.4336,2.400132,2.36348,0.75778,1.6057,21.8,NA,NA,NA,1347,apobraA1,apobra21,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
222,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,40.8446,0.2725,82.85553309,0.3192,1.8249,6.6968,2.097994987,19,NA,1,2,1.11301535,1.060176298,0.338420414,0.721755884,0.304057002,0.648468939,0.952526214,176.707786,259.5633934,12.0692,0.6808,81.6891,2.226027975,2.12035,0.67684,1.44351,23.4,NA,NA,NA,1348,apobraA2,apobra21,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
223,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,26.8091,0.2325,71.46941109,0.3145,1.4973,6.4401,2.04772655,17,NA,1,3,0.623311575,0.609155909,0.191603095,0.417552814,0.307395317,0.669894208,0.977289583,155.7504035,227.2198281,13.992,0.6855,80.4274,1.86993705,1.82747,0.57481,1.25266,19.2,NA,NA,NA,1349,apobraA3,apobra22,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
224,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,22.0086,0.2325,63.01872286,0.2923,1.5285,6.5743,2.24916182,18,NA,1,2,0.51169995,0.474466078,0.138695315,0.335770763,0.27104827,0.65618682,0.927234951,152.5634356,215.582126,15.8683,0.7077,44.0171,1.023397575,0.94893,0.27739,0.67154,19.6,NA,NA,NA,1350,apobraA4,apobra22,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
225,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,48.3493,0.24,60.64833065,0.2377,1.4505,6.0439,2.542658814,NA,NA,1,3,1.1603832,1.23349915,0.293229798,0.940269352,0.252701378,0.810309346,1.063010176,194.474243,255.1224422,16.4885,0.7623,145.048,3.481152,3.7005,0.87969,2.82081,18.6,NA,NA,NA,1351,apobraA5,apobra23,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
226,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,38.6634,0.22,47.26434,0.218,1.7781,8.0822,3.707431193,NA,NA,1,3,0.8505948,0.838400723,0.182740158,0.655660565,0.214837909,0.770825974,0.985664059,169.5817143,216.8460929,21.1576,0.782,115.9901,2.5517822,2.5152,0.54822,1.96698,22.8,NA,NA,NA,1352,apobraA6,apobra24,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
227,Apodytes brachystylis,Stratum_2_adult_plant,Brooks Valley Mungalli,-17.535,145.704,NA,NA,NA,NA,NA,NA,41.6343,0.22,51.80729758,0.2387,1.8405,8.3657,3.504692082,NA,NA,1,3,0.9159546,0.903699276,0.215696494,0.688002783,0.235487716,0.751131969,0.986620163,165.2490332,217.0564358,19.3023,0.7613,124.903,2.747866,2.7111,0.64709,2.06401,23.6,NA,NA,NA,1353,apobraA7,apobra25,Apodytes_brachystylis,Abr,0,NA,BrValley,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
228,Apodytes brachystylis,Stratum_1_seedling,Mount Baldy montane granite Atherton,-17.278,145.449,NA,NA,NA,0.3856,0.3856,NA,29.7591,0.255,52.4383849,0.2133,1.7625,6.9117,3.240365682,NA,0.19,1,2,0.75885705,0.731575626,0.156051977,0.575523648,0.205640725,0.758408515,0.964049324,193.3941713,245.8325775,19.07,0.7867,58.9873,1.50417615,1.4501,0.30932,1.14078,22.6,0.4365,0.16865,0.3,103,apobra14,apobra14,Apodytes_brachystylis,Abr,0,NA,Mt Baldy montane granite,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
229,Apodytes brachystylis,Stratum_1_seedling,QRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,apobra15,NA,Apodytes_brachystylis,Abr,0,NA,NA,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2,NA,NA
