Species,Replicate,Stage,LMA (g m-2),FMA (g m-2),DMC (%),N (mg g-1),P (mg g-1),NP ratio,Asat (area) umol m-2 s-1,Amax (area) umol m-2 s-1,Asat (mass) nmol g-1 s-1,Amax (mass) nmol g-1 s-1,Rdark (area) umol m-2 s-1,Rdark28 (area) umol m-2 s-1,Rdark25 (area) umol m-2 s-1,Rdark (mass) nmol g-1 s-1,Rdark28 (mass) nmol g-1 s-1,Rdark25 (mass) nmol g-1 s-1,PNUEsat (umol CO2 g-1 N s-1),PNUEmax (umol CO2 g-1 N s-1),PPUEsat (umol CO2 g-1 P s-1),PPUEmax (umol CO2 g-1 P s-1),Rdark (N based) (umol CO2 g-1 N s-1),Rdark28 (N based) (umol CO2 g-1 N s-1),Rdark25 (N based) (umol CO2 g-1 N s-1),Rdark (P based) umol CO2 g-1 P s-1,Rdark28 (P based) umol CO2 g-1 P s-1,Rdark25 (P based) umol CO2 g-1 P s-1,Rd28/Asat (area),Rd28/Asat (mass),Rd28/Amax (area),Rd28/Amax (mass),Rlight (area) (umol m-2 s-1),RL/RD (area),RL/RD 28 (area),RL/RD 25 (area)
Spyridium globulosum,5,1,146.610,376.271,0.390,12.606,,26.826,,,,,1.380,1.735,1.371,9.413,11.836,9.353,,,,,0.747,0.939,0.742,20.030,25.2,19.903,,,,,0.490,0.355,0.282,0.357
Spyridium globulosum,6,1,,,,,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,7,1,,,,,0.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,8,1,,,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,9,1,,,,,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,10,1,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templetonia retusa,1,1,170.548,383.562,0.445,12.910,,15.096,12.471,27.534,73.120,161.446,1.371,1.411,1.115,8.039,8.275,6.539,5.664,12.505,85.502,188.783,0.623,0.641,0.506,9.400,9.7,7.646,0.113,0.113,0.051,0.051,,,,
Templetonia retusa,2,1,223.509,456.140,0.490,14.868,,17.385,12.952,30.442,57.947,136.201,1.815,1.808,1.428,8.120,8.087,6.391,3.898,9.161,67.758,159.263,0.546,0.544,0.430,9.495,9.5,7.473,0.140,0.140,0.059,0.059,,,,
Templetonia retusa,3,1,158.744,394.619,0.402,20.145,,23.556,18.619,40.601,117.288,255.763,,,,,,,5.822,12.696,137.148,299.070,,,,,,,,,,,,,,
Templetonia retusa,4,1,175.849,433.962,0.405,16.973,,19.847,,,,,1.308,1.309,1.034,7.436,7.443,5.882,,,,,0.438,0.439,0.347,8.695,8.7,6.878,,,,,,,,
Templetonia retusa,5,1,133.624,384.279,0.348,20.449,,23.911,10.569,24.265,79.098,181.588,1.948,1.779,1.406,14.580,13.311,10.518,3.868,8.880,92.491,212.336,0.713,0.651,0.514,17.049,15.6,12.299,0.168,0.168,0.073,0.073,,,,
Templetonia retusa,6,1,,,,,1.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templetonia retusa,7,1,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templetonia retusa,8,1,,,,,0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templetonia retusa,9,1,,,,,0.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Templetonia retusa,10,1,,,,,1.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lasiocarpa,1,3,138.462,646.154,0.214,20.126,,55.236,25.634,50.723,185.133,366.333,13.232,13.438,10.822,95.567,97.054,78.159,9.199,18.202,508.088,1005.381,4.748,4.822,3.883,262.277,266.4,214.504,0.524,0.524,0.265,0.265,,,,
Acacia lasiocarpa,2,3,150.739,497.537,0.303,21.196,,58.171,38.778,73.300,257.255,486.275,4.581,4.722,3.803,30.392,31.325,25.227,12.137,22.942,706.021,1334.552,1.434,1.478,1.190,83.410,86.0,69.233,0.122,0.122,0.064,0.064,,,,
Acacia lasiocarpa,3,3,207.393,634.241,0.327,15.804,,43.373,21.294,47.673,102.675,229.869,7.170,7.496,6.037,34.570,36.145,29.108,6.497,14.545,281.787,630.861,2.187,2.287,1.842,94.876,99.2,79.885,0.352,0.352,0.157,0.157,,,,
Acacia lasiocarpa,4,3,203.871,729.032,0.280,17.420,,47.809,21.066,58.994,103.329,289.367,7.560,8.008,6.449,37.082,39.278,31.631,5.932,16.611,283.581,794.151,2.129,2.255,1.816,101.770,107.8,86.810,0.380,0.380,0.136,0.136,,,,
Acacia lasiocarpa,5,3,,,,,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lasiocarpa,6,3,,,,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lasiocarpa,7,3,,,,,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lasiocarpa,8,3,,,,,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lasiocarpa,9,3,,,,,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,1,3,113.734,394.850,0.288,18.321,,24.177,19.962,32.807,175.517,288.453,1.989,2.262,1.822,17.491,19.888,16.016,9.580,15.745,231.622,380.658,0.955,1.086,0.874,23.082,26.2,21.136,0.113,0.113,0.069,0.069,1.800,0.905,0.796,0.988
Acacia rostellifera,2,3,129.667,413.333,0.314,17.121,,22.594,16.904,36.080,130.365,278.252,1.682,1.681,1.353,12.975,12.961,10.438,7.614,16.252,172.037,367.197,0.758,0.757,0.610,17.122,17.1,13.774,0.099,0.099,0.047,0.047,1.214,0.721,0.722,0.897
Acacia rostellifera,3,3,137.714,462.857,0.298,20.844,,27.507,18.185,39.360,132.050,285.809,1.092,1.157,0.932,7.929,8.404,6.768,6.335,13.712,174.260,377.169,0.380,0.403,0.325,10.464,11.1,8.932,0.064,0.064,0.029,0.029,1.027,0.940,0.887,1.102
Acacia rostellifera,4,3,124.413,427.230,0.291,22.900,,30.220,19.332,38.366,155.389,308.377,1.985,2.101,1.692,15.951,16.886,13.598,6.786,13.466,205.059,406.952,0.697,0.737,0.594,21.050,22.3,17.945,0.109,0.109,0.055,0.055,1.670,0.841,0.795,0.987
Acacia rostellifera,5,3,,,,,0.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,6,3,,,,,0.791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,7,3,,,,,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,8,3,,,,,0.750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia rostellifera,9,3,,,,,0.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,1,3,225.385,526.923,0.428,7.001,,21.964,10.948,32.192,48.573,142.833,1.289,1.333,1.074,5.718,5.915,4.763,6.938,20.403,152.397,448.131,0.817,0.845,0.680,17.939,18.6,14.945,0.122,0.122,0.041,0.041,,,,
Banksia nivea,2,3,254.286,492.857,0.516,7.840,,24.596,18.004,52.029,70.803,204.607,1.300,1.306,1.052,5.111,5.137,4.137,9.031,26.099,222.142,641.945,0.652,0.655,0.528,16.035,16.1,12.981,0.073,0.073,0.025,0.025,,,,
Banksia nivea,3,3,270.270,556.757,0.485,6.225,,19.531,,,,,1.654,1.607,1.294,6.118,5.946,4.789,,,,,0.983,0.955,0.769,19.195,18.7,15.024,,,,,,,,
Banksia nivea,4,3,228.571,550.265,0.415,7.083,,22.222,17.471,36.444,76.435,159.444,1.966,2.004,1.614,8.600,8.768,7.061,10.792,22.512,239.812,500.250,1.214,1.238,0.997,26.981,27.5,22.154,0.115,0.115,0.055,0.055,,,,
Banksia nivea,5,3,,,,,0.280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,6,3,,,,,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,7,3,,,,,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,8,3,,,,,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banksia nivea,9,3,,,,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis linearifolia,1,3,177.733,570.850,0.311,15.182,,,17.621,25.045,99.144,140.911,3.459,3.884,3.128,19.462,21.851,17.597,6.530,9.281,,,1.282,1.439,1.159,,,,0.220,0.220,0.155,0.155,1.521,0.440,0.392,0.486
Clematis linearifolia,2,3,184.262,632.787,0.291,19.845,,,27.600,48.590,149.786,263.701,2.192,2.452,1.974,11.894,13.306,10.716,7.548,13.288,,,0.599,0.670,0.540,,,,0.089,0.089,0.050,0.050,1.709,0.780,0.697,0.866
Clematis linearifolia,3,3,168.197,570.492,0.295,24.198,,,24.236,49.928,144.094,296.842,1.212,1.320,1.063,7.207,7.850,6.322,5.955,12.267,,,0.298,0.324,0.261,,,,0.054,0.054,0.026,0.026,1.282,1.057,0.971,1.205
Melaleuca affi. systena,1,3,171.676,647.399,0.265,10.596,,22.722,13.290,35.341,77.414,205.859,3.864,3.894,3.136,22.505,22.681,18.266,7.306,19.429,166.012,441.456,2.124,2.141,1.724,48.261,48.6,39.170,0.293,0.293,0.110,0.110,,,,
Melaleuca affi. systena,2,3,182.018,653.509,0.279,11.557,,24.785,19.108,39.553,104.978,217.301,5.874,5.702,4.592,32.270,31.324,25.226,9.083,18.802,225.122,465.994,2.792,2.710,2.183,69.201,67.2,54.096,0.298,0.298,0.144,0.144,,,,
Melaleuca affi. systena,3,3,162.703,708.108,0.230,13.979,,29.977,14.189,37.135,87.209,228.239,7.865,7.337,5.908,48.339,45.093,36.314,6.239,16.328,187.017,489.450,3.458,3.226,2.598,103.661,96.7,77.875,0.517,0.517,0.198,0.198,,,,
Melaleuca affi. systena,4,3,197.143,871.429,0.226,12.050,,25.841,11.546,41.794,58.565,212.000,7.526,7.506,6.045,38.174,38.075,30.662,4.860,17.593,125.591,454.626,3.168,3.160,2.545,81.862,81.7,65.754,0.650,0.650,0.180,0.180,,,,
Melaleuca affi. systena,5,3,,,,,0.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca affi. systena,6,3,,,,,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca affi. systena,7,3,,,,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca affi. systena,8,3,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melaleuca affi. systena,9,3,,,,,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opercularia spermacocea,1,3,119.000,740.000,0.161,13.018,,,16.566,35.670,139.210,299.748,2.807,2.998,2.414,23.592,25.191,20.287,10.694,23.026,,,1.812,1.935,1.558,,,,0.181,0.181,0.084,0.084,,,,
Opercularia spermacocea,2,3,129.630,751.323,0.173,12.914,,,32.698,56.825,252.245,438.367,3.158,3.012,2.426,24.362,23.236,18.712,19.533,33.945,,,1.887,1.799,1.449,,,,0.092,0.092,0.053,0.053,,,,
Opercularia spermacocea,3,3,118.617,718.085,0.165,13.200,,,21.223,37.755,178.924,318.296,2.330,2.281,1.837,19.647,19.226,15.483,13.555,24.114,,,1.488,1.457,1.173,,,,0.107,0.107,0.060,0.060,,,,
Opercularia spermacocea,4,3,127.731,747.899,0.171,12.433,,,20.541,39.328,160.816,307.895,2.562,2.620,2.110,20.061,20.508,16.516,12.935,24.764,,,1.613,1.650,1.328,,,,0.128,0.128,0.067,0.067,,,,
Phyllanthus calycinus,1,3,90.513,341.026,0.265,27.319,,73.002,10.172,25.723,112.385,284.193,1.424,1.493,1.203,15.727,16.500,13.287,4.114,10.403,300.318,759.424,0.576,0.604,0.486,42.027,44.1,35.507,0.147,0.147,0.058,0.058,,,,
Phyllanthus calycinus,2,3,92.059,344.118,0.268,11.699,,31.264,8.695,23.682,94.447,257.252,1.244,1.263,1.017,13.511,13.720,11.049,8.073,21.988,252.383,687.434,1.155,1.173,0.944,36.103,36.7,29.525,0.145,0.145,0.053,0.053,,,,
Phyllanthus calycinus,3,3,96.089,296.089,0.325,11.297,,30.189,12.127,36.235,126.209,377.093,0.514,0.510,0.411,5.351,5.309,4.275,11.172,33.379,337.258,1007.674,0.474,0.470,0.378,14.299,14.2,11.425,0.042,0.042,0.014,0.014,,,,
Phyllanthus calycinus,4,3,114.203,342.029,0.334,10.509,,28.081,8.958,28.696,78.442,251.269,1.247,1.279,1.030,10.916,11.200,9.019,7.465,23.911,209.613,671.445,1.039,1.066,0.858,29.169,29.9,24.102,0.143,0.143,0.045,0.045,,,,
Phyllanthus calycinus,5,3,,,,,0.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus calycinus,6,3,,,,,0.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus calycinus,7,3,,,,,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus calycinus,8,3,,,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus calycinus,9,3,,,,,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,1,3,190.389,390.593,0.487,11.268,,30.476,19.890,37.890,104.468,199.012,2.110,2.138,1.722,11.085,11.229,9.043,9.271,17.662,282.556,538.269,0.984,0.997,0.803,29.981,30.4,24.458,0.107,0.107,0.056,0.056,0.438,0.208,0.205,0.255
Spyridium globulosum,2,3,152.899,373.188,0.410,11.982,,32.408,16.587,35.967,108.483,235.237,0.863,0.944,0.760,5.643,6.174,4.972,9.054,19.632,293.416,636.247,0.471,0.515,0.415,15.263,16.7,13.448,0.057,0.057,0.026,0.026,0.519,0.602,0.550,0.683
Spyridium globulosum,3,3,188.645,392.430,0.481,10.871,,29.402,18.980,43.542,100.612,230.813,0.963,1.075,0.865,5.103,5.697,4.588,9.255,21.232,272.127,624.282,0.469,0.524,0.422,13.802,15.4,12.409,0.057,0.057,0.025,0.025,0.619,0.643,0.576,0.715
Spyridium globulosum,4,3,165.235,351.738,0.470,11.951,,32.325,15.914,34.528,96.312,208.960,0.722,0.775,0.624,4.367,4.692,3.779,8.059,17.484,260.495,565.177,0.365,0.393,0.316,11.812,12.7,10.220,0.049,0.049,0.022,0.022,0.650,0.900,0.838,1.041
Spyridium globulosum,5,3,,,,,0.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,6,3,,,,,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,7,3,,,,,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,8,3,,,,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spyridium globulosum,9,3,,,,,0.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
