trip identifier,Species,Individual,Replicate,Trait,Value,Unit,latitude (deg),longitude (deg),Coordinate uncertainty (m),site_name
Bunyas,Cryptocarya bidwillii,5,3,SLA,11.123,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,5,2,SLA,9.312,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,5,1,SLA,10.816,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,1,5,SLA,9.204,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,1,4,SLA,11.484,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,1,3,SLA,12.065,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,1,2,SLA,11.122,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,1,1,SLA,8.872,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,2,5,SLA,11.8,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,2,4,SLA,12.03,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,2,3,SLA,13.872,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,2,2,SLA,11.583,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,2,1,SLA,13.182,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,3,5,SLA,16.058,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,3,4,SLA,15.507,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,3,3,SLA,12.267,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,3,2,SLA,12.186,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acronychia laevis,3,1,SLA,11.368,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,2,5,SLA,6.833,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,2,4,SLA,7.424,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,2,3,SLA,7.186,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,2,2,SLA,7.641,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,2,1,SLA,8.067,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Denhamia bilocularis,2,5,SLA,8.52,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Denhamia bilocularis,2,4,SLA,10.136,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Denhamia bilocularis,2,3,SLA,8.45,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Denhamia bilocularis,2,2,SLA,9.225,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Denhamia bilocularis,2,1,SLA,10.164,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,4,5,SLA,9.175,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,4,4,SLA,8.815,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,4,3,SLA,10.919,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,4,2,SLA,8.728,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,4,1,SLA,7.775,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,3,5,SLA,10.658,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,3,4,SLA,10.751,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,3,3,SLA,10.822,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,3,2,SLA,10.547,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Cryptocarya bidwillii,3,1,SLA,10.977,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,1,5,SLA,13.66,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,1,4,SLA,14.166,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,1,3,SLA,14.032,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,1,2,SLA,14.062,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Drypetes deplanchei,1,1,SLA,8.221,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Jasminum didymum,1,5,SLA,31.184,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Jasminum didymum,1,4,SLA,31.549,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Jasminum didymum,1,3,SLA,30.945,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Jasminum didymum,1,2,SLA,29.88,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Jasminum didymum,1,1,SLA,32.483,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,3,5,SLA,14.01,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,3,4,SLA,8.134,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,3,3,SLA,14.234,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,3,2,SLA,12.341,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,3,1,SLA,14.044,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,2,5,SLA,10.025,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,2,4,SLA,11.026,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,2,3,SLA,11.2,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,2,2,SLA,10.517,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,2,1,SLA,16.026,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,2,5,SLA,5.542,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,2,4,SLA,11.583,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,2,3,SLA,7.089,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,2,2,SLA,7.385,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,2,1,SLA,5.934,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,1,5,SLA,6.455,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,1,4,SLA,6.523,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,1,3,SLA,6.044,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,1,2,SLA,6.455,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acmena ingens,1,1,SLA,6.304,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,4,5,SLA,3.299,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,4,4,SLA,3.891,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,4,3,SLA,3.826,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,4,2,SLA,5.856,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,4,1,SLA,3.748,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,5,5,SLA,7.062,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,5,4,SLA,8.723,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,5,3,SLA,7.101,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,5,2,SLA,3.044,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,5,1,SLA,4.979,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,5,5,SLA,28.097,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,5,4,SLA,28.805,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,5,3,SLA,30.213,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,5,2,SLA,33.71,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,5,1,SLA,27.692,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,4,5,SLA,26.488,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,4,4,SLA,32.292,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,4,3,SLA,29.373,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,4,2,SLA,29.331,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,4,1,SLA,31.558,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,3,5,SLA,22.888,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,3,4,SLA,29.218,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,3,3,SLA,31.072,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,3,2,SLA,28.784,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,3,1,SLA,29.597,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,2,5,SLA,30.746,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,2,4,SLA,30.808,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,2,3,SLA,30.178,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,2,2,SLA,33.185,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,2,1,SLA,31.796,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,1,5,SLA,26.796,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,1,4,SLA,27.993,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,1,3,SLA,21.848,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,1,2,SLA,24.644,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Acalypha capillipes,1,1,SLA,29.189,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,4,5,SLA,4.512,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,4,4,SLA,5.413,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,4,3,SLA,5.467,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,4,2,SLA,5.796,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,4,1,SLA,4.417,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,3,5,SLA,3.432,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,3,4,SLA,4.787,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,3,3,SLA,4.19,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,3,2,SLA,2.754,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,3,1,SLA,3.564,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,2,5,SLA,3.528,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,2,4,SLA,4.368,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,2,3,SLA,4.718,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,2,2,SLA,4.173,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,2,1,SLA,3.912,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,1,5,SLA,4.693,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,1,4,SLA,4.457,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,1,3,SLA,4.966,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,1,2,SLA,4.218,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria cunninghamii,1,1,SLA,4.138,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,3,5,SLA,5.522,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,3,4,SLA,6.743,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,3,3,SLA,5.263,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,3,2,SLA,3.839,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,3,1,SLA,3.478,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,2,5,SLA,6.971,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,2,4,SLA,5.486,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,2,3,SLA,6.219,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,2,2,SLA,5.756,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,2,1,SLA,5.971,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,1,5,SLA,7.497,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,1,4,SLA,5.886,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,1,3,SLA,6.137,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,1,2,SLA,6.476,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Araucaria bidwillii,1,1,SLA,6.31,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,5,5,SLA,8.897,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,5,4,SLA,10.1,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,5,3,SLA,9.385,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,5,2,SLA,11.504,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,5,1,SLA,13.392,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,4,5,SLA,8.238,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,4,4,SLA,8.487,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,4,3,SLA,8.863,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,4,2,SLA,8.498,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,4,1,SLA,8.289,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,3,5,SLA,12.973,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,3,4,SLA,13.011,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,3,3,SLA,13.341,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,3,2,SLA,12.799,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,3,1,SLA,14.288,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,2,5,SLA,12.954,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,2,4,SLA,13.295,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,2,3,SLA,12.857,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,2,2,SLA,12.096,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Ripogonum brevifolium,2,1,SLA,13.115,mm^2/mg,-26.902499999999996,151.636389,15000,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,1,5,SLA,12.708,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Planchonella australis,3,5,SLA,12.33,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Planchonella australis,3,4,SLA,14.482,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Planchonella australis,3,3,SLA,14.429,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Planchonella australis,3,2,SLA,15.172,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Planchonella australis,3,1,SLA,14.008,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,1,4,SLA,15.748,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,1,3,SLA,13.398,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,1,2,SLA,13.444,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Olea paniculata,1,1,SLA,10.895,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,2,5,SLA,21.012,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,2,4,SLA,17.968,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,2,3,SLA,12.292,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,2,2,SLA,14.335,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,2,1,SLA,17.952,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,1,5,SLA,10.422,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,1,4,SLA,16.197,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,1,3,SLA,10.164,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,1,2,SLA,10.629,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Myrsine variabilis,1,1,SLA,15.381,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,3,5,SLA,10.933,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,3,4,SLA,12.082,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,3,3,SLA,10.699,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,3,2,SLA,11.254,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,3,1,SLA,12.153,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,2,5,SLA,11.166,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,2,4,SLA,12.336,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,2,3,SLA,12.475,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,2,2,SLA,11.495,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,2,1,SLA,10.988,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
Bunyas,Gossia bidwillii,1,5,SLA,13.069,mm^2/mg,-26.902499999999996,151.636389,50,site_at_-26.9025_degS_151.636389_degE
