Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment,location_name
022066-PI03,022066-PI03,Barbarea australis,Tasmanian Seed Conservation Centre,St Patricks River.,-41.305056,147.45175,,3644,,1.014,,,-20,3/22/2018,9/19/2018,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.305056_lat_and_147.45175_long
022066-PI09,022066-PI09,Barbarea australis,Tasmanian Seed Conservation Centre,St Patricks River.,-41.305056,147.45175,,1648,,1.0404,,,-20,3/22/2018,9/19/2018,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.305056_lat_and_147.45175_long
022066-PI06,022066-PI06,Barbarea australis,Tasmanian Seed Conservation Centre,St Patricks River.,-41.305056,147.45175,,3574,,0.9936,,,-20,3/22/2018,9/19/2018,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.305056_lat_and_147.45175_long
022066-PI07,022066-PI07,Barbarea australis,Tasmanian Seed Conservation Centre,St Patricks River.,-41.305056,147.45175,,1718,,0.996,,,-20,3/22/2018,9/19/2018,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.305056_lat_and_147.45175_long
022066-PI11,022066-PI11,Barbarea australis,Tasmanian Seed Conservation Centre,St Patricks River.,-41.305056,147.45175,,1676,,0.9984,,,-20,3/22/2018,9/19/2018,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.305056_lat_and_147.45175_long
004103-a,004103-a,Juncus australis,Tasmanian Seed Conservation Centre,Pyengana to Ringarooma Road. ~5km west from St. Columbia Falls turn off.,-41.307972,147.906417,,27888,,0.01,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.307972_lat_and_147.906417_long
004114-a,004114-a,Juncus bassianus,Tasmanian Seed Conservation Centre,Pyengana to Ringarooma Road. ~5km west from St. Columbia Falls turn off.,-41.307972,147.906417,,203895,,0.016333,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.307972_lat_and_147.906417_long
004114-a-trial,004114-a,Juncus bassianus,Tasmanian Seed Conservation Centre,Pyengana to Ringarooma Road. ~5km west from St. Columbia Falls turn off.,-41.307972,147.906417,,,,,,,,,,,,,,,,,,,,,,,,,,50,,92,,,,,,,,,seeds_collected_at_-41.307972_lat_and_147.906417_long
004103-a-trial-retest,004103-a,Juncus australis,Tasmanian Seed Conservation Centre,Pyengana to Ringarooma Road. ~5km west from St. Columbia Falls turn off.,-41.307972,147.906417,,,,,,,,,,,,,,,,,,,,6/18/2019,,,,,,,,100,,,,,,,,,seeds_collected_at_-41.307972_lat_and_147.906417_long
004103-a-trial,004103-a,Juncus australis,Tasmanian Seed Conservation Centre,Pyengana to Ringarooma Road. ~5km west from St. Columbia Falls turn off.,-41.307972,147.906417,,,,,,,,,,,,,,,,,,,,,,,,,,50,,100,,,,,,,,,seeds_collected_at_-41.307972_lat_and_147.906417_long
004114-a-trial-retest,004114-a,Juncus bassianus,Tasmanian Seed Conservation Centre,Pyengana to Ringarooma Road. ~5km west from St. Columbia Falls turn off.,-41.307972,147.906417,,,,,,,,,,,,,,,,,,,,12/17/2019,,,,,,,,97,,,,,,,,,seeds_collected_at_-41.307972_lat_and_147.906417_long
008008-a,008008-a,Lycopus australis,Tasmanian Seed Conservation Centre,Rubicon River. 1km downstream from 'Smith & Others' Road bridge.,-41.308694,146.561944,,1616,,0.5736,,,-20,5/29/2008,5/14/2009,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.308694_lat_and_146.561944_long
001463-a,001463-a,Dichelachne crinita,Tasmanian Seed Conservation Centre,"St Helens Point, west edge of Peron Dunes.",-41.309889,148.318028,,7973,,0.352,,,-20,1/12/2006,7/12/2006,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.309889_lat_and_148.318028_long
001463-a-trial,001463-a,Dichelachne crinita,Tasmanian Seed Conservation Centre,"St Helens Point, west edge of Peron Dunes.",-41.309889,148.318028,,,,,,,,1/12/2006,7/12/2006,,,,,,,,,,,7/12/2006,,,,,,25,,100,,,,,,,,,seeds_collected_at_-41.309889_lat_and_148.318028_long
006083-a,006083-a,Hackelia latifolia,Tasmanian Seed Conservation Centre,"Just east of Parramatta Creek, north of Merseylea.",-41.321389,146.467778,,2279,,1.3372,,,-20,2/11/2008,7/16/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.321389_lat_and_146.467778_long
006083-a-trial,006083-a,Hackelia latifolia,Tasmanian Seed Conservation Centre,"Just east of Parramatta Creek, north of Merseylea.",-41.321389,146.467778,,,,,,,,2/11/2008,7/16/2008,,,,,,,,,,,7/16/2008,,,,,,25,,97,,,,,,,,,seeds_collected_at_-41.321389_lat_and_146.467778_long
005159-a,005159-a,Conospermum hookeri,Tasmanian Seed Conservation Centre,"St. Helens Point. Stieglitz. 100m from left of Dawson Road, just beyond end of houses.",-41.323611,148.305944,,813,,1.886,,,-20,12/14/2007,4/17/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.323611_lat_and_148.305944_long
003014-a,003014-a,Austrostipa mollis,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. 300m along Dawsons Road.,-41.325417,148.307333,,1856,,3.4812,,,-20,12/20/2006,3/26/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.325417_lat_and_148.307333_long
003014-a-trial,003014-a,Austrostipa mollis,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. 300m along Dawsons Road.,-41.325417,148.307333,,,,,,,,12/20/2006,3/26/2007,,,,,,,,,,,3/26/2007,,,,,,20,,82,,,,,,,,,seeds_collected_at_-41.325417_lat_and_148.307333_long
022220-a,022220-a,Pimelea filiformis,Tasmanian Seed Conservation Centre,Eaglehawk Creek. ~8.5km south of Lilydale.,-41.327806,147.238806,,253,,2.0332,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.327806_lat_and_147.238806_long
022704-a,022704-a,Pimelea filiformis,Tasmanian Seed Conservation Centre,Eaglehawk Creek. ~8.5km south of Lilydale.,-41.327806,147.238806,,820,,2.4548,,,-20,1/17/2020,4/19/2023,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.327806_lat_and_147.238806_long
016478-a,016478-a,Grevillea australis,Tasmanian Seed Conservation Centre,Pipers River Forest Reserve. Western flank of Mt Arthur along Eaglehawk Road.,-41.327806,147.238806,,130,,9.6330769,,,-20,1/24/2013,9/18/2013,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.327806_lat_and_147.238806_long_2
003883-a,003883-a,Goodenia humilis,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Western margin of Windmill Lagoon.,-41.330306,148.311111,,3864,,0.0516,,,-20,2/14/2007,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.330306_lat_and_148.311111_long
003883-a-trial,003883-a,Goodenia humilis,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Western margin of Windmill Lagoon.,-41.330306,148.311111,,,,,,,,2/14/2007,,,,,,,,,,,,,,,,,,20,,5,,,,,,,,,seeds_collected_at_-41.330306_lat_and_148.311111_long
004675-a,004675-a,Schoenus brevifolius,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Marshland south of Windmill Lagoon.,-41.330333,148.311111,,4419,,0.4748,,,-20,,9/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.330333_lat_and_148.311111_long
012001-a,012001-a,Liparophyllum exaltatum,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Windmill Lagoon.,-41.330444,148.312111,,9204,,1.3076,,,-20,1/21/2010,7/19/2010,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.330444_lat_and_148.312111_long
012001-a-trial,012001-a,Liparophyllum exaltatum,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Windmill Lagoon.,-41.330444,148.312111,,,,,,,,1/21/2010,7/19/2010,,,,,,,,,,,7/19/2010,,,,,,30,,77,,,,,,,,,seeds_collected_at_-41.330444_lat_and_148.312111_long
003003-a,003003-a,Lepyrodia muelleri,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Windmill Lagoon.,-41.331278,148.311222,,21775,,0.0924,,,-20,12/20/2006,3/22/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.331278_lat_and_148.311222_long
003003-a-trial,003003-a,Lepyrodia muelleri,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. Windmill Lagoon.,-41.331278,148.311222,,,,,,,,12/20/2006,3/22/2007,,,,,,,,,,,3/22/2007,,,,,,50,,76,,,,,,,,,seeds_collected_at_-41.331278_lat_and_148.311222_long
003619-a,003619-a,Drosera spatulata var. spatulata,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. West side of Windmall Lagoon.,-41.331333,148.310833,,3731,,0.022,,,-20,1/25/2007,4/19/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.331333_lat_and_148.310833_long
003619-a-trial,003619-a,Drosera spatulata var. spatulata,Tasmanian Seed Conservation Centre,St. Helens Point Conservation Area. West side of Windmall Lagoon.,-41.331333,148.310833,,,,,,,,1/25/2007,4/19/2007,,,,,,,,,,,4/19/2007,,,,,,20,,96,,,,,,,,,seeds_collected_at_-41.331333_lat_and_148.310833_long
007898-a,007898-a,Nothofagus cunninghamii,Tasmanian Seed Conservation Centre,Mt Victoria Forest Reserve. Mt Victoria.,-41.332611,147.840389,,2037,,1.5016,,,-20,4/27/2008,11/12/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.332611_lat_and_147.840389_long
007898-a-trial,007898-a,Nothofagus cunninghamii,Tasmanian Seed Conservation Centre,Mt Victoria Forest Reserve. Mt Victoria.,-41.332611,147.840389,,,,,,,,4/27/2008,11/12/2008,,,,,,,,,,,11/12/2008,,,,,,20,,94,,,,,,,,,seeds_collected_at_-41.332611_lat_and_147.840389_long
007887-a,007887-a,Bellendena montana,Tasmanian Seed Conservation Centre,Mt Victoria. Heathland below summit along Mt Victoria walking trail.,-41.333833,147.833778,,17958,,13.476,,,-20,4/27/2008,10/14/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.333833_lat_and_147.833778_long
007887-a-trial,007887-a,Bellendena montana,Tasmanian Seed Conservation Centre,Mt Victoria. Heathland below summit along Mt Victoria walking trail.,-41.333833,147.833778,,,,,,,,4/27/2008,10/14/2008,,,,,,,,,,,10/14/2008,,,,,,50,,8,,,,,,,,,seeds_collected_at_-41.333833_lat_and_147.833778_long
006270-a,006270-a,Gentianella diemensis subsp. plantaginea,Tasmanian Seed Conservation Centre,Mt. Barrow State Reserve. Lookout below summit of Mt. Barrow.,-41.378472,147.425222,,7084,,0.2588,,,-20,,9/15/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.378472_lat_and_147.425222_long
006259-a,006259-a,Euphrasia collina subsp. diemenica,Tasmanian Seed Conservation Centre,Mt. Barrow State Reserve. Lookout below summit of Mt. Barrow.,-41.378472,147.425222,,4076,,0.0976,,,-20,,9/15/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.378472_lat_and_147.425222_long
006270-a-trial,006270-a,Gentianella diemensis subsp. plantaginea,Tasmanian Seed Conservation Centre,Mt. Barrow State Reserve. Lookout below summit of Mt. Barrow.,-41.378472,147.425222,,,,,,,,,9/15/2008,,,,,,,,,,,9/15/2008,,,,,,25,,45,,,,,,,,,seeds_collected_at_-41.378472_lat_and_147.425222_long
006259-a-trial,006259-a,Euphrasia collina subsp. diemenica,Tasmanian Seed Conservation Centre,Mt. Barrow State Reserve. Lookout below summit of Mt. Barrow.,-41.378472,147.425222,,,,,,,,,9/15/2008,,,,,,,,,,,9/15/2008,,,,,,30,,58,,,,,,,,,seeds_collected_at_-41.378472_lat_and_147.425222_long
001364-a,001364-a,Rytidosperma setaceum,Tasmanian Seed Conservation Centre,"Tamar Island, north side.",-41.382083,147.085472,,2222,,0.5316,,,-20,,7/13/2006,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.382083_lat_and_147.085472_long
001375-a,001375-a,Juncus gregiflorus,Tasmanian Seed Conservation Centre,"Tamar Island, top of hill.",-41.382083,147.085472,,110281,,0.012,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.382083_lat_and_147.085472_long_2
001375-a-trial-retest,001375-a,Juncus gregiflorus,Tasmanian Seed Conservation Centre,"Tamar Island, top of hill.",-41.382083,147.085472,,,,,,,,,,,,,,,,,,,,8/21/2018,,,,,,,,94,,,,,,,,,seeds_collected_at_-41.382083_lat_and_147.085472_long_2
001375-a-trial,001375-a,Juncus gregiflorus,Tasmanian Seed Conservation Centre,"Tamar Island, top of hill.",-41.382083,147.085472,,,,,,,,,,,,,,,,,,,,,,,,,,25,,100,,,,,,,,,seeds_collected_at_-41.382083_lat_and_147.085472_long_2
001364-a-trial,001364-a,Rytidosperma setaceum,Tasmanian Seed Conservation Centre,"Tamar Island, north side.",-41.382083,147.085472,,,,,,,,,7/13/2006,,,,,,,,,,,7/13/2006,,,,,,20,,96,,,,,,,,,seeds_collected_at_-41.382083_lat_and_147.085472_long
001364-a-trial-retest,001364-a,Rytidosperma setaceum,Tasmanian Seed Conservation Centre,"Tamar Island, north side.",-41.382083,147.085472,,,,,,,,,7/13/2006,,,,,,,,,,,8/13/2018,,,,,,,,100,,,,,,,,,seeds_collected_at_-41.382083_lat_and_147.085472_long
013145-a,013145-a,Calystegia sepium subsp. sepium,Tasmanian Seed Conservation Centre,Launceston. Tamar Island broadwalk. 200m from start.,-41.385694,147.076639,,1667,,30.6688,,,-20,3/10/2010,7/22/2010,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.385694_lat_and_147.076639_long
013145-a-trial,013145-a,Calystegia sepium subsp. sepium,Tasmanian Seed Conservation Centre,Launceston. Tamar Island broadwalk. 200m from start.,-41.385694,147.076639,,,,,,,,3/10/2010,7/22/2010,,,,,,,,,,,7/22/2010,,,,,,20,,97,,,,,,,,,seeds_collected_at_-41.385694_lat_and_147.076639_long
020823-a,020823-a,Pomaderris phylicifolia subsp. ericoides,Tasmanian Seed Conservation Centre,Evercreech.,-41.39075,147.974972,,4704,,0.7128,,,-20,1/24/2017,7/19/2017,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.39075_lat_and_147.974972_long
004477-a,004477-a,Gonocarpus micranthus subsp. micranthus,Tasmanian Seed Conservation Centre,Dark Hollow Creek Wetland. East side of Tasman Highway. North of Beaumaris.,-41.402667,148.283361,,5761,,0.216,,,-20,4/25/2007,7/20/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.402667_lat_and_148.283361_long
004477-a-trial,004477-a,Gonocarpus micranthus subsp. micranthus,Tasmanian Seed Conservation Centre,Dark Hollow Creek Wetland. East side of Tasman Highway. North of Beaumaris.,-41.402667,148.283361,,,,,,,,4/25/2007,7/20/2007,,,,,,,,,,,7/20/2007,,,,,,25,,100,,,,,,,,,seeds_collected_at_-41.402667_lat_and_148.283361_long
004444-a,004444-a,Pseudognaphalium luteoalbum,Tasmanian Seed Conservation Centre,Burnt out wetland east side of Tasman Highway. 1km north of Beaumaris.,-41.402722,148.2835,,27304,,0.017666,,,-20,,7/25/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.402722_lat_and_148.2835_long
004444-a,004444-a,Pseudognaphalium luteoalbum,Tasmanian Seed Conservation Centre,Burnt out wetland east side of Tasman Highway. 1km north of Beaumaris.,-41.402722,148.2835,,27304,,0.017666,,,-20,,7/25/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.402722_lat_and_148.2835_long
004444-a-trial,004444-a,Pseudognaphalium luteoalbum,Tasmanian Seed Conservation Centre,Burnt out wetland east side of Tasman Highway. 1km north of Beaumaris.,-41.402722,148.2835,,,,,,,,,7/25/2007,,,,,,,,,,,7/25/2007,,,,,,50,,100,,,,,,,,,seeds_collected_at_-41.402722_lat_and_148.2835_long
004444-a-trial,004444-a,Pseudognaphalium luteoalbum,Tasmanian Seed Conservation Centre,Burnt out wetland east side of Tasman Highway. 1km north of Beaumaris.,-41.402722,148.2835,,,,,,,,,7/25/2007,,,,,,,,,,,7/25/2007,,,,,,50,,100,,,,,,,,,seeds_collected_at_-41.402722_lat_and_148.2835_long
010384-a,010384-a,Teucrium corymbosum,Tasmanian Seed Conservation Centre,Launceston. Boral Quarry.,-41.403611,147.157222,,21582,,0.686,,,-20,1/27/2009,4/20/2010,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.403611_lat_and_147.157222_long
010384-a-trial,010384-a,Teucrium corymbosum,Tasmanian Seed Conservation Centre,Launceston. Boral Quarry.,-41.403611,147.157222,,,,,,,,1/27/2009,4/20/2010,,,,,,,,,,,4/20/2010,,,,,,50,,19,,,,,,,,,seeds_collected_at_-41.403611_lat_and_147.157222_long
005148-a,005148-a,Austrostipa flavescens,Tasmanian Seed Conservation Centre,Beumaris. Roadside ~500m north of Beumaris Pub.,-41.408278,148.281806,,15565,,3.5844,,,-20,12/13/2007,4/17/2008,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.408278_lat_and_148.281806_long
019492-a,019492-a,Acacia pataczekii,Tasmanian Seed Conservation Centre,Ben Nevis. Telopea Road.,-41.40875,147.649472,,327,,11.8348623,,,-20,3/22/2015,6/22/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.40875_lat_and_147.649472_long
000462-a,000462-a,Eucalyptus sieberi,Tasmanian Seed Conservation Centre,Beaumaris. 300m inland from Beaumaris Pub.,-41.411433,148.266033,,6170,,3.4124,,,-20,,7/20/2006,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.411433_lat_and_148.266033_long
000462-a-trial,000462-a,Eucalyptus sieberi,Tasmanian Seed Conservation Centre,Beaumaris. 300m inland from Beaumaris Pub.,-41.411433,148.266033,,,,,,,,,7/20/2006,,,,,,,,,,,7/20/2006,,,,,,25,,100,,,,,,,,,seeds_collected_at_-41.411433_lat_and_148.266033_long
003036-a,003036-a,Olearia ericoides,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub.,-41.412833,148.266389,,18785,,0.1944,,,-20,12/21/2006,4/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.412833_lat_and_148.266389_long
003036-a,003036-a,Olearia ericoides,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub.,-41.412833,148.266389,,18785,,0.1944,,,-20,12/21/2006,4/18/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.412833_lat_and_148.266389_long
003036-a-trial,003036-a,Olearia ericoides,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub.,-41.412833,148.266389,,,,,,,,12/21/2006,4/18/2007,,,,,,,,,,,4/18/2007,,,,,,50,,77,,,,,,,,,seeds_collected_at_-41.412833_lat_and_148.266389_long
003036-a-trial,003036-a,Olearia ericoides,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub.,-41.412833,148.266389,,,,,,,,12/21/2006,4/18/2007,,,,,,,,,,,4/18/2007,,,,,,50,,77,,,,,,,,,seeds_collected_at_-41.412833_lat_and_148.266389_long
002992-a,002992-a,Hovea corrickiae,Tasmanian Seed Conservation Centre,Yarmouth Creek. Small gully 300m inland from Beaumaris Pub.,-41.412861,148.264917,,1993,,28.2016,,,-20,12/20/2006,3/23/2007,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.412861_lat_and_148.264917_long
002992-a-trial,002992-a,Hovea corrickiae,Tasmanian Seed Conservation Centre,Yarmouth Creek. Small gully 300m inland from Beaumaris Pub.,-41.412861,148.264917,,,,,,,,12/20/2006,3/23/2007,,,,,,,,,,,3/23/2007,,,,,,21,,86,,,,,,,,,seeds_collected_at_-41.412861_lat_and_148.264917_long
002992-a-trial-retest,002992-a,Hovea corrickiae,Tasmanian Seed Conservation Centre,Yarmouth Creek. Small gully 300m inland from Beaumaris Pub.,-41.412861,148.264917,,,,,,,,12/20/2006,3/23/2007,,,,,,,,,,,,,,,,,,,85,,,,,,,,,seeds_collected_at_-41.412861_lat_and_148.264917_long
001441-a,001441-a,Lepidosperma concavum,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub on private bush block.,-41.412889,148.264611,,1115,,4.926,,,-20,1/12/2006,6/22/2006,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.412889_lat_and_148.264611_long
001430-a,001430-a,Pomaderris aspera,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub on private bush block.,-41.412889,148.264611,,3079,,0.7576,,,-20,1/12/2006,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.412889_lat_and_148.264611_long
001430-a-trial,001430-a,Pomaderris aspera,Tasmanian Seed Conservation Centre,300m inland from Beaumaris Pub on private bush block.,-41.412889,148.264611,,,,,,,,1/12/2006,,,,,,,,,,,,,,,,,,20,,93,,,,,,,,,seeds_collected_at_-41.412889_lat_and_148.264611_long
000473-a,000473-a,Juncus sarophorus,Tasmanian Seed Conservation Centre,Beaumaris. 200m inland of Beaumaris Pub.,-41.41305,148.268183,,465348,,0.0148,,,-20,,7/20/2006,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.41305_lat_and_148.268183_long
000473-a-trial,000473-a,Juncus sarophorus,Tasmanian Seed Conservation Centre,Beaumaris. 200m inland of Beaumaris Pub.,-41.41305,148.268183,,,,,,,,,7/20/2006,,,,,,,,,,,7/20/2006,,,,,,50,,100,,,,,,,,,seeds_collected_at_-41.41305_lat_and_148.268183_long
020108-a,020108-a,Epacris curtisiae,Tasmanian Seed Conservation Centre,Arthur-Pieman Conservation Area.,-41.416694,145.037139,,12913,,0.037,,,-20,1/14/2016,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.416694_lat_and_145.037139_long
020020-a,020020-a,Euphrasia gibbsiae subsp. kingii,Tasmanian Seed Conservation Centre,Arthur-Pieman Conservation Area. Norfolk Road.,-41.416694,145.037139,,1251,,0.19,,,-20,12/16/2015,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.416694_lat_and_145.037139_long_2
020108-a-trial,020108-a,Epacris curtisiae,Tasmanian Seed Conservation Centre,Arthur-Pieman Conservation Area.,-41.416694,145.037139,,,,,,,,1/14/2016,,,,,,,,,,,,,,,,,,60,,93,,,,,,,,,seeds_collected_at_-41.416694_lat_and_145.037139_long
019503-a,019503-a,Persoonia muelleri var. muelleri,Tasmanian Seed Conservation Centre,Ben Nevis. Telopea Road,-41.420361,147.649028,,8915,,139.7937007,,,-20,3/22/2015,6/16/2016,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.420361_lat_and_147.649028_long
022198-a,022198-a,Hibbertia mathinnicola,Tasmanian Seed Conservation Centre,Scamander. Trout Road.,-41.427444,148.205722,,2932,,2.4572,,,-20,,,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.427444_lat_and_148.205722_long
010978-a,010978-a,Hibbertia mathinnicola,Tasmanian Seed Conservation Centre,Scamander. Trout Road.,-41.427444,148.205722,,663,,1.9112,,,-20,12/17/2009,7/19/2010,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.427444_lat_and_148.205722_long
017688-a,017688-a,Hibbertia mathinnicola,Tasmanian Seed Conservation Centre,Scamander. Trout Road.,-41.427444,148.205722,,4501,,3.194,,,-20,1/28/2014,8/20/2014,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.427444_lat_and_148.205722_long
021197-a,021197-a,Hibbertia mathinnicola,Tasmanian Seed Conservation Centre,Scamander. Trout Road.,-41.427444,148.205722,,189,,1.426455,,,-20,,11/16/2017,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.427444_lat_and_148.205722_long
017688-a-trial,017688-a,Hibbertia mathinnicola,Tasmanian Seed Conservation Centre,Scamander. Trout Road.,-41.427444,148.205722,,,,,,,,1/28/2014,8/20/2014,,,,,,,,,,,8/20/2014,,,,,,20,,76,,,,,,,,,seeds_collected_at_-41.427444_lat_and_148.205722_long
022198-a-trial,022198-a,Hibbertia mathinnicola,Tasmanian Seed Conservation Centre,Scamander. Trout Road.,-41.427444,148.205722,,,,,,,,,,,,,,,,,,,,,,,,,,20,,54,,,,,,,,,seeds_collected_at_-41.427444_lat_and_148.205722_long
010901-a,010901-a,Hierochloe rariflora,Tasmanian Seed Conservation Centre,Scamander. Eastern Creek Road.,-41.427778000000004,148.197361,,721,,0.54,,,-20,12/13/2009,4/22/2010,Tasmanian Seed Conservation Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,seeds_collected_at_-41.427778_lat_and_148.197361_long
010901-a-trial,010901-a,Hierochloe rariflora,Tasmanian Seed Conservation Centre,Scamander. Eastern Creek Road.,-41.427778000000004,148.197361,,,,,,,,12/13/2009,4/22/2010,,,,,,,,,,,4/22/2010,,,,,,10,,74,,,,,,,,,seeds_collected_at_-41.427778_lat_and_148.197361_long
