Species code ,Species name ,Location_written,Latitude,Longitude,PFT_Gosper2012,Veg_type,Time_from_fire_to_fGrounder,Fire_response,Serotiny,Soil_seedbank,Comeditive_stratum,Lifespan,location
MELPLA ,Melaleuca platycalyx ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,54,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
MELSUB ,Melaleuca subtrigona ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,K ,18,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
MELUNC ,Melaleuca uncinata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RSshrub ,W ,18,Resprout,Yes,No,Mid,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
MICSTI ,Microlaena stipoides ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,W ,18,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
MIRDIL ,Mirbelia dilatata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,42,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
MONGRA ,Monotaxis grandiflora var. grandiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,30,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
MUEADP ,Muehlenbeckia adpressa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Mid,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
NEUALO ,Neurachne alopecuroidea ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
OPEVAG ,Opercularia vaginata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PARNIG ,Paracaleana nigrita ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,K ,42,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan"
PATJUN ,Patersonia juncea ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PATOCC ,Patersonia occidentalis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,42,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PERTRI ,Persoonia trinervis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,66,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
PETBRE ,Petrophile brevifolia ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,18,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
PETDIV ,Petrophile divaricata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,KW ,42,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PETSQUSQ ,Petrophile squamata subsp. squamata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NSshrub ,K ,90,Killed,Yes,No,Mid,Long,"Tutanning Nature Reserve, Kwongan"
PTEREC ,Pterostylis recurva ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,W ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
PTESAR ,Pterostylis sargentii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PTESPI ,Pterostylis sp. Inland ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PTESPA ,Pterostylis spathulata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,18,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PTEVIT ,Pterostylis vittata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
PTIMAN ,Ptilotus manglesii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,W ,54,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
PYRNIG ,Pyrorchis nigricans ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,K ,30,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan"
RYTCASE ,Rytidosperma caespitosum/setaceum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
SCHPLE ,Schoenus pleiostemoneus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
SCHA2K ,Schoenus sp. A2 Kulin ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
SCHSUB ,Schoenus subflavus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
SOLOLD ,Solanum oldfieldii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,KW ,18,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
SOWLAX ,Sowerbaea laxiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STAMON ,Stackhousia monogyna ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STAPUB ,Stackhousia pubescens ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYAFF ,Stylidium affine ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,6,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYCAR ,Stylidium caricifolium ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,42,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
STYERI ,Stylidium eriopodum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,18,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYEXP ,Stylidium expeditionis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,30,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
STYPET ,Stylidium petiolare ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYPIL ,Stylidium piliferum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,6,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYREP ,Stylidium repens ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,54,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
STYTEN ,Stylidium tenuicarpum ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,6,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYZEI ,Stylidium zeicolor ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,KW ,54,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
STYGLA ,Stypandra glauca ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,54,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
SYNINT ,Synaphea interioris ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,30,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
THOFOL ,Thomasia foliosa ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,W ,66,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, wandoo and she-oak woodland"
THYPAT ,Thysanotus patersonii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Geo ,KW ,6,Geophyte,No,,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
THYSPA ,Thysanotus sparteus ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,K ,66,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
TRISPA ,Trichocline spathulata ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,W ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, wandoo and she-oak woodland"
TRIELA ,Tricoryne elatior ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNGround ,KW ,6,Resprout,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
TRIBRU ,Tripterococcus brunonis ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,Ephem ,KW ,6,,No,Yes,Ground,Short,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
VERACE ,Verticordia acerosa var. preissii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,30,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
VERDEN ,Verticordia densiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,42,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
VERGRA ,Verticordia grandiflora ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,K ,18,Resprout,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
VERHUE ,Verticordia huegelii var. tridens ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,54,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
VERPIC ,Verticordia picta ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNshrub ,K ,54,Killed,No,Yes,Mid,Long,"Tutanning Nature Reserve, Kwongan"
XANDRU ,Xanthorrhoea drummondii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,RNshrub ,KW ,30,Resprout,No,No,Mid,Long,"Tutanning Nature Reserve, Kwongan and wandoo and she-oak woodland"
XANHUE ,Xanthosia huegelii ,"Tutanning Nature Reserve, Western Australia",-32.5478,117.3348,NNGround ,K ,6,Killed,No,Yes,Ground,Long,"Tutanning Nature Reserve, Kwongan"
