current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Aristida longicollis,Australia,Tussock,NA,NA,Hemicryophyte,0.8,not_vegetative,C4,90,180,2,3,simple,202.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4,6.5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida macroclada subsp. macroclada,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,150,300,1,2.3,simple,222.75,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,8,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida macroclada subsp. queenslandica,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,150,300,1,2.3,simple,222.75,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,8,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida muricata,Australia,Tussock,NA,NA,Hemicryophyte,0.9,not_vegetative,C4,90,190,1,2,simple,126,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida nitidula,Australia,Tussock,NA,NA,Hemicryophyte,0.82,not_vegetative,C4,120,170,0.7,1,simple,73.95,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.6,6,NA,NA,0.001942,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida perniciosa,Australia,Tussock,NA,NA,Hemicryophyte,1.37,not_vegetative,C4,100,200,2,3,simple,225,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5.4,7.6,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida personata,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,80,160,1,2.5,simple,126,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,6,8.5,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida polyclados,Australia,Tussock,NA,NA,Therophyte,0.4,not_vegetative,C4,80,110,0.5,1.8,simple,65.55,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.7,5.6,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Aristida pruinosa,Australia,Tussock,NA,NA,Hemicryophyte,1.53,not_vegetative,C4,200,400,2,4.5,simple,585,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,5,8.3,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida psammophila,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,70,150,1.5,1.5,simple,99,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.8,5.3,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Aristida queenslandica,Australia,Tussock,NA,NA,Hemicryophyte,1,not_vegetative,C4,200,400,2,2,simple,360,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4.1,6.1,NA,NA,7.52e-4,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
