species,individual,birthtime,deathtime,no_flowers,longevity_days,symmetry,infloheight_m,habit,height_m,inflosize_cm,flowersperplant,budsperplant,florallength_cm,floraldiam_cm,colour,tube,site,latitude,longitude
Kunzea capitata,Kcap01,2021-10-12T20:24:04Z,2021-10-21T19:28:29Z,7,8.96140873,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Kunzea capitata,Kcap02,2021-10-12T11:29:52Z,2021-10-19T02:06:55Z,9,6.609061214,actinomorphic,0.52,shrub (woody plant branching from the base),0.76,2,15,25,1.5,1.4,"pink, purple",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Kunzea capitata,Kcap03,2021-10-13T00:03:22Z,2021-10-20T11:43:56Z,8,7.486507523,actinomorphic,0.43,shrub (woody plant branching from the base),0.5,2.4,9,30,1.1,1.6,"pink, purple",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Kunzea capitata,Kcap04,2021-10-08T21:53:03Z,2021-10-17T20:22:59Z,4,8.937456597,actinomorphic,0.54,shrub (woody plant branching from the base),0.67,2.1,50,12,1.6,1.6,"pink, purple",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Kunzea capitata,Kcap05,2021-10-11T03:23:04Z,2021-10-19T15:48:03Z,7,8.517349537,actinomorphic,0.7,shrub (woody plant branching from the base),0.73,2.2,13,45,0.9,1.1,"pink, purple",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Kunzea capitata,Kcap06,2021-10-14T01:59:21Z,2021-10-20T03:03:05Z,2,6.044259259,actinomorphic,0.35,shrub (woody plant branching from the base),0.45,1.5,16,40,1.4,1.1,"pink, purple",absent,"Murrua Trail, North Turramurra",-33.69307,151.1445
Leucopogon ericoides,Leri02,2021-08-03T15:43:22Z,2021-08-12T16:18:03Z,18,9.024084362,actinomorphic,1.5,shrub (woody plant branching from the base),2.15,2.5,100,1000,0.5,0.5,white,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Leucopogon ericoides,Leri03,2021-08-29T03:32:57Z,2021-09-02T20:03:54Z,14,4.688162202,actinomorphic,1.05,shrub (woody plant branching from the base),1.35,4,1000,1000,0.5,0.5,white,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Leucopogon ericoides,Leri04,2021-08-15T00:38:30Z,2021-08-19T17:25:38Z,24,4.699405864,actinomorphic,0.6,shrub (woody plant branching from the base),1.5,4,10,1000,0.5,0.4,white,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Leucopogon ericoides,Leri05,2021-08-11T10:06:04Z,2021-08-18T07:46:15Z,22,6.90290404,actinomorphic,0.47,shrub (woody plant branching from the base),0.7,2,8,130,0.5,0.5,white,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Leucopogon ericoides,Leri06,2021-08-24T09:34:16Z,2021-09-01T11:44:31Z,17,8.090446623,actinomorphic,1.15,shrub (woody plant branching from the base),2.15,1.8,1000,1000,0.4,0.4,white,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Lomandra longifolia,Llon01,2022-09-16T12:53:51Z,2022-09-29T05:37:28Z,11,12.69694865,actinomorphic,0.34,herb,0.65,26.5,380,160,0.5,0.15,"white, yellow",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Lomandra longifolia,Llon02,2022-09-17T19:34:41Z,2022-09-25T12:56:01Z,13,7.723157051,actinomorphic,0.35,herb,0.52,25,400,100,0.7,0.2,"white, yellow",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Lomandra longifolia,Llon03,2022-09-17T02:37:07Z,2022-09-26T04:40:36Z,9,9.085749743,actinomorphic,0.51,herb,0.75,21,150,130,0.6,0.2,"white, yellow",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Lomandra longifolia,Llon04,2022-09-17T03:08:27Z,2022-09-26T06:31:41Z,9,9.141126543,actinomorphic,0.39,herb,0.59,30,270,150,0.6,0.25,"white, yellow",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Lomandra longifolia,Llon05,2022-09-15T10:39:52Z,2022-09-25T20:40:59Z,12,10.41744695,actinomorphic,0.4,herb,0.81,27,300,300,0.5,0.1,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Mitrasacme polymorpha,Mpol01,2022-10-22T14:38:42Z,2022-10-28T01:14:02Z,7,5.441203704,actinomorphic,0.12,shrub (woody plant branching from the base),0.22,1.5,4,25,0.5,1.5,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Mitrasacme polymorpha,Mpol03,2022-10-25T08:05:23Z,2022-10-29T16:27:13Z,6,4.348501157,actinomorphic,0.15,shrub (woody plant branching from the base),0.18,1.2,1,15,0.5,1.2,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Mitrasacme polymorpha,Mpol04,2022-10-28T14:55:08Z,2022-11-03T04:20:20Z,7,5.55917328,actinomorphic,0.06,shrub (woody plant branching from the base),0.16,1.15,3,30,0.45,1.15,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Mitrasacme polymorpha,Mpol05,2022-10-27T18:59:09Z,2022-11-03T23:01:11Z,5,7.168078704,actinomorphic,0.14,shrub (woody plant branching from the base),0.22,1.4,3,20,0.5,1.4,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Mitrasacme polymorpha,Mpol06,2022-11-04T06:01:36Z,2022-11-08T15:05:55Z,8,4.378000579,actinomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yondell Ave, Springwood",-33.717968,150.55742
Olax stricta,Ostr01,2022-10-11T15:56:32Z,2022-10-13T21:40:14Z,4,2.238680556,actinomorphic,0.95,shrub (woody plant branching from the base),1.37,9,40,90,0.4,0.8,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Olax stricta,Ostr02,2022-10-10T23:18:30Z,2022-10-12T20:51:50Z,4,1.898148148,actinomorphic,0.35,shrub (woody plant branching from the base),0.96,20,3,15,0.4,0.9,white,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Olax stricta,Ostr03,2022-10-13T19:31:26Z,2022-10-17T04:50:30Z,3,3.388240741,actinomorphic,0.67,shrub (woody plant branching from the base),0.9,22,3,4,0.4,0.5,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Olax stricta,Ostr04,2022-11-08T14:26:52Z,2022-11-12T16:31:07Z,2,4.086284722,actinomorphic,0.61,shrub (woody plant branching from the base),0.73,1,0,4,0.4,0.3,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Philotheca hispidula,Phis01,2022-09-20T16:07:41Z,2022-09-28T15:21:22Z,6,7.967841435,actinomorphic,0.86,shrub (woody plant branching from the base),0.87,2.8,35,45,0.4,2.1,white,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Philotheca hispidula,Phis02,2022-09-24T00:20:06Z,2022-10-02T03:23:53Z,7,8.127617394,actinomorphic,1.07,shrub (woody plant branching from the base),1.11,4,18,45,0.5,2.1,white,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Philotheca hispidula,Phis03,2022-09-21T17:36:11Z,2022-09-29T02:04:10Z,12,7.352761381,actinomorphic,0.4,shrub (woody plant branching from the base),0.65,7,60,60,0.6,2.1,white,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Philotheca hispidula,Phis04,2022-09-23T06:24:53Z,2022-09-29T21:40:39Z,8,6.635959201,actinomorphic,0.2,shrub (woody plant branching from the base),0.45,6,25,70,0.6,2.5,white,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Philotheca hispidula,Phis05,2022-09-26T04:52:57Z,2022-10-03T15:25:52Z,10,7.439525463,actinomorphic,0.97,shrub (woody plant branching from the base),1.35,4,3,45,0.5,2.5,white,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Pimelea linifolia,Plin01,2022-10-07T08:15:25Z,2022-10-10T08:12:29Z,10,2.99796412,actinomorphic,0.45,shrub (woody plant branching from the base),0.55,2,10,100,2,0.7,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Pimelea linifolia,Plin02,2022-10-09T12:01:21Z,2022-10-12T09:30:30Z,20,2.895239583,actinomorphic,0.64,shrub (woody plant branching from the base),0.65,2,12,85,1.5,0.8,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Pimelea linifolia,Plin03,2022-10-07T20:40:02Z,2022-10-10T22:49:15Z,14,3.089733796,actinomorphic,0.32,shrub (woody plant branching from the base),0.46,1.8,20,100,1.5,0.8,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Pimelea linifolia,Plin04,2022-10-07T11:48:09Z,2022-10-10T21:31:39Z,17,3.405207653,actinomorphic,0.26,shrub (woody plant branching from the base),0.35,2.2,40,100,1.7,0.7,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Pimelea linifolia,Plin05,2022-10-06T03:14:25Z,2022-10-11T08:30:02Z,10,5.21918287,actinomorphic,0.36,shrub (woody plant branching from the base),0.5,1.8,25,140,1.5,0.7,white,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Phyllota phylicoides,Pphy03,2021-08-19T05:37:19Z,2021-08-25T08:20:17Z,20,6.113172454,zygomorphic,1.15,shrub (woody plant branching from the base),1.32,2,10,180,1.5,0.9,yellow,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Phyllota phylicoides,Pphy04,2021-08-31T17:57:54Z,2021-09-05T04:16:28Z,2,4.429560185,zygomorphic,0.75,shrub (woody plant branching from the base),1.05,2.5,0,250,1.5,1.5,yellow,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Phyllota phylicoides,Pphy06,2021-08-27T17:09:15Z,2021-09-02T15:52:16Z,35,5.946544312,zygomorphic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murrua Trail, North Turramurra",-33.69307,151.1445
Phyllota phylicoides,Pphy07,2021-09-02T21:58:10Z,2021-09-05T04:22:33Z,22,2.266926031,zygomorphic,1.05,shrub (woody plant branching from the base),1.15,4,1,250,1.1,1.1,yellow,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Phyllota phylicoides,Pphy08,2021-09-08T09:19:45Z,2021-09-10T22:03:53Z,15,2.530647377,zygomorphic,1.1,shrub (woody plant branching from the base),1.15,2,40,150,1.3,0.9,yellow,present (at least at base),"Murrua Trail, North Turramurra",-33.69307,151.1445
Pultenaea scabra,Psca02,2022-09-18T13:26:38Z,2022-09-22T00:17:52Z,5,3.45225,zygomorphic,0.93,shrub (woody plant branching from the base),0.98,2.8,20,700,1.1,0.8,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Pultenaea scabra,Psca03,2022-09-17T22:26:22Z,2022-09-20T20:24:30Z,5,2.915377315,zygomorphic,0.47,shrub (woody plant branching from the base),0.52,2.5,15,200,1.1,1,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Pultenaea scabra,Psca04,2022-09-23T17:43:34Z,2022-09-25T22:44:59Z,5,2.209324074,zygomorphic,0.45,shrub (woody plant branching from the base),0.87,2.5,1,500,1,1.1,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Pultenaea scabra,Psca05,2022-09-22T23:52:58Z,2022-09-26T06:06:07Z,11,3.259132997,zygomorphic,0.63,shrub (woody plant branching from the base),1.26,2.2,50,1000,1.2,1,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Pultenaea scabra,Psca06,2022-09-27T14:15:51Z,2022-09-30T13:32:26Z,4,2.969840856,zygomorphic,0.23,shrub (woody plant branching from the base),0.48,2.2,22,500,1.3,1.4,yellow,absent,"Sassafras Gully, Springwood",-33.702902,150.553083
Patersonia sericea,Pser01,2022-10-17T05:54:49Z,2022-10-19T03:08:26Z,1,1.884456019,actinomorphic,0.13,herb,0.13,4.5,1,0,4,4,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Patersonia sericea,Pser02,2022-10-18T12:07:59Z,2022-10-19T03:02:01Z,3,0.620852623,actinomorphic,0.12,herb,0.17,5.5,1,2,4,4.5,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Patersonia sericea,Pser03,2022-10-17T21:06:39Z,2022-10-19T02:09:01Z,3,1.209969136,actinomorphic,0.12,herb,0.16,5,2,8,4.5,4,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Patersonia sericea,Pser04,2022-10-18T04:49:22Z,2022-10-19T02:26:16Z,4,0.900619213,actinomorphic,0.1,herb,0.16,4.5,2,0,4.5,4,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Patersonia sericea,Pser05,2022-10-17T07:21:53Z,2022-10-19T02:49:13Z,1,1.810648148,actinomorphic,0.1,herb,0.11,4.5,1,0,4.5,4,purple,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Pittosporum undulatum,Pund01,2022-09-19T00:51:07Z,2022-09-23T16:19:04Z,10,4.644408565,actinomorphic,2.05,"tree or tree-like (with a clear, main trunk)",6,5.5,800,200,1.1,1.3,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Pittosporum undulatum,Pund02,2022-09-17T15:27:27Z,2022-09-22T12:40:00Z,7,4.883713624,actinomorphic,1.92,shrub (woody plant branching from the base),2.6,5,70,35,1.2,1.3,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Pittosporum undulatum,Pund03,2022-09-17T11:13:44Z,2022-09-23T10:39:47Z,6,5.976431327,actinomorphic,2.02,shrub (woody plant branching from the base),3,5,120,50,1,1.1,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Pittosporum undulatum,Pund04,2022-09-18T00:43:02Z,2022-09-22T20:17:51Z,10,4.81583912,actinomorphic,0.96,shrub (woody plant branching from the base),1.97,6,160,50,1.1,1.4,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Pittosporum undulatum,Pund05,2022-09-18T21:26:58Z,2022-09-24T03:45:39Z,5,5.262972222,actinomorphic,1.64,shrub (woody plant branching from the base),3,5.4,19,7,1.2,1.4,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Stylidium graminifolium,Sgra01,2022-10-29T13:42:33Z,2022-11-08T14:04:35Z,22,10.0152983,zygomorphic,0.89,herb,0.89,23,10,30,3,2.6,pink,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Stylidium graminifolium,Sgra02,2022-10-31T05:15:17Z,2022-11-06T10:21:13Z,30,6.212448688,zygomorphic,1.03,herb,1.03,23,11,60,3.4,2.4,pink,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Stylidium graminifolium,Sgra03,2022-10-30T14:08:17Z,2022-11-04T21:53:13Z,22,5.322866162,zygomorphic,0.81,herb,0.87,17,6,20,2.5,2.5,pink,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Stylidium graminifolium,Sgra04,2022-10-27T00:49:44Z,2022-11-01T04:57:16Z,11,5.171892887,zygomorphic,0.74,"herb, shrub (woody plant branching from the base)",0.83,14,3,60,2.5,2.3,pink,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Stylidium graminifolium,Sgra05,2022-10-28T14:46:36Z,2022-11-02T19:39:48Z,10,5.203608796,zygomorphic,0.73,herb,0.81,11,7,100,1.8,2.6,pink,present (at least at base),"Yondell Ave, Springwood",-33.717968,150.55742
Scaevola ramosissima,Sram01,2022-10-29T19:52:21Z,2022-11-05T04:30:59Z,3,6.360158179,zygomorphic,0.04,herb,0.24,3.6,2,10,3,3.2,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Scaevola ramosissima,Sram03,2022-10-26T08:33:40Z,2022-10-30T05:14:05Z,4,3.861403356,zygomorphic,0.02,herb,0.18,3,1,20,3,3.4,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Scaevola ramosissima,Sram04,2022-10-28T17:10:08Z,2022-11-04T10:21:42Z,4,6.716362847,zygomorphic,0.1,herb,0.55,3.8,3,15,3.1,3.3,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Scaevola ramosissima,Sram05,2022-10-28T09:22:17Z,2022-11-02T04:43:54Z,5,4.806680556,zygomorphic,0.04,herb,0.21,8,1,14,3.2,3.1,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Scaevola ramosissima,Sram06,2022-11-05T06:41:52Z,2022-11-20T03:35:02Z,1,14.87025463,zygomorphic,0.12,herb,0.37,9,1,4,3.2,3.4,purple,absent,"Yondell Ave, Springwood",-33.717968,150.55742
Xanthosia pilosa,Xpil01,2022-09-19T12:06:33Z,2022-09-27T16:31:22Z,3,8.183900463,actinomorphic,0.14,"herb, shrub (woody plant branching from the base)",0.28,1.2,60,NA,0.5,0.4,"white, green",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Xanthosia pilosa,Xpil02,2022-09-19T05:40:29Z,2022-09-26T13:50:39Z,2,7.340399306,actinomorphic,0.09,"herb, shrub (woody plant branching from the base)",0.27,0.05,8,30,0.5,0.3,"white, green",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Xanthosia pilosa,Xpil03,2022-09-21T00:00:25Z,2022-09-28T00:55:19Z,2,7.038125,actinomorphic,0.1,shrub (woody plant branching from the base),0.28,0.5,20,20,0.5,0.3,"white, green",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Xanthosia pilosa,Xpil04,2022-09-25T14:18:16Z,2022-10-01T20:34:36Z,4,6.261339699,actinomorphic,0.14,shrub (woody plant branching from the base),0.22,0.5,100,100,0.5,0.3,"white, green",present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
Xanthosia pilosa,Xpil05,2022-09-23T15:52:10Z,2022-09-28T15:20:24Z,2,4.977939815,actinomorphic,0.3,shrub (woody plant branching from the base),0.31,1.2,1,2,0.5,0.4,white,present (at least at base),"Sassafras Gully, Springwood",-33.702902,150.553083
