Taxa,Authority,Family,Latitude,Longitude,Altitude,Sampling date,Maturity,Plant condition,Growing conditions,Tree,Forb,Gram,Terrestrial,Tda,Tdr,Amphibious,Submerged,Native nonweed,Native,Native weed,Exotic,Perennial,Biennial,Annual,clonality,stolons,rhizomes,prostrate/decumbent,plant height min (m),Plant height max (m),Seed mass (g),Dispersal,dispersal 2,dispersal 3,Leaf size (cm^2),SLA (mm2/mg),Specific leaf mass (mg/mm2)
Ottelia ovalifolia subsp. ovalifolia,(R. Br.) Rich.,HYDROCHARITACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,1,,,,,,1.0,0.22,,,,,24.56871716,0.040702166
Oxalis perennans,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,1,,0.5,6.6,wind,,,,32.4206625,0.030844527
Paspalidium jubiflorum,(Trin.) Hughes,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,,1,,,1,1,,,1,,,,,,,,1.3,0.685,,,,,,
Paspalum dilatatum,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,1,,,,,,,,2.0,1.5,animal,,,25.75466667,14.733791,0.067871195
Paspalum distichum,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,,1,1,,1,,,1,,1,,,0.5,1.51,,,,2.960666667,26.91515152,0.037153794
Persicaria attenuata,(R. Br.) Sojak,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,1,1,,,0.6,1.5,3.32,,,,,24.87567027,
Persicaria decipiens,(R. Br.) K.L. Wilson,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,1,,,0.3,1.0,1.07,,,,,33.65379988,
Persicaria filiformis,(Thunb. Ex Murray) Nakai & W.T.Lee,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,1,,,1,1,,,0.4,1.2,2.08,unassisted,,,,24.88,
Persicaria hydropiper,(L.) Spach,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,,,,1,1,,,1,1,,,0.5,1.5,2.032,,,,12.42266667,18.23287671,0.05484598
Persicaria lapathifolia,(L.) Gray,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,,,,,,,1,,,1,1,,,0.5,1.8,1.54,,,,42.418,22.38023215,0.044682289
Persicaria praetermissa,(Hook. f.) H. Hara,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,1,,,,1,,1,0.05,1.0,3.53,,,,,24.88,
Persicaria prostrata,(R. Br.) Sojak,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,1,1,1,0.05,0.1,1.2,,,,4.138666667,25.23577236,0.039626289
Phalaris aquatica,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,1,,,1,,1,,,1.5,1.66,,,,,21.66905225,
Phalaris minor,Retz.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,,,1,,,,,,1.8,1.71,,,,6.16125,23.36018957,0.042807872
Phragmites australis,(Cav.) Trin. ex Steud.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,,1,1,,1,,,1,,1,,,6.0,0.11,water,wind,animal,47.25333333,10.01129944,0.099887133
Plantago lanceolata,L.,PLANTAGINACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,1,1,,,,,0.08,0.2,1.3,animal,wind,,36.36666667,13.81012658,0.072410632
Poa labillardierei var. labillardierei,Steud.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,1,,,,1,1,,,1,,,,,,,,1.2,0.3,,,,3.154666667,4.607594937,0.217032967
Polygonum aviculare,L.,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,1,,1,1,1,,1,0.02,0.1,1.3,unassisted,,,1.031176471,21.64197531,0.046206503
Polypogon monspieliensis,(L.) Desf.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,,1,1,1,,,,,,,1,,,1,,,,,,0.8,0.1,,,,,,
Potamogeton sulcaltus,A. Benn.,POTAMOGETONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,1,,1,,,4.0,1.94,,,,,,
Prunus cerasifera cv. atropurpea,Ehrh.,ROSACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),1,,,1,,1,,,,,,1,1,,,,,,,,8.0,,,,,,,
Pseudognaphalium luteoalbum,(L.) Hilliard & B.L. Burtt,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,,,1,,,,,,0.5,0.1,,,,1.0725,21.45,0.046620047
Pseudoraphis spinescens,(R. Br.) Vickery,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,1,,,1,10.0,1.51,,,,3.061333333,23.30964467,0.042900697
Ranunculus inundatus,R. Br. ex DC.,RANUNCULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,,,,,0.07,0.3,0.2,,,,,13.96933738,
Ranunculus sceleratus subsp. sceleratus,L.,RANUNCULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,0.2,0.6,0.2,water,,,,13.96933738,0.071585357
Ricciocarpus natans,L.,RICCIACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,,,,,,,1,,0.0,,,,,,36.217,0.027611343
Rorippa palustris,(L.) Besser,BRASSICACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,1,1,1,1,,,0.2,1.0,0.07,,,,10.64,31.62632696,0.031619227
Rubus fruticosus agg.,L. ,ROSACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),1,,,1,,1,,,,,,1,1,,,1,1,,1,,2.0,2.89,animal,,,,13.38572444,0.074706453
Rumex brownii,Campd.,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,1,1,,1,,,,,,,0.5,0.8,1.5,,,,7.815833333,17.36851852,0.057575434
Rumex conglomeratus,Murray,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,1,,,,,,,0.3,1.5,1.5,wind,water,,,17.2508989,
Rumex crispus,L.,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,1,,,,,,,0.5,1.5,1.5,wind,,,,19.45110225,0.051410968
Rumex pulcher subsp. pulcher,L.,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,1,,,,,,,0.2,0.6,2.1,,,,,17.25,
Rumex sp. 1,,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,1,1,,,1,,,,,,,,1.1,1.77,,,,8.925384615,14.93307593,0.06696544
Rumex sp. 2,,POLYGONACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,1,1,,,1,,,,,,,,1.1,1.77,,,,,17.25,
Sagittaria platyphylla,(Engelm.) J.G. Sm.,ALISMATACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,,,,1,1,,,1,,1,,0.5,1.0,0.69,water,animal,,,,
Salix x rubens,Schrank,SALICACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),1,,,1,1,,,,,,,1,1,,,,,,,,16.0,0.164,,,,,,
Senecio quadridentatus,Labill.,ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,1,,,1,1,,,1,,,,,,,0.4,1.0,0.173,wind,,,,,
Senecio tenuiflorus cf,"(DC.) Sieber ex Sch.-Bip.,",ASTERACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,1,,,1,1,,,,1,1,,,,,0.3,0.8,1.054,,,,,,
Solanum physalifolium var. nitidibaccatum,Rusby (Bitter) Edmonds,SOLANACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,,,0.5,0.002133333,,,,10.43533333,25.74506579,0.038842394
Spergularia rubra,(L.) J. Presl & C. Presl.,CARYOPHYLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,1,,1,,,,,,1,,1,1,,,,,0.05,0.3,0.07,wind,,,,,
Spirodela punctata,(G. Mey.) C.H. Thomps.,LEMNACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,,,,natural wetlands (field conditions),,1,,,,,1,,,1,1,,,,,,,,1,,0.0,,,,,,,
Stellaria angustifolia,Hook.,CARYOPHYLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,,,,1,,1,1,,,1,,,,,,1,,0.1,0.42,,,,,25.80766667,0.038748176
Stellaria caespitosa,Hook. f.,CARYOPHYLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,,,1,,,,1,,0.2,0.42,,,,,26.9025,0.037171267
Stellaria sp. 1,,CARYOPHYLLACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,1,1,,,,,,,,,,,0.1,0.42,,,,,26.9025,
Trifolium angustifolium var. angustifolium,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,,0.6,1.9,,,,,12.29701493,0.081320549
Trifolium arvense var. arvense,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,,0.4,0.4,wind,,,,20.05741818,0.049856865
Trifolium campestre,Schreb.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,,0.5,0.3,,,,,41.80635294,0.02391981
Trifolium glomeratum,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,,0.4,0.4,,,,,23.50680625,
Trifolium repens var. repens,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,,0.3,0.6,animal,,,0,19.86643895,0.050336147
Trifolium striatum,L.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,1,,,,,,,1,,,1,,,,,,0.3,1.9,wind,,,,23.51,
Triglochin dubia,R. Br.,JUNCAGINACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,0.3,0.8,4.26,,,,23.92846154,16.1343361,0.061979619
Triglochin procera,R. Br.,JUNCAGINACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,1,1,,,1,,,1,,1,,,2.0,25.01,,,,48.27692308,10.77424893,0.092813894
Triticum aestivum,L.,POACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,1,,1,,,,,,1,,,1,,,,,,1.0,35.96,,,,,35.91371602,
Typha orientalis,C. Presl,TYPHACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,,1,,,,1,,,1,1,,1,,,1,,1,,,4.0,0.2,,,,,6.004399415,0.16654455
Verbena bonariensis,L.,VERBENACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,1,,,,,,,0.6,2.0,0.17,,,,13.49333333,10.14028056,0.098616601
Vicia hirsuta,(L.) Gray,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,,,0.8,5.7,,,,,37.52427907,
Vicia monantha subsp. triflora,(Ten.) B.L. Burtt & P. Lewis,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,,,0.8,38,,,,,37.52427907,
Vicia sativa subsp. nigra,(L.) Ehrh.,FABACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,,,,1,,,1,,,,,,1.0,17.3,Methods originating from parent plant or diaspore; Explosive mechanism,,,,37.52427907,0.026649413
Wahlenbergia fluminalis,(J.M. Black) E. Wimm. ex H. Eichler,CAMPANULACEAE, -36.01923 decimal degrees (GDA94),145.99973 decimal degrees,130 m,Jan-12,adult (but not necessarily in flower),healthy (but not necessarily optimum),natural wetlands (field conditions),,1,,1,,1,,,1,1,,,1,,,,,,,0.05,0.8,0.01,,,,,19.48375,0.051324822
