Species,Tree,number,Aa,gs,WUEi,CiCa,Amass,Leaf N,PNUE,Ci,WUE,date_leaf,Fresh Weight,Dry Weight,LDMC,AreaTotal,SLA,Petiole Width,Petiole Height,Lamina,Density,S_true15N,S_per.N,S_true13C,S_per.C,L_true13C,L_true15N,L_per.C,L_per.N,L_C.N,Outer Phloem,Outer Xylem,Outer Heartood,Xylem,X_Tot_Ratio,Date_d18O,d18O,Date,Individual,Sun/Shade,Tree ID,Notes,Species_name,Growth.Form
ENT,ENT_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/2014,1.046666667,0.307766667,0.294,36.49666667,118.6855468,2.213333333,2.226666667,0.306666667,0.362291481,1.324580491,0.733947455,-27.80621431,44.644924,-28.54789103,1.32605527,43.01888004,2.950220965,14.58157899,NA,NA,NA,NA,NA,8/5/2014,-5.39,5/8/2014,5,Sun,1014,NA,Entada phaseoloides,NA
ENT,ENT_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,1.096,0.2898,0.2646,38.322,132.7547596,1.958,1.964,0.284,0.262542381,0.691474776,1.328984208,-28.73600836,43.79925178,-29.17828663,1.480064435,45.12659643,3.411688264,13.22705738,84.793,65.883,3.767,62.116,0.732560471,13/06/2014,-3.92,NA,NA,NA,NA,NA,Entada phaseoloides,NA
ICH,ICH_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19/06/2014,0.806666667,0.287166667,0.356333333,30.25,105.6066157,1.766666667,1.616666667,0.226666667,0.451897653,3.800999976,0.51642258,-27.12477585,45.05160253,-27.68327136,1.628158835,46.84075303,2.138581825,21.90271725,78.239,44.357,3.335,41.022,0.524316517,19/06/2014,-2.74,NA,NA,NA,NA,NA,Ichnocarpus,NA
ICH,ICH_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,0.86,0.2917,0.338666667,37.74,129.4970443,1.676666667,1.51,0.223333333,0.451038502,1.42514144,0.390616408,NA,NA,-29.70002418,4.868725329,45.41271102,2.211607263,20.53380443,80.662,56.939,3.697,53.242,0.660062979,NA,NA,NA,NA,NA,NA,NA,Ichnocarpus,NA
ICH,ICH_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/06/2014,0.736666667,0.265,0.361,32.17333333,121.1513492,1.413333333,1.333333333,0.206666667,NA,NA,NA,-27.05498998,45.09391242,-28.71452426,2.917483307,45.84092372,2.380004897,19.26085269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ichnocarpus,NA
MER,MER_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/2014,6.986666667,1.8895,0.268666667,344.8466667,185.5063354,3.603333333,3.833333333,0.26,0.367228447,3.288491376,0.388240116,-27.54349105,43.7295882,-27.77139793,2.087585545,46.11608077,2.310585622,19.9586115,73.214,42.728,6.542,36.186,0.494249734,8/5/2014,-2.77,5/8/2014,3,Sun,6015,NA,Merremia peltata,NA
MER,MER_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/5/2014,14.82333333,4.134666667,0.278333333,657.8766667,160.2893106,5.116666667,5.806666667,0.28,NA,NA,NA,NA,NA,-27.2035455,2.75784529,45.3194956,2.026403446,22.3644979,NA,NA,NA,NA,NA,9/5/2014,-3.59,5/9/2014,4,Sun,5009,NA,Merremia peltata,NA
MER,MER_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,8.41,1.778333333,0.211,401.7133333,216.7715074,3.816666667,4.246666667,0.126666667,0.281113852,1.934693874,0.334016471,-28.80989927,43.94826771,-29.706274,1.712677524,46.15229507,2.501206319,18.45201442,85.843,60.13,18.141,41.989,0.489137146,13/06/2014,-4.24,NA,NA,NA,NA,NA,Merremia peltata,NA
MUC,MUC_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,0.853333333,0.2505,0.293333333,45.38666667,182.1064112,1.926666667,1.93,0.186666667,0.27227324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neosepicaea jucunda,L
MYR,MYR_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/5/2014,1.586666667,0.731866667,0.460666667,51.12666667,69.85052256,2.466666667,2.55,0.29,0.404201458,3.649343218,0.533723992,-27.74361228,44.81045419,-28.86903931,2.851232539,48.94834887,1.538386409,31.81798056,85.98,46.284,3.974,42.31,0.492091184,9/5/2014,-4.71,5/9/2014,3,Sun,4014,NA,Myristica globossa muelleri,NA
MYR,MYR_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/06/2014,2.766,1.06766,0.3824,87.646,83.44093088,2.808,2.77,0.278,0.416274031,3.562152878,0.561107395,-28.2967679,45.00507032,-30.78952014,2.503343766,49.99082192,1.693832932,29.51343132,84.804,49.686,5.57,44.116,0.520211311,13/06/2014,-3.82,NA,NA,NA,NA,NA,Myristica globossa muelleri,NA
NEO,NEO_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,1.8,0.578466667,0.322666667,81.14666667,140.6368136,1.723333333,1.673333333,0.223333333,0.329271011,3.796608088,0.577699946,-28.92586696,43.78771153,-29.59368558,3.017313273,45.76771566,2.750081133,16.6423147,88.721,54.743,4.36,50.383,0.567881336,20/06/2014,-3.18,NA,NA,NA,NA,NA,Neosepicaea jucunda,NA
NEO,NEO_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,2.01,0.8056,0.401,70.47,87.47517378,1.73,1.83,0.28,0.400397323,1.09665936,0.59425875,-26.2226909,43.67136933,-27.47386888,0.991482261,48.19912954,2.104334136,22.90469404,99.043,69.56,4.495,65.065,0.656936886,20/06/2014,-3.5,NA,NA,NA,NA,NA,Neosepicaea jucunda,NA
NEO,NEO_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20/06/2014,1.706666667,0.5693,0.335333333,81.66333333,143.3844302,1.646666667,1.693333333,0.23,0.327251051,3.280369559,0.528717789,-28.37373761,43.43385549,-30.6670834,2.666265762,44.99921926,2.42581086,18.55017635,69.748,43.077,4.681,38.396,0.550496072,20/06/2014,-3.67,NA,NA,NA,NA,NA,Neosepicaea jucunda,NA
NOR,NOR_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/5/2014,2.393333333,1.056733333,0.441,77.68,73.59083865,NA,NA,0.253333333,0.417384624,9.280581055,0.404986866,-25.15127259,42.35030289,-27.59649818,1.5638752,45.45478912,1.941954831,23.40671801,59.661,54.015,NA,54.015,0.905365314,8/5/2014,-4.83,5/8/2014,2,Sun,7033,NA,Normanbya normanbyi,NA
