Species,Site Code,Regenerative Mechanisms,bud_bank_location,resprouting_capacity,post_fire_recruitment
Solanum sp.,"PF15,25,85","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Solanum sp.,"PF15,25,85","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Sphagnum cristatum,PF58,N,none,fire_killed,post_fire_recruitment_absent
Stellaria pungens,"PF5,8,11,12,15,44,45,47,62,66,80,8
5, NA03","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Stellaria pungens,"PF5,8,11,12,15,44,45,47,62,66,80,8
5, NA03","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Stylidium graminifolium,"PF39,47,49,55,80",L,basal_buds,resprouts,post_fire_recruitment_absent
Stypandra glauca,"PF34,35",L,basal_buds,resprouts,post_fire_recruitment_absent
Tasmannia xerophila,"PF12,82","L, N",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment_absent
Tasmannia xerophila,"PF12,82","L, N",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment_absent
Themeda australis,"PF31,49,53",L,basal_buds,resprouts,post_fire_recruitment_absent
Themeda sp,PF18,L,basal_buds,resprouts,post_fire_recruitment_absent
Thistles sp.,"PF14,25","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Thistles sp.,"PF14,25","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Thysanotus tuberosus,PF37,L,basal_buds,resprouts,post_fire_recruitment_absent
Todea barbara,PF25,C,root_crown,resprouts,post_fire_recruitment_absent
Trifolium sp,"PF14-16,32,38,40,53,69,85,","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Trifolium sp,"PF14-16,32,38,40,53,69,85,","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
"Tussock, soft",PF79,L,basal_buds,resprouts,post_fire_recruitment_absent
Typha sp.,PF51,L,basal_buds,resprouts,post_fire_recruitment_absent
Urtica incisa,PF30,L,basal_buds,resprouts,post_fire_recruitment_absent
Verbascum thapsus,PF32,L,basal_buds,resprouts,post_fire_recruitment_absent
Veronica calycina,PF30,Se,none,fire_killed,post_fire_recruitment
Viola betonicifolia,"PF8, 44,47,49,72,80",L,basal_buds,resprouts,post_fire_recruitment_absent
Viola caleyana,PF61,L,basal_buds,resprouts,post_fire_recruitment_absent
Viola hederacea,"PF29,30,40,55","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Viola hederacea,"PF29,30,40,55","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Viola sp,"PF12,62","Se, Su",none bud-bearing_root,fire_killed,post_fire_recruitment post_fire_recruitment_absent
Viola sp,"PF12,62","Se, Su",none bud-bearing_root,resprouts,post_fire_recruitment post_fire_recruitment_absent
Wahlenbergia sp,"PF15,18,31,32,37,38,85","L, Se",basal_buds none,resprouts,post_fire_recruitment_absent post_fire_recruitment
Wahlenbergia sp,"PF15,18,31,32,37,38,85","L, Se",basal_buds none,fire_killed,post_fire_recruitment_absent post_fire_recruitment
Xanthorrhoea australis,"PF18,19,23,31","Se, C, N",none root_crown none,fire_killed,post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
Xanthorrhoea australis,"PF18,19,23,31","Se, C, N",none root_crown none,resprouts,post_fire_recruitment post_fire_recruitment_absent post_fire_recruitment_absent
