Leaf no,Species,Conifer,N-fixing,site,Site 2,site2,Gm,gm/mass,Rd,Rd/mass,Amax for Ci=250,Amax/mass,A/Ci-curve data,TPU/area,TPU/mass,Jmax/area,Jmax/mass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Vcmax/mass,FR,Average Vcmax,Modelled Cc-ci,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,Measured Ci-Cc -less reliable!,AvGtc,av-CA,av A,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Ci-Cc,Cc/Ca,Cc-modelled,GE-LMA,dC13,dN15,N%,C%,P%,P/N,GE-N/area,GE-P/area
69,Acacia falcata,,Y,loRhiP,loRhiP,LowR,0.04,0.341,-1.747,-0.015,5.018,0.042,,4.392,0.037,71.142,0.601,16.198,79.669,N,1.155,1.086,2.303,0.261,0.097,30.888,,250,125.82,0.503,124.18,,0.021,370.06,3.644,195.928,0.529,105.767,0.145,3.114,25.139,,118.425,-30.4,-1.45,2.1,52.6,0.066,0.014,2.487,0.078
72,Acacia falcata,,Y,loRhiP,loRhiP,LowR,0.049,0.325,-1.459,-0.01,5.365,0.036,,5.161,0.034,77.211,0.516,14.961,79.274,N,0.985,1.019,2.617,0.197,0.082,29.499,,250,139.817,0.559,110.183,,0.035,369.82,4.838,230.55,0.623,131.195,0.129,4.215,17.92,,149.736,-29.766,-1.5,1.87,53.2,0.043,0.01,2.8,0.064
74,Acacia falcata,,Y,loRhiP,loRhiP,LowR,0.059,0.511,-1.738,-0.015,5.818,0.05,,4.708,0.041,75.941,0.656,16.131,85.251,N,0.912,1.028,2.492,0.263,0.113,30.477,,250,151.652,0.607,98.348,,0.031,369.25,4.862,212.313,0.575,130.131,0.118,4.287,18.591,,115.816,-29.973,-1.082,1.82,53.3,0.051,0.013,2.108,0.059
58,Eucalyptus fibrosa,,,loRhiP,loRhiP,LowR,0.039,0.177,-3.05,-0.014,4.698,0.022,,4.365,0.02,66.168,0.304,15.16,52.133,N,1.064,1.087,2.058,0.148,0.116,32.145,,250,128.289,0.513,121.711,,0.025,386.79,3.054,258.552,0.668,179.447,0.219,2.385,27.157,,217.77,-29.8,-4.82,0.99,49.5,0.034,0.016,2.156,0.075
65,Eucalyptus fibrosa,,,loRhiP,loRhiP,LowR,0.03,0.13,-2.701,-0.012,3.198,0.014,,3.364,0.015,50.196,0.22,14.923,49.739,N,1.037,1.054,2.306,0.096,0.077,21.766,,250,141.961,0.568,108.039,,0.045,387.097,3.643,305.968,0.79,182.916,0.217,2.852,17.613,,227.868,-28.8,-3.103,0.967,52.067,0.043,0.02,2.203,0.098
71,Eucalyptus fibrosa,,,loRhiP,loRhiP,LowR,,,-0.911,-0.006,,,,,,,,,,,,,,,,,,,,,,,0.032,372.1,1.788,316.207,0.85,,,,,,156.878,-28.6,-4.7,1.02,50.3,0.041,0.018,1.6,0.065
70,Eucalyptus haemostoma,,,loRhiP,loRhiP,LowR,0.103,0.737,-1.969,-0.014,9.698,0.07,,6.296,0.045,95.814,0.687,15.218,101.253,Y,0.918,0.924,2.005,0.343,0.233,47.778,,250,155.62,0.622,94.38,,0.054,383.293,8.507,225.968,0.59,143.174,0.069,7.918,10.914,,139.37,-30.624,-4.513,1.15,54,0.063,0.025,1.603,0.088
81,Eucalyptus haemostoma,,,loRhiP,loRhiP,LowR,0.064,0.528,-2.204,-0.018,3.523,0.029,,3.863,0.032,57.269,0.47,14.824,66.515,Y,0.979,1,3.248,0.145,0.118,17.632,,250,195.251,0.781,54.749,,0.033,369.715,4.12,244.009,0.66,179.98,0.16,3.46,20.166,,121.773,-31.5,-4.919,0.96,54.4,0.068,0.032,1.169,0.082
75,Macrozamia spiralis,,Y,loRhiP,loRhiP,LowR,0.058,0.234,-1.217,-0.005,7.227,0.029,,5.082,0.021,83.544,0.338,16.439,60.157,Y,0.794,0.887,2.025,0.167,0.095,41.265,,250,125.072,0.5,124.928,,0.03,386.12,6.789,232.99,0.603,115.623,0.089,6.186,20.439,,247.249,-26.035,-1.5,1.37,55.6,0.062,0.02,3.387,0.153
76,Macrozamia spiralis,,Y,loRhiP,loRhiP,LowR,0.048,0.19,-1.332,-0.005,6.429,0.025,,5.404,0.021,75.541,0.298,13.979,65.161,N,1.277,1.065,1.912,0.156,0.068,39.518,,250,116.356,0.465,133.644,,0.018,371.57,4.202,213.453,0.574,126.112,0.137,3.627,32.285,,253.569,-25.724,-1.291,1.78,58.1,0.071,0.018,4.514,0.18
77,Banksia spinulosa,,,loRhiP,loRloP,LowR,0.033,0.15,-0.999,-0.005,3.336,0.015,,2.252,0.01,45.29,0.207,20.113,48.695,Y,0.904,0.937,2.55,0.081,0.105,17.76,,250,148.389,0.594,101.611,,0.04,371.395,3.973,270.742,0.729,149.719,0.183,3.244,18.319,,218.886,-28.716,-2.22,0.604,50.869,0.019,0.014,1.323,0.042
79,Banksia spinulosa,,,loRhiP,loRloP,LowR,0.048,0.222,-1.082,-0.005,5.714,0.026,,4.403,0.02,80.344,0.369,18.246,85.102,Y,0.939,0.93,2.535,0.146,0.237,31.699,,250,131.524,0.526,118.476,,0.039,386.257,5.762,235.002,0.608,115.521,0.106,5.154,15.661,,217.566,-28.525,-2.103,0.48,51.977,0.012,0.012,1.044,0.027
82,Banksia spinulosa,,,loRhiP,loRloP,LowR,0.035,0.153,-0.851,-0.004,4.03,0.018,,2.899,0.013,62.492,0.276,21.556,72.531,Y,0.734,0.982,2.802,0.098,0.248,22.3,,250,133.719,0.535,116.281,,0.019,371.35,3.432,192.944,0.52,93.921,0.151,2.912,27.299,,226.566,-28.491,-2.444,0.31,51.9,0.018,0.027,0.702,0.041
60,Persoonia laurina,,,loRhiP,loRloP,LowR,0.022,0.134,-1.518,-0.009,2.154,0.013,,2.419,0.015,35.778,0.218,14.788,34.723,N,1.285,1.121,2.699,0.081,0.168,13.258,,250,151.961,0.608,98.039,,0.024,387.497,2.129,298.559,0.77,201.689,0.362,1.358,31.95,,163.825,-28.3,2.5,0.375,52.8,0.023,0.028,0.614,0.038
67,Persoonia laurina,,,loRhiP,loRloP,LowR,0.025,0.157,-1.379,-0.009,2.938,0.018,,3.004,0.019,40.216,0.25,13.388,40.295,N,1.176,1.082,2.217,0.113,0.238,18.143,,250,133.858,0.535,116.142,,0.04,387.577,3.074,310.894,0.802,189.391,0.261,2.272,19.857,,160.845,-29.559,3.032,0.37,53.1,0.023,0.028,0.595,0.037
83,Banksia aemula,,,loRloP,loRloP,lowR,0.088,0.466,-1.031,-0.005,6.647,0.035,,5.442,0.029,78.665,0.416,14.457,77.626,Y,1.016,0.934,2.667,0.156,0.206,29.495,,250,174.667,0.699,75.333,,0.025,385.637,4.796,193.414,0.502,139.057,0.105,4.295,20.166,,189.224,-29.783,-2.8,0.59,52.3,0.019,0.015,1.116,0.036
84,Banksia aemula,,,loRloP,loRloP,lowR,0.085,0.497,-1.148,-0.007,4.957,0.029,,3.503,0.02,70.349,0.412,20.081,53.874,Y,0.995,0.949,3.294,0.125,0.235,21.355,,250,191.671,0.767,58.329,,0.022,386.65,4.205,191.403,0.495,141.923,0.118,3.71,22.984,,170.919,-31.31,-2.1,0.415,51.3,0.022,0.024,0.709,0.038
66,Eucalyptus sclerophylla,,,loRloP,loRloP,lowR,0.044,0.225,-2.336,-0.012,5.678,0.029,,4.815,0.025,78.772,0.402,16.359,70.529,N,1.095,1.104,2.131,0.189,0.22,36.966,,250,121.092,0.484,128.908,,0.021,371.11,2.977,229.799,0.619,162.218,0.208,2.357,29.205,,195.722,-31.25,2.811,0.67,52.3,0.029,0.019,1.311,0.056
73,Eucalyptus sclerophylla,,,loRloP,loRloP,lowR,0.039,0.203,-2.183,-0.011,4.109,0.022,,4.458,0.023,65.055,0.342,14.594,64.973,N,1.304,1.109,2.636,0.13,0.145,24.681,,250,143.531,0.574,106.469,,0.013,461.908,2.916,210.652,0.456,135.092,0.156,2.46,34.849,,190.247,-30.492,-4.109,0.7,53.4,0.031,0.02,1.332,0.059
78,Eucalyptus sclerophylla,,,loRloP,loRloP,lowR,0.089,0.425,-1.535,-0.007,9.642,0.046,,5.086,0.024,98.254,0.468,19.32,92.949,Y,0.895,0.862,1.972,0.237,0.217,49.826,,250,141.906,0.568,108.094,,0.043,368.11,7.155,203.341,0.552,123.122,0.077,6.603,12.738,,209.919,-31.321,-2.7,0.855,53.75,0.038,0.02,1.795,0.08
68,Persoonia laurina,,,loRloP,loRloP,lowR,0.05,0.317,-0.89,-0.006,3.45,0.022,,1.911,0.012,44.549,0.28,23.316,36.306,N,1.029,1.231,2.854,0.098,0.174,15.607,,250,181.617,0.726,68.383,,0.031,387.143,3.111,284.96,0.736,223.298,0.237,2.375,24.114,,159.013,-29.559,3.199,0.44,52.9,0.029,0.03,0.7,0.046
1,Agathis robusta,Y,Y??,MUcampus,MUcampus,,,,-2.725,-0.021,,,,,,,,,,,,,,,,,,,,,,,0.007,372.945,0.967,227.966,0.611,,,,,,130.954,-24.9,1.188,,,0.038,,,0.049
6,Agathis robusta,Y,Y??,MUcampus,MUcampus,,0.042,0.32,-1.868,-0.014,2.769,0.021,,,,39.525,0.303,,41.433,,,,2.683,0.113,0.08,14.73,,250,183.532,0.734,66.468,,0.025,321.44,2.871,207.154,0.644,138.229,0.224,2.227,25.651,,130.286,-24.322,3.4,1.1,52.2,0.078,0.032,1.433,0.102
95,Agathis robusta,Y,Y??,MUcampus,MUcampus,,0.116,0.688,-0.659,-0.004,6.39,0.038,,4.373,0.026,61.704,0.365,14.109,67.643,Y,1.11,0.956,2.407,0.152,0.134,25.633,,250,195.092,0.78,54.908,,0.021,369.925,4.185,166.918,0.451,130.96,0.108,3.733,21.984,,169.117,-28.372,2.738,0.88,52.3,0.079,0.04,1.488,0.133
92,Araucaria bidwilii,Y,Y??,MUcampus,MUcampus,,0.063,0.395,-1.017,-0.006,5.818,0.037,,5.115,0.032,75.561,0.477,14.772,80.886,N,1.348,1.13,2.689,0.177,0.106,28.096,,250,157.143,0.629,92.857,,0.021,370.06,3.901,175.62,0.475,113.364,0.122,3.426,23.137,,158.496,-27.195,2.456,1.3,48.9,0.166,0.058,2.06,0.262
94,Cephalotaxus fortunei,Y,,MUcampus,MUcampus,,0.111,0.714,-0.796,-0.005,7.317,0.047,,5.97,0.038,84.216,0.543,14.107,86.96,Y,0.973,0.953,2.748,0.197,0.097,30.646,,250,183.926,0.736,66.074,,0.038,385.477,6.755,205.993,0.534,144.996,0.079,6.221,13.985,,155.188,-26.038,1.616,1.59,51.4,0.135,0.038,2.467,0.21
91,Ginkgo biloba,Y,,MUcampus,MUcampus,,0.053,1.146,-0.926,-0.02,4.298,0.094,,2.958,0.065,42.394,0.925,14.332,44.896,Y,1.048,0.965,2.105,0.439,0.26,20.137,,250,168.175,0.673,81.825,,0.064,367.97,4.877,291.256,0.792,198.41,0.162,4.085,12.412,,45.832,-29.138,-2.211,1.32,50.15,0.508,0.174,0.605,0.233
93,Ginkgo biloba,Y,,MUcampus,MUcampus,,0.063,0.852,-1.582,-0.021,4.313,0.058,,3.875,0.052,57.157,0.773,14.751,61.949,Y,1.036,0.94,2.794,0.277,0.108,20.455,,250,181.565,0.726,68.435,,0.029,369.225,4.494,211.982,0.574,140.664,0.128,3.92,20.11,,73.934,-24.909,0.746,2,50.8,0.591,0.134,1.479,0.437
17,Podocarpus elatus,Y,Y??,MUcampus,MUcampus,,0.073,0.347,-1.206,-0.006,5.118,0.024,,4.258,0.02,61.273,0.293,14.389,59.513,Y,0.977,0.942,2.651,0.111,0.096,23.113,,250,179.5,0.718,70.5,,0.058,384.8,5.828,283.359,0.736,203.077,0.126,5.092,12.802,,208.915,-26.998,-0.318,0.9,46.6,0.176,0.089,1.88,0.368
61,Podocarpus elatus,Y,Y??,MUcampus,MUcampus,,0.037,0.2,-1.048,-0.006,2.988,0.016,,3.479,0.019,49.586,0.27,14.255,48.002,N,1.193,1.081,3.346,0.081,0.064,14.822,,250,168.724,0.675,81.276,,0.022,387.193,3.257,239.852,0.619,151.267,0.19,2.637,27.964,,183.485,-26.878,2.5,0.99,47.5,0.193,0.088,1.817,0.355
