site,site2,site3,site-original,Rainfall,Nutrients,Nutrients2,Species,site_spp,gymno,GF,N-fixing,TPUarea,TPUmass,Jmax/TPU mass,average ETR,Last point lower ETR,Last/previous (Jmax),Last/previous (ETR),Jmax/Vcmax,Amax/mass,Amax for Ci=250,Amax for Ci=250,Amax/mass,Perimeter (cm),Major Axis Length,Minor Axis Length,Elongation,Roundness,Ci,Cc-modelled,Cc/Ci-modelled,Ci-Cc-modelled,AMAX(CC)-Amax(ci)/amax(cc),LMA,GE-LMA,Thickness,GE-Thickness,dm/fm,GE-dm/fm,Density,GE-Density,Cmass,Nmass,Pmass,Narea,Parea,GE-Narea,GE-Parea,fL,fR,fB,fLRB,P/N,AvGtc,Gtc_mass,PNUE,Ca-Ci,Ca-Cc,CB,dC13,dN15,Aarea,AmassIan,Vcmax,Vcmax/mass,Jmax/area,Jmax/mass,Rdarea,Rdmass,average gm,gm/mass,av-CA,Av-Ci,av Ci/CA,av-Cc,Cc/Ci,Cc/Ca,Ci-Cc,Consensus-LL,LfSize,n(optics),abs400_700,Abs/mass (m2/g),R400-700,PRI,Rred/Rgreen,predicted for LCF,ChlTotarea (micromol m-2),Chl(tot)mass (micromol/g),carot_area,carots_mass,Chla/b,ChlAmass,ChlBmass,ChlAarea,ChlBarea,Carot/Chl,Chl/N (mmol/mol),site_spp
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Persoonia lanceolata,hiRloP_Persoonia lanceolata,N,S,N,5.48,0.03,14.37,77.94,0.33,1.1,1.05,2.6,0.0312,5.56,9.13,0.0513,10.6,4.49,1.05,4.27,0.35,250,153.15,0.61,96.85,0.4,178.81,176.59,0.51,0.5,0.37,0.38,0.36,0.35,51.88,0.73,0.03,1.28,0.06,1.26,0.06,0.149,0.214,0.057,0.421,0.0228,0.07,0.4,4.72,81,191.5,1.65,-28.63,1.84,5.94,33.6,33.13,0.19,79.79,0.45,1.26,0.01,0.06,0.32,380.2,299.2,0.79,188.68,0.63,0.5,110.51,3,3.16,4,0.894,0.005,0.084,-0.012,0.661,0.81,310.12,1.8,140.36,0.82,3.41,1.38923,0.40705,239.84773,70.27654,0.46,4.22,hiRloP_Persoonia lanceolata
SydloP,hiRloP,hiRloP,hiRloP,high,low,low,Persoonia levis,hiRloP_Persoonia levis,N,S,N,5.8,0.03,13.79,87.15,0.33,1.09,1,2.62,0.0299,5.31,8.59,0.0485,26.49,10.75,2.44,4.46,0.33,250,160.27,0.64,89.73,0.38,177.69,178.76,0.52,0.54,0.35,0.34,0.34,0.33,51.07,0.6,0.02,1.06,0.04,1.07,0.04,0.176,0.223,0.06,0.458,0.0188,0.08,0.46,6.02,78.5,187.6,2.05,-29.93,3.61,6.43,36,30.4,0.17,79.85,0.45,1.55,0.01,0.06,0.33,378.89,300.36,0.79,191.25,0.64,0.5,109.11,3,18.65,4,0.86,0.0048,0.11,-0.01,0.68,0.84,383.86,2.14,125.8,0.7,3.23,1.63793,0.50662,293.18001,90.68147,0.33,5.02,hiRloP_Persoonia levis
MUforest,MUforest,hiRhiP,MUcampus,high,high,high,Acacia longifolia,MUforest_Acacia longifolia,N,S,Y,6.06,0.05,14.58,76.57,0,1.12,1.11,2.54,0.05,5.9,10,0.0848,34.37,14.91,1.71,8.8,0.2,250,152.93,0.61,97.07,0.41,117.92,115.57,0.33,0.31,0.37,0.37,0.36,0.37,54.05,2.38,0.04,2.81,0.05,2.75,0.05,0.068,0.098,0.026,0.192,0.0078,0.03,0.24,1.62,161.1,234.3,2.01,-25.89,2.39,4.45,38.5,34.71,0.3,88.29,0.76,1.38,0.01,0.06,0.53,386.04,224.98,0.58,151.76,0.67,0.39,73.23,2,19.16,0,,,,,,0.84,377.13,3.26,158.37,1.37,3,2.44684,0.81651,282.77153,94.36068,0.42,1.92,MUforest_Acacia longifolia
MUforest,MUforest,hiRhiP,MUcampus,high,high,high,Pittosporum undulatum,MUforest_Pittosporum undulatum,N,T,N,5.58,0.05,17.57,95.04,1,0.9,0.88,2.55,0.0666,7.86,10.95,0.0928,22.14,8.77,3.26,2.7,0.48,250,180.17,0.72,69.83,0.28,117.93,120.38,0.25,0.26,0.44,0.44,0.47,0.46,50.88,1.58,0.09,1.86,0.1,1.9,0.1,0.129,0.157,0.041,0.327,0.0249,0.07,0.55,4.55,130.1,207.1,2.06,-26.49,-0.66,8.66,72,38.1,0.32,97.54,0.81,1.57,0.01,0.11,0.93,365.99,235.86,0.64,158.86,0.67,0.43,77,1,18.95,2,0.904,0.0077,0.056,-0.001,0.813,0.88,505.86,4.2,191.27,1.59,2.26,2.91192,1.28699,350.81217,155.04982,0.38,3.74,MUforest_Pittosporum undulatum
MUforest,MUforest,hiRhiP,MUcampus,high,high,high,Polyscias sambucifolia,MUforest_Polyscias sambucifolia,N,S,N,5.93,0.06,15.51,90.73,0.5,1,1.02,2.74,0.0819,7.66,9.72,0.1039,20.52,7.75,2.86,2.76,0.44,250,196.8,0.79,53.2,0.21,97.65,101.96,0.32,0.32,0.33,0.33,0.3,0.32,53.51,1.22,0.07,1.17,0.06,1.21,0.07,0.183,0.224,0.062,0.469,0.0251,0.05,0.52,5.6,136.7,183.8,2.08,-29.01,-1.39,6.75,66.2,33.9,0.36,92.02,0.96,1.46,0.01,0.14,1.51,343.32,206.63,0.61,159.55,0.77,0.47,47.08,0.7,14.77,2,0.902,0.0092,0.066,-0.015,0.677,0.86,458.72,4.5,123.73,1.24,2.76,3.30356,1.19786,336.65265,122.06928,0.28,5.27,MUforest_Polyscias sambucifolia
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Agathis robusta,MUgarden_Agathis robusta,Y,T,N,4.37,0.03,14.11,54.54,1,1.11,0.96,2.55,0.027,4.31,5.588,0.035,26.28,10.78,3.09,3.56,0.44,250,193.2,0.8,56.8,0.244,145.91,143.45,0.42,0.42,0.41,0.41,0.35,0.35,52.25,0.99,0.06,1.49,0.1,1.46,0.09,0.18,0.107,0.028,0.315,0.0363,0.017,0.12,1.83,154.1,220.2,2.05,-25.86466893,2.441802687,2.67,18.6,20.18,0.13,50.61,0.33,1.26,0.01,0.08,0.5,354.77,200.68,0.57,134.59,0.73,0.39,52.44,4,23.96,2,0.906,0.0062,0.071,0.015,0.614,0.88,541.39,3.71,150.73,1.03,2.54,2.66,1.05,389,153,0.28,5.74,MUgarden_Agathis robusta
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Araucaria bidwillii,MUgarden_Araucaria bidwillii,Y,T,N,5.12,0.03,14.77,80.89,0,1.23,1.13,2.69,0.034,5.31,8.15,0.053,11.26,4.56,1.08,4.28,0.36,250,165.3,0.7,84.7,0.349,154.47,158.5,0.36,0.37,0.43,0.43,0.43,0.43,48.9,1.3,0.17,2.01,0.26,2.06,0.26,0.119,0.106,0.029,0.255,0.0576,0.021,0.13,1.89,194.4,256.7,2.12,-27.19482821,2.456307678,3.9,24.6,28.1,0.18,75.56,0.48,1.02,0.01,0.06,0.4,370.06,175.62,0.47,113.36,0.65,0.31,62.26,5,3.61,2,0.926,0.006,0.069,-0.013,0.654,0.88,520.06,3.32,162.15,1.04,2.79,2.45,0.88,383,137,0.31,3.58,MUgarden_Araucaria bidwillii
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Banksia integrifolia,MUgarden_Banksia integrifolia,N,T,N,8.4,0.04,17.74,136.92,1,0.91,0.95,2.41,0.045,10.24,17.99,0.0786,15.43,6.16,2.15,2.93,0.47,250,147.68,0.59,102.32,0.43,229.79,228.15,0.54,0.53,0.52,0.54,0.44,0.45,52.79,0.72,0.04,1.65,0.09,1.65,0.09,0.166,0.3,0.074,0.54,0.0265,0.05,0.23,5.05,159,238.9,2.06,-27.92,1.09,8.33,36.5,61.88,0.27,149.27,0.65,2.16,0.01,0.11,0.47,372.98,213.97,0.57,134.12,0.63,0.36,79.85,2.2,8.72,2,0.927,0.004,0.065,-0.027,0.754,0.88,562.61,2.47,159.01,0.7,3.15,1.87,0.6,427,135.6,0.28,4.61,MUgarden_Banksia integrifolia
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Banksia robur,MUgarden_Banksia robur,N,S,N,4.04,0.03,16.92,62.35,0.67,1.07,0.98,2.56,0.0472,6,7.77,0.0613,68.93,20.79,9.49,2.2,0.38,250,193.14,0.77,56.86,0.22,138.03,134.14,0.5,0.5,0.38,0.37,0.27,0.26,49.88,0.84,0.06,1.07,0.08,1.05,0.07,0.149,0.21,0.053,0.412,0.0327,0.04,0.33,5.68,143.5,202.5,1.92,-30.81,6.62,5.95,44.3,27.02,0.22,68,0.54,1.11,0.01,0.1,0.8,367.89,224.43,0.61,165.41,0.74,0.45,59.02,1.5,132.98,2,0.909,0.0066,0.056,-0.063,0.642,0.79,299.76,2.82,80.44,0.69,3.05,2.12,0.69,225.8,74,0.25,4.32,MUgarden_Banksia robur
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Banksia serrata,MUgarden_Banksia serrata,N,T,N,6.68,0.04,15.5,109.81,0,1.1,1.1,2.37,0.0358,6.18,12.73,0.0737,43.77,10.86,2.68,4.06,0.13,250,131.62,0.53,118.38,0.51,172.59,187.27,0.38,0.4,0.46,0.48,0.45,0.47,50.9,0.62,0.04,1.07,0.07,1.16,0.08,0.126,0.293,0.071,0.491,0.0314,0.03,0.16,4.03,155.6,243.2,1.92,-25.8,1.7,4.68,25,43.63,0.23,103.55,0.55,1.44,0.01,0.05,0.29,399.34,243.78,0.61,156.12,0.64,0.39,87.65,2.5,19.61,1,0.905,0.0052,0.062,-0.015,0.716,0.8,281.77,1.5,100.56,0.54,2.42,1.06,0.44,199.4,82.4,0.36,3.4,MUgarden_Banksia serrata
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Cephalotaxus fortunei,MUgarden_Cephalotaxus fortunei,N,T,N,5.97,0.04,14.11,86.96,1,0.97,0.95,2.75,0.044,6.86,9.046,0.058,12.87,5.58,0.45,12.49,0.16,250,188,0.8,62,0.241,155.19,155.19,0.42,0.42,0.34,0.34,0.37,0.37,51.4,1.59,0.14,2.47,0.21,2.47,0.21,0.167,0.097,0.027,0.291,0.0384,0.038,0.25,2.74,179.5,240.5,2.26,-26.03756773,1.61582,6.76,43.5,30.65,0.2,84.22,0.54,0.8,0.01,0.11,0.71,385.48,205.99,0.53,145,0.7,0.38,61,4,2.12,1,0.936,0.006,0.06,-0.012,0.689,0.93,929.73,5.99,271.78,1.75,2.79,4.41,1.58,684,245,0.29,5.28,MUgarden_Cephalotaxus fortunei
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Ginkgo biloba,MUgarden_Ginkgo biloba,N,T,N,3.42,0.06,14.54,53.42,1,1.04,0.95,2.45,0.067,3.99,5.628,0.096,22.16,6.25,4.12,1.53,0.43,250,180.5,0.7,69.5,0.291,63.8,59.88,0.31,0.31,0.26,0.25,0.2,0.19,50.48,1.66,0.55,1.12,0.36,1.04,0.34,0.174,0.184,0.044,0.402,0.154,0.046,0.77,4.5,117,199.1,2.22,-27.02371289,-0.73236,4.69,78.2,20.3,0.36,49.78,0.85,1.25,0.02,0.06,1,368.6,251.62,0.68,169.54,0.67,0.46,82.08,0.62,16.54,0,,,,,,0.82,403.69,6.33,106.44,1.73,2.71,4.62,1.7,295,109,0.27,5.25,MUgarden_Ginkgo biloba
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Macadamia ternifolia,MUgarden_Macadamia ternifolia,N,T,N,4.51,0.03,14.01,47.2,0.5,1.17,1.03,2.37,0.0327,5.23,7.31,0.0452,43.99,15.44,3.9,3.98,0.28,250,180.06,0.72,69.94,0.28,165.36,167.55,0.32,0.32,0.57,0.6,0.51,0.52,51.35,0.98,0.06,1.6,0.1,1.62,0.1,0.177,0.13,0.031,0.338,0.0291,0.03,0.2,3.2,157.6,227.3,2.29,-28.8,1.42,5.17,30.9,26.72,0.16,63.61,0.38,1.63,0.01,0.08,0.48,369.89,212.24,0.57,142.62,0.67,0.39,69.62,2.5,41.52,2,0.88,0.0053,0.098,-0.039,0.674,0.89,656.8,3.8,191.7,1.11,2.58,2.74,1.06,473.3,183.5,0.29,5.56,MUgarden_Macadamia ternifolia
MUgarden,MUgarden,MUcampus,MUcampus,high,high,MUcampus,Podocarpus elatus,MUgarden_Podocarpus elatus,Y,T,N,3.87,0.02,14.32,53.76,0.5,1.08,1.01,3,0.018,3.76,5.282,0.025,23.68,10.12,1.17,8.81,0.21,250,179.8,0.7,70.2,0.295,205.51,196.2,0.36,0.35,0.51,0.5,0.57,0.57,47.05,0.95,0.18,1.93,0.38,1.85,0.36,0.195,0.08,0.024,0.299,0.0885,0.04,0.2,2.46,124.4,208.8,2.19,-26.93819252,1.090894412,4.54,23.2,18.97,0.1,55.43,0.28,1.13,0.01,0.05,0.27,386,261.61,0.68,177.17,0.67,0.46,84.43,6,9.36,2,0.899,0.0044,0.059,0.003,0.749,0.92,787.92,4.32,222.41,1.21,2.7,3.15,1.17,575,213,0.28,6.34,MUgarden_Podocarpus elatus
