Original Taxonomic Concept,Species,Family,locality,life_history,"Height range at maturity (cm), Minimum",plant_height_maximum,"Diameter of crown (cm), 0–5","Diameter of crown (cm), 5–20","Diameter of crown (cm), 20–50","Diameter of crown (cm), 50–100","Diameter of crown (cm), 100–200","Diameter of crown (cm), >200","Canopy density, Dense","Canopy density, Intermediate","Canopy density, Sparse","Canopy density, None","Canopy elevation (cm), 0–20","Canopy elevation (cm), 20–50","Canopy elevation (cm), 50–100","Canopy elevation (cm), >100","Above-ground stem/stalk, None","Above-ground stem/stalk, Single","Above-ground stem/stalk, Multiple",stem_growth_habit,plant_climbing_mechanism,woodiness_detailed,plant_succulence,photosynthetic Flower stalk,plant_photosynthetic_organ,leaf_lamina_posture,leaf xs Terete,leaf xs Triangular,leaf xs Rectangular,leaf_compoundness,"Linear like (Tubular, Needle-like, Filiform, Linear)",Elliptical & Lanceolate,Orbicular,leaf_margin,leaf_lobation,leaf_margin_posture,leaf_hairs_adult_leaves,leaf_glaucousness_adaxial,leaf_glaucousness_abaxial,"Part protected by spines, None","Part protected by spines, Leaf","Part protected by spines, Stem","Part protected by spines, Branch","Part protected by spines, Fruit",plant_physical_defence_structures,"Root morphology, Bulb","Root morphology, Stilt",nitrogen_fixing,plant_alternative_energy_and_nutrient_acquisition_strategy,parasitic,flowering_time,fruit_fleshiness,resprouting_capacity,mycorrhizal_associations,photosynthetic_pathway,Microbial association
,Callitris pyramidalis,Cupressaceae,Eneabba & Cooljarloo,perennial,100,300,,,,1,1,,1,,,,1,1,,,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,,,,,,,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Calocephalus francisii,Asteraceae,Eneabba,,4,10,1,,,,,,,,1,,1,,,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Calothamnus blepharospermus,Myrtaceae,Eneabba,perennial,30,300,,,1,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYNNNYY,dry,,arbuscular_mycorrhizal,C3,
,Calothamnus glaber,Myrtaceae,Eneabba,perennial,30,300,,,1,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYNNNYY,dry,,arbuscular_mycorrhizal,C3,
,Calothamnus hirsutus,Myrtaceae,Eneabba & Cooljarloo,perennial,30,150,,,1,1,1,,1,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calothamnus longissimus,Myrtaceae,Eneabba,perennial,30,120,,,1,1,1,,1,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calothamnus quadrifidus subsp. angustifolius,Myrtaceae,Eneabba & Cooljarloo,perennial,50,200,,,,,1,1,1,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Calothamnus quadrifidus subsp. quadrifidus,Myrtaceae,Cooljarloo,perennial,65,300,,,,,1,1,1,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Calothamnus sanguineus,Myrtaceae,Eneabba & Cooljarloo,perennial,20,200,,1,1,1,1,1,1,1,,,1,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calothamnus torulosus,Myrtaceae,Eneabba,perennial,15,40,,1,1,,,,1,1,,,1,1,0,0,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous hairy,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix angulata,Myrtaceae,Eneabba & Cooljarloo,perennial,20,100,,,1,1,,,1,1,,,1,1,1,,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Calytrix aurea,Myrtaceae,Cooljarloo,perennial,20,200,,,1,1,1,,1,,,,,1,1,1,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Calytrix chrysantha,Myrtaceae,Eneabba,perennial,30,130,,,1,1,,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,,,,1,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNNNNYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix depressa,Myrtaceae,Eneabba & Cooljarloo,perennial,20,100,,1,1,1,,,1,,,,1,1,1,,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix eneabbensis,Myrtaceae,Eneabba,perennial,30,100,,1,1,1,,,1,,,,1,1,1,,,1,,erect prostrate,,woody,,,leaf,,,1,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix flavescens,Myrtaceae,Eneabba & Cooljarloo,perennial,30,80,,1,1,,,,,1,,,1,1,1,,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix fraseri,Myrtaceae,Eneabba & Cooljarloo,perennial,20,200,,1,1,1,1,,,1,,,1,1,1,1,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix gracilis,Myrtaceae,Eneabba,perennial,20,100,,1,1,1,,,1,1,,,1,1,1,,,1,,erect,,woody,,,leaf,,,,1,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix leschenaultii,Myrtaceae,Eneabba & Cooljarloo,perennial,15,100,,1,1,1,,,1,1,,,1,1,1,,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Calytrix oldfieldii,Myrtaceae,Eneabba,perennial,35,100,,,1,1,,,,1,,,,1,1,,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYNNNNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix sapphirina,Myrtaceae,Eneabba & Cooljarloo,perennial,20,100,,,1,1,,,,1,1,,1,1,1,,,,1,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Calytrix strigosa,Myrtaceae,Eneabba,perennial,15,160,,,1,1,1,,1,1,,,1,1,1,1,,1,,prostrate,,woody,,,leaf,,,1,,simple,1,1,1,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Calytrix superba,Myrtaceae,Eneabba,perennial,20,100,,1,1,1,,,1,1,,,1,1,1,,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNNNNYY,dry,,arbuscular_mycorrhizal,C3,
,Calytrix variabilis,Myrtaceae,Cooljarloo,perennial,30,150,,,1,1,1,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Carpobrotus edulis,Aizoaceae,Cooljarloo,perennial,6,30,1,1,1,1,1,,1,1,,,1,,,,,,1,prostrate,,herbaceous,succulent,,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,CAM,1
,Carpobrotus modestus,Aizoaceae,Eneabba & Cooljarloo,perennial,6,50,1,1,1,1,,,,1,,,1,,,,,,1,prostrate,,herbaceous,succulent,,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,CAM,1
,Carpobrotus virescens,Aizoaceae,Eneabba,perennial,10,30,1,1,1,1,1,1,,1,,,1,,,,,,1,prostrate,,herbaceous,succulent,,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,,CAM,1
,Cartonema philydroides,Commelinaceae,Eneabba,perennial,10,50,,,1,,,,,,1,,,1,,,,,1,erect,,herbaceous,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Cassytha aurea var. aurea,Lauraceae,Eneabba,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Cassytha aurea var. hirta,Lauraceae,Eneabba & Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Cassytha flava,Lauraceae,Eneabba & Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YYYYYYYYYYYY,dry,,,C3,1
,Cassytha glabella forma bicallosa,Lauraceae,Eneabba & Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YYYYNNNYYYYY,dry,,,C3,1
,Cassytha glabella forma dispar,Lauraceae,Eneabba & Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YYYYYYYYYYYY,dry,,,C3,1
,Cassytha glabella forma glabella,Lauraceae,Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YYYYYYYYYYYY,dry,,,C3,1
,Cassytha nodiflora,Lauraceae,Eneabba,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Cassytha pomiformis,Lauraceae,Eneabba & Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YNNNYYYYYYYY,dry,,,C3,1
,Cassytha racemosa forma pilosa,Lauraceae,Eneabba,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YYYYYYYYYYYY,dry,,,C3,1
,Cassytha racemosa forma racemosa,Lauraceae,Eneabba & Cooljarloo,perennial,10,500,1,1,1,1,1,1,,1,1,,1,1,1,1,,,1,climbing,twining,herbaceous,,,non-photosynthetic_plant,,,,,,,,,,,,,,,absent,,,,,absent,,,,,stem_parasitic,YYYYYYYYYYYY,dry,,,C3,1
,Casuarina cunninghamiana,Casuarinaceae,Eneabba,perennial,500,900,1,1,1,1,1,1,1,,,,1,1,,,,1,,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YYYYNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Casuarina obesa,Casuarinaceae,Eneabba & Cooljarloo,perennial,150,1000,,,,,,1,1,,,,,,,1,,1,,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YYYYNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Caustis dioica,Cyperaceae,Eneabba & Cooljarloo,perennial,15,70,1,1,1,,,,1,1,,,1,,,,,,1,erect,,herbaceous,,,leaf cladode,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Centaurea melitensis,Asteraceae,Eneabba & Cooljarloo,perennial,20,100,1,1,1,,,,,,1,,1,1,1,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Centaurium erythraea,Gentianaceae,Eneabba,,5,50,,1,,,,,,,1,,,1,,,,1,,erect,,herbaceous,,,leaf cladode,flat,,,,simple,,1,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Centaurium pulchellum,Gentianaceae,Eneabba,,5,20,,1,,,,,,,1,,1,1,,,,1,,erect,,herbaceous,,,leaf cladode,flat,,,,simple,,1,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Centaurium tenuiflorum,Gentianaceae,Eneabba,,15,53,,1,,,,,,,1,,,1,,,,1,,erect,,herbaceous,,,leaf cladode,flat,,,,simple,,1,1,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYNNNYY,dry,,arbuscular_mycorrhizal,C3,
,Centrolepis aristata,Centrolepidaceae,Eneabba & Cooljarloo,,2,20,1,,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Centrolepis drummondiana,Centrolepidaceae,Eneabba & Cooljarloo,,2,11,1,,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Centrolepis mutica,Centrolepidaceae,Eneabba & Cooljarloo,,3,7,1,,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Centrolepis pilosa,Centrolepidaceae,Eneabba & Cooljarloo,,2.5,9,1,,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Centrolepis polygyna,Centrolepidaceae,Eneabba & Cooljarloo,,1,7,,1,,,,,,,1,,1,,,,,1,,erect,,herbaceous,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Cerastium glomeratum,Caryophyllaceae,Cooljarloo,,5,40,,1,,,,,,,1,,1,,,,,,1,erect decumbent,,herbaceous,,,leaf,flat,,,,simple,,1,,entire,,,hairy,not_glaucousred_brown,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Chaetanthus aristatus,Restionaceae,Eneabba & Cooljarloo,perennial,30,80,1,1,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,,,C3,1
,Chamaescilla corymbosa,Xanthorrhoeaceae,Eneabba & Cooljarloo,perennial,5,40,1,1,,,,,,,1,,1,,,,,1,,erect,,herbaceous,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Chamaescilla versicolor,Xanthorrhoeaceae,Eneabba,perennial,15,40,1,1,,,,,,,1,,1,,,,,1,,erect,,herbaceous,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,1,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Chamelaucium uncinatum,Myrtaceae,Eneabba & Cooljarloo,perennial,50,400,,,1,1,1,1,1,1,,,,1,1,1,,1,,erect,,woody,,,leaf,,,1,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Cheilanthes austrotenuifolia,Pteridaceae,Eneabba,perennial,10,30,1,1,,,,,,,1,,1,1,1,,,,1,erect,,herbaceous,,,leaf,conduplicate,,,,simple,,1,,,lobed_deep,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,,resprouts,arbuscular_mycorrhizal,C3,
,Chenopodium murale,Chenopodiaceae,Eneabba,,20,100,1,1,1,1,,,1,,,,,1,,,,1,1,erect,,herbaceous,,,leaf,flat,,,,simple,1,1,,toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,fleshy,,,C3,1
,Chordifex chaunocoleus,Restionaceae,Cooljarloo,perennial,40,70,1,1,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Chordifex microcodon,Restionaceae,Cooljarloo,perennial,60,70,1,1,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,,,C3,1
,Chordifex reseminans,Restionaceae,Cooljarloo,perennial,60,90,1,1,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYNNNNNNNN,dry,,,C3,1
,Chordifex sinuosus,Restionaceae,Eneabba & Cooljarloo,perennial,40,50,1,1,1,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,resprouts,,C3,1
,Choretrum pritzelii,Santalaceae,Eneabba,perennial,100,250,,1,1,1,,,,1,1,,,1,1,,,1,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,root_parasitic,YYYYNNNYYYYY,dry,resprouts,,C3,1
,Chorizandra enodis,Cyperaceae,Eneabba & Cooljarloo,perennial,18,100,1,1,1,1,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Clematicissus angustissima,Vitaceae,Eneabba,perennial,30,300,1,1,1,1,1,1,,,1,,1,1,1,1,,1,,climbing,twining,woody,,,leaf,flat,,,,simplecompound,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYNNNYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Clematis linearifolia,Ranunculaceae,Eneabba & Cooljarloo,perennial,50,500,1,1,1,1,1,1,,1,,,1,1,1,1,,1,,climbing,twining,woody_base,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Comesperma acerosum,Polygalaceae,Eneabba & Cooljarloo,perennial,25,50,1,,,,,,,,1,,1,1,,,,1,,erect,,woody,,,leaf,,1,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma calymega,Polygalaceae,Eneabba & Cooljarloo,perennial,10,30,1,,,,,,,,1,,1,1,,,,1,,erect,,woody_base,,,leaf cladode,flat conduplicate,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma ciliatum,Polygalaceae,Eneabba & Cooljarloo,perennial,10,200,1,1,1,,,,,,1,,1,1,1,,,,1,climbing,twining,woody_base,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma confertum,Polygalaceae,Eneabba & Cooljarloo,perennial,20,100,1,1,1,,,,,1,,,1,1,,,,1,,erect,,woody_base,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma drummondii,Polygalaceae,Eneabba,perennial,20,120,1,1,,,,,,1,,,1,1,,,,1,,erect,,woody_base,,,leaf,flat,,,,simple,1,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma griffinii,Polygalaceae,Eneabba,perennial,5,15,1,,,,,,,,1,,1,,,,,,1,erect,,woody_base,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma integerrimum,Polygalaceae,Eneabba & Cooljarloo,perennial,30,80,1,1,1,1,1,,,,1,,1,1,1,,,1,,climbing,twining,woody_base,,,leaf cladode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma rhadinocarpum,Polygalaceae,Eneabba & Cooljarloo,perennial,6,45,1,1,,,,,,1,,,1,,,,,,1,erect,,woody_base,,,leaf,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma scoparium,Polygalaceae,Eneabba,perennial,30,120,1,1,1,,,,,1,,,1,1,,,,,1,erect,,woody_base,,1,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma virgatum,Polygalaceae,Cooljarloo,perennial,30,160,1,1,,,,,,,1,,1,1,,,,1,1,erect,,woody_base,,,leaf cladode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Comesperma volubile,Polygalaceae,Eneabba & Cooljarloo,perennial,0.15,200,1,1,1,1,1,,,1,,,1,1,1,1,,,1,climbing,twining,woody_base,,,leaf cladode,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Commersonia borealis,Malvaceae,Eneabba,perennial,40,150,,,1,1,1,,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire,lobed,,hairy,not_glaucousglaucous,not_glaucousglaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,arbuscular_mycorrhizal,C3,
,Conospermum acerosum subsp. acerosum,Proteaceae,Eneabba & Cooljarloo,perennial,30,170,,1,1,,,,,1,,,,,1,1,,1,,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
