Accepted taxon name in Plant List www.theplantlist.org,growth habit,growth habit source,climbing type,climbing type source,dispersal appendage/syndrome,dispersal source ,SLA (mm2/mg),SLA source,leaf size (cm2),leaf size source,seed mass (mg) ,seed mass source,,,,,,,,
Ceropegia nilotica,,,twiner,72,wind,72,,,,,,,,,,,,,,
Ceropegia sankurensis,,,twiner,72,wind,72,,,,,,,,,,,,,,
Ceropegia sobolifera,,,twiner,72,wind,72,,,,,,,,,,,,,,
Ceropegia thwaitesii,,,,,coma,86,,,,,,,,,,,,,,
Chaetocalyx brasiliensis,,,,,,,,,,,,,,,,,,,,
Chamaecrista nictitans,woody,10,scrambler,10,,,,,,,2.20,53,,,,,,,,
Chamaecrista diphylla,,,,,,,,,,,,,,,,,,,,
Chamissoa altissima,,,,,animal,57,,,,,3.00,53,,,,,,,,
Chasmanthera dependens,woody,36,twiner,36,drupe,36,,,127.58,36,213.26,100,,,,,,,,
Chassalia cristata,woody,21,twiner,21,drupe,21,,,27.30,21,27.57,100,,,,,,,,
Cheiloclinium anomalum,,,,,animal,43,,,,,,,,,,,,,,
Cheiloclinium cognatum,,,,,animal,53,,,31.54,57,,,,,,,,,,
Cheiloclinium hippocrateoides,,,,,animal,43,,,,,,,,,,,,,,
Chilocarpus denudatus,woody,81,twiner,81,,,,,31.98,81,67.99,100,,,,,,,,
Chilocarpus vernicosus,woody,81,twiner,81,,,,,37.27,81,76.90,100,,,,,,,,
Chiococca alba,herbaceous,5,scrambler,5,berry,"5,57",,,15.12,5,14.63,53,,,,,,,,
Chlamydocmya macrocarpa,,,,,,,,,,,,,,,,,,,,
Chomelia psilocarpa,woody,5,scrambler,5,berry,5,,,23.76,3,130.44,100,,,,,,,,
Chondrodendron tomentosum,woody,5,twiner,5,drupe,5,,,107.99,"3,38",,,,,,,,,,
Chonemorpha fragrans,woody,9,twiner,81,coma,9,,,425.36,"9,81",211.15,100,,,,,,,,
Chromolaena maximilianii,,,,,,,,,,,,,,,,,,,,
Chusquea dombeyana,,,,,,,,,,,,,,,,,,,,
Cionosicyos tuxtlensis,,,tendrils,86,,,,,,,,,,,,,,,,
Cissampelopsis walkeri,,,,,,,,,,,,,,,,,,,,
Cissampelos andromorpha,,,,,drupe,74,,,,,,,,,,,,,,
Cissampelos glaberrima,,,,,drupe,74,,,,,,,,,,,,,,
Cissampelos owariensis,woody,36,tendrils,72,drupe,36,,,56.70,36,,,,,,,,,,
Cissampelos pareira,woody,36,scrambler,36,animal,"53,57",,,29.65,"3,7",5.99,53,,,,,,,,
Cissus alata,,,tendrils,91,drupe,63,,,28.08,3,48.00,53,,,,,,,,
Cissus antarctica,woody,28,tendrils,27,drupe,28,15.02444774,57,45.46,"15,34,57",65.40,53,,,,,,,,
Cissus arguta,,,tendrils,91,drupe,63,,,,,,,,,,,,,,
Cissus campestris,woody,19,tendrils,91,drupe,63,,,22.40,19,56.41,100,,,,,,,,
Cissus debilis,herbaceous,36,tendrils,91,drupe,63,,,46.20,36,,,,,,,,,,
Cissus erosa,woody,5,tendrils,91,drupe,63,,,17.59,"2,33,57",12.89,53,,,,,,,,
Cissus glyptocarpa,,,tendrils,91,drupe,63,,,,,,,,,,,,,,
Cissus gossypiifolia,woody,19,tendrils,91,drupe,63,,,39.38,19,46.43,100,,,,,,,,
Cissus heyneana,,,tendrils,91,drupe,63,,,,,,,,,,,,,,
Cissus hypoglauca,woody,28,tendrils,28,drupe,28,12.18032806,57,18.61,"15,24,57",39.11,53,,,,,,,,
Cissus microcarpa,woody,5,tendrils,91,drupe,"63,57",,,12.11,3,75.00,53,,,,,,,,
Cissus palmatiffida,herbaceous,36,tendrils,91,drupe,63,,,,,,,,,,,,,,
Cissus petiolata,woody,83,tendrils,91,drupe,63,,,118.30,83,79.28,100,,,,,,,,
Cissus producta,woody,36,tendrils,91,drupe,63,,,64.90,"36,83",235.73,100,,,,,,,,
Cissus quadrangularis,herbaceous,12,tendrils,12,berry,12,,,14.00,12,84.68,53,,,,,,,,
Cissus repens,woody,27,tendrils,9,berry,9,,,0.10,9,32.00,53,,,,,,,,
Cissus serroniana,woody,19,tendrils,91,drupe,63,,,,,212.38,100,,,,,,,,
Cissus simsiana,woody,19,tendrils,91,drupe,63,,,23.80,19,35.53,100,,,,,,,,
Cissus subrhomboidea,woody,19,tendrils,91,drupe,63,,,15.36,19,66.88,100,,,,,,,,
Cissus sulcicaulis,woody,19,tendrils,91,drupe,63,,,68.25,19,205.76,100,,,,,,,,
Cissus tweediana,woody,19,tendrils,91,drupe,63,,,71.06,19,16.95,100,,,,,,,,
Cissus verticillata,woody,19,tendrils,91,drupe,63,,,16.78,7,22.32,100,,,,,,,,
Cissus vitiginea,,,tendrils,91,drupe,63,,,,,,,,,,,,,,
Cissus palmata,woody,19,tendrils,91,drupe,63,,,4.62,19,95.59,100,,,,,,,,
Cissus palmata,,,,,fleshy,86,,,,,,,,,,,,,,
Clematis affinis,,,,,,,,,,,,,,,,,,,,
Clematis aristata,woody,28,twiner,28,coma,28,30.77094653,57,34.00,"16,57",3.85,53,,,,,,,,
Clematis dioica,,,,,wind,63,,,,,1.99,53,,,,,,,,
Clematis foetida,,,,,wind,63,,,,,1.50,53,,,,,,,,
Clematis foetidissima,,,,,wind,63,,,,16,,,,,,,,,,
Clematis glycinoides,woody,28,twiner,28,coma,28,10.97331085,57,15.40,"15,28,57",1.87,53,,,,,,,,
Clematis gouriana,woody,9,,,wind,63,,,14.67,9,,,,,,,,,,
Clematis hirsuta,woody,21,scrambler,21,wind,63,,,,,2.00,53,,,,,,,,
Clematis javana,,,,,wind,63,,,,,,,,,,,,,,
Clematis ligusticifolia,woody,9,,,wind,53,,,32.13,9,2.61,53,,,,,,,,
Clematis longicauda,,,hooks,72,wind,63,,,,,,,,,,,,,,
Clematis paniculata,,,,,wind,63,27.63780856,57,12.57,"35,57",6.40,53,,,,,,,,
Clematis simensis,woody,45,twiner,45,coma,45,,,24.94,45,2.00,53,,,,,,,,
Clematis virginiana,woody,13,twiner,13,wind,53,,,47.80,37,3.00,53,,,,,,,,
Clerodendrum fuscum,woody,21,scrambler,21,animal,21,,,30.80,21,,,,,,,,,,
Clerodendrum johnstonii,woody,21,scrambler,21,animal,21,,,72.80,21,,,,,,,,,,
Clerodendrum splendens,woody,83,scrambler,83,drupe,83,,,52.48,83,,,,,,,,,,
Clitoria falcata,herbaceous,9,twiner,9,unassisted,10,,,13.32,9,8.69,100,,,,,,,,
Clitoria javitensis,woody,5,tendrils,5,wind,43,,,47.52,3,483.00,53,,,,,,,,
Clitoria ternatea,herbaceous,9,twiner,10,unassisted,10,,,6.56,9,50.60,53,,,,,,,,
Clusia araracuarae,,,,,,,,,,,,,,,,,,,,
Clusia grandiflora,,,,,animal,"53,57",,,,,10.86,52,,,,,,,,
Clusia panapanari,,,,,animal,"53,57",,,,,4.42,52,,,,,,,,
Clusia penduliflora,,,,,,,,,,,,,,,,,,,,
Cnestidium rufescens,woody,5,twiner,5,aril,5,,,12.96,3,,,,,,,,,,
Cnestis ferruginea,,,,,,,,,,,,,,,,,,,,
Coccinia grandis,herbaceous,36,tendrils,36,fleshy,36,,,39.38,12,12.46,53,,,,,,,,
Coccinia schliebenii,herbaceous,21,tendrils,72,animal,21,,,201.60,21,,,,,,,,,,
Coccocypselum hirsutum,,,,,,,,,,,,,,,,,,,,
Coccocypselum lanceolatum,,,,,,,,,,,,,,,,,,,,
Coccoloba excelsa,woody,43,,,animal,43,10.840538,57,97.60,"3,33,57",,,,,,,,,,
Coccoloba obtusifolia,,,,,,,,,,,,,,,,,,,,
Combretum aculeatum,woody,69,scrambler,69,wing,69,,,24.50,69,57.14,53,,,,,,,,
Combretum albidum,woody,64,twiner,75,wing,70,,,,,,,,,,,,,,
Combretum bipindense,woody,71,twiner,71,wing,71,,,68.91,71,1.03,71,,,,,,,,
Combretum cacoucia,woody,43,,,wind,43,,,,,,,,,,,,,,
Combretum capituliflorum,,,,,,,,,,,,,,,,,,,,
Combretum comosum,,,,,,,,,,,,,,,,,,,,
Combretum decandrum,woody,5,spines,5,wing,5,,,32.86,"3,5",,,,,,,,,,
Combretum discolor,,,,,,,,,,,,,,,,,,,,
Combretum farinosum,,,,,,,,,,,,,,,,,,,,
Combretum hispidum,,,,,,,,,,,,,,,,,,,,
Combretum indicum,woody,27,,,drupe,27,24.63054187,57,29.09,"9,27",,,,,,,,,,
Combretum latifolium,woody,9,,,,,,,85.05,9,,,,,,,,,,
Combretum laxum,woody,43,,,animal,"65,57",,,27.32,3,,,,,,,,,,
Combretum marginatum,,,,,,,,,,,,,,,,,,,,
Combretum mucronatum,,,,,,,,,,,,,,,,,,,,
Combretum nigrescens,,,,,,,,,,,210.32,53,,,,,,,,
Combretum paniculatum,,,twiner,72,winged,83,,,91.88,83,34.01,53,,,,,,,,
Combretum paraguariense,,,,,,,,,,,,,,,,,,,,
Combretum prionostemma,,,,,,,,,,,,,,,,,,,,
Combretum racemosum,,,,,wind,"53,57",,,,,14.95,53,,,,,,,,
Combretum rotundifolium,,,,,wind,"53,57",,,,,430.00,53,,,,,,,,
Combretum tomentosum,woody,83,scrambler,83,wing,83,,,154.00,83,,,,,,,,,,
Comesperma volubile,herbaceous,28,twiner,28,,,,,0.63,28,1.61,50,,,,,,,,
Condylocarpon isthmicum,,,,,,,,,,,,,,,,,,,,
Connarus conchocarpus,woody,27,twiner,27,aril,59,,,63.70,27,249.48,100,,,,,,,,
Connarus culionensis,,,,,,,,,,,,,,,,,,,,
Connarus megacarpus,,,,,animal,"53,57",,,,,433.33,52,,,,,,,,
Connarus paniculatus,woody,9,scrambler,9,aril,9,,,47.78,9,235.73,100,,,,,,,,
Connarus perrottetii,,,,,animal,"53,57",,,,,183.33,52,,,,,,,,
Connarus ruber,,,,,,,,,,,,,,,,,,,,
Connarus schultessi,,,,,animal,"53,57",,,,,,,,,,,,,,
Connarus sclerocarpus,,,,,,,,,,,,,,,,,,,,
Connarus semidecandrus,,,,,,,,,,,,,,,,,,,,
Connarus turczaninowii,woody,5,scrambler,5,aril,5,,,16.96,"3,38",386.00,53,,,,,,,,
Convolvulus erubescens,herbaceous,28,twiner,28,unassisted,"28,57",31.94936364,57,3.83,"28,57",2.72,48,,,,,,,,
Coptosapelta diffusa,woody,10,twiner,10,wing,10,,,6.13,10,,,,,,,,,,
Cordia polycephala,,,,,,,,,,,2.45,53,,,,,,,,
Coscinium fenestratum,woody,101,twiner,101,drupe,101,,,220.50,101,6500.00,53,,,,,,,,
Cosmostigma cordatum,,,,,coma,86,,,,,,,,,,,,,,
Coussapoa villosa,,,,,,,,,333.22,57,,,,,,,,,,
Coutarea hexandra,woody,43,scrambler,43,wind,43,,,,,4.00,53,,,,,,,,
Craspedolobium schochii,woody,9,,,,,,,,47,,,,,,,,,,
Croton ascendens,,,,,,,,,,,338.08,100,,,,,,,,
Croton caudatus,woody,9,scrambler,9,unassisted,82,,,14.31,"9,82",,,,,,,,,,
Cryptolepis sanguinolenta,woody,36,scrambler,36,coma,36,,,15.31,36,,,,,,,,,,
Cucumis melo,herbaceous,12,tendrils,72,fleshy,36,,,0.70,12,28.82,53,,,,,,,,
Cuervea kappleriana,woody,43,,,,,,,,,,,,,,,,,,
Culcasia angolensis,,,,,,,,,,,,,,,,,,,,
Culcasia falcifolia,,,roots,72,animal,72,,,,,,,,,,,,,,
Culcasia scandens,,,,,,,,,,,,,,,,,,,,
Curarea candicans,,,,,drupe,74,,,,,,,,,,,,,,
Curarea tecunarum,,,,,drupe,74,,,,,,,,,,,,,,
Cuspidaria convoluta,,,,,wind,87,,,,,,,,,,,,,,
Cuspidaria floribunda,,,,,wind,87,,,,,,,,,,,,,,
Cuspidaria inaequalis,,,,,wind,"53,57",,,,,,,,,,,,,,
Cuspidaria pulchra,,,,,,,,,,,,,,,,,,,,
Cyathostemma excelsum,,,,,fleshy,86,,,,,,,,,,,,,,
Cymbopetalum brasiliense,,,,,fleshy,86,,,,,,,,,,,,,,
Cyphostemma adenocaule,herbaceous,36,tendrils,36,berry,36,,,60.38,36,31.71,53,,,,,,,,
Cyphostemma adenopodum,woody,13,tendrils,91,drupe,13,,,66.15,13,,,,,,,,,,
Cyphostemma kilimandscharica,woody,83,tendrils,72,berry,72,,,24.50,83,35.87,53,,,,,,,,
Cyrilla racemiflora,,,,,,,9.740555037,57,5.78,13,,,,,,,,,,
Cyrtocymura scorpioides,,,,,,,,,,,,,,,,,,,,
Cyrtocymura scorpioides,,,,,,,,,,,,,,,,,,,,
Daemonorops atra,,,,,,,,,,,,,,,,,,,,
Daemonorops cristata,,,,,,,,,,,,,,,,,,,,
Daemonorops fissa,,,,,,,,,,,,,,,,,,,,
Daemonorops formicaria,,,,,,,,,,,,,,,,,,,,
Daemonorops longipes,,,,,,,,,,,,,,,,,,,,
Daemonorops maculata,,,,,,,,,,,,,,,,,,,,
Daemonorops melanochaetes,,,,,animal,"53,57",,,,,,,,,,,,,,
Daemonorops microstachys,,,,,,,,,,,,,,,,,,,,
Daemonorops mollis,,,,,,,,,,,,,,,,,,,,
Daemonorops oblonga,,,,,,,,,,,,,,,,,,,,
Daemonorops oxycarpa,,,,,,,,,,,,,,,,,,,,
Daemonorops periacantha,,,,,,,,,,,,,,,,,,,,
Daemonorops sabut,,,,,,,,,,,,,,,,,,,,
Daemonorops sparsiflora,,,,,,,,,,,,,,,,,,,,
Dalbergia frutescens,,,,,,,,,,,162.75,53,,,,,,,,
Dalbergia glabra,,,,,wind,79,,,,,42.11,53,,,,,,,,
Dalbergia hostilis,woody,36,spines,36,,,,,,,17.07,53,,,,,,,,
Dalbergia lactea,woody,83,twiner,72,autochory,72,,,10.80,"29,83",46.27,100,,,,,,,,
Dalbergia monetaria,woody,43,,,wind,43,3.949523656,57,22.98,3,,,,,,,,,,
Dalbergia pinnata,woody,9,scrambler,9,,,,,65.63,9,100.03,100,,,,,,,,
Dalbergia riedelii,,,,,,,,,,,,,,,,,,,,
Dalbergia riparia,,,,,,,,,,,,,,,,,,,,
Dalbergia saxatilis,,,,,,,,,,,,,,,,,,,,
Dalbergia scortechinii,,,,,,,,,,,,,,,,,,,,
Dalbergia stipulacea,woody,9,twiner,85,,,,,3.31,9,131.11,53,,,,,,,,
Dalbergia subcymosa,,,,,,,,,,,,,,,,,,,,
Dalbergia welwitschii,,,,,,,,,,,,,,,,,,,,
Dalea carthagenensis,,,,,,,,,,,,,,,,,,,,
Dalechampia olfersiana,,,,,,,,,,,,,,,,,,,,
Dalechampia pentaphylla,,,,,,,,,,,,,,,,,,,,
Dalechampia scandens,,,,,ballistic,53,,,,,22.06,53,,,,,,,,
Dalechampia stipulacea,,,,,ballistic,53,,,,,,,,,,,,,,
Dalechampia triphylla,,,,,,,,,,,,,,,,,,,,
Dasyphyllum brasiliense,,,,,,,,,,,,,,,,,,,,
Dasyphyllum flagellare,,,,,,,,,,,,,,,,,,,,
Dasyphyllum spinescens,,,,,,,,,,,,,,,,,,,,
Dasyphyllum synacanthum,,,,,,,,,,,,,,,,,,,,
Davilla kunthii,woody,1,scrambler,1,aril,1,,,73.50,1,,,,,,,,,,
Davilla nitida,woody,5,twiner,5,bird,5,,,29.25,33,,,,,,,,,,
Davilla pedicellaris,,,,,,,,,,,,,,,,,,,,
Davilla rugosa,,,,,,,6.024,57,,,,,,,,,,,,
Deguelia scandens,,,,,,,,,,,,,,,,,,,,
Deguelia spruceana,,,,,,,,,,,,,,,,,,,,
Deinbollia fulvotomentella,,,,,,,,,,,,,,,,,,,,
Dendrotrophe varians,woody,9,,,drupe,9,,,10.50,9,,,,,,,,,,
Derris benthamii,,,,,,,,,,,,,,,,,,,,
Derris brevipes,,,,,,,,,,,,,,,,,,,,
Derris floribunda,,,,,,,,,,,,,,,,,,,,
Derris heyneana,,,,,,,,,,,,,,,,,,,,
Derris marginata,,,,,,,,,3.33,9,,,,,,,,,,
Derris ovalifolia,,,twiner,77,wind,80,,,,,,,,,,,,,,
Derris scandens,,,scrambler,12,wind,"12,57",,,,12,,,,,,,,,,
Derris trifoliata,woody,27,twiner,27,water,"53,57",,,37.67,27,846.79,100,,,,,,,,
Desmoncus costaricensis,,,,,,,,,,,,,,,,,,,,
Desmoncus orthacanthos,herbaceous,25,spines,94,fleshy,43,,,52.50,43,379.52,100,,,,,,,,
Desmoncus polyacanthos,,,,,animal,"53,57",,,,,310.00,53,,,,,,,,
Desmos goezeanus,woody,27,tendrils,27,aril,27,,,26.34,27,92.46,100,,,,,,,,
Desmos chinensis,,,,,fleshy,86,,,,,,,,,,,,,,
Dicella bracteosa,,,,,,,,,,,,,,,,,,,,
Dicella julianii,,,,,,,,,,,,,,,,,,,,
Dicella macroptera,,,,,,,,,,,,,,,,,,,,
Dichapetalum crassifolium,woody,83,scrambler,83,,,,,23.28,,,,,,,,,,,
Dichapetalum longepedunculatum,,,,,,,,,,,,,,,,,,,,
Dichapetalum pallidum,,,,,,,,,,,,,,,,,,,,
Dichapetalum papuanum,woody,27,scrambler,27,aril,27,,,31.50,27,57.82,53,,,,,,,,
Dichapetalum penduculatum,,,,,,,,,,,,,,,,,,,,
Dichapetalum rugosum,,,,,,,,,,,,,,,,,,,,
Dichapetalum spruceanum,,,,,,,12.04819277,57,,,,,,,,,,,,
Dichapetalum stipulatum,,,,,,,,,,,,,,,,,,,,
Dichorisandra hexandra,herbaceous,43,,,,,,,,,,,,,,,,,,
Diclidanthera laurifolia,,,,,,,,,,,,,,,,,,,,
Dicranostyles ampla,,,,,animal,57,,,,,800.00,53,,,,,,,,
Dicranostyles scandens,,,,,,,,,,,,,,,,,,,,
Dinochloa pubiramea,,,,,,,,,,,,,,,,,,,,
Dinochloa scandens,,,,,,,,,,,,,,,,,,,,
Dioclea glabra,,,,,,,,,,,,,,,,,,,,
Dioclea guianensis,woody,5,twiner,5,bird water,43,,,41.38,"5,57",72.00,53,,,,,,,,
Dioclea latifolia,,,,,,,,,,,,,,,,,,,,
Dioclea malacocarpa,,,,,,,,,,,,,,,,,,,,
Dioclea megacarpa,,,,,,,,,,,,,,,,,,,,
Dioclea melanocarpa,,,,,,,,,,,,,,,,,,,,
Dioclea reflexa,woody,5,twiner,5,,,,,41.08,3,4013.00,53,,,,,,,,
Dioclea rufescens,,,,,,,,,,,,,,,,,,,,
Dioclea scabra var. scabra,,,,,,,,,,,,,,,,,,,,
Dioclea sclerocarpa,,,,,,,,,,,,,,,,,,,,
Dioclea violacea,,,,,,,,,,,,,,,,,,,,
Dioclea virgata,,,,,,,,,,,,,,,,,,,,
Dioclea wilsonii,woody,5,twiner,5,,,19.762154,57,49.83,"5,57",2240.07,100,,,,,,,,
Dioscorea abyssinica,,,,,,,,,,,,,,,,,,,,
Dioscorea altissima,,,,,,,,,,,,,,,,,,,,
Dioscorea bulbifera,herbaceous,10,twiner,13,wing,13,,,1.63,13,5.68,53,,,,,,,,
Dioscorea ceratandra,,,,,,,,,,,,,,,,,,,,
Dioscorea composita,,,,,,,,,,,,,,,,,,,,
Dioscorea convolvulacea,,,,,wind,"53,57",,,,,,,,,,,,,,
Dioscorea dodecaneura,,,,,,,,,,,,,,,,,,,,
Dioscorea hispida,herbaceous,10,twiner,9,wing,9,,,50.40,9,,,,,,,,,,
Dioscorea megacarpa,,,,,,,,,,,,,,,,,,,,
Dioscorea melastomatifolia,,,,,,,,,,,,,,,,,,,,
Dioscorea monandra,,,,,,,,,,,,,,,,,,,,
Dioscorea multiflora,,,,,,,,,,,,,,,,,,,,
Dioscorea praehensilis,herbaceous,36,twiner,36,wind,36,,,19.60,36,,,,,,,,,,
Dioscorea preussii,,,,,,,,,,,,,,,,,,,,
Dioscorea pseudomacrocapsa,,,,,,,,,,,,,,,,,,,,
Dioscorea sagittifolia,,,,,,,,,,,,,,,,,,,,
Dioscorea smilacifolia,,,,,,,,,,,,,,,,,,,,
Dioscorea transversa,herbaceous,15,twiner,15,wing,15,47.94500278,57,15.65,"15,27,57",,,,,,,,,,
Dioscoreophyllum cumminsii,,,twiner,83,drupe,74,,,147.18,83,,,,,,,,,,
Diploclisia glaucescens,woody,9,twiner,76,drupe,"9,57",,,,9,,,,,,,,,,
Diplopterys lucida,,,,,,,,,,,,,,,,,,,,
Diplopterys lutea,,,,,,,,,,,,,,,,,,,,
Diplopterys platyptera,,,,,,,,,,,,,,,,,,,,
Diplopterys pubipetala,,,,,,,,,,,,,,,,,,,,
Dischidia formosana,herbaceous,9,twiner,10,coma,10,,,1.16,9,2.84,100,,,,,,,,
Dischidia major,,,,,coma,86,,,,,,,,,,,,,,
Ditassa bolivarensis,,,,,coma,86,,,,,,,,,,,,,,
Dolichandra quadrivalvis,,,,,wind,87,,,,,,,,,,,,,,
Dolichandra uncata,,,,,wind,87,,,,,,,,,,,,,,
Dolichandra unguis-cati,woody,12,tendrils,5,wind water,"43,57",,,13.80,3,67.40,53,,,,,,,,
Dolichandra unguis–cati,,,,,wind,87,,,,,,,,,,,,,,
Dolichos sericeus,herbaceous,72,twiner,26,unassisted,72,,,13.16,26,61.53,53,,,,,,,,
Doliocarpus amazonicus,,,,,,,,,,,,,,,,,,,,
Doliocarpus brevipedicellatus,,,,,,,,,,,,,,,,,,,,
Doliocarpus dentatus,woody,5,twiner,5,aril,5,10.532173,57,38.50,"2,3,33,57",35.53,100,,,,,,,,
Doliocarpus gracilis,,,,,,,,,,,,,,,,,,,,
Doliocarpus guianensis,,,,,animal,"53,57",,,,,7.10,53,,,,,,,,
Doliocarpus major,woody,5,twiner,5,aril,5,,,34.20,"2,3,33,57",100.03,100,,,,,,,,
Doliocarpus multiflorus,woody,5,twiner,5,fleshy,5,12.021803,57,50.74,"2,3,33,57",49.31,100,,,,,,,,
Doliocarpus novogranatensis,,,,,,,,,,,,,,,,,,,,
Doliocarpus olivaceus,woody,5,twiner,5,aril,5,14.133234,57,48.09,"2,3,57",338.08,100,,,,,,,,
Dregea abyssinica,woody,36,scrambler,36,coma,86,,,34.21,36,,,,,,,,,,
Dregea schimperi,,,twiner,72,wind,72,,,,,,,,,,,,,,
Dregea volubilis,woody,9,scrambler,10,coma,9,,,91.88,9,138.81,100,,,,,,,,
Drymaria cordata,herbaceous,5,scrambler,9,unassisted,"53,57",,,2.52,9,0.19,53,,,,,,,,
Drymonia coccinea,,,,,,,,,,,,,,,,,,,,
Drymonia semicordata,,,,,,,,,,,,,,,,,,,,
Elaeagnus conferta,,,scrambler,9,drupe,9,,,18.37,9,,,,,,,,,,
Elaeagnus glabra,,,scrambler,9,drupe,9,,,13.13,9,,,,,,,,,,
Elaeagnus indica,,,,,animal,76,,,,,,,,,,,,,,
Elaeagnus triflora,woody,27,scrambler,"9,27",drupe,27,,,26.98,"9,27",150.00,53,,,,,,,,
Embelia australiana,woody,27,twiner,27,drupe,27,12.77,15,25.60,15,94.81,100,,,,,,,,
Embelia basaal,,,,,drupe,74,,,,,,,,,,,,,,
Embelia grayi,woody,27,twiner,27,drupe,27,,,21.26,27,29.67,100,,,,,,,,
Embelia schimperi,woody,20,scrambler,20,animals,72,,,17.72,83,14.77,100,,,,,,,,
Entada gigas,woody,5,tendrils,5,water,"53,57",,,6.98,5,7526.78,100,,,,,,,,
Entada phaseoloides,woody,9,twiner,9,water,53,,,12.60,9,3685.42,100,,,,,,,,
Entada rheedii ,woody,10,twiner,10,mammals,76,,,,,1336.60,100,,,,,,,,
Entada polystachya,,,,,,,,,,,,,,,,,,,,
Epipremnum pinnatum,,,roots,76,animal,76,,,,,,,,,,,,,,
Erycibe coccinea,woody,27,,,,,,,24.50,27,291.86,100,,,,,,,,
Erycibe glaucescens,,,,,,,,,,,,,,,,,,,,
Erycibe paniculata,,,,,,,,,,,,,,,,,,,,
Erythropalum scandens,woody,9,,,,,,,93.10,9,,,,,,,,,,
Erythropalum scandens ,,,,,,,,,,,,,,,,,,,,
Euonymus vagans,woody,9,roots,77,aril,9,,,9.45,9,,,,,,,,,,
Eupatorium megaphyllum,,,,,,,,,,,,,,,,,,,,
Eustrephus latifolius,herbaceous,28,twiner,28,aril,27,23.11733701,57,9.56,"15,21,57",13.72,53,,,,,,,,
Fagraea auriculata,,,,,,,,,,,,,,,,,,,,
Faradaya splendida,woody,27,twiner,27,fleshy,27,,,119.70,27,3766.00,53,,,,,,,,
Fevillea cordifolia,herbaceous,5,tendrils,5,mammals,5,,,51.59,3,3520.75,100,,,,,,,,
Ficus asperifolia,woody,83,scrambler,83,animal,63,,,61.43,83,,,,,,,,,,
Ficus pumila,woody,"9,12,13",roots,"9,12,13",fleshy,10,,,19.69,"9,12,13",,,,,,,,,,
Ficus punctata,,,,,,,,,,,,,,,,,,,,
Ficus sarmentosa var. nipponica,woody,10,roots,10,fleshy,10,,,24.60,10,,,,,,,,,,
Ficus subulata,woody,9,scrambler,9,animal,"53,57",,,38.24,9,,,,,,,,,,
Ficus thunbergii,,,,,,,,,,,,,,,,,,,,
Fieldia australis,herbaceous,28,twiner,28,berry,28,,,7.00,28,1.80,100,,,,,,,,
Fissistigma fulgens,,,,,fleshy,86,,,,,,,,,,,,,,
Fissistigma minuticalyx,,,,,fleshy,86,,,,,,,,,,,,,,
Fissistigma oldhamii,woody,10,scrambler,10,fleshy,10,,,25.73,10,,,,,,,,,,
Fissistigma rugosa,,,,,fleshy,86,,,,,,,,,,,,,,
Flabellaria paniculata,woody,21,scrambler,21,samara,21,,,49.00,21,,,,,,,,,,
Flagellaria indica,herbaceous,27,tendrils,9,drupe,9,16.50887877,57,20.53,"15,29,57",42.73,53,,,,,,,,
Forsteronia acouci,woody,5,twiner,5,wind,53,7.446374,57,36.69,"3,33,57",81.65,100,,,,,,,,
Forsteronia affinis,,,,,,,,,,,,,,,,,,,,
Forsteronia glabrescens,,,,,wind,"53,57",,,,,,,,,,,,,,
Forsteronia graciloides,,,,,,,,,,,,,,,,,,,,
Forsteronia leptocarpa,,,,,,,,,,,,,,,,,,,,
Forsteronia myriantha,woody,5,twiner,5,wind,43,10.911067,57,27.23,"3,33,57",,,,,,,,,,
Forsteronia pilosa,,,,,,,,,,,,,,,,,,,,
Forsteronia pubescens,,,,,,,,,,,,,,,,,,,,
Forsteronia refracta,,,,,,,,,,,,,,,,,,,,
Forsteronia rufa,,,,,,,,,,,,,,,,,,,,
Forsteronia spicata,woody,43,,,wind,43,12.564375,57,64.08,2,,,,,,,,,,
Forsteronia velloziana,,,,,,,,,,,,,,,,,,,,
Freycinetia cumingiana,,,,,,,,,,,,,,,,,,,,
Freycinetia excelsa,woody,28,scrambler,28,berry,28,,,9.80,28,,,,,,,,,,
Freycinetia multiflora,,,,,,,,,,,,,,,,,,,,
Freycinetia philippinensis,,,,,,,,,,,,,,,,,,,,
Freycinetia vidalii,,,,,wind,87,,,,,,,,,,,,,,
Fridericia candicans,woody,5,twiner,5,wind,"43,57",,,65.18,"2,3,5,57",19.00,53,,,,,,,,
Fridericia chica,woody,5,twiner,5,wing,"5,57",,,21.22,"3,5",156.21,100,,,,,,,,
Fridericia cinnamomea,,,,,wind,"53,57",,,,,,,,,,,,,,
Fridericia conjugata,,,,,,,,,,,,,,,,,,,,
Fridericia craterophora,,,,,,,,,,,,,,,,,,,,
Fridericia fagoides,,,,,,,,,,,,,,,,,,,,
Fridericia florida,woody,5,twiner,5,wing,"5,57",,,35.72,3,171.19,100,,,,,,,,
Fridericia formosa,,,,,,,,,,,,,,,,,,,,
Fridericia japurensis,,,,,wind,"53,57",,,,,,,,,,,,,,
Fridericia leucopogon,,,,,,,,,,,,,,,,,,,,
Fridericia mutabilis,,,,,,,,,,,,,,,,,,,,
Fridericia patellifera,woody,5,twiner,5,wing,"43,57",12.444829,57,43.06,"2,57",17.00,53,,,,,,,,
Fridericia prancei,,,,,,,8,57,,,,,,,,,,,,
