Family,Original taxon in paper ,Accepted taxon name in Plant List www.theplantlist.org/,Specific Location,Latitude,Longitude ,Country,Original source
Smilacaceae,Smilax australis,Smilax australis,Green point,-35.02,150.77,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax australis,Smilax australis,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax australis,Smilax australis,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax australis,Smilax australis,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax australis,Smilax australis,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax australis,Smilax australis,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax glyciphylla,Smilax glyciphylla,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax glyciphylla,Smilax glyciphylla,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Smilacaceae,Smilax glyciphylla,Smilax glyciphylla,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Stephania japonica,Stephania japonica,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Stephania japonica,Stephania japonica,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Stephania japonica,Stephania japonica,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Stephania japonica,Stephania japonica,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Menispermaceae,Stephania japonica,Stephania japonica,Wooyung Nature Reserve,-28.44,153.55,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Tetrastigma nitens,Tetrastigma nitens,Seal Rocks,-32.43,152.53,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Vitaceae,Tetrastigma nitens,Tetrastigma nitens,Sea Acres Nature Reserve,-31.47,152.93,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Tylophora barbata,Vincetoxicum barbatum,Bass Point Reserve,-34.60,150.90,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Tylophora barbata,Vincetoxicum barbatum,Bunga Head ,-36.58,150.05,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Tylophora benthamii,unresolved,Iluka Nature Reserve,-29.41,153.36,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Tylophora benthamii,unresolved,Bongil Bongil NP,-30.44,153.06,Australia,Gallagher RV & Leishman MR (2012) Contrasting patterns of community assembly in lianas and trees from temperate Australia Oikos 121: 2026-2035.
Apocynaceae,Alyxia grandis,Alyxia grandis,"Plot 6 (EP19) Garrwalt, FN Queensland ",-18.50,145.75,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Apocynaceae,Alyxia grandis,Alyxia grandis,"Plot 7 (EP29) Mt Fisher, FN Queensland ",-17.52,145.55,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Apocynaceae,Alyxia grandis,Alyxia grandis,"Plot 5 (EP18) Mt Lewis, FN Queensland ",-16.52,145.27,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Apocynaceae,Alyxia spicata,Alyxia spicata,"Plot 10 (EP32) McIlwraith Range, FN Queensland ",-13.75,143.35,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Apocynaceae,Austrobaileya scandens,Austrobaileya scandens,"Plot 5 (EP18) Mt Lewis, FN Queensland ",-16.52,145.27,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia blackii,Austrosteenisia blackii,"Plot 6 (EP19) Garrwalt, FN Queensland ",-18.50,145.75,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia blackii,Austrosteenisia blackii,"Plot 12 (EP34) Russell River, FN Queensland ",-17.42,145.77,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia blackii,Austrosteenisia blackii,"Plot 11 (EP33) Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia blackii,Austrosteenisia blackii,"Plot 1 (EP2) Downfall Creek, FN Queensland ",-17.15,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia blackii,Austrosteenisia blackii,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia stipularis,Austrosteenisia stipularis,"Plot 20 (EP44)Fantail Logging Area, FN Queensland ",-16.22,145.07,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Austrosteenisia stipularis,Austrosteenisia stipularis,"Plot 17 (EP41) Oliver Creek, FN Queensland ",-16.13,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Poaceae,Bambusa radicalis,Not present in The Plant List,"Plot 9 (EP31)Woopen Creek, FN Queensland ",-17.53,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Rubiaceae,Caelospermum  paniculatum,unresolved,"Plot 1 (EP2) Downfall Creek, FN Queensland ",-17.15,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Rubiaceae,Caelospermum  paniculatum,unresolved,"Plot 2 (EP3) Mt Haig, FN Queensland ",-17.08,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Rubiaceae,Caelospermum  paniculatum,unresolved,"Plot 3 (EP4) Little Pine Creek, FN Queensland ",-17.00,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Rubiaceae,Caelospermum  paniculatum,unresolved,"Plot 16 (EP40) Agapetes Scientific Area, FN Queensland ",-16.28,145.10,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Caesalpinia robusta,Caesalpinia robusta,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Caesalpinia robusta,Caesalpinia robusta,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Caesalpinia traceyi,unresolved,"Plot 17 (EP41) Oliver Creek, FN Queensland ",-16.13,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,calamus australis,calamus australis,"Plot 6 (EP19) Garrwalt, FN Queensland ",-18.50,145.75,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 7 (EP29) Mt Fisher, FN Queensland ",-17.52,145.55,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 2 (EP3) Mt Haig, FN Queensland ",-17.08,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 3 (EP4) Little Pine Creek, FN Queensland ",-17.00,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 5 (EP18) Mt Lewis, FN Queensland ",-16.52,145.27,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 13 (EP35)Whynabeel, FN Queensland ",-16.35,145.33,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 8 (EP30) Agapetes Logging Area, FN Queensland ",-16.27,145.07,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus australis,Calamus australis,"Plot 10 (EP32)McIlwraith Range, FN Queensland ",-13.75,143.35,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus caryotoides,Calamus caryotoides,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus caryotoides,Calamus caryotoides,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus caryotoides,Calamus caryotoides,"Plot 1 (EP2) Downfall Creek, FN Queensland ",-17.15,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus caryotoides,Calamus caryotoides,"Plot 18 (EP42) Iron Range, FN Queensland ",-12.73,143.25,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus motii,Calamus motii,"Plot 9 (EP31)Woopen Creek, FN Queensland ",-17.53,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus motii,Calamus motii,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus motii,Calamus motii,"Plot 3 (EP4) Little Pine Creek, FN Queensland ",-17.00,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus motii,Calamus motii,"Plot 20 (EP44)Fantail Logging Area, FN Queensland ",-16.22,145.07,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus radicalis,Calamus radicalis,"Plot 9 (EP31)Woopen Creek, FN Queensland ",-17.53,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Arecaceae,Calamus radicalis,Calamus radicalis,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Menispermaceae,Carronia protensa,Carronia protensa,"Plot 9 (EP31)Woopen Creek, FN Queensland ",-17.53,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Menispermaceae,Carronia protensa,Carronia protensa,"Plot 12 (EP34)Russell River, FN Queensland ",-17.42,145.77,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Menispermaceae,Carronia protensa,Carronia protensa,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Menispermaceae,Carronia protensa,Carronia protensa,"Plot 17 (EP41) Oliver Creek, FN Queensland ",-16.13,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Menispermaceae,Carronia protensa,Carronia protensa,"Plot 18 (EP42) Iron Range, FN Queensland ",-12.73,143.25,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cayratia acris,Cayratia acris,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cayratia acris,Cayratia acris,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Celastraceae,Celastrus subspicata,Celastrus subspicata,"Plot 12 (EP34)Russell River, FN Queensland ",-17.42,145.77,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Araliaceae,Cephalaralia cephalobotrys,Cephalaralia cephalobotrys,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Araliaceae,Cephalaralia cephalobotrys,Cephalaralia cephalobotrys,"Plot 5 (EP18) Mt Lewis, FN Queensland ",-16.52,145.27,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus antarctica,Cissus antarctica,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 19 (EP43) Mt Baldy, FN Queensland ",-17.32,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 2 (EP3) Mt Haig, FN Queensland ",-17.08,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 3 (EP4) Little Pine Creek, FN Queensland ",-17.00,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 5 (EP18) Mt Lewis, FN Queensland ",-16.52,145.27,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 20 (EP44)Fantail Logging Area, FN Queensland ",-16.22,145.07,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus penninervis,Nothocissus penninervis,"Plot 10 (EP32)McIlwraith Range, FN Queensland ",-13.75,143.35,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus repens,Cissus repens,"Plot 7 (EP29) Mt Fisher, FN Queensland ",-17.52,145.55,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus repens,Cissus repens,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus repens,Cissus repens,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus repens,Cissus repens,"Plot 16 (EP40) Agapetes Scientific Area, FN Queensland ",-16.28,145.10,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus repens,Cissus repens,"Plot 17 (EP41) Oliver Creek, FN Queensland ",-16.13,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Vitaceae,Cissus sterculiifolia,Nothocissus sterculiifolia,"Plot 7 (EP29) Mt Fisher, FN Queensland ",-17.52,145.55,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Connaraceae,Connarus conchocarpus,Connarus conchocarpus,"Plot 9 (EP31)Woopen Creek, FN Queensland ",-17.53,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Connaraceae,Connarus conchocarpus,Connarus conchocarpus,"Plot 12 (EP34)Russell River, FN Queensland ",-17.42,145.77,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Connaraceae,Connarus conchocarpus,Connarus conchocarpus,"Plot 3 (EP4) Little Pine Creek, FN Queensland ",-17.00,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Connaraceae,Connarus conchocarpus,Connarus conchocarpus,"Plot 13 (EP35)Whynabeel, FN Queensland ",-16.35,145.33,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Connaraceae,Connarus conchocarpus,Connarus conchocarpus,"Plot 17 (EP41) Oliver Creek, FN Queensland ",-16.13,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Fabaceae,Derris trifoliata,Derris trifoliata,"Plot 18 (EP42) Iron Range, FN Queensland ",-12.73,143.25,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Annonaceae,Desmos goezeanus,Desmos goezeanus,"Plot 9 (EP31)Woopen Creek, FN Queensland ",-17.53,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Annonaceae,Desmos goezeanus,Desmos goezeanus,"Plot 12 (EP34)Russell River, FN Queensland ",-17.42,145.77,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Annonaceae,Desmos goezeanus,Desmos goezeanus,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Annonaceae,Desmos goezeanus,Desmos goezeanus,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Annonaceae,Desmos goezeanus,Desmos goezeanus,"Plot 4 (EP9) Robson Logging Area, FN Queensland ",-17.12,145.65,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Dichapetalaceae,Dichapetalum papuanum,Dichapetalum papuanum,"Plot 12 (EP34)Russell River, FN Queensland ",-17.42,145.77,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Dichapetalaceae,Dichapetalum papuanum,Dichapetalum papuanum,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Dichapetalaceae,Dichapetalum papuanum,Dichapetalum papuanum,"Plot 19 (EP43) Mt Baldy, FN Queensland ",-17.32,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Dichapetalaceae,Dichapetalum papuanum,Dichapetalum papuanum,"Plot 17 (EP41) Oliver Creek, FN Queensland ",-16.13,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Elaeagnaceae,Elaeagnus triflora,Elaeagnus triflora,"Plot 7 (EP29) Mt Fisher, FN Queensland ",-17.52,145.55,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Elaeagnaceae,Elaeagnus triflora,Elaeagnus triflora,"Plot 15 (EP38) The Crater, FN Queensland ",-17.42,145.42,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Elaeagnaceae,Elaeagnus triflora,Elaeagnus triflora,"Plot 14 (EP37) Eungella, FN Queensland ",-16.35,145.33,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Primulaceae,Embelia australiana,Embelia australiana,"Plot 11 (EP33)Curtain Fig, FN Queensland ",-17.28,145.57,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Primulaceae,Embelia australiana,Embelia australiana,"Plot 1 (EP2) Downfall Creek, FN Queensland ",-17.15,145.58,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Primulaceae,Embelia australiana,Embelia australiana,"Plot 8 (EP30) Agapetes Logging Area, FN Queensland ",-16.27,145.07,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Primulaceae,Embelia grayi,Embelia grayi,"Plot 19 (EP43) Mt Baldy, FN Queensland ",-17.32,145.43,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
Convolvulaceae,Erycibe coccinea,Not present in The Plant List,"Plot 3 (EP4) Little Pine Creek, FN Queensland ",-17.00,145.83,Australia,"Graham, A. W. (Ed.). (2006). The CSIRO rainforest permanent plots of North Queensland: site, structural, floristic and edaphic descriptions. Rainforest CRC."
