species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Bromus catharticus,NA,1.21,NA,keep,NA,1.21,NA,keep,Bromus catharticus,seed_mass_to_keep
Brunonia australis,2.86,1.44,NA,keep,1.84,1.44,NA,keep,Brunonia australis,seed_mass_to_keep
Bulbine bulbosa,3.03,1.8,NA,keep,2.44,1.8,NA,keep,Bulbine bulbosa,seed_mass_to_keep
Bulbine glauca,2.42,2.42,NA,omit,2.42,2.42,NA,omit,Bulbine glauca,NA
Bulbine semibarbata,2.18,1.18,NA,keep,1.59,1.18,NA,keep,Bulbine semibarbata,seed_mass_to_keep
Burchardia umbellata,1.7,0.74,NA,keep,1.07,0.74,NA,keep,Burchardia umbellata,seed_mass_to_keep
Bursaria spinosa,NA,1.36,NA,keep,NA,1.36,NA,keep,Bursaria spinosa subsp spinosa,seed_mass_to_keep
Caesia alpina,NA,1.52,NA,keep,NA,1.52,NA,keep,Caesia alpina,seed_mass_to_keep
Caesia calliantha,3.59,2.2,NA,keep,2.99,2.2,NA,keep,Caesia calliantha,seed_mass_to_keep
Caesia parviflora,NA,0.84,NA,keep,NA,0.84,NA,keep,Caesia parviflora,seed_mass_to_keep
Caladenia carnea,NA,0.01,NA,keep,NA,0.01,NA,keep,Caladenia carnea,seed_mass_to_keep
Caladenia carnea,NA,0.01,NA,keep,NA,0.01,NA,keep,Petalochilus carneus,seed_mass_to_keep
Caladenia catenata,NA,0,NA,keep,NA,0,NA,keep,Caladenia catenata,seed_mass_to_keep
Caladenia caudata,NA,0,NA,keep,NA,0,NA,keep,Caladenia caudata,seed_mass_to_keep
Caladenia clavigera,NA,0,NA,keep,NA,0,NA,keep,Caladenia clavigera,seed_mass_to_keep
Caladenia congesta,NA,0,NA,keep,NA,0,NA,keep,Caladenia congesta,seed_mass_to_keep
Caladenia cucullata,NA,0,NA,keep,NA,0,NA,keep,Caladenia cucullata,seed_mass_to_keep
Caladenia dilatata,NA,0.01,NA,keep,NA,0.01,NA,keep,Arachnorchis dilatata,seed_mass_to_keep
Caladenia echidnachila,NA,0,NA,keep,NA,0,NA,keep,Caladenia echidnachila,seed_mass_to_keep
Caladenia filamentosa,NA,0,NA,keep,NA,0,NA,keep,Caladenia filamentosa,seed_mass_to_keep
