error,dataset_id,species_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Kew_2019_1_04124,Mokany_2015,Juncus pallidus,NA,NA,Mokany_2015_0646,seed_mass,0.0144,mg,NA,expert_mean,NA,Juncus pallidus
Kew_2019_1_04133,Mokany_2015,Juncus planifolius,NA,NA,Mokany_2015_0648,seed_mass,0.0214,mg,NA,expert_mean,NA,Juncus planifolius
Kew_2019_1_04142,Mokany_2015,Juncus sarophorus,NA,NA,Mokany_2015_0653,seed_mass,0.0148,mg,NA,expert_mean,NA,Juncus sarophorus
Kew_2019_1_04151,Mokany_2015,Juncus vaginatus,NA,NA,Mokany_2015_0655,seed_mass,0.0092,mg,NA,expert_mean,NA,Juncus vaginatus
Kew_2019_1_04339,Mokany_2015,Cassytha glabella,NA,NA,Mokany_2015_0250,seed_mass,5.264,mg,NA,expert_mean,NA,Cassytha glabella
Kew_2019_1_04807,Mokany_2015,Acacia dealbata,NA,NA,Mokany_2015_0003,seed_mass,15.1856,mg,NA,expert_mean,NA,Acacia dealbata
Kew_2019_1_04945,Mokany_2015,Acacia genistifolia,NA,NA,Mokany_2015_0004,seed_mass,15.0168,mg,NA,expert_mean,NA,Acacia genistifolia
Kew_2019_1_05497,Mokany_2015,Acacia suaveolens,NA,NA,Mokany_2015_0014,seed_mass,34.7812,mg,NA,expert_mean,NA,Acacia suaveolens
Kew_2019_1_05525,Mokany_2015,Acacia terminalis,NA,NA,Mokany_2015_0015,seed_mass,21.81,mg,NA,expert_mean,NA,Acacia terminalis
Kew_2019_1_05705,Mokany_2015,Almaleea subumbellata,NA,NA,Mokany_2015_0049,seed_mass,1.9824,mg,NA,expert_mean,NA,Almaleea subumbellata
Kew_2019_1_05711,Mokany_2015,Aotus ericoides,NA,NA,Mokany_2015_0060,seed_mass,3.288,mg,NA,expert_mean,NA,Aotus ericoides
Kew_2019_1_05728,Mokany_2015,Bossiaea cinerea,NA,NA,Mokany_2015_0168,seed_mass,13.7392,mg,NA,expert_mean,NA,Bossiaea cinerea
Kew_2019_1_05732,Mokany_2015,Bossiaea cordigera,NA,NA,Mokany_2015_0169,seed_mass,2.338,mg,NA,expert_mean,NA,Bossiaea cordigera
Kew_2019_1_05767,Mokany_2015,Bossiaea prostrata,NA,NA,Mokany_2015_0170,seed_mass,2.8876,mg,NA,expert_mean,NA,Bossiaea prostrata
Kew_2019_1_05770,Mokany_2015,Bossiaea riparia,NA,NA,Mokany_2015_0171,seed_mass,1.6248,mg,NA,expert_mean,NA,Bossiaea riparia
Kew_2019_1_05935,Mokany_2015,Daviesia latifolia,NA,NA,Mokany_2015_0349,seed_mass,5.3396,mg,NA,expert_mean,NA,Daviesia latifolia
Kew_2019_1_05984,Mokany_2015,Dillwynia cinerascens,NA,NA,Mokany_2015_0374,seed_mass,3.8084,mg,NA,expert_mean,NA,Dillwynia cinerascens
Kew_2019_1_06137,Mokany_2015,Goodia lotifolia,NA,NA,Mokany_2015_0542,seed_mass,18.5876,mg,NA,expert_mean,NA,Goodia lotifolia
Kew_2019_1_06260,Mokany_2015,Kennedia prostrata,NA,NA,Mokany_2015_0656,seed_mass,17.6412,mg,NA,expert_mean,NA,Kennedia prostrata
Kew_2019_1_06341,Mokany_2015,Platylobium obtusangulum,NA,NA,Mokany_2015_0920,seed_mass,5.69,mg,NA,expert_mean,NA,Platylobium obtusangulum
Kew_2019_1_06364,Mokany_2015,Pultenaea daphnoides,NA,NA,Mokany_2015_0986,seed_mass,3.9368,mg,NA,expert_mean,NA,Pultenaea daphnoides
Kew_2019_1_06368,Mokany_2015,Pultenaea dentata,NA,NA,Mokany_2015_0987,seed_mass,0.8408,mg,NA,expert_mean,NA,Pultenaea dentata
Kew_2019_1_06389,Mokany_2015,Pultenaea juniperina,NA,NA,Mokany_2015_0989,seed_mass,5.4552,mg,NA,expert_mean,NA,Pultenaea juniperina
Kew_2019_1_06414,Mokany_2015,Pultenaea prostrata,NA,NA,Mokany_2015_0991,seed_mass,2.6428,mg,NA,expert_mean,NA,Pultenaea prostrata
Kew_2019_1_06488,Mokany_2015,Sphaerolobium minus,NA,NA,Mokany_2015_1087,seed_mass,1.4848,mg,NA,expert_mean,NA,Sphaerolobium minus
Kew_2019_1_06853,Mokany_2015,Utricularia lateriflora,NA,NA,Mokany_2015_1176,seed_mass,0.033,mg,NA,expert_mean,NA,Utricularia lateriflora
Kew_2019_1_06860,Mokany_2015,Utricularia tenella,NA,NA,Mokany_2015_1178,seed_mass,0.007,mg,NA,expert_mean,NA,Utricularia tenella
Kew_2019_1_06891,Mokany_2015,Mitrasacme pilosa,NA,NA,Mokany_2015_0777,seed_mass,0.0692,mg,NA,expert_mean,NA,Mitrasacme pilosa
Kew_2019_1_06898,Mokany_2015,Phyllangium divergens,NA,NA,Mokany_2015_0887,seed_mass,0.0188,mg,NA,expert_mean,NA,Phyllangium divergens
Kew_2019_1_06954,Mokany_2015,Lythrum salicaria,NA,NA,Mokany_2015_0751,seed_mass,0.0644,mg,NA,expert_mean,NA,Lythrum salicaria
Kew_2019_1_07238,Mokany_2015,Lasiopetalum macrophyllum,NA,NA,Mokany_2015_0668,seed_mass,1.5092,mg,NA,expert_mean,NA,Lasiopetalum macrophyllum
Kew_2019_1_07244,Mokany_2015,Lasiopetalum micranthum,NA,NA,Mokany_2015_0669,seed_mass,1.3596,mg,NA,expert_mean,NA,Lasiopetalum micranthum
Kew_2019_1_07858,Mokany_2015,Eucalyptus archeri,NA,NA,Mokany_2015_0447,seed_mass,2.28284,mg,NA,expert_mean,NA,Eucalyptus archeri
Kew_2019_1_07902,Mokany_2015,Eucalyptus barberi,NA,NA,Mokany_2015_0448,seed_mass,1.0712,mg,NA,expert_mean,NA,Eucalyptus barberi
Kew_2019_1_08070,Mokany_2015,Eucalyptus coccifera,NA,NA,Mokany_2015_0450,seed_mass,1.119,mg,NA,expert_mean,NA,Eucalyptus coccifera
Kew_2019_1_08154,Mokany_2015,Eucalyptus dalrympleana,NA,NA,Mokany_2015_0451,seed_mass,1.232,mg,NA,expert_mean,NA,Eucalyptus dalrympleana
Kew_2019_1_09142,Mokany_2015,Eucalyptus sieberi,NA,NA,Mokany_2015_0465,seed_mass,3.4124,mg,NA,expert_mean,NA,Eucalyptus sieberi
Kew_2019_1_09230,Mokany_2015,Eucalyptus tenuiramis,NA,NA,Mokany_2015_0467,seed_mass,1.45,mg,NA,expert_mean,NA,Eucalyptus tenuiramis
Kew_2019_1_09289,Mokany_2015,Eucalyptus urnigera,NA,NA,Mokany_2015_0468,seed_mass,0.842,mg,NA,expert_mean,NA,Eucalyptus urnigera
Kew_2019_1_09487,Mokany_2015,Leptospermum nitidum,NA,NA,Mokany_2015_0706,seed_mass,0.086,mg,NA,expert_mean,NA,Leptospermum nitidum
Kew_2019_1_09646,Mokany_2015,Melaleuca ericifolia,NA,NA,Mokany_2015_0753,seed_mass,0.0396,mg,NA,expert_mean,NA,Melaleuca ericifolia
Kew_2019_1_09808,Mokany_2015,Melaleuca squarrosa,NA,NA,Mokany_2015_0757,seed_mass,0.174,mg,NA,expert_mean,NA,Melaleuca squarrosa
Kew_2019_1_10031,Mokany_2015,Nothofagus cunninghamii,NA,NA,Mokany_2015_0803,seed_mass,1.8268,mg,NA,expert_mean,NA,Nothofagus cunninghamii
Kew_2019_1_10095,Mokany_2015,Epilobium gunnianum,NA,NA,Mokany_2015_0431,seed_mass,0.0612,mg,NA,expert_mean,NA,Epilobium gunnianum
