Taxon name,Year,Month start,Month end,Notes,canonical_name
Epilobium hirsutum L.,2021,February,NA,NA,Epilobium hirsutum
Oenothera indecora subsp. bonariensis W.Dietr.,2020,November,NA,NA,Oenothera indecora subsp. bonariensis
Dipodium punctatum (Sm.) R.Br.,2020/2021,December,February,NA,Dipodium punctatum
Dipodium punctatum (Sm.) R.Br.,2021/2022,November,NA,NA,Dipodium punctatum
Dipodium punctatum (Sm.) R.Br.,2023,January,NA,NA,Dipodium punctatum
Diuris maculata Sm.,2021,August,NA,NA,Diuris maculata
Pterostylis oblonga D.L.Jones,2021,August,October,NA,Pterostylis oblonga
Pterostylis nutans R.Br.,2021,May,August,NA,Pterostylis nutans
Pterostylis nutans R.Br.,2022,September,NA,NA,Pterostylis nutans
Pterostylis rufa R.Br.,2021,September,December,NA,Pterostylis rufa
Oxalis corniculata L.,2020,September,November,NA,Oxalis corniculata
Oxalis corniculata L.,2021,September,NA,NA,Oxalis corniculata
Oxalis corniculata L.,2022,October,NA,NA,Oxalis corniculata
Oxalis debilis var. corymbosa (DC.) Lourteig,2021,October,November,NA,Oxalis debilis var. corymbosa
Oxalis latifolia Kunth,2021,January,March,NA,Oxalis latifolia
Oxalis pes-caprae L.,2021,May,June,NA,Oxalis pes-caprae
Oxalis pes-caprae L.,2022,October,NA,NA,Oxalis pes-caprae
Oxalis thompsoniae B.J.Conn & P.G.Richards,2021,December,NA,NA,Oxalis thompsoniae
Fumaria bastardii Boreau,2020,September,NA,NA,Fumaria bastardii
Fumaria muralis Sond. ex W.D.J.Koch subsp. muralis,2020,April,NA,NA,Fumaria muralis subsp. muralis
Fumaria muralis Sond. ex W.D.J.Koch subsp. muralis,2020,September,November,NA,Fumaria muralis subsp. muralis
Papaver dubium L.,2021,November,NA,NA,Papaver dubium
Phyllanthus tenellus Roxb.,2021,February,NA,NA,Phyllanthus tenellus
Phyllanthus tenellus Roxb.,2021,December,NA,NA,Phyllanthus tenellus
Poranthera microphylla Brongn.,2020,September,November,NA,Poranthera microphylla
Poranthera microphylla Brongn.,2021,August,November,NA,Poranthera microphylla
Poranthera microphylla Brongn.,2022,September,October,NA,Poranthera microphylla
Phytolacca octandra L.,2020,November,NA,NA,Phytolacca octandra
Gratiola pedunculata R.Br.,2022,October,NA,NA,Gratiola pedunculata
Misopates orontium (L.) Raf.,2020,September,November,NA,Misopates orontium
Misopates orontium (L.) Raf.,2021,September,October,NA,Misopates orontium
Plantago debilis R.Br.,2021,April,May,NA,Plantago debilis
Plantago debilis R.Br.,2021,October,NA,NA,Plantago debilis
Veronica anagallis-aquatica L.,2020,November,NA,NA,Veronica anagallis-aquatica
Veronica arvensis L.,2020,September,NA,NA,Veronica arvensis
Veronica arvensis L.,2021,October,NA,NA,Veronica arvensis
Veronica arvensis L.,2022,October,NA,NA,Veronica arvensis
Veronica persica Poir.,2020,September,November,NA,Veronica persica
Veronica persica Poir.,2021,February,NA,NA,Veronica persica
Veronica persica Poir.,2021,August,NA,NA,Veronica persica
Veronica persica Poir.,2022,October,NA,NA,Veronica persica
Veronica plebeia R.Br.,2020,November,NA,NA,Veronica plebeia
Veronica plebeia R.Br.,2021,November,NA,NA,Veronica plebeia
Persicaria lapathifolia (L.) Delarbre,2021,February,NA,NA,Persicaria lapathifolia
Persicaria lapathifolia (L.) Delarbre,2021,August,NA,NA,Persicaria lapathifolia
Polygonum aviculare L.,2020,September,NA,NA,Polygonum aviculare
Polygonum aviculare L.,2021,February,May,NA,Polygonum aviculare
Polygonum aviculare L.,2022,October,NA,NA,Polygonum aviculare
Portulaca oleracea L.,2021,February,NA,NA,Portulaca oleracea
Lysimachia arvensis (L.) U.Manns & Anderb.,2020,September,October,NA,Lysimachia arvensis
Lysimachia arvensis (L.) U.Manns & Anderb.,2021,August,December,NA,Lysimachia arvensis
Ranunculus sceleratus L.,2022,September,NA,NA,Ranunculus sceleratus
Galium aparine L.,2020,September,October,NA,Galium aparine
Galium leiocarpum I.Thomps.,2021,September,NA,NA,Galium leiocarpum
Galium leiocarpum I.Thomps.,2022,October,NA,NA,Galium leiocarpum
Ruta chalepensis L.,2022,October,NA,NA,Ruta chalepensis
Verbascum virgatum Stokes,2021,November,NA,NA,Verbascum virgatum
Solanum americanum Mill.,2020,September,November,NA,Solanum americanum
Solanum americanum Mill.,2021,July,NA,NA,Solanum americanum
Solanum chenopodioides Lam.,2021,July,August,NA,Solanum chenopodioides
Solanum chenopodioides Lam.,2022,October,NA,NA,Solanum chenopodioides
Solanum sisymbriifolium Lam.,2020,September,NA,NA,Solanum sisymbriifolium
Talinum paniculatum (Jacq.) Gaertn.,2021,March,NA,NA,Talinum paniculatum
Tropaeolum majus L.,2020,April,NA,NA,Tropaeolum majus
Tropaeolum majus L.,2020/2021,September,January,NA,Tropaeolum majus
Tropaeolum majus L.,2021,May,September,NA,Tropaeolum majus
Tropaeolum majus L.,2022,September,October,NA,Tropaeolum majus
Gomphocarpus physocarpus E.Mey.,2021,November,NA,NA,Gomphocarpus physocarpus
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,2020,December,NA,NA,Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208)
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,2021,December,NA,NA,Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208)
Asparagus aethiopicus L.,2020,November,NA,NA,Asparagus aethiopicus
Asparagus aethiopicus L.,2021,February,NA,NA,Asparagus aethiopicus
Olearia microphylla (Vent.) Maiden & Betche,2020,August,September,NA,Olearia microphylla
Olearia microphylla (Vent.) Maiden & Betche,2021,August,September,NA,Olearia microphylla
Olearia microphylla (Vent.) Maiden & Betche,2021,November,NA,spot flowering,Olearia microphylla
Olearia viscidula (F.Muell.) Benth.,2021,September,NA,NA,Olearia viscidula
Olearia viscidula (F.Muell.) Benth.,2022,October,NA,NA,Olearia viscidula
Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,2020,November,NA,NA,Denhamia silvestris
Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,2021,August,NA,spot flowering,Denhamia silvestris
Denhamia silvestris (Lander & L.A.S.Johnson) M.P.Simmons,2021,October,November,NA,Denhamia silvestris
Leucopogon affinis R.Br.,2021,August,September,NA,Leucopogon affinis
Acacia falcata Willd.,2020,April,May,NA,Acacia falcata
Acacia falcata Willd.,2021,April,May,NA,Acacia falcata
Acacia falcata Willd.,2022,April,NA,NA,Acacia falcata
Acacia longifolia (Andrews) Willd. subsp. longifolia,2020,September,NA,NA,Acacia longifolia subsp. longifolia
Acacia longifolia (Andrews) Willd. subsp. longifolia,2021,June,August,NA,Acacia longifolia subsp. longifolia
Acacia pubescens (Vent.) R.Br.,2020,September,NA,NA,Acacia pubescens
Acacia pubescens (Vent.) R.Br.,2021,September,NA,NA,Acacia pubescens
Acacia pubescens (Vent.) R.Br.,2022,September,NA,NA,Acacia pubescens
Acacia ulicifolia (Salisb.) Court,2020,September,NA,NA,Acacia ulicifolia
Acacia ulicifolia (Salisb.) Court,2021,September,NA,NA,Acacia ulicifolia
Daviesia ulicifolia Andrews,2020,September,NA,NA,Daviesia ulicifolia
Daviesia ulicifolia Andrews,2021,May,September,NA,Daviesia ulicifolia
Daviesia ulicifolia Andrews,2021,December,NA,spot flowering,Daviesia ulicifolia
Daviesia ulicifolia Andrews,2022,April,NA,spot flowering,Daviesia ulicifolia
Genista monspessulana (L.) L.A.S.Johnson,2021,July,October,NA,Genista monspessulana
Genista monspessulana (L.) L.A.S.Johnson,2022,October,NA,NA,Genista monspessulana
Indigofera australis Willd. subsp. australis,2020,September,NA,NA,Indigofera australis subsp. australis
Indigofera australis Willd. subsp. australis,2021,July,October,NA,Indigofera australis subsp. australis
Indigofera australis Willd. subsp. australis,2022,September,NA,NA,Indigofera australis subsp. australis
Pultenaea villosa Willd.,2020,September,October,NA,Pultenaea villosa
Pultenaea villosa Willd.,2021,June,November,NA,Pultenaea villosa
Senna pendula var. glabrata (Vogel) H.S.Irwin & Barneby,2020,April,NA,NA,Senna pendula var. glabrata
Senna pendula var. glabrata (Vogel) H.S.Irwin & Barneby,2020,November,NA,NA,Senna pendula var. glabrata
Senna pendula var. glabrata (Vogel) H.S.Irwin & Barneby,2021,January,February,NA,Senna pendula var. glabrata
Amyema gaudichaudii (DC.) Tiegh.,2020,November,NA,NA,Amyema gaudichaudii
Amyema gaudichaudii (DC.) Tiegh.,2021,September,November,NA,Amyema gaudichaudii
Amyema miquelii (Lehm. ex Miq.) Tiegh.,2020,November,December,NA,Amyema miquelii
Amyema miquelii (Lehm. ex Miq.) Tiegh.,2021,November,NA,NA,Amyema miquelii
Dendrophthoe vitellina (F.Muell.) Tiegh.,2020,October,November,NA,Dendrophthoe vitellina
Dendrophthoe vitellina (F.Muell.) Tiegh.,2021,September,November,NA,Dendrophthoe vitellina
Callistemon linearifolius (Link) DC.,2020,October,November,NA,Callistemon linearifolius
Callistemon linearifolius (Link) DC.,2021,June,NA,spot flowering,Callistemon linearifolius
Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,2020,October,November,NA,Callistemon linearis
Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,2021,May,NA,spot flowering,Callistemon linearis
Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,2021,October,November,NA,Callistemon linearis
Callistemon pinifolius (J.C.Wendl.) Sweet,2020,October,November,NA,Callistemon pinifolius
Callistemon pinifolius (J.C.Wendl.) Sweet,2021,May,NA,spot flowering,Callistemon pinifolius
Callistemon pinifolius (J.C.Wendl.) Sweet,2021,October,November,NA,Callistemon pinifolius
Callistemon pinifolius (J.C.Wendl.) Sweet,2022,October,NA,NA,Callistemon pinifolius
Kunzea ambigua (Sm.) Druce,2020,October,December,NA,Kunzea ambigua
Kunzea ambigua (Sm.) Druce,2021,March,NA,spot flowering,Kunzea ambigua
Kunzea ambigua (Sm.) Druce,2021,July,NA,spot flowering,Kunzea ambigua
Kunzea ambigua (Sm.) Druce,2021,October,November,NA,Kunzea ambigua
Kunzea ambigua (Sm.) Druce,2022,November,NA,NA,Kunzea ambigua
Leptospermum polygalifolium Salisb. subsp. polygalifolium,2020,November,NA,NA,Leptospermum polygalifolium subsp. polygalifolium
Leptospermum polygalifolium Salisb. subsp. polygalifolium,2021,November,NA,NA,Leptospermum polygalifolium subsp. polygalifolium
Leptospermum trinervium (Sm.) Joy Thomps.,2020,October,November,NA,Leptospermum trinervium
Melaleuca nodosa (Sol. ex Gaertn.) Sm.,2020,September,October,NA,Melaleuca nodosa
Melaleuca nodosa (Sol. ex Gaertn.) Sm.,2021,September,October,NA,Melaleuca nodosa
Ochna serrulata (Hochst.) Walp.,2020,September,NA,NA,Ochna serrulata
Ochna serrulata (Hochst.) Walp.,2021,August,NA,NA,Ochna serrulata
Ochna serrulata (Hochst.) Walp.,2021,December,NA,NA,Ochna serrulata
Ligustrum sinense Lour.,2020,October,NA,NA,Ligustrum sinense
Ligustrum sinense Lour.,2021,June,NA,NA,Ligustrum sinense
Ligustrum sinense Lour.,2022,October,NA,NA,Ligustrum sinense
Ludwigia peruviana (L.) H.Hara,2020,November,NA,NA,Ludwigia peruviana
Phyllanthus gunnii Hook.f.,2022,October,NA,NA,Phyllanthus gunnii
Bursaria spinosa Cav. subsp. spinosa,2021,January,NA,NA,Bursaria spinosa subsp. spinosa
Bursaria spinosa Cav. subsp. spinosa,2021,May,NA,spot flowering,Bursaria spinosa subsp. spinosa
Bursaria spinosa Cav. subsp. spinosa,2022,January,NA,NA,Bursaria spinosa subsp. spinosa
Pittosporum revolutum W.T.Aiton,2020,September,NA,NA,Pittosporum revolutum
Pittosporum revolutum W.T.Aiton,2021,September,October,NA,Pittosporum revolutum
Polygala virgata Thunb.,2021,September,NA,NA,Polygala virgata
Myrsine variabilis R.Br.,2021,July,NA,NA,Myrsine variabilis
Hakea sericea Schrad. & J.C.Wendl.,2021,August,NA,NA,Hakea sericea
Rhamnus alaternus L.,2021,September,NA,NA,Rhamnus alaternus
Cotoneaster glaucophyllus Franch.,2021,November,NA,NA,Cotoneaster glaucophyllus
Correa reflexa (Labill.) Vent. var. reflexa,2021,May,July,NA,Correa reflexa var. reflexa
Murraya paniculata (L.) Jack,2021,February,NA,NA,Murraya paniculata
Zieria smithii Andrews,2020,September,NA,NA,Zieria smithii
Zieria smithii Andrews,2021,June,November,NA,Zieria smithii
Myoporum boninense subsp. australe Chinnock,2021,March,May,NA,Myoporum boninense subsp. australe
Cestrum aurantiacum Lindl.,2020,October,NA,NA,Cestrum aurantiacum
Cestrum aurantiacum Lindl.,2021,July,NA,NA,Cestrum aurantiacum
Cestrum parqui L'H̩r.,2020,April,NA,NA,Cestrum parqui
Cestrum parqui L'H̩r.,2020,September,October,NA,Cestrum parqui
Solanum pseudocapsicum L.,2020,December,NA,NA,Solanum pseudocapsicum
Solanum pseudocapsicum L.,2021,March,NA,NA,Solanum pseudocapsicum
Solanum pseudocapsicum L.,2021,December,NA,NA,Solanum pseudocapsicum
Solanum pseudocapsicum L.,2022,October,NA,NA,Solanum pseudocapsicum
Lantana camara L.,2020/2021,September,January,NA,Lantana camara
Lantana camara L.,2021,October,NA,NA,Lantana camara
Hibbertia diffusa R.Br. ex DC.,2020,November,NA,NA,Hibbertia diffusa
Hibbertia diffusa R.Br. ex DC.,2021,October,December,NA,Hibbertia diffusa
Hibbertia diffusa R.Br. ex DC.,2022,October,NA,NA,Hibbertia diffusa
Hibbertia pedunculata R.Br. ex DC.,2020,September,October,NA,Hibbertia pedunculata
Hibbertia pedunculata R.Br. ex DC.,2021,September,December,NA,Hibbertia pedunculata
Hibbertia pedunculata R.Br. ex DC.,2022,October,NA,NA,Hibbertia pedunculata
Leucopogon juniperinus R.Br.,2021,May,June,NA,Leucopogon juniperinus
Leucopogon juniperinus R.Br.,2022,April,NA,NA,Leucopogon juniperinus
Lissanthe strigosa (Sm.) R.Br.,2020,September,NA,NA,Lissanthe strigosa
Lissanthe strigosa (Sm.) R.Br.,2021,August,September,NA,Lissanthe strigosa
Acacia brownii (Poir.) Steud.,2020,September,NA,NA,Acacia brownii
Acacia brownii (Poir.) Steud.,2021,August,September,NA,Acacia brownii
Acacia brownii (Poir.) Steud.,2022,September,NA,NA,Acacia brownii
Bossiaea buxifolia A.Cunn.,2020,August,September,NA,Bossiaea buxifolia
Bossiaea buxifolia A.Cunn.,2021,August,September,NA,Bossiaea buxifolia
Chorizema parviflorum Benth.,2020,September,NA,NA,Chorizema parviflorum
Chorizema parviflorum Benth.,2021,December,NA,NA,Chorizema parviflorum
Cuphea hyssopifolia Kunth,2021,December,NA,NA,Cuphea hyssopifolia
Sida rhombifolia L.,2020,October,NA,NA,Sida rhombifolia
Sida rhombifolia L.,2021,February,NA,NA,Sida rhombifolia
Sida rhombifolia L.,2021,October,NA,NA,Sida rhombifolia
Eremophila debilis (Andrews) Chinnock,2020,November,NA,NA,Eremophila debilis
Eremophila debilis (Andrews) Chinnock,2022,February,NA,NA,Eremophila debilis
Lasiopetalum parviflorum Rudge,2021,September,NA,NA,Lasiopetalum parviflorum
Aloe maculata All.,2020,September,NA,NA,Aloe maculata
Opuntia monacantha Haw.,2022,December,NA,NA,Opuntia monacantha
Bryophyllum delagoense (Eckl. & Zeyh.) Schinz,2020,September,October,NA,Bryophyllum delagoense
Bryophyllum delagoense (Eckl. & Zeyh.) Schinz,2021,June,NA,NA,Bryophyllum delagoense
Bryophyllum pinnatum (Lam.) Oken,2021,October,NA,NA,Bryophyllum pinnatum
Crassula multicava Lem.,2020,October,NA,NA,Crassula multicava
Crassula multicava Lem.,2022,September,NA,NA,Crassula multicava
Tecoma stans (L.) Juss. ex Kunth,2020,November,NA,NA,Tecoma stans
Tecoma stans (L.) Juss. ex Kunth,2021,October,NA,NA,Tecoma stans
Casuarina glauca Sieber ex Spreng.,2020,September,NA,NA,Casuarina glauca
Casuarina glauca Sieber ex Spreng.,2021,September,NA,NA,Casuarina glauca
Acacia binervia (J.C.Wendl.) J.F.Macbr.,2021,August,September,NA,Acacia binervia
Acacia decurrens Willd.,2020,September,NA,NA,Acacia decurrens
Acacia decurrens Willd.,2021,July,September,NA,Acacia decurrens
Acacia fimbriata A.Cunn. ex G.Don,2021,July,August,NA,Acacia fimbriata
Acacia implexa Benth.,2021,August,NA,spot flowering,Acacia implexa
Acacia implexa Benth.,2021,December,NA,NA,Acacia implexa
Acacia parramattensis Tindale,2020,November,NA,NA,Acacia parramattensis
Acacia parramattensis Tindale,2021,November,NA,NA,Acacia parramattensis
Acacia parramattensis Tindale,2022/2023,October,January,NA,Acacia parramattensis
Erythrina crista-galli L.,2020,April,NA,NA,Erythrina crista-galli
Erythrina crista-galli L.,2020/2021,October,January,NA,Erythrina crista-galli
Erythrina crista-galli L.,2021,October,NA,NA,Erythrina crista-galli
Hibiscus mutabilis L.,2021,May,NA,NA,Hibiscus mutabilis
Melia azedarach L.,2020,September,October,NA,Melia azedarach
Melia azedarach L.,2021,April,NA,spot flowering,Melia azedarach
Melia azedarach L.,2021,September,October,NA,Melia azedarach
Melia azedarach L.,2022,October,NA,NA,Melia azedarach
Morus alba L.,2021,August,NA,NA,Morus alba
Angophora floribunda (Sm.) Sweet,2020,November,December,NA,Angophora floribunda
Angophora floribunda (Sm.) Sweet,2021,October,November,NA,Angophora floribunda
Callistemon salignus (Sm.) Colvill ex Sweet,2020,October,NA,NA,Callistemon salignus
Callistemon salignus (Sm.) Colvill ex Sweet,2021,May,NA,spot flowering,Callistemon salignus
Callistemon salignus (Sm.) Colvill ex Sweet,2021,September,October,NA,Callistemon salignus
Callistemon salignus (Sm.) Colvill ex Sweet,2022,April,NA,spot flowering,Callistemon salignus
Callistemon viminalis (Sol. ex Gaertn.) G.Don,2020,September,October,NA,Callistemon viminalis
Callistemon viminalis (Sol. ex Gaertn.) G.Don,2021,January,NA,NA,Callistemon viminalis
Callistemon viminalis (Sol. ex Gaertn.) G.Don,2021,October,NA,NA,Callistemon viminalis
Callistemon viminalis (Sol. ex Gaertn.) G.Don,2022,October,NA,NA,Callistemon viminalis
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,2020,September,NA,NA,Corymbia citriodora
Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,2021,June,NA,NA,Corymbia citriodora
Eucalyptus amplifolia Naudin subsp. amplifolia,2021,November,NA,NA,Eucalyptus amplifolia subsp. amplifolia
Eucalyptus capitellata Sm.,2020,September,NA,NA,Eucalyptus capitellata
Eucalyptus eugenioides Sieber ex Spreng.,2020,September,NA,NA,Eucalyptus eugenioides
Eucalyptus eugenioides Sieber ex Spreng.,2021,June,September,NA,Eucalyptus eugenioides
Eucalyptus globoidea Blakely,2021,July,August,NA,Eucalyptus globoidea
Eucalyptus microcorys F.Muell.,2021,October,NA,NA,Eucalyptus microcorys
Eucalyptus moluccana Roxb.,2021,January,March,NA,Eucalyptus moluccana
Eucalyptus robusta Sm.,2021,May,June,NA,Eucalyptus robusta
Eucalyptus tereticornis Sm.,2021,October,NA,NA,Eucalyptus tereticornis
Eucalyptus umbra R.T.Baker,2021,May,NA,NA,Eucalyptus umbra
Eucalyptus umbra R.T.Baker,2021,September,NA,NA,Eucalyptus umbra
Melaleuca decora (Salisb.) Britten,2020,November,NA,NA,Melaleuca decora
Melaleuca decora (Salisb.) Britten,2021,August,NA,spot flowering,Melaleuca decora
Melaleuca decora (Salisb.) Britten,2021,December,NA,NA,Melaleuca decora
Melaleuca linariifolia Sm.,2020,October,November,NA,Melaleuca linariifolia
Melaleuca linariifolia Sm.,2021,November,NA,NA,Melaleuca linariifolia
Melaleuca styphelioides Sm.,2020,November,NA,NA,Melaleuca styphelioides
Melaleuca styphelioides Sm.,2021,August,NA,spot flowering,Melaleuca styphelioides
Melaleuca styphelioides Sm.,2021,November,NA,NA,Melaleuca styphelioides
Syzygium floribundum F.Muell.,2020,December,NA,NA,Syzygium floribundum
Tristaniopsis laurina (Sm.) Peter G.Wilson & J.T.Waterh.,2020,December,NA,NA,Tristaniopsis laurina
Notelaea longifolia Vent. f. longifolia,2021,March,June,NA,Notelaea longifolia f. longifolia
Hymenosporum flavum (Hook.) F.Muell.,2021,November,NA,NA,Hymenosporum flavum
Pittosporum undulatum Vent.,2020,September,NA,NA,Pittosporum undulatum
Pittosporum undulatum Vent.,2021,August,September,NA,Pittosporum undulatum
Grevillea robusta A.Cunn. ex R.Br.,2021,October,NA,NA,Grevillea robusta
Persoonia linearis Andrews,2020,November,NA,NA,Persoonia linearis
Persoonia linearis Andrews,2021,June,NA,NA,Persoonia linearis
Rothmannia globosa (Hochst.) Keay,2021,October,NA,NA,Rothmannia globosa
Acer negundo L.,2020,September,NA,NA,Acer negundo
