taxon_name,trait_name,entity_measured,trait_value,units,value_type
Apium prostratum,fruit_type_a,NA,mericarp,NA,NA
Apium prostratum subsp. howense,fruit_type_a,NA,mericarp,NA,NA
Apium prostratum var. prostratum,fruit_type_a,NA,mericarp,NA,NA
Aponogeton distachyos,fruit_type_a,NA,follicle,NA,NA
Aptenia cordifolia,fruit_type_a,NA,capsule,NA,NA
Araucaria cunninghamii,fruit_colour_a,NA,brown,NA,NA
Araucaria cunninghamii,fruit_dehiscence_a,NA,indehiscent,NA,NA
Araucaria cunninghamii,fruit_type_a,NA,strobilus,NA,NA
Araucaria heterophylla,fruit_type_a,NA,strobilus,NA,NA
Araujia sericifera,fruit_colour_a,NA,green,NA,NA
Araujia sericifera,fruit_type_a,NA,follicle,NA,NA
Archontophoenix cunninghamiana,fruit_colour_a,NA,red,NA,NA
Argophyllum nullumense,fruit_type_a,NA,capsule,NA,NA
Arisarum vulgare,fruit_colour_a,NA,green,NA,NA
Arisarum vulgare,fruit_type_a,NA,berry,NA,NA
Arisarum vulgare subsp. vulgare,fruit_colour_a,NA,green,NA,NA
Arisarum vulgare subsp. vulgare,fruit_type_a,NA,berry,NA,NA
Aristolochia elegans,fruit_type_a,NA,capsule utricle,NA,NA
Aristolochia laheyana,fruit_type_a,NA,capsule,NA,NA
Aristolochia meridionalis,fruit_type_a,NA,utricle,NA,NA
Aristolochia meridionalis subsp. meridionalis,fruit_type_a,NA,utricle,NA,NA
Aristolochia praevenosa,fruit_type_a,NA,capsule,NA,NA
Arthropodium fimbriatum,fruit_type_a,NA,capsule,NA,NA
Arthropodium milleflorum,fruit_type_a,NA,capsule,NA,NA
Arthropodium minus,fruit_type_a,NA,capsule,NA,NA
Arthropodium sp. Albury (A.D.J.Piesse 9),fruit_type_a,NA,capsule,NA,NA
Arthropodium sp. Snowy R. catchment (N.G.Walsh 6195),fruit_type_a,NA,capsule,NA,NA
Arthropodium sp. South-east Highlands (N.G.Walsh 811),fruit_type_a,NA,capsule,NA,NA
Arthropodium strictum,fruit_type_a,NA,capsule,NA,NA
Arum italicum,fruit_colour_a,NA,red orange,NA,NA
Asclepias curassavica,fruit_type_a,NA,follicle,NA,NA
Asparagus aethiopicus,fruit_colour_a,NA,red,NA,NA
Asparagus aethiopicus,fruit_type_a,NA,berry,NA,NA
Asparagus africanus,fruit_colour_a,NA,red orange,NA,NA
Asparagus africanus,fruit_type_a,NA,berry,NA,NA
Asparagus asparagoides,fruit_colour_a,NA,red,NA,NA
Asparagus asparagoides,fruit_type_a,NA,berry,NA,NA
Asparagus falcatus,fruit_colour_a,NA,red,NA,NA
Asparagus falcatus,fruit_type_a,NA,berry,NA,NA
Asparagus macowanii,fruit_colour_a,NA,red purple black,NA,NA
Asparagus macowanii,fruit_type_a,NA,berry,NA,NA
Asparagus officinalis,fruit_colour_a,NA,red,NA,NA
Asparagus officinalis,fruit_type_a,NA,berry,NA,NA
Asparagus plumosus,fruit_colour_a,NA,black,NA,NA
Asparagus plumosus,fruit_type_a,NA,berry,NA,NA
Asparagus retrofractus,fruit_colour_a,NA,red orange,NA,NA
Asparagus retrofractus,fruit_type_a,NA,berry,NA,NA
Asparagus scandens,fruit_colour_a,NA,red orange,NA,NA
Asparagus scandens,fruit_type_a,NA,berry,NA,NA
Asparagus virgatus,fruit_colour_a,NA,orange,NA,NA
Asparagus virgatus,fruit_type_a,NA,berry,NA,NA
Asphodelus fistulosus,fruit_colour_a,NA,red brown,NA,NA
Asphodelus fistulosus,fruit_type_a,NA,capsule,NA,NA
Astrotricha ledifolia,fruit_type_a,NA,caryopsis,NA,NA
Astrotricha pterocarpa,fruit_dehiscence_a,NA,dehiscent,NA,NA
Astrotricha pterocarpa,fruit_type_a,NA,schizocarp,NA,NA
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),fruit_type_a,NA,schizocarp,NA,NA
Astrotricha umbrosa,fruit_colour_a,NA,brown,NA,NA
Astrotricha umbrosa,fruit_dehiscence_a,NA,dehiscent,NA,NA
Astrotricha umbrosa,fruit_type_a,NA,mericarp schizocarp,NA,NA
Avicennia marina,fruit_type_a,NA,capsule,NA,NA
Avicennia marina subsp. australasica,fruit_type_a,NA,capsule,NA,NA
Barleria repens,fruit_dehiscence_a,NA,dehiscent,NA,NA
Barleria repens,fruit_type_a,NA,capsule,NA,NA
Bertya tasmanica variant Glabrous ovary,fruit_type_a,NA,capsule,NA,NA
Berula erecta,fruit_type_a,NA,mericarp,NA,NA
Brunoniella australis,fruit_type_a,NA,capsule,NA,NA
Brunoniella pumilio,fruit_type_a,NA,capsule,NA,NA
Brunoniella spiciflora,fruit_type_a,NA,capsule,NA,NA
Buddleja dysophylla,fruit_type_a,NA,capsule,NA,NA
Bulbine alata,fruit_type_a,NA,capsule,NA,NA
Bulbine bulbosa,fruit_type_a,NA,capsule,NA,NA
Bulbine glauca,fruit_type_a,NA,capsule,NA,NA
Bulbine semibarbata,fruit_type_a,NA,capsule,NA,NA
Bulbine vagans,fruit_type_a,NA,capsule,NA,NA
Bulbostylis humilis,fruit_colour_a,NA,brown grey,NA,NA
Bulbostylis humilis,fruit_type_a,NA,nut,NA,NA
Calamus muelleri,fruit_colour_a,NA,yellow cream,NA,NA
Calandrinia sp. Nerriga (I.R.H.Telford 8677),fruit_type_a,NA,capsule,NA,NA
Calostemma purpureum,fruit_type_a,NA,capsule,NA,NA
Carex divisa,fruit_colour_a,NA,red brown,NA,NA
Carex divisa,fruit_type_a,NA,nutlet utricle,NA,NA
Carissa spinarum,fruit_colour_a,NA,purple black,NA,NA
Carissa spinarum,fruit_type_a,NA,berry,NA,NA
Carpobrotus aequilaterus,fruit_colour_a,NA,purple,NA,NA
Carpobrotus edulis,fruit_colour_a,NA,yellow,NA,NA
Carpobrotus glaucescens,fruit_colour_a,NA,red purple,NA,NA
Cascabela thevetia,fruit_colour_a,NA,black,NA,NA
Cascabela thevetia,fruit_type_a,NA,drupe,NA,NA
Catharanthus roseus,fruit_type_a,NA,follicle,NA,NA
Celtis conferta subsp. amblyphylla,fruit_colour_a,NA,purple,NA,NA
Celtis conferta subsp. amblyphylla,fruit_type_a,NA,drupe,NA,NA
Centaurea benedicta,fruit_colour_a,NA,brown,NA,NA
Centaurea benedicta,fruit_type_a,NA,achene,NA,NA
Centella asiatica,fruit_type_a,NA,mericarp,NA,NA
Centella cordifolia,fruit_type_a,NA,mericarp,NA,NA
Cephalaralia cephalobotrys,fruit_colour_a,NA,black,NA,NA
Chlorophytum comosum,fruit_type_a,NA,capsule,NA,NA
Cipadessa baccifera,fruit_colour_a,NA,red,NA,NA
Cipadessa baccifera,fruit_type_a,NA,drupe,NA,NA
Cistus salviifolius,fruit_type_a,NA,capsule,NA,NA
Cleretum papulosum,fruit_type_a,NA,capsule,NA,NA
Colocasia esculenta,fruit_colour_a,NA,red,NA,NA
Colocasia esculenta,fruit_type_a,NA,berry,NA,NA
Conium maculatum,fruit_type_a,NA,mericarp,NA,NA
Cordyline australis,fruit_colour_a,NA,white,NA,NA
Cordyline congesta,fruit_colour_a,NA,red orange,NA,NA
Cordyline petiolaris,fruit_colour_a,NA,red,NA,NA
Cordyline rubra,fruit_colour_a,NA,red,NA,NA
Cordyline sp. Mt Banda Banda (P.Hind 2232),fruit_colour_a,NA,black,NA,NA
Cordyline stricta,fruit_colour_a,NA,purple black,NA,NA
Coriandrum sativum,fruit_type_a,NA,mericarp,NA,NA
Corokia carpodetoides,fruit_colour_a,NA,brown,NA,NA
Corokia whiteana,fruit_colour_a,NA,red,NA,NA
Corokia whiteana,fruit_type_a,NA,drupe,NA,NA
Crithmum maritimum,fruit_colour_a,NA,yellow purple,NA,NA
Crithmum maritimum,fruit_type_a,NA,mericarp,NA,NA
Cynanchum carnosum,fruit_type_a,NA,follicle,NA,NA
Cynanchum elegans,fruit_type_a,NA,follicle,NA,NA
Cynanchum floribundum,fruit_type_a,NA,follicle,NA,NA
Cynanchum viminale subsp. australe,fruit_type_a,NA,follicle,NA,NA
Cynanchum viminale subsp. brunonianum,fruit_type_a,NA,follicle,NA,NA
Damasonium minus,fruit_type_a,NA,compound_fruit_other follicle,NA,NA
Deeringia amaranthoides,fruit_colour_a,NA,red,NA,NA
Deeringia amaranthoides,fruit_type_a,NA,berry,NA,NA
Deeringia arborescens,fruit_colour_a,NA,red,NA,NA
Deeringia arborescens,fruit_type_a,NA,berry,NA,NA
Dichosciadium ranunculaceum,fruit_type_a,NA,mericarp,NA,NA
Dichosciadium ranunculaceum var. ranunculaceum,fruit_type_a,NA,mericarp,NA,NA
Diplaspis nivis,fruit_type_a,NA,mericarp,NA,NA
Dipteracanthus australasicus,fruit_type_a,NA,capsule,NA,NA
Dipteracanthus australasicus subsp. australasicus,fruit_type_a,NA,capsule,NA,NA
Dipteracanthus australasicus subsp. corynothecus,fruit_type_a,NA,capsule,NA,NA
Dracaena trifasciata,fruit_colour_a,NA,orange,NA,NA
Dracaena trifasciata,fruit_type_a,NA,berry,NA,NA
Drymophila cyanocarpa,fruit_colour_a,NA,blue purple,NA,NA
Drymophila cyanocarpa,fruit_type_a,NA,berry,NA,NA
Drymophila moorei,fruit_colour_a,NA,orange yellow,NA,NA
Drymophila moorei,fruit_type_a,NA,berry,NA,NA
Euroschinus falcatus,fruit_colour_a,NA,purple black,NA,NA
Euroschinus falcatus,fruit_type_a,NA,drupe,NA,NA
Euroschinus falcatus var. falcatus,fruit_colour_a,NA,purple black,NA,NA
Euroschinus falcatus var. falcatus,fruit_type_a,NA,drupe,NA,NA
Euryops virgineus,fruit_colour_a,NA,white,NA,NA
Euryops virgineus,fruit_type_a,NA,achene,NA,NA
Eustrephus latifolius,fruit_colour_a,NA,orange yellow,NA,NA
Eustrephus latifolius,fruit_type_a,NA,capsule,NA,NA
Ficinia marginata,fruit_colour_a,NA,yellow brown,NA,NA
Ficinia marginata,fruit_type_a,NA,nut,NA,NA
Foeniculum vulgare,fruit_type_a,NA,mericarp,NA,NA
Fraxinus chinensis,fruit_type_a,NA,nutlet samara,NA,NA
Galenia pubescens,fruit_type_a,NA,capsule,NA,NA
Gaudium blakelyi,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium brevipes,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium coriaceum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium deanei,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium laevigatum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium microcarpum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium multicaule,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium myrsinoides,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium namadgiense,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium parvifolium,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium polyanthum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium semibaccatum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium subglabratum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gaudium trinervium,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gingidia rupicola,fruit_colour_a,NA,brown grey,NA,NA
Gingidia rupicola,fruit_type_a,NA,mericarp,NA,NA
Gomphocarpus fruticosus,fruit_type_a,NA,follicle,NA,NA
Gomphocarpus physocarpus,fruit_type_a,NA,follicle,NA,NA
Gunniopsis papillata,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gunniopsis papillata,fruit_type_a,NA,capsule,NA,NA
Gunniopsis quadrifida,fruit_dehiscence_a,NA,dehiscent,NA,NA
Gunniopsis quadrifida,fruit_type_a,NA,capsule,NA,NA
Gunniopsis septifraga,fruit_type_a,NA,capsule,NA,NA
Gymnostachys anceps,fruit_colour_a,NA,blue black,NA,NA
Harnieria hygrophiloides,fruit_type_a,NA,capsule,NA,NA
Hedera helix,fruit_colour_a,NA,blue black,NA,NA
Hedyscepe canterburyana,fruit_colour_a,NA,red,NA,NA
Hippeastrum puniceum,fruit_type_a,NA,capsule,NA,NA
Hoffmannseggia glauca,fruit_dehiscence_a,NA,dehiscent indehiscent,NA,NA
Houttuynia cordata,fruit_type_a,NA,capsule,NA,NA
Howea belmoreana,fruit_colour_a,NA,red brown,NA,NA
Howea belmoreana,fruit_type_a,NA,drupe,NA,NA
Howea forsteriana,fruit_colour_a,NA,red,NA,NA
Howea forsteriana,fruit_type_a,NA,drupe,NA,NA
Hoya australis,fruit_type_a,NA,follicle,NA,NA
Hoya australis subsp. australis,fruit_type_a,NA,follicle,NA,NA
Hydrangea macrophylla,fruit_type_a,NA,capsule,NA,NA
Hydrocleys nymphoides,fruit_type_a,NA,capsule,NA,NA
Hydrocotyle acutiloba,fruit_colour_a,NA,brown,NA,NA
Hydrocotyle acutiloba,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle callicarpa,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle digitata,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle foveolata,fruit_colour_a,NA,red brown,NA,NA
Hydrocotyle foveolata,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle hirta,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle laxiflora,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle pedicellosa,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle pterocarpa,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle rivularis,fruit_type_a,NA,mericarp schizocarp,NA,NA
Hydrocotyle sibthorpioides,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle trachycarpa,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle tripartita,fruit_type_a,NA,mericarp,NA,NA
Hydrocotyle verticillata,fruit_type_a,NA,mericarp,NA,NA
Hygrophila angustifolia,fruit_type_a,NA,capsule,NA,NA
Hygrophila costata,fruit_type_a,NA,capsule,NA,NA
Hygrophila polysperma,fruit_type_a,NA,capsule,NA,NA
Hymenocallis caribaea,fruit_type_a,NA,capsule,NA,NA
Hypoestes aristata,fruit_type_a,NA,capsule,NA,NA
Hypoestes floribunda,fruit_type_a,NA,capsule,NA,NA
Hypoestes phyllostachya,fruit_type_a,NA,capsule,NA,NA
Ilex aquifolium,fruit_colour_a,NA,red,NA,NA
Ilex aquifolium,fruit_type_a,NA,drupe,NA,NA
Ipheion uniflorum,fruit_type_a,NA,capsule,NA,NA
Ipomoea fimbriosepala,fruit_type_a,NA,capsule,NA,NA
Isoglossa eranthemoides,fruit_type_a,NA,capsule,NA,NA
Juncus pallescens,fruit_colour_a,NA,yellow brown,NA,NA
Juncus pallescens,fruit_type_a,NA,capsule,NA,NA
Justicia betonica,fruit_type_a,NA,capsule,NA,NA
Laxmannia compacta,fruit_type_a,NA,capsule,NA,NA
Laxmannia gracilis,fruit_type_a,NA,capsule,NA,NA
Laxmannia orientalis,fruit_type_a,NA,capsule,NA,NA
Lepidorrhachis mooreana,fruit_colour_a,NA,red,NA,NA
Lepidorrhachis mooreana,fruit_type_a,NA,drupe,NA,NA
Lepidosperma prospectum,fruit_colour_a,NA,yellow brown,NA,NA
Lepidosperma prospectum,fruit_type_a,NA,nutlet,NA,NA
Leucojum aestivum,fruit_type_a,NA,capsule,NA,NA
Lilaeopsis polyantha,fruit_type_a,NA,mericarp,NA,NA
Linospadix monostachyos,fruit_colour_a,NA,red,NA,NA
Livistona australis,fruit_colour_a,NA,black,NA,NA
Lomandra spicata,fruit_colour_a,NA,orange yellow,NA,NA
Lomandra spicata,fruit_type_a,NA,capsule,NA,NA
Malephora crocea,fruit_type_a,NA,capsule,NA,NA
Mandevilla laxa,fruit_type_a,NA,follicle,NA,NA
Mangifera indica,fruit_colour_a,NA,red yellow,NA,NA
Mangifera indica,fruit_type_a,NA,drupe,NA,NA
Margyricarpus pinnatus,fruit_colour_a,NA,white,NA,NA
Marsdenia australis,fruit_type_a,NA,follicle,NA,NA
Marsdenia flavescens,fruit_type_a,NA,follicle,NA,NA
Marsdenia fraseri,fruit_type_a,NA,follicle,NA,NA
Marsdenia hemiptera,fruit_type_a,NA,follicle,NA,NA
Marsdenia liisae,fruit_type_a,NA,follicle,NA,NA
Marsdenia lloydii,fruit_type_a,NA,follicle,NA,NA
Marsdenia pleiadenia,fruit_colour_a,NA,green,NA,NA
Marsdenia pleiadenia,fruit_type_a,NA,follicle,NA,NA
Marsdenia rostrata,fruit_type_a,NA,follicle,NA,NA
Marsdenia suaveolens,fruit_type_a,NA,follicle,NA,NA
Marsdenia viridiflora,fruit_type_a,NA,follicle,NA,NA
Marsdenia viridiflora subsp. viridiflora,fruit_type_a,NA,follicle,NA,NA
Melodinus acutiflorus,fruit_colour_a,NA,red purple,NA,NA
Melodinus acutiflorus,fruit_type_a,NA,berry,NA,NA
Melodinus australis,fruit_colour_a,NA,red orange,NA,NA
Melodinus australis,fruit_type_a,NA,berry,NA,NA
Mesembryanthemum guerichianum,fruit_type_a,NA,capsule,NA,NA
Muscari armeniacum,fruit_type_a,NA,capsule,NA,NA
Narcissus pseudonarcissus,fruit_type_a,NA,capsule,NA,NA
Neisosperma poweri,fruit_colour_a,NA,red,NA,NA
Neisosperma poweri,fruit_type_a,NA,drupe,NA,NA
Nerine filifolia,fruit_colour_a,NA,red,NA,NA
Nerine filifolia,fruit_type_a,NA,capsule,NA,NA
Nothoscordum gracile,fruit_type_a,NA,capsule,NA,NA
Ochrosia elliptica,fruit_colour_a,NA,red,NA,NA
Ochrosia elliptica,fruit_type_a,NA,drupe,NA,NA
Ochrosia moorei,fruit_colour_a,NA,red,NA,NA
Ochrosia moorei,fruit_type_a,NA,drupe,NA,NA
Odontonema cuspidatum,fruit_type_a,NA,capsule,NA,NA
Orbea variegata,fruit_type_a,NA,follicle,NA,NA
Oreomyrrhis argentea,fruit_type_a,NA,mericarp,NA,NA
Oreomyrrhis brevipes,fruit_type_a,NA,mericarp,NA,NA
Oreomyrrhis ciliata,fruit_type_a,NA,mericarp,NA,NA
Oreomyrrhis eriopoda,fruit_type_a,NA,mericarp,NA,NA
Oreomyrrhis pulvinifica,fruit_type_a,NA,mericarp,NA,NA
Ornithogalum pyramidale,fruit_type_a,NA,capsule,NA,NA
Ornithogalum umbellatum,fruit_type_a,NA,capsule,NA,NA
Oxypetalum coeruleum,fruit_type_a,NA,follicle,NA,NA
Parsonsia brownii,fruit_type_a,NA,capsule,NA,NA
Parsonsia dorrigoensis,fruit_type_a,NA,capsule,NA,NA
Parsonsia eucalyptophylla,fruit_type_a,NA,capsule,NA,NA
Parsonsia fulva,fruit_type_a,NA,capsule,NA,NA
Parsonsia howeana,fruit_type_a,NA,follicle,NA,NA
Parsonsia induplicata,fruit_type_a,NA,capsule,NA,NA
Parsonsia lanceolata,fruit_type_a,NA,capsule,NA,NA
Parsonsia largiflorens,fruit_type_a,NA,capsule,NA,NA
Parsonsia lilacina,fruit_type_a,NA,capsule,NA,NA
Parsonsia longipetiolata,fruit_type_a,NA,capsule,NA,NA
Parsonsia purpurascens,fruit_type_a,NA,capsule,NA,NA
Parsonsia rotata,fruit_type_a,NA,capsule,NA,NA
Parsonsia straminea,fruit_type_a,NA,capsule,NA,NA
Parsonsia tenuis,fruit_type_a,NA,capsule,NA,NA
Parsonsia velutina,fruit_type_a,NA,capsule,NA,NA
Parsonsia ventricosa,fruit_type_a,NA,capsule,NA,NA
Passiflora miniata,fruit_colour_a,NA,orange yellow green,NA,NA
Patersonia rosea,fruit_type_a,NA,capsule,NA,NA
Persicaria chinensis,fruit_colour_a,NA,blue black,NA,NA
Persicaria chinensis,fruit_type_a,NA,achene,NA,NA
Phlegmatospermum eremaeum,fruit_dehiscence_a,NA,dehiscent,NA,NA
Phlegmatospermum eremaeum,fruit_type_a,NA,silique,NA,NA
Phoenix canariensis,fruit_colour_a,NA,red yellow,NA,NA
Pistacia chinensis,fruit_colour_a,NA,red purple,NA,NA
Pistacia chinensis,fruit_type_a,NA,drupe,NA,NA
Pistia stratiotes,fruit_colour_a,NA,green,NA,NA
Pistia stratiotes,fruit_type_a,NA,berry,NA,NA
Platanus x hispanica,fruit_type_a,NA,achene,NA,NA
Platanus x hispanica cv. Acerifolia,fruit_type_a,NA,achene,NA,NA
Platylobium montanum,fruit_type_a,NA,legume,NA,NA
Platylobium montanum subsp. montanum,fruit_type_a,NA,legume,NA,NA
Platylobium parviflorum,fruit_type_a,NA,legume,NA,NA
Platysace clelandii,fruit_type_a,NA,mericarp,NA,NA
Platysace ericoides,fruit_type_a,NA,mericarp,NA,NA
Platysace heterophylla var. heterophylla,fruit_colour_a,NA,brown,NA,NA
Platysace heterophylla var. heterophylla,fruit_type_a,NA,mericarp,NA,NA
Platysace lanceolata,fruit_type_a,NA,mericarp,NA,NA
Platysace linearifolia,fruit_type_a,NA,mericarp,NA,NA
Platysace stephensonii,fruit_type_a,NA,mericarp,NA,NA
Polyscias cissodendron,fruit_colour_a,NA,red purple,NA,NA
Polyscias elegans,fruit_colour_a,NA,purple black,NA,NA
Polyscias murrayi,fruit_colour_a,NA,blue purple,NA,NA
Polyscias sambucifolia,fruit_colour_a,NA,blue,NA,NA
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,fruit_colour_a,NA,blue,NA,NA
Pomaderris andromedifolia f. andromedifolia,fruit_type_a,NA,capsule,NA,NA
Pomaderris andromedifolia f. narrow-leaved,fruit_dehiscence_a,NA,dehiscent,NA,NA
Pomaderris andromedifolia f. narrow-leaved,fruit_type_a,NA,mericarp,NA,NA
Pothos longipes,fruit_colour_a,NA,red,NA,NA
Pseuderanthemum variabile,fruit_type_a,NA,capsule,NA,NA
Psilocaulon granulicaule,fruit_type_a,NA,capsule,NA,NA
Pultenaea aculeata,fruit_type_a,NA,legume,NA,NA
Pultenaea cunninghamii,fruit_type_a,NA,legume,NA,NA
Pultenaea forsythiana,fruit_type_a,NA,legume,NA,NA
Pultenaea mutabilis,fruit_type_a,NA,legume,NA,NA
Pultenaea mutabilis var. angusta,fruit_type_a,NA,legume,NA,NA
Pultenaea mutabilis var. mutabilis,fruit_type_a,NA,legume,NA,NA
Pultenaea sp. Mount Canobolas (R.Coveny 4191b),fruit_type_a,NA,legume,NA,NA
Pultenaea subternata,fruit_type_a,NA,legume,NA,NA
Pultenaea williamsii,fruit_type_a,NA,legume,NA,NA
Rhaphidospora bonneyana,fruit_type_a,NA,capsule,NA,NA
Rhodosphaera rhodanthema,fruit_colour_a,NA,brown,NA,NA
Rhodosphaera rhodanthema,fruit_type_a,NA,drupe,NA,NA
Rhyncharrhena linearis,fruit_type_a,NA,follicle,NA,NA
Rostellularia adscendens,fruit_type_a,NA,capsule,NA,NA
Rostellularia adscendens var. adscendens,fruit_type_a,NA,capsule,NA,NA
Rostellularia adscendens var. latifolia,fruit_type_a,NA,capsule,NA,NA
Rostellularia obtusa,fruit_type_a,NA,capsule,NA,NA
Ruellia simplex,fruit_type_a,NA,capsule,NA,NA
Ruellia squarrosa,fruit_type_a,NA,capsule,NA,NA
Rutidosis murchisonii,fruit_type_a,NA,achene,NA,NA
Sambucus australasica,fruit_colour_a,NA,yellow,NA,NA
Sambucus gaudichaudiana,fruit_colour_a,NA,white,NA,NA
Sambucus nigra,fruit_colour_a,NA,black,NA,NA
Saururus cernuus,fruit_colour_a,NA,brown,NA,NA
Saururus cernuus,fruit_type_a,NA,schizocarp,NA,NA
Schefflera actinophylla,fruit_colour_a,NA,red,NA,NA
Schefflera actinophylla,fruit_type_a,NA,drupe,NA,NA
Schinus molle var. areira,fruit_colour_a,NA,pink red blue,NA,NA
Schinus molle var. areira,fruit_type_a,NA,drupe,NA,NA
Schinus terebinthifolia,fruit_colour_a,NA,red,NA,NA
Schinus terebinthifolia,fruit_type_a,NA,drupe,NA,NA
Searsia lancea,fruit_colour_a,NA,yellow brown grey,NA,NA
Searsia lancea,fruit_type_a,NA,drupe,NA,NA
Secamone elliptica,fruit_type_a,NA,follicle,NA,NA
Sesuvium portulacastrum,fruit_type_a,NA,capsule,NA,NA
Sida sp. Musselbrook (M.B.Thomas MRS437) Qld Herbarium,fruit_type_a,NA,mericarp,NA,NA
Siloxerus multiflorus,fruit_colour_a,NA,brown,NA,NA
Siloxerus multiflorus,fruit_type_a,NA,achene,NA,NA
Sowerbaea juncea,fruit_type_a,NA,capsule,NA,NA
Stephanophysum longifolium,fruit_type_a,NA,capsule,NA,NA
Strobilanthes anisophylla,fruit_type_a,NA,capsule,NA,NA
Symphoricarpos albus,fruit_colour_a,NA,white,NA,NA
Syngonium podophyllum,fruit_colour_a,NA,red orange,NA,NA
Syngonium podophyllum,fruit_type_a,NA,berry,NA,NA
Tabernaemontana pandacaqui,fruit_colour_a,NA,yellow,NA,NA
Tabernaemontana pandacaqui,fruit_type_a,NA,follicle,NA,NA
Thunbergia alata,fruit_type_a,NA,capsule,NA,NA
Thysanotus baueri,fruit_type_a,NA,capsule,NA,NA
Thysanotus juncifolius,fruit_type_a,NA,capsule,NA,NA
Thysanotus patersonii,fruit_type_a,NA,capsule,NA,NA
Thysanotus tuberosus,fruit_type_a,NA,capsule,NA,NA
Thysanotus tuberosus subsp. parviflorus,fruit_type_a,NA,capsule,NA,NA
Thysanotus virgatus,fruit_type_a,NA,capsule,NA,NA
Trachymene composita,fruit_colour_a,NA,brown,NA,NA
Trachymene composita,fruit_type_a,NA,mericarp,NA,NA
Trachymene composita var. composita,fruit_colour_a,NA,brown,NA,NA
Trachymene composita var. composita,fruit_type_a,NA,mericarp,NA,NA
Trachymene composita var. robertsonii,fruit_colour_a,NA,brown,NA,NA
Trachymene composita var. robertsonii,fruit_type_a,NA,mericarp,NA,NA
Trachymene cyanopetala,fruit_colour_a,NA,purple brown,NA,NA
Trachymene cyanopetala,fruit_type_a,NA,mericarp,NA,NA
Trachymene glaucifolia,fruit_colour_a,NA,brown,NA,NA
Trachymene glaucifolia,fruit_type_a,NA,mericarp,NA,NA
Trachymene humilis,fruit_type_a,NA,mericarp,NA,NA
Trachymene humilis subsp. humilis,fruit_colour_a,NA,brown,NA,NA
Trachymene humilis subsp. humilis,fruit_type_a,NA,mericarp,NA,NA
Trachymene incisa,fruit_colour_a,NA,brown,NA,NA
Trachymene incisa,fruit_type_a,NA,mericarp,NA,NA
Trachymene ochracea,fruit_colour_a,NA,brown,NA,NA
Trachymene ochracea,fruit_type_a,NA,mericarp,NA,NA
Trachymene ornata,fruit_colour_a,NA,purple white,NA,NA
Trachymene ornata,fruit_type_a,NA,mericarp,NA,NA
Trachymene procumbens,fruit_colour_a,NA,brown,NA,NA
Trachymene procumbens,fruit_type_a,NA,mericarp,NA,NA
Trachymene scapigera,fruit_colour_a,NA,brown,NA,NA
Trachymene scapigera,fruit_type_a,NA,mericarp,NA,NA
Trachymene thysanocarpa,fruit_colour_a,NA,brown,NA,NA
Trachymene thysanocarpa,fruit_type_a,NA,mericarp,NA,NA
Tylophora barbata,fruit_type_a,NA,follicle,NA,NA
Tylophora benthamii,fruit_type_a,NA,follicle,NA,NA
Tylophora biglandulosa,fruit_type_a,NA,follicle,NA,NA
Tylophora grandiflora,fruit_type_a,NA,follicle,NA,NA
Tylophora linearis,fruit_type_a,NA,follicle,NA,NA
Tylophora paniculata,fruit_type_a,NA,follicle,NA,NA
Tylophora woollsii,fruit_type_a,NA,follicle,NA,NA
Typhonium brownii,fruit_colour_a,NA,red,NA,NA
Typhonium eliosurum,fruit_colour_a,NA,red,NA,NA
Ulmus x hollandica,fruit_type_a,NA,samara,NA,NA
Viburnum odoratissimum,fruit_colour_a,NA,black,NA,NA
Viburnum odoratissimum,fruit_type_a,NA,drupe,NA,NA
Viburnum suspensum,fruit_colour_a,NA,red,NA,NA
