taxon_name,trait_name,entity_measured,trait_value,units,value_type
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_length,leaves,15,mm,maximum
Pultenaea sp. Werrikimbe NP (L.M. Copeland 4477),leaf_length,leaves,16,mm,absolute_maximum
Pultenaea subternata,leaf_length,leaves,5,mm,minimum
Pultenaea subternata,leaf_length,leaves,8,mm,maximum
Pultenaea tenebrosa,leaf_length,leaves,5.7,mm,minimum
Pultenaea tenebrosa,leaf_length,leaves,16.6,mm,maximum
Pultenaea williamsii,leaf_length,leaves,13.2,mm,minimum
Pultenaea williamsii,leaf_length,leaves,24,mm,maximum
Rhaphidospora bonneyana,leaf_length,leaves,2,mm,minimum
Rhaphidospora bonneyana,leaf_length,leaves,8,mm,maximum
Rhodosphaera rhodanthema,leaf_length,leaflets,3,cm,minimum
Rhodosphaera rhodanthema,leaf_length,leaflets,10,cm,maximum
Rhodosphaera rhodanthema,leaf_length,leaves,8,cm,minimum
Rhodosphaera rhodanthema,leaf_length,leaves,20,cm,maximum
Rhyncharrhena linearis,leaf_length,leaves,2,cm,minimum
Rhyncharrhena linearis,leaf_length,leaves,10,cm,maximum
Rhyncharrhena linearis,petiole_length,petioles,1,mm,minimum
Rhyncharrhena linearis,petiole_length,petioles,3,mm,maximum
Rostellularia adscendens,leaf_length,leaves,5,mm,minimum
Rostellularia adscendens,leaf_length,leaves,30,mm,maximum
Rostellularia adscendens var. adscendens,leaf_length,leaves,13,mm,minimum
Rostellularia adscendens var. adscendens,leaf_length,leaves,30,mm,maximum
Rostellularia adscendens var. latifolia,petiole_length,petioles,0.5,mm,minimum
Rostellularia adscendens var. latifolia,petiole_length,petioles,1.5,mm,maximum
Rostellularia adscendens var. latifolia,leaf_length,leaves,4.3,mm,minimum
Rostellularia adscendens var. latifolia,leaf_length,leaves,15,mm,maximum
Rostellularia adscendens var. pogonanthera,petiole_length,petioles,1,mm,maximum
Rostellularia obtusa,leaf_length,leaves,10,mm,minimum
Rostellularia obtusa,leaf_length,leaves,30,mm,maximum
Rostellularia obtusa,petiole_length,petioles,3,mm,minimum
Rostellularia obtusa,petiole_length,petioles,10,mm,maximum
Ruellia simplex,leaf_length,lamina,5,cm,minimum
Ruellia simplex,leaf_length,lamina,16,cm,maximum
Ruellia squarrosa,leaf_length,lamina,7,cm,maximum
Ruellia squarrosa,petiole_length,petioles,2,cm,maximum
Rutidosis murchisonii,leaf_length,leaves,1,cm,minimum
Rutidosis murchisonii,leaf_length,leaves,6,cm,maximum
Sagittaria calycina var. calycina,leaf_length,leaves,25,cm,maximum
Sagittaria platyphylla,leaf_length,leaves,25,cm,maximum
Sagittaria platyphylla,leaf_length,submerged_leaves,50,cm,maximum
Salix humboldtiana cv. Pyramidalis,leaf_length,leaves,9,cm,minimum
Salix humboldtiana cv. Pyramidalis,leaf_length,leaves,15,cm,maximum
Salix matsudana cv. Tortuosa,leaf_length,leaves,8,cm,minimum
Salix matsudana cv. Tortuosa,leaf_length,leaves,13,cm,maximum
Sambucus australasica,leaf_length,leaflets,2,cm,minimum
Sambucus australasica,leaf_length,leaflets,10,cm,maximum
Sambucus australasica,leaf_length,leaves,6,cm,minimum
Sambucus australasica,leaf_length,leaves,25,cm,maximum
Sambucus gaudichaudiana,leaf_length,leaflets,3,cm,minimum
Sambucus gaudichaudiana,leaf_length,leaflets,15,cm,maximum
Sambucus gaudichaudiana,leaf_length,leaves,10,cm,minimum
Sambucus gaudichaudiana,leaf_length,leaves,35,cm,maximum
Sambucus nigra,leaf_length,leaflets,4,cm,minimum
Sambucus nigra,leaf_length,leaflets,8,cm,maximum
Sarcozona praecox,leaf_length,leaves,3,cm,minimum
Sarcozona praecox,leaf_length,leaves,10,cm,maximum
Saururus cernuus,leaf_length,leaves,2,cm,minimum
Saururus cernuus,leaf_length,leaves,17,cm,maximum
Scandix pecten-veneris,leaf_length,lamina,3,cm,minimum
Scandix pecten-veneris,leaf_length,lamina,5,cm,maximum
Scandix pecten-veneris,petiole_length,petioles,7,cm,maximum
Schefflera actinophylla,leaf_length,leaflets,8,cm,minimum
Schefflera actinophylla,leaf_length,leaflets,30,cm,maximum
Schinus molle var. areira,leaf_length,leaflets,15,mm,minimum
Schinus molle var. areira,leaf_length,leaflets,50,mm,maximum
Schinus molle var. areira,leaf_length,leaves,12,cm,minimum
Schinus molle var. areira,leaf_length,leaves,25,cm,maximum
Schinus terebinthifolia,leaf_length,leaflets,3,cm,minimum
Schinus terebinthifolia,leaf_length,leaflets,8,cm,maximum
Schizeilema fragoseum,petiole_length,petioles,3,cm,minimum
Schizeilema fragoseum,petiole_length,petioles,12,cm,maximum
Scleranthus sp. Fitzs Hill (J.G.West 5342),leaf_length,leaves,4,mm,minimum
Scleranthus sp. Fitzs Hill (J.G.West 5342),leaf_length,leaves,7,mm,maximum
Searsia lancea,petiole_length,petioles,2,cm,minimum
Searsia lancea,petiole_length,petioles,7,cm,maximum
Secamone elliptica,leaf_length,lamina,2,cm,minimum
Secamone elliptica,leaf_length,lamina,5.5,cm,maximum
Sesuvium portulacastrum,leaf_length,leaves,7,cm,maximum
Sida sp. Musselbrook (M.B.Thomas MRS437) Qld Herbarium,leaf_length,leaves,5,mm,minimum
Sida sp. Musselbrook (M.B.Thomas MRS437) Qld Herbarium,leaf_length,leaves,40,mm,maximum
Siloxerus multiflorus,leaf_length,leaves,3,mm,minimum
Siloxerus multiflorus,leaf_length,leaves,10,mm,maximum
Sowerbaea juncea,leaf_length,leaves,5,cm,minimum
Sowerbaea juncea,leaf_length,leaves,50,cm,maximum
Stephanophysum longifolium,leaf_length,lamina,6,cm,minimum
Stephanophysum longifolium,leaf_length,lamina,8,cm,maximum
Stephanophysum longifolium,petiole_length,petioles,2,cm,maximum
Strobilanthes anisophylla,leaf_length,leaves,11,cm,maximum
Strobilanthes anisophylla,petiole_length,petioles,8,mm,maximum
Symphoricarpos albus,leaf_length,leaves,5,cm,maximum
Symphoricarpos albus,leaf_length,leaves,7,cm,absolute_maximum
Syngonium podophyllum,petiole_length,petioles,10,cm,minimum
Syngonium podophyllum,petiole_length,petioles,60,cm,maximum
Syngonium podophyllum,leaf_length,leaflets,16,cm,minimum
Syngonium podophyllum,leaf_length,leaflets,38,cm,maximum
Tabernaemontana pandacaqui,leaf_length,leaves,5,cm,minimum
Tabernaemontana pandacaqui,leaf_length,leaves,18,cm,maximum
Tetragonia decumbens,leaf_length,leaves,1,cm,minimum
Tetragonia decumbens,leaf_length,leaves,8,cm,maximum
Tetragonia decumbens,petiole_length,petioles,5,mm,minimum
Tetragonia decumbens,petiole_length,petioles,30,mm,maximum
Tetragonia eremaea,leaf_length,leaves,8,cm,maximum
Tetragonia microptera,leaf_length,leaves,1,cm,minimum
Tetragonia microptera,leaf_length,leaves,3,cm,maximum
Tetragonia moorei,leaf_length,leaves,10,cm,maximum
Tetragonia tetragonoides,leaf_length,leaves,10,cm,maximum
Tetrapanax papyrifer,leaf_length,leaves,14,cm,minimum
Tetrapanax papyrifer,leaf_length,leaves,55,cm,maximum
Tetrapanax papyrifer,petiole_length,petioles,5,cm,minimum
