Species,Data source,FAMILY,Major Lifeform (McIntyre et al 1995),"Hemicryptophyte type Pr = protohemicrytophyte, P= partial rosette",Disperal Unit,Source,Vegetative Spread,Source of vegetative spread data,Life Cycle (Tremont 1994),life cycle notes,Growth Form (Tremont 1994),growth form notes,Seed Weight (mg),source of seed weight data,Frequency? -rarity measure,Present in soil seedbank,Source_for_seedbank_data,seed_mass_duplicate_AusTraits,Seed Weight (mg)_filtered
Luzula meridionalis,(McIntyre et al 1995),JUNCACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,NA,NA,8.46,P,(Morgan 1998b),NA,NA
Lythrum hyssopifolia,NA,LYTHRACEAE,T,NA,U,NA,N,NA,A,NA,Tr,NA,0.1115,average of  Moles data,10.47,P,(Lunt 1997) Lunt and Morgan 1999 suggest its absent,NA,0.1115
Maireana enchylaenoides,NA,CHENOPODACEAE,C,NA,U,NA,N,NA,P,NA,Tr,NA,NA,NA,0.5,NA,NA,NA,NA
Microlaena stipoides var. stipoides,(McIntyre et al 1995),POACEAE,H,V,U,NA,Y,NA,P,NA,TS,NA,6.393,Moles; Westoby et al (1990) Ecology 71:1307-1315,20.94,P,(Hahs unpublished),NA,6.393
Microseris sp. 1,(McIntyre et al 1995),ASTERACEAE,H,E,W,NA,N,NA,P,NA,R,NA,2.69,Lunt et al Unpublished,4.23,A,(Lunt 1996),NA,2.69
Minuria leptophylla,NA,ASTERACEAE,H,PR,W,NA,N,NA,P,NA,Tf,NA,0.86,Williams unpublished data,0.5,NA,NA,Duplicate of Morgan_2011_2_081,NA
Neopaxia australasica,NA,PORTULACAEAE,H,PR,U,NA,Y,NA,P,NA,M,NA,NA,NA,0.5,NA,NA,NA,NA
Oxalis perrennans,(McIntyre et al 1995) using O. radicosa,OXALIDACEAE,H,E,U,NA,Y,NA,P,NA,M,NA,0.63,Paul Gibson-Roy unpublished data,49.22,P,(Morgan 1998b),NA,0.63
Panicum decompositum,NA,POACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,0.616,Average of Moles,0.5,NA,NA,Duplicate of Williams_2020_1_840,NA
Pelargonium australe,NA,GERANIACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,1.07,Williams unpublished data,0.5,NA,NA,Duplicate of Williams_2020_1_202,NA
Pelargonium rodneyanum,NA,GERANIACEAE,H,E,U,NA,Y,NA,P,NA,Tf,NA,3.94,Williams unpublished data,2,NA,NA,Duplicate of Cross_2009_41,NA
Pentapogon quadrifidus,NA,POACEAE,H,E,A,NA,N,NA,P,NA,Tf,NA,NA,NA,15.37,NA,NA,NA,NA
Picris angustifolia,NA,ASTERACEAE,H,PR,W,NA,N,NA,P,NA,PR,NA,NA,NA,0.5,NA,NA,NA,NA
Pimelea curviflora s.l.,(McIntyre et al 1995),THYMELACEAE,Ph,NA,U,NA,N,NA,P,NA,E,NA,1.47,Paul Gibson-Roy unpublished data,11.14,A,(Lunt and Morgan 1999),Duplicate of Morgan_2011_2_085,NA
Pimelea glauca,(McIntyre et al 1995),THYMELACEAE,Ph,NA,U,NA,N,NA,P,NA,E,NA,2.545,NA,4.23,NA,NA,Duplicate of Morgan_2011_2_086,NA
Pimelea humilis,NA,THYMELACEAE,Ph,NA,U,NA,N,NA,P,NA,E,NA,1.84,Lunt et al Unpublished,8.46,A,(Marsden-Smedley et al 1997),Duplicate of Angevin_2011_55,NA
Pimelea spinescens ssp. spinescens,(Lunt and Morgan 1999),THYMELACEAE,Ph,NA,U,NA,N,NA,P,NA,M,NA,NA,NA,6.24,A,"(Lunt and Morgan 1999, Morgan 1998b)",NA,NA
Plantago gaudichaudii,(McIntyre et al 1995),PLANTAGINACEAE,H,E,U,NA,N,NA,P,NA,PR,NA,2.31,Morgan 1998,29.4,A,"(Morgan 1998, Lunt 1997))",Duplicate of Kew_2019_1_10437,NA
Plantago varia,(McIntyre et al 1995),PLANTAGINACEAE,H,E,U,NA,N,NA,P,NA,PR,NA,2.25,Williams unpublished data,3.79,P,(Lunt 1997)(Marsden-Smedley et al 1997 report absence - only one site),Duplicate of Williams_2020_1_355,NA
Poa labillardierei,(McIntyre et al 1995),POACEAE,H,E,U,NA,N,NA,P,NA,Ts,NA,0.71,Paul Gibson-Roy unpublished data,10.24,A,"(Marsden-Smedley et al 1997, Morgan 1998b)",Duplicate of Cross_2009_42,NA
Poa rodwayi,NA,POACEAE,H,E,U,NA,N,NA,P,NA,Ts,NA,NA,NA,8.02,NA,NA,NA,NA
Poa sieberiana,(McIntyre et al 1995),POACEAE,H,E,U,NA,N,NA,P,NA,Ts,NA,0.33,Clarke et al 2000,35.19,A,"(Lunt and Morgan 1999, Morgan 1998b)",Duplicate of Angevin_2011_59,NA
Podolepis jaceoides s.l.,(McIntyre et al 1995),ASTERACEAE,H,P,W,NA,N,NA,P,NA,E,NA,2.25,Lunt et al Unpublished,0.5,P,(Morgan 1998)(Marsden-Smedley et al 1997 suggest absence),NA,2.25
Pseudognaphalium luteoalbum,(McIntyre et al 1995),ASTERACEAE,H,P,W,NA,N,NA,A,NA,E,NA,NA,NA,0.5,P,(Lunt 1997),NA,NA
Ptilotus erubescens,NA,AMARANTHACEAE,H,P,W,NA,N,NA,P,NA,PR,NA,NA,NA,0.5,NA,NA,NA,NA
Ptilotus macrocephalus,NA,AMARANTHACEAE,H,P,W,NA,N,NA,P,NA,PR,NA,1.297,Lord et al 1997,5.57,NA,NA,Duplicate of Jurado_1993_188,NA
Ptilotus spathulatus f. spathulatus,NA,AMARANTHACEAE,H,P,W,NA,N,NA,P,NA,PR,NA,3.76,Lunt et al Unpublished,3.79,A,(Marsden-Smedley et al 1997),Duplicate of Lunt_2012_132,NA
Pultanea laxiflora / mollis,NA,FABACEAE,C,NA,U,NA,N,NA,P,NA,M,NA,NA,NA,0.5,NA,NA,NA,NA
Pultenaea pedunculata,NA,FABACEAE,C,NA,U,NA,N,NA,P,NA,M,NA,NA,NA,1.56,NA,NA,NA,NA
Pycnosorus chrysanthes,NA,ASTERACEAE,C,NA,W,NA,N,NA,P,NA,PR,NA,0.85,Williams unpublished data,0.5,NA,NA,Duplicate of Morgan_2011_2_095,NA
Ranunculus lappaceus,(McIntyre et al 1995),RANUNCULACEAE,H,E,A,NA,N,NA,P,NA,Tf,NA,1.74,Williams unpublished data,0.5,NA,NA,NA,1.74
Ranunculus robertsonii,NA,RANUNCULACEAE,H,E,A,NA,N,NA,P,NA,Tf,NA,NA,NA,0.5,NA,NA,NA,NA
Rumex brownii,(McIntyre et al 1995),POLYGONACEAE,H,P,A,NA,N,NA,P,NA,PR,NA,1.113,Clarke et al 2000,2.45,A,(Marsden-Smedley et al 1997),NA,1.113
Rumex dumosus,(Morgan 1998),POLYGONACEAE,H,E,A,NA,N,NA,P,NA,PR,NA,2.54,"Morgan 1998, Lunt et al Unpublished have other data",20.49,A,(Lunt and Morgan 1999)(Morgan 1998b says present,Duplicate of Kew_2019_1_11306,NA
Rutidosis leptorhynchoides,NA,ASTERACEAE,H,P,W,NA,N,NA,P,NA,E,NA,1.37,NA,0.5,A,(Morgan 1995),Duplicate of Morgan_2011_2_098,NA
Schoenus apogon,(McIntyre et al 1995),CYPERACEAE,H,E,U,NA,N,NA,P,NA,Tf,NA,0.54,Lunt et al Unpublished,64.14,P,"(Lunt and Morgan 1999 s, Grant and MacGregor 2001, Marsden-Smedley et al 1997, Morgan 1998b)",Duplicate of Cross_2009_44,NA
Sclerolaena muricata,Benson and McDougall 1995),CHENOPODACEAE,C,NA,A,NA,N,NA,P,NA,E,NA,0.74,Lord et al 1997,0.5,NA,NA,Duplicate of Leishman_1992_052,NA
Sebaea ovata,(McIntyre et al 1995),GENTIACEAE,T,NA,M,NA,N,NA,A,NA,E,NA,NA,NA,11.14,P,"(Lunt 1997, Morgan 1998b)",NA,NA
Senecio macrocarpus,NA,ASTERACEAE,H,P,W,NA,N,NA,P,NA,E,NA,0.53,Lunt et al Unpublished,0.5,A,(Morgan 1998),Duplicate of Morgan_2011_2_101,NA
Senecio quadridentatus,(McIntyre et al 1995),ASTERACEAE,H,P,W,NA,N,NA,P,NA,E,NA,0.2,Paul Gibson-Roy unpublished data,1.34,A,(Lunt and Morgan 1999),Duplicate of Cross_2009_45,NA
Senecio squarrosus,NA,ASTERACEAE,H,Pr,W,NA,Y,NA,P,NA,E,NA,0.296,Lunt et al Unpublished,0.5,NA,NA,Duplicate of Morgan_2011_2_103,NA
Solenogyne dominii,NA,ASTERACEAE,H,V,U,NA,N,NA,P,NA,R,NA,0.28,"Paul Gibson-Roy unpublished data, Lunt at al unpublished have other data",25.84,A,"(Marsden-Smedley et al 1997, Morgan 1998b)  (Lunt and Morgan 1999 report presence S)",NA,0.28
Solenogyne gunnii,(Tremont 1994),ASTERACEAE,H,V,U,NA,N,NA,P,NA,R,NA,NA,NA,2.23,NA,NA,NA,NA
Spergularia media,NA,CARYOPYLLACEAE,H,Pr,U,NA,N,NA,P,NA,TR,NA,0.01,average of Moles data,0.5,NA,NA,NA,0.01
Stackhousia subterannean,(McIntyre et al 1995),STACKHOUSIACEAE,H,Pr,U,NA,Y,NA,P,NA,E,NA,2.89,Williams unpublished data,8.46,A,(Lunt and Morgan 1999),NA,2.89
Stylidium graminifolium s.l.,(McIntyre et al 1995),STYLIDIACEAE,C,E,U,NA,N,NA,P,NA,R,NA,0.157,Lunt et al Unpublished,1.78,P,(Enright et al 1997) for heathy woodland,NA,0.157
Swainsona behriana,(Morgan 1998),FABACEAE,H,Pr,U,NA,Y,NA,P,NA,Tr,NA,3.13,Morgan 1998,0.5,P,(Morgan 1998),Duplicate of Kew_2019_1_06499,NA
Themeda triandra,(McIntyre et al 1995),POACEAE,H,E,A,NA,N,NA,P,NA,Ts,NA,3.85,Paul Gibson-Roy unpublished data,91.09,P,"(Lunt 1990, Hill and French 2003, Marsden-Smedley et al 1997)",Duplicate of Cross_2009_47,NA
Thysanotus patersonii,NA,LILIACEAE,H,Pr,U,NA,N,NA,P,NA,Tr,NA,NA,NA,2.67,A,(Lunt 1997),NA,NA
Tricoryne elatior,(McIntyre et al 1995),LILIACEAE,H,E,U,NA,N,NA,P,NA,Tr,NA,5,Paul Gibson-Roy unpublished data,29.84,A,"(Lunt 1997, Lunt and Morgan 1999, Morgan 1998b)",Duplicate of Cross_2009_48,NA
Velleia paradoxa,NA,GOODENIACEAE,H,P,U,NA,N,NA,P,NA,R,NA,5.19,Morgan 1998 Clarke et al have other data,9.13,P,(Morgan 1998) Lunt and Morgan 1999 suggest absence,Duplicate of Kew_2019_1_03918,NA
Veronica gracilis,NA,SCROPHULARIACEAE,C,NA,U,NA,Y,NA,P,NA,E,NA,NA,NA,6.9,A,"(Marsden-Smedley et al 1997 only one site, Morgan 1998b)",NA,NA
Vittadinia cuneata,(McIntyre et al 1995),ASTERACEAE,H,Pr,W,NA,N,NA,P,NA,E,NA,1.54,Moles and Westoby,0.5,NA,NA,Duplicate of Kew_2019_1_02327,NA
Vittadinia dissecta s.l.,NA,ASTERACEAE,H,Pr,W,NA,N,NA,A,NA,E,NA,NA,NA,0.5,NA,NA,NA,NA
Vittadinia gracilis,NA,ASTERACEAE,H,Pr,W,NA,N,NA,P,NA,E,NA,0.987,Williams unpublished data,0.5,NA,NA,Duplicate of Morgan_2011_2_117,NA
Vittadinia muelleri,(McIntyre et al 1995),ASTERACEAE,H,Pr,W,NA,N,NA,P,NA,E,NA,0.16,Lunt et al Unpublished,0.5,P,(Lunt 1996),Duplicate of Morgan_2011_2_118,NA
Wahlenbergia communis s.l./ luteola,(Tremont 1994),CAMPANULACEAE,H,Pr,M,NA,N,NA,P,NA,Tf,NA,0.01,Lord et al 1997,11.14,P,"(Morgan 1998, Lunt and Morgan 1999)",Duplicate of Leishman_1992_097,NA
"Wahlenbergia spp.(gracilenta, gracilis, mualticaulis, stricta)",NA,CAMPANULACEAE,H,Pr,M,NA,N,NA,P,NA,Tf,NA,NA,NA,10,P,"(Lunt 1997, Lunt and Morgan 1999, Hill and French 2003, Marsden-Smedley et al 1997)",NA,NA
