Sample,Genus,Species,Name,sp,Thickness,LMA,Aarea,Amass,LipidP,MetabolicP,NucleicP,ResidualP,Pi,EsterP,TotalP,Parea,LipidPc,MetabolicPc,NucleicPc,ResidualPc,Pic,EsterPc,TotalN,Narea,PPUE,Site,slope position,soil conductivity (uS/cm),soil pH (CaCl2),"soil P, total (mg/kg)","soil P, inorganic (mg/kg)","soil P, organic (mg/kg)","soil P, Resin (mg/kg)"
44,Banksia,chamaephyton,Banksia chamaephyton,B. chamaephyton,0.623,372,6.9,18.6,0.012,0.055,0.039,0.004,0.028,0.027,0.109,40.736,0.108,0.501,0.36,0.032,0.252,0.249,0.499,185.81,170,Badgingarra National Park location 04,Slope,15 ± 5,4.6 ± 0,3.4 ± 0.6,0.12 ± 0.01,3.3 ± 0.5,0.24 ± 0.05
45,Banksia,chamaephyton,Banksia chamaephyton,B. chamaephyton,0.593,406,7,17.3,0.026,0.076,0.051,0.005,0.03,0.046,0.157,63.651,0.163,0.481,0.326,0.03,0.191,0.29,0.568,230.259,110,Badgingarra National Park location 04,Slope,15 ± 5,4.6 ± 0,3.4 ± 0.6,0.12 ± 0.01,3.3 ± 0.5,0.24 ± 0.05
46,Banksia,attenuata,Banksia attenuata,B. attenuata,0.288,253,1.5,5.9,0.028,0.057,0.063,0.019,0.023,0.035,0.169,42.739,0.169,0.34,0.376,0.115,0.135,0.205,0.63,159.62,35,Badgingarra National Park location 02,Bottom,14 ± 1,4.5 ± 0.1,3.9 ± 0.5,0.19 ± 0.03,3.7 ± 0.4,0.22 ± 0.04
47,Banksia,attenuata,Banksia attenuata,B. attenuata,0.308,226,4.7,20.5,0.027,0.053,0.055,0.018,0.026,0.028,0.154,34.798,0.173,0.348,0.36,0.12,0.168,0.179,0.519,117.439,134,Badgingarra National Park location 02,Bottom,14 ± 1,4.5 ± 0.1,3.9 ± 0.5,0.19 ± 0.03,3.7 ± 0.4,0.22 ± 0.04
48,Banksia,attenuata,Banksia attenuata,B. attenuata,0.325,225,6.1,27.2,0.026,0.052,0.062,0.019,0.02,0.032,0.159,35.694,0.163,0.326,0.391,0.121,0.126,0.2,0.591,133.18,172,Badgingarra National Park location 02,Bottom,14 ± 1,4.5 ± 0.1,3.9 ± 0.5,0.19 ± 0.03,3.7 ± 0.4,0.22 ± 0.04
49,Banksia,attenuata,Banksia attenuata,B. attenuata,0.367,253,4.7,18.4,0.029,0.061,0.066,0.021,0.025,0.035,0.178,44.978,0.166,0.342,0.372,0.121,0.142,0.199,0.656,166.072,104,Badgingarra National Park location 02,Bottom,14 ± 1,4.5 ± 0.1,3.9 ± 0.5,0.19 ± 0.03,3.7 ± 0.4,0.22 ± 0.04
50,Banksia,attenuata,Banksia attenuata,B. attenuata,0.342,270,3.2,11.8,0.02,0.045,0.051,0.014,0.019,0.026,0.129,34.906,0.151,0.348,0.397,0.105,0.145,0.203,0.597,161,91,Badgingarra National Park location 02,Bottom,14 ± 1,4.5 ± 0.1,3.9 ± 0.5,0.19 ± 0.03,3.7 ± 0.4,0.22 ± 0.04
51,Banksia,menziesii,Banksia menziesii,B. menziesii,0.398,245,5.8,23.8,0.041,0.08,0.077,0.019,0.031,0.048,0.218,53.212,0.189,0.366,0.356,0.089,0.145,0.222,0.718,175.506,109,Badgingarra National Park location 01,Bottom,17 ± 1,4.5 ± 0,4.5 ± 0.6,0.18 ± 0.01,4.3 ± 0.5,0.23 ± 0.00
52,Banksia,menziesii,Banksia menziesii,B. menziesii,0.473,226,5.2,23.1,0.034,0.081,0.07,0.016,0.026,0.055,0.201,45.345,0.168,0.404,0.349,0.079,0.129,0.275,0.64,144.498,115,Badgingarra National Park location 01,Bottom,17 ± 1,4.5 ± 0,4.5 ± 0.6,0.18 ± 0.01,4.3 ± 0.5,0.23 ± 0.00
53,Banksia,menziesii,Banksia menziesii,B. menziesii,0.49,329,5.4,16.3,0.039,0.07,0.063,0.015,0.037,0.033,0.188,61.691,0.21,0.373,0.336,0.081,0.197,0.176,0.671,220.531,87,Badgingarra National Park location 01,Bottom,17 ± 1,4.5 ± 0,4.5 ± 0.6,0.18 ± 0.01,4.3 ± 0.5,0.23 ± 0.00
54,Banksia,menziesii,Banksia menziesii,B. menziesii,0.443,229,5.6,24.2,0.059,0.103,0.089,0.016,0.048,0.055,0.267,61.183,0.221,0.386,0.333,0.06,0.18,0.206,0.862,197.691,91,Badgingarra National Park location 01,Bottom,17 ± 1,4.5 ± 0,4.5 ± 0.6,0.18 ± 0.01,4.3 ± 0.5,0.23 ± 0.00
55,Banksia,menziesii,Banksia menziesii,B. menziesii,0.567,306,3.9,12.7,0.021,0.055,0.046,0.014,0.015,0.04,0.137,41.839,0.157,0.4,0.339,0.105,0.107,0.292,0.618,188.89,93,Badgingarra National Park location 01,Bottom,17 ± 1,4.5 ± 0,4.5 ± 0.6,0.18 ± 0.01,4.3 ± 0.5,0.23 ± 0.00
