Species,season,Tree,site,leaf longevity,growth form,leaf type,photosynthetic pathway,Nfixer,leaf longevity (months),DBHincr,Aarea,Amass,saturated water content (g H20/gDW),LMA,Leaf thickness (mm),CHLarea,leaf chlorophyll (umol/g),Nmass,Pmass,DENSITY_,Narea,Parea,SLA (cm2/g),Leaf size (cm2),water%
Terminalia ferdinandiana A,wet,1,open forest,deciduous,T,simple,C3,No,4,0.16,8.8,83.3,1.648,105,0.256,0.449,4.261,1.63,0.08,412,1.718534638,0.084345258,94.84824824,92.36333333,0.622325474
Terminalia ferdinandiana A,wet,2,open forest,deciduous,T,simple,C3,No,4,0.09,13.1,146.6,1.726,90,0.219,0.407,4.55,1.83,0.104,409,1.63893499,0.093141661,111.657876,91.7,0.633130263
Terminalia ferdinandiana A,wet,3,open forest,deciduous,T,simple,C3,No,3,-0.04,9.3,90,1.873,104,0.274,0.363,3.484,1.32,0.101,380,1.374145943,0.105142985,96.05966579,140.4433333,0.651939265
Terminalia ferdinandiana A,wet,4,open forest,deciduous,T,simple,C3,No,7,0,9.7,92.1,1.88,105,0.276,0.342,3.26,1.3,0.086,379,1.361864496,0.090092574,95.45736771,108,0.652765367
Terminalia ferdinandiana A,wet,5,open forest,deciduous,T,simple,C3,No,7,0.1,6.1,61,1.741,101,0.259,0.344,3.422,1.43,0.093,393,1.437604682,0.09349457,99.47101718,141.6466667,0.635235101
Terminalia ferdinandiana A,wet,6,open forest,deciduous,T,simple,C3,No,6,0.13,9.4,91,1.704,104,0.256,0.366,3.537,1.57,0.079,406,1.625368013,0.081786034,96.59350912,152,0.630156902
Terminalia microcarpa,wet,1,dry monsoon forest,deciduous,T,simple,C3,No,8,1.69,16.6,261.3,1.796,63,0.167,0.473,7.454,2.41,0.215,379,1.528719891,0.136379575,157.6482398,55.30666667,0.642309894
Terminalia microcarpa,wet,2,dry monsoon forest,deciduous,T,simple,C3,No,6,0.73,12.2,138.3,1.372,89,0.2,0.453,5.097,1.86,0.134,444,1.654404521,0.119188283,112.4271589,51.93,0.578328034
Terminalia microcarpa,wet,3,dry monsoon forest,deciduous,T,simple,C3,No,6,0.35,13.7,144.9,1.297,95,0.209,0.469,4.947,2.18,0.146,455,2.06560979,0.138339004,105.5378422,32.14666667,0.564685977
Terminalia microcarpa,wet,4,dry monsoon forest,deciduous,T,simple,C3,No,8,0.92,12.6,137.3,1.394,91,0.203,0.5,5.463,2.36,0.177,452,2.158001342,0.161850101,109.360451,31.89,0.582233791
Terminalia microcarpa,wet,5,dry monsoon forest,deciduous,T,simple,C3,No,4,0.7,13.9,187.2,1.694,74,0.189,0.516,6.954,2.42,0.164,393,1.79559814,0.121685163,134.7740314,35.85,0.628824095
Terminalia microcarpa,wet,6,dry monsoon forest,deciduous,T,simple,C3,No,10,2.68,10.9,131.6,1.547,84,0.199,0.469,5.549,2.45,0.173,424,2.070183136,0.146180279,118.3470176,36.19333333,0.607356715
Wrightia pubescens,wet,1,dry monsoon forest,deciduous,T,simple,C3,No,7,0.7,9.1,189.1,2.543,48,0.165,0.385,8.076,3.86,0.162,288,1.839251563,0.077191387,209.8679744,30.99333333,0.717779718
Wrightia pubescens,wet,2,dry monsoon forest,deciduous,T,simple,C3,No,7,0.1,8,168.8,2.682,47,0.211,0.481,10.168,2.95,0.147,227,1.395386631,0.069532825,211.4109405,31.14333333,0.728417141
Wrightia pubescens,wet,3,dry monsoon forest,deciduous,T,simple,C3,No,8,0.06,7.2,150.1,2.449,48,0.172,0.394,8.219,3.35,0.145,280,1.60512109,0.06947539,208.7069955,34.54333333,0.710024848
Wrightia pubescens,wet,4,dry monsoon forest,deciduous,T,simple,C3,No,6,0.76,11.8,204,2.481,58,0.208,0.426,7.363,3.17,0.173,278,1.834356705,0.100108426,172.8126264,22.30666667,0.712734272
Wrightia pubescens,wet,5,dry monsoon forest,deciduous,T,simple,C3,No,5,0.38,12,213.9,2.858,56,0.222,0.355,6.29,3.33,0.195,255,1.881078842,0.110153266,177.0260728,17.14,0.740773715
Wrightia pubescens,wet,6,dry monsoon forest,deciduous,T,simple,C3,No,8,0.29,9.4,167,2.432,56,0.199,0.428,7.675,2.79,0.159,280,1.554690582,0.088600646,179.4569306,24.63333333,0.708644607
Acacia auriculiformis,dry,1,swamp,evergreen,T,simple,C3,Yes,,,14.2,123.2,1.487,121,0.253,0.529,5.027,1.96,0.069,474,2.365066667,0.08326,82.87292818,38.79,0.597855228
Acacia auriculiformis,dry,2,swamp,evergreen,T,simple,C3,Yes,,,13.9,127,1.557,111,0.249,0.575,6.022,2.28,0.188,446,2.5232,0.208053333,90.36144578,32.18666667,0.608865711
Acacia auriculiformis,dry,3,swamp,evergreen,T,simple,C3,Yes,,,16.9,140,1.46,122,0.253,0.589,6.041,1.9,0.077,482,2.311666667,0.093683333,82.19178082,43.77,0.593495935
Acacia auriculiformis,dry,4,swamp,evergreen,T,simple,C3,Yes,,,7.9,48.5,1.113,162,0.275,0.511,4.034,1.98,0.075,589,3.201,0.12125,61.8556701,48.09666667,0.52681388
Acacia auriculiformis,dry,5,swamp,evergreen,T,simple,C3,Yes,,,17.4,137.1,1.457,126,0.262,0.576,5.222,1.86,0.072,481,2.3436,0.09072,79.36507937,36.26,0.592944369
Acacia auriculiformis,dry,6,swamp,evergreen,T,simple,C3,Yes,,,11.1,88.4,1.16,126,0.23,0.431,4.483,2.14,0.081,549,2.703533333,0.10233,79.15567282,45.42,0.537037037
Erythrophleum chlorostachys,dry,1,open forest,semi-deciduous,T,compound,C3,Yes,,,6.7,57.9,0.99,118,0.206,0.349,3.235,1.51,0.037,572,1.7818,0.04366,84.74576271,19.97333333,0.497487437
Erythrophleum chlorostachys,dry,2,open forest,semi-deciduous,T,compound,C3,Yes,,,10.6,93.4,0.943,115,0.205,0.381,3.71,1.99,0.063,560,2.2885,0.07245,86.95652174,20.62,0.48542024
Erythrophleum chlorostachys,dry,3,open forest,semi-deciduous,T,compound,C3,Yes,,,7.8,63.2,1.097,123,0.248,0.431,3.84,1.83,0.059,497,2.2448,0.072373333,81.52173913,15.01666667,0.523052464
Erythrophleum chlorostachys,dry,4,open forest,semi-deciduous,T,compound,C3,Yes,,,7.2,71.1,1.143,101,0.188,0.373,4.234,1.98,0.066,540,2.0064,0.06688,98.68421053,10.42,0.533437014
Erythrophleum chlorostachys,dry,5,open forest,semi-deciduous,T,compound,C3,Yes,,,5.7,47.4,1,120,0.218,0.368,3.506,1.78,0.058,551,2.136,0.0696,83.33333333,15.94,0.5
Erythrophleum chlorostachys,dry,6,open forest,semi-deciduous,T,compound,C3,Yes,,,7.9,78.3,1.123,100,0.2,0.392,4.651,1.99,0.057,503,1.996633333,0.05719,99.66777409,18.25666667,0.529042386
Eucalyptus foelscheana,dry,1,woodland,semi-deciduous,T,simple,C3,No,,,16,84.2,1.227,194,0.366,0.572,2.754,0.085,0.055,531,0.165183333,0.106883333,51.45797599,74.58666667,0.550898204
Eucalyptus foelscheana,dry,2,woodland,semi-deciduous,T,simple,C3,No,,,17.9,72.7,1.017,246,0.433,0.676,3.001,1.13,0.058,569,2.7798,0.14268,40.6504065,125.9733333,0.504132231
Eucalyptus foelscheana,dry,3,woodland,semi-deciduous,T,simple,C3,No,,,4.8,41.7,2.617,111,0.335,0.393,1.743,1.53,0.137,330,1.6932,0.151613333,90.36144578,108.7033333,0.723502304
Eucalyptus foelscheana,dry,4,woodland,semi-deciduous,T,simple,C3,No,,,7.3,81.3,3.077,89,0.328,0.425,1.981,1.83,0.16,272,1.6348,0.142933333,111.9402985,137.0433333,0.754701554
Eucalyptus foelscheana,dry,5,woodland,semi-deciduous,T,simple,C3,No,,,11.2,43.3,0.913,259,0.442,0.694,2.687,1.08,0.067,587,2.8008,0.173753333,38.56041131,137.7966667,0.477351916
Eucalyptus foelscheana,dry,6,woodland,semi-deciduous,T,simple,C3,No,,,12.5,51.2,0.813,246,0.389,0.479,2.429,0.91,0.049,633,2.2386,0.12054,40.6504065,96.4,0.448529412
Eucalyptus tetrodonta,dry,1,open forest,evergreen,T,simple,C3,No,,,16.7,87.5,1.317,192,0.342,0.436,2.073,0.88,0.043,562,1.6896,0.08256,52.08333333,56.47666667,0.568345324
Eucalyptus tetrodonta,dry,2,open forest,evergreen,T,simple,C3,No,,,9.8,42.3,1.02,235,0.381,0.51,2.585,0.76,0.037,618,1.788533333,0.087073333,42.49291785,117.7066667,0.504950495
Eucalyptus tetrodonta,dry,3,open forest,evergreen,T,simple,C3,No,,,6.8,34,1.127,200,0.32,0.345,1.973,0.75,0.037,625,1.4975,0.073876667,50.08347245,59.3,0.529780564
Eucalyptus tetrodonta,dry,4,open forest,evergreen,T,simple,C3,No,,,11.7,61,1.227,191,0.337,0.427,2.844,0.97,0.044,565,1.849466667,0.083893333,52.44755245,67.84,0.550898204
Eucalyptus tetrodonta,dry,5,open forest,evergreen,T,simple,C3,No,,,7.2,37.8,1.233,190,0.329,0.389,2.076,0.73,0.038,578,1.387,0.0722,52.63157895,78.67,0.552238806
Eucalyptus tetrodonta,dry,6,open forest,evergreen,T,simple,C3,No,,,11.9,68.3,1.397,176,0.343,0.497,2.901,0.99,0.042,513,1.7391,0.07378,56.9259962,100.54,0.582753825
Ficus racemosa,dry,1,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,7.6,131.2,1.893,59,0.151,,,2.02,0.16,386,1.185066667,0.093866667,170.4545455,49.47666667,0.65437788
Ficus racemosa,dry,2,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,1.7,25.5,2.053,66,0.179,,,2.08,0.163,369,1.3728,0.10758,151.5151515,71.11,0.672489083
Ficus racemosa,dry,3,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,2.5,33.6,1.765,72,0.172,,,2.46,0.202,419,1.7794,0.146113333,138.2488479,85.91666667,0.638336347
Ficus racemosa,dry,4,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,1.4,34,2.31,42,0.141,,,1.78,0.139,297,0.741666667,0.057916667,240,37.12,0.697885196
Ficus racemosa,dry,5,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,3.2,40.7,1.563,77,0.171,,,2.21,0.163,449,1.7017,0.12551,129.8701299,97.38333333,0.609882965
Ficus racemosa,dry,6,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,10,119.5,1.9,83,0.216,0.378,5.092,2.14,0.16,383,1.7762,0.1328,120.4819277,40.63,0.655172414
Ficus scobina,dry,1,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,10,118,2,91,0.263,0.464,4.988,3.97,0.23,347,3.599466667,0.208533333,110.2941176,36.73,0.666666667
Ficus scobina,dry,2,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,12.5,122.6,2.047,103,0.276,0.413,6.131,2.86,0.137,374,2.936266667,0.140653333,97.4025974,27.01,0.671772429
Ficus scobina,dry,3,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,11.1,107.7,2.01,101,0.262,0.266,3.199,2.45,0.188,382,2.466333333,0.189253333,99.33774834,34.58666667,0.667774086
Ficus scobina,dry,4,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,11.8,95.5,1.62,123,0.306,0.451,5.132,2.67,0.169,403,3.293,0.208433333,81.08108108,39.37666667,0.618320611
Ficus scobina,dry,5,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,13.3,121.2,1.733,110,0.253,0.457,5.733,3.17,0.178,436,3.476433333,0.195206667,91.18541033,33.81333333,0.634146341
Ficus scobina,dry,6,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,8.1,77.3,1.963,105,0.271,0.353,4.12,2.65,0.159,389,2.7825,0.16695,95.23809524,23.93333333,0.662542182
Lophostemon lactifluus,dry,1,swamp,semi-deciduous,T,simple,C3,No,,,10.3,97.1,1.88,106,0.302,0.38,2.78,1.64,0.119,350,1.732933333,0.125743333,94.63722397,60.96,0.652777778
Lophostemon lactifluus,dry,2,swamp,semi-deciduous,T,simple,C3,No,,,6.8,46.6,1.047,147,0.284,0.362,2.944,0.95,0.064,515,1.393333333,0.093866667,68.18181818,31.47666667,0.511400651
Lophostemon lactifluus,dry,3,swamp,semi-deciduous,T,simple,C3,No,,,9.2,60.4,1.113,153,0.29,0.438,2.672,0.95,0.046,530,1.456666667,0.070533333,65.2173913,48.07,0.52681388
Lophostemon lactifluus,dry,4,swamp,semi-deciduous,T,simple,C3,No,,,9.4,63.2,0.937,149,0.293,0.462,4.705,1.16,0.065,511,1.724533333,0.096633333,67.26457399,83.69666667,0.483648881
Lophostemon lactifluus,dry,5,swamp,semi-deciduous,T,simple,C3,No,,,8,64.6,0.99,124,0.258,0.407,3.782,0.92,0.068,486,1.143866667,0.084546667,80.42895442,39.47,0.497487437
Lophostemon lactifluus,dry,6,swamp,semi-deciduous,T,simple,C3,No,,,5,40.1,1.117,125,0.265,0.401,4.089,0.92,0.054,474,1.153066667,0.06768,79.78723404,61.05333333,0.527559055
Mallotus nesophilus,dry,1,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,10.4,108.3,1.143,98,0.279,0.386,4.305,2.29,0.139,352,2.251833333,0.136683333,101.6949153,25.19333333,0.533437014
Mallotus nesophilus,dry,2,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,11.2,118.5,1.13,95,0.251,,,2.07,0.104,378,1.9665,0.0988,105.2631579,33.87333333,0.530516432
Mallotus nesophilus,dry,3,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,10,136.8,1.19,73,0.231,,,2.46,0.143,318,1.7958,0.10439,136.9863014,43.76666667,0.543378995
Mallotus nesophilus,dry,4,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,9.5,119.2,1.4,80,0.228,,,1.81,0.124,350,1.454033333,0.099613333,124.4813278,21.07,0.583333333
Mallotus nesophilus,dry,5,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,7.9,106.8,1.123,76,0.215,0.299,4.84,1.76,0.111,355,1.3376,0.08436,131.5789474,40.38,0.529042386
Mallotus nesophilus,dry,6,dry monsoon forest,semi-deciduous,T,simple,C3,No,,,10.5,89.3,1.127,118,0.293,0.291,3.093,1.87,0.138,403,2.2066,0.16284,84.74576271,27.73666667,0.529780564
Melaleuca DMF,dry,1,dry monsoon forest,evergreen,T,simple,C3,No,,,17.6,93.7,1.75,191,0.486,0.492,2.376,1.03,0.127,396,1.9673,0.24257,52.35602094,40.58333333,0.636363636
Melaleuca DMF,dry,2,dry monsoon forest,evergreen,T,simple,C3,No,,,12.9,97.9,2.823,143,0.497,0.394,3.553,1.41,0.08,288,2.0116,0.114133333,70.09345794,27.39333333,0.738448126
Melaleuca DMF,dry,3,dry monsoon forest,evergreen,T,simple,C3,No,,,11.4,58,1.783,197,0.505,0.795,4.924,1.17,0.205,390,2.3049,0.40385,50.76142132,34.09666667,0.640718563
Melaleuca DMF,dry,4,dry monsoon forest,evergreen,T,simple,C3,No,,,16.8,97.2,1.67,173,0.418,0.532,3.521,0.77,0.074,415,1.3321,0.12802,57.80346821,21,0.625468165
Melaleuca DMF,dry,5,dry monsoon forest,evergreen,T,simple,C3,No,,,17.8,99.6,1.757,179,0.448,0.636,4.307,1.26,0.073,400,2.2596,0.130913333,55.76208178,25.23666667,0.637243047
Melaleuca DMF,dry,6,dry monsoon forest,evergreen,T,simple,C3,No,,,16.1,97.3,1.997,165,0.456,0.597,4.984,1.15,0.125,363,1.8975,0.20625,60.60606061,34.91333333,0.666295884
Melaleuca W,dry,1,woodland,evergreen,T,simple,C3,No,,,11.3,44.4,1.487,252,0.545,0.556,2.47,0.93,0.052,462,2.3436,0.13104,39.68253968,31.67333333,0.597855228
Melaleuca W,dry,2,woodland,evergreen,T,simple,C3,No,,,11.6,35.7,1.263,324,0.599,0.563,2.092,0.67,0.04,543,2.168566667,0.129466667,30.89598352,28.55333333,0.558173785
Melaleuca W,dry,3,woodland,evergreen,T,simple,C3,No,,,6.3,23.3,1.15,272,0.505,0.586,2.549,0.86,0.038,538,2.3392,0.10336,36.76470588,19.08,0.534883721
Melaleuca W,dry,4,woodland,evergreen,T,simple,C3,No,,,9.4,35,1.197,267,0.511,0.71,3.1,0.84,0.037,525,2.2456,0.098913333,37.40648379,21.65,0.544764795
Melaleuca W,dry,5,woodland,evergreen,T,simple,C3,No,,,13.6,52.2,1.08,260,0.455,0.766,3.699,1.13,0.048,571,2.938,0.1248,38.46153846,27.28,0.519230769
Melaleuca W,dry,6,woodland,evergreen,T,simple,C3,No,,,6.9,27.6,1.233,248,0.497,0.668,2.779,0.84,0.039,500,2.086,0.09685,40.26845638,22.64666667,0.552238806
Melaleuca Sw,dry,1,swamp,evergreen,T,simple,C3,No,,,8.1,40.7,1.4,200,0.423,0.717,4.245,0.66,0.032,474,1.32,0.064,50,47.79333333,0.583333333
Melaleuca Sw,dry,2,swamp,evergreen,T,simple,C3,No,,,15.3,120.3,2.85,127,0.429,0.531,2.687,1,0.057,297,1.266666667,0.0722,78.94736842,30.09333333,0.74025974
Melaleuca Sw,dry,3,swamp,evergreen,T,simple,C3,No,,,16.6,105.3,2.27,158,0.452,0.71,2.818,0.97,0.057,350,1.5326,0.09006,63.29113924,31.31,0.694189602
Melaleuca Sw,dry,4,swamp,evergreen,T,simple,C3,No,,,13,48.8,1.333,268,0.533,0.766,3.981,0.68,0.029,502,1.820133333,0.077623333,37.35990037,44.56333333,0.571428571
Melaleuca Sw,dry,5,swamp,evergreen,T,simple,C3,No,,,16.7,98.5,2.133,179,0.49,0.628,2.554,0.76,0.047,365,1.3604,0.08413,55.86592179,32.09,0.680851064
Melaleuca Sw,dry,6,swamp,evergreen,T,simple,C3,No,,,18.2,79.4,1.48,229,0.479,0.626,2.155,0.64,0.03,482,1.4656,0.0687,43.66812227,26.50666667,0.596774194
Syzygium eucalyptoides,dry,1,woodland,semi-deciduous,T,simple,C3,No,,,4.5,26.3,1.693,172,0.438,0.359,2.338,0.71,0.048,394,1.223566667,0.08272,58.0270793,50.95,0.628712871
Syzygium eucalyptoides,dry,2,woodland,semi-deciduous,T,simple,C3,No,,,3.8,20.2,1.637,186,0.448,0.331,2.368,0.89,0.052,414,1.652433333,0.096546667,53.85996409,42.24,0.620733249
Syzygium eucalyptoides,dry,3,woodland,semi-deciduous,T,simple,C3,No,,,5.3,33.5,1.69,159,0.406,0.432,3.81,0.95,0.055,395,1.5105,0.08745,62.89308176,51.55666667,0.628252788
Syzygium eucalyptoides,dry,4,woodland,semi-deciduous,T,simple,C3,No,,,3.5,19.7,1.64,175,0.454,0.309,2.737,0.77,0.042,387,1.350066667,0.07364,57.03422053,41.66666667,0.621212121
Syzygium eucalyptoides,dry,5,woodland,semi-deciduous,T,simple,C3,No,,,4.6,32.6,1.427,141,0.321,0.281,2.558,0.89,0.053,439,1.2549,0.07473,70.92198582,38.48666667,0.587912088
Syzygium eucalyptoides,dry,6,woodland,semi-deciduous,T,simple,C3,No,,,7,34.8,1.607,196,0.452,0.361,2.829,0.92,0.052,440,1.800133333,0.101746667,51.10732538,41.12666667,0.616368286
Syzygium suborbiculare,dry,1,open forest,semi-deciduous,T,simple,C3,No,,,13.9,102.4,1.81,137,0.356,0.499,3.553,1.28,0.066,384,1.749333333,0.0902,73.17073171,97.66666667,0.644128114
Syzygium suborbiculare,dry,2,open forest,semi-deciduous,T,simple,C3,No,,,10.1,68.9,1.507,147,0.321,0.365,2.944,0.79,0.06,459,1.158666667,0.088,68.18181818,117.3566667,0.60106383
Syzygium suborbiculare,dry,3,open forest,semi-deciduous,T,simple,C3,No,,,13.2,101.4,1.913,131,0.346,0.526,3.424,1.55,0.076,380,2.0305,0.09956,76.33587786,60.41666667,0.656750572
Syzygium suborbiculare,dry,4,open forest,semi-deciduous,T,simple,C3,No,,,14,95.8,1.767,146,0.366,0.562,3.454,1.42,0.074,400,2.0732,0.10804,68.49315068,111.6666667,0.638554217
Syzygium suborbiculare,dry,5,open forest,semi-deciduous,T,simple,C3,No,,,10.6,88.4,1.883,119,0.316,0.409,3.233,1.33,0.082,378,1.5827,0.09758,84.03361345,79.83333333,0.653179191
Syzygium suborbiculare,dry,6,open forest,semi-deciduous,T,simple,C3,No,,,9.2,66.9,1.713,138,0.33,0.499,4.071,1.13,0.064,419,1.5594,0.08832,72.46376812,70.49666667,0.631449631
Xanthostemon paradoxus,dry,1,woodland,semi-deciduous,T,simple,C3,No,,,5.3,30.2,1.157,179,0.323,0.415,3.013,0.81,0.041,554,1.4499,0.07339,55.86592179,91.76666667,0.536321484
Xanthostemon paradoxus,dry,2,woodland,semi-deciduous,T,simple,C3,No,,,3.1,20,1.377,152,0.318,0.325,2.126,0.85,0.043,476,1.292,0.06536,65.78947368,87.29666667,0.579242637
Xanthostemon paradoxus,dry,3,woodland,semi-deciduous,T,simple,C3,No,,,4.6,24.4,1.227,185,0.344,0.38,2.687,0.77,0.04,538,1.427066667,0.074133333,53.95683453,86.96,0.550898204
Xanthostemon paradoxus,dry,4,woodland,semi-deciduous,T,simple,C3,No,,,5.6,32.7,1.263,171,0.342,0.388,2.997,0.93,0.047,500,1.5903,0.08037,58.47953216,114.1233333,0.558173785
Xanthostemon paradoxus,dry,5,woodland,semi-deciduous,T,simple,C3,No,,,5,36.9,1.407,135,0.305,0.342,2.903,0.97,0.05,444,1.312733333,0.067666667,73.89162562,89.87,0.584487535
Xanthostemon paradoxus,dry,6,woodland,semi-deciduous,T,simple,C3,No,,,5.6,32.9,1.413,171,0.394,0.382,2.647,0.79,0.049,440,1.348266667,0.083626667,58.59375,57.45,0.585635359
Callitris intratropica,dry,1,woodland,evergreen,T,simple,C3,No,,,1.3,2.9,1.007,449,,,,0.9,0.055,,4.041,0.24695,22.27171492,,0.50166113
Callitris intratropica,dry,2,woodland,evergreen,T,simple,C3,No,,,4.4,11.2,1.103,403,,,,0.96,0.059,,3.8688,0.23777,24.81389578,,0.524564184
Callitris intratropica,dry,3,woodland,evergreen,T,simple,C3,No,,,4.2,10.4,1.01,414,,,,0.95,0.059,,3.933,0.24426,24.15458937,,0.502487562
Callitris intratropica,dry,4,woodland,evergreen,T,simple,C3,No,,,5.2,14.6,1.153,364,,,,0.91,0.064,,3.309366667,0.232746667,27.49770852,,0.535603715
Callitris intratropica,dry,5,woodland,evergreen,T,simple,C3,No,,,4.2,10.3,0.947,408,,,,0.87,0.051,,3.5467,0.20791,24.52984464,,0.48630137
Callitris intratropica,dry,6,woodland,evergreen,T,simple,C3,No,,,4.1,10.4,1.123,393,,,,0.73,0.056,,2.8689,0.22008,25.44529262,,0.529042386
