taxon_name,authors
Aphanes,"Citation: L., Sp. Pl. 123 (1753)."
Aphanes arvensis,"Citation: L., Sp.Pl. 123 (1753)."
Aphanes australiana,"Citation: Rothm., Kew Bull. 1938:270 (1938). Australian piert."
Potentilla anserina,"Citation: L., Sp. Pl. 495 (1753)."
Cotoneaster,"Citation: Medikus, Gesch. Bot. 85 (1793)."
Cotoneaster simonsii,"Citation: Baker in Saund., Ref. Bot. 1:t. 55 (1869)."
Crataegus,"Citation: L., Sp. Pl. 475 (1753)."
Crataegus monogyna,"Citation: Jacq., Fl. Austr. 3:50 (1775). May."
Crataegus sinaica,"Citation: Boiss., Diagn. Pl. Orient. ser. 2,2:48 (1856)."
Cydonia,"Citation: Miller, Gard. Dict. edn 8:no.1 (1768)."
Cydonia oblonga,"Citation: Miller, Gard. Dict. edn 8:no. 1 (1768)."
Malus,"Citation: Miller, Gard. Dict. abr. edn 4 (1754)."
Malus sylvestris,"Citation: Miller, Gard. Dict. edn 8:no. 1 (1768)."
Potentilla,"Citation: L., Sp. Pl. 495 (1753)."
Potentilla reptans,"Citation: L., Sp. Pl. 499 (1753)."
Prunus,"Citation: L., Sp. Pl. 473 (1753)."
Prunus armeniaca,"Citation: L., Sp. Pl. 474 (1753)."
Prunus avium,"Citation: L., Fl. Suec. edn 2, 165 (1755)."
Prunus cerasifera,"Citation: Ehrh., Beitr. Naturk. 4:17 (1789)."
Prunus domestica,"Citation: L., Sp. Pl. 475 (1753)."
Prunus dulcis,"Citation: D. Webb in Heyw., Reprium nov. Spec. Regni veg. 74:24 (1967). Common_name: Almond."
Prunus laurocerasus,"Citation: L., Sp. Pl. 474 (1753)."
Prunus persica,"Citation: Batsch, Beytr. Entw. Pragm. Gesch. Nat.-Reiche 1:30 (1801)."
Prunus persica nectarina,"Citation: Maxim., Bull. Acad. Sci. Petersb. 29:83 (1883)."
Pyrus,"Citation: L., Sp. Pl. 479 (1753)."
Pyrus communis,"Citation: L., Sp. Pl. 479 (1753)."
Rosa,"Citation: L., Sp. Pl. 491 (1753)."
Rosa canina,"Citation: L., Sp. Pl. 491 (1753)."
Rosa gallica,"Citation: L., Sp. Pl. 492 (1753) (R. centifolia L. (175.3), Sp. Pl. 491)."
Rosa rubiginosa,"Citation: L., Mant. Alt. 564 (1771)."
Rubus,"Citation: L., Sp. Pl. 492 (1753)."
Rubus koehleri,"Citation: Weihe & Nees in Bluff & Fingerh., Comp. Fl. Germ. 1:681 (1825)."
Rubus laciniatus,"Citation: Willd., Hort. Berol. 2:pl. 82 (1806)."
Rubus ulmifolius,"Citation: Schott, Isis 1818:821 (1818) var. ulmifolius."
Rubus loganobaccus,"Citation: L. Bailey, Gentes Herb. 1:155 (1923)."
Rubus moluccanus,"Citation: L., Sp. Pl. 1197 (1753)."
Rubus parvifolius,"Citation: L., Sp. Pl. 1197 (1753)."
Sanguisorba,"Citation: L., Sp. Pl. 116 (1753)."
Sanguisorba minor,"Citation: Scop., Fl. Carniolica edn 2, 1:110 (1772) subsp. muricata Briq., Prod. Fl. Corse 2:298 (1913)."
Acacia,"Citation: P. Miller, Gard. Dict. Abridged ed. 4 (1754)."
Acacia acanthoclada,"Citation: F. Mueller, Fragm. Phyt. Aust. 3:127 (1863)."
Acacia acinacea,"Citation: Lindley in T. L. Mitchell, Three Exped. Australia, edn. 1, 2: 265 (1836)."
Acacia alcockii,"Citation: B. R. Maslin & D. J. E. Whibley, Nuytsia 6:19-23 (1987)."
Acacia anceps,"Citation: A. P. de Candolle, Prodr. 2:451 (1825), Mem. Leg. 446 (1826-1827),"
Acacia ancistrophylla,Citation: C. R. P. Andrews var. lissophylla (J. Black)Cowan & Maslin (in press).
Acacia sclerophylla,"Citation: J. Lindley in Mitch., Three Exped. E. Aust. 2:138 (1838)."
Acacia aneura,"Citation: B. Randell, J. Adelaide Bot. Gard. 14:122 (1992)."
Acacia araneosa,"Citation: D. J. E. Whibley, Contrib. Herb. Aust. 14:1(1976)."
Acacia argyrophylla,"Citation: W. J. Hooker, Curtis's Bot. Mag. 74:t.4384 (1848)."
Acacia brachybotrya,"Citation: G. Bentham, Hook. Lond. J. Bot. 1: 347 (1842)."
Acacia ayersiana,"Citation: J. R. Maconochie, J. Adelaide Bot. Gard. 1:182(1978)."
Acacia baileyana,"Citation: F. Mueller, Trans. Proc. R. Soc. Vic. 24:168 (1888)."
Acacia barattensis,"Citation: J. M. Black, Trans. R. Soc. S.Aust. 56:42 t.1 (1932)."
Acacia basedowii,"Citation: J. H. Maiden, J. Proc. R.Soc. N.S.W. 53:197 t. 13 (1920)."
Acacia beckleri,"Citation: M.D. Tindale, in Hj. Eichler, Suppl. J. M. Black, FI.S.Aust. 173 (1965)."
Acacia cibaria,"Citation: F. Mueller, Melbourne Chemist & Druggist Australasian Suppl. 5(51)26 (1882)."
Acacia burkittii,"Citation: G. Bentham, Fl. Aust. 2:400 (1864)."
Acacia calamifolia,"Citation: J. Lindley, Edward's Bot. Reg. 10:t.839 (1824)."
Acacia microcarpa,"Citation: F. Mueller, Fragm.Phyt.Aust. 1:6 (1858)"
Acacia coriacea,"Citation: A. P. de Candolle, Prodr. 2:451 (1825)."
Acacia cambagei,"Citation: R. T. Baker, Proc. Linn. Soc. N.S.W. 25:661 t.42(1900)."
Acacia carnei,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 49:470 (1916)."
Acacia colletioides,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:336 (1842)."
Acacia nyssophylla,"Citation: F. Mueller, Pl. lndig. Colon. Vic. 2:9 (1863)."
Acacia confluens,"Citation: J. H. Maiden & W. F. Blakely, J. Proc. R. Soc. N.S.W. 60:183 t.16 (1927)."
Acacia cretacea,"Citation: B. R. Maslin & D. J. E. Whibley, Nuytsia 6:27-30 (1987)."
Acacia cupularis,"Citation: K. Domin, Vestn. Kral. Ceske Spolecn. Nauk Tr. Mat.-Prir. 2:45 (1923)"
Acacia ligulata,"Citation: G. Bentham, Hook. Lond. J. Bot. l :362 (1842)"
Acacia salicina,"Citation: J. Lindley in Mitch., Three Exped. E. Aust. 2:20 (1838)."
Acacia saligna,"Citation: H. Wendland, Comment. Acac. 4, 26 (1820). Mimosa saligna Labill., Nov. Holl. Plant. Specim. 2:86 t.235 (1807)."
Acacia cyclops,"Citation: G. Don, Gen. Syst. 2:404 (1832)."
Acacia cyperophylla,"Citation: G. Bentham, Fl. Aust. 2:400 (1864)."
Acacia dealbata,"Citation: H. F. Link, Enum. Plant. Hort. Berol. 2:445 (1822)."
Acacia decurrens,"Citation: C. L. Willdenow, Sp. Plant., ed. 4, 4:1072 (1806)."
Acacia dictyophleba,"Citation: F. Mueller, Fragm. Phyt. Aust. 3:128 (1863)."
Acacia dodonaeifolia,"Citation: C. Sprengel, Plant. Pugill. 2:92 (1815)."
Acacia paradoxa,"Citation: A.P. de Candolle, Cat. Pl. Hort. Bot. Monsp. 74 (1813)."
Acacia enterocarpa,"Citation: R. V. Smith, Vic. Nat. 73:171 (1957)."
Acacia erinacea,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:360 (1842)."
Acacia estrophiolata,"Citation: F. Mueller, S. Sci. Rec. 2 (7):150 (1882)."
Acacia farinosa,"Citation: J. Lindley in Mitch, Three Exped. E. Aust. 2:145 (1838)."
Acacia genistifolia,"Citation: H. F. Link, Enum. hort. Berol. alt. 2:442 (1822)."
Acacia georginae,"Citation: F. M. Bailey, Bot. Bull. 13:9 (1896)."
Acacia gilesiana,"Citation: F. Mueller, Chem. & Druggist, Aust. Suppl.5(51):26 (1882)."
Acacia gillii,"Citation: J. H. Maiden and W. F. Blakely, J.R. Soc. N.S..W. 60:184 (1927), A. retinodes var. gillii Maiden, Trans. R.Soc. S.Aust. 32:275 (1908),"
Acacia pycnantha,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:351 (1842)."
Acacia retinodes,"Citation: D. Schlechtendal, Linnaea 20:664 (1847)."
Acacia glandulicarpa,"Citation: F. M. Reader, Vic. Nat. 13:146 (1897)."
Acacia gracilifolia,"Citation: J. H. Maiden & W. F. Blakely, J. Proc. R. Soc. N.S.W. 60:191 t. 18 (1927)."
Acacia gunnii,"Citation: G. Bentham, Hook Lond. J. Bot. 1:332 (1842)."
Acacia hakeoides,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:354 (1842)."
Acacia halliana,"Citation: B. R. Maslin, Nuytsia 6:36-39 (1987)."
Acacia havilandii,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 53:182 (1920)."
Acacia helmsiana,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 53:174-175 (1920)."
Acacia hexaneura,"Citation: P. Lang & R. Cowan, J. Adelaide Bot. Gard. 13:115-118 (1990)"
Acacia imbricata,"Citation: F. Mueller, Fragm. Phyt. Aust. 1:5 (1858)."
Acacia lineata,"Citation: G. Don, Gen. Syst. 2:403 (1832)."
Acacia jennerae,"Citation: J. H. Maiden in Ewart & Davis, F1.North. Terr. 333 (1917)."
Acacia kempeana,"Citation: F. Mueller, Chem. & Druggist, Australasian Suppl. 5(51):26 (1882)."
Acacia leiophylla,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:351 (1842)."
Acacia loderi,"Citation: J. H. Maiden, J. Proc. R.Soc. N.S.W. 53:209 (1920)."
Acacia longifolia,"Citation: C. L. Willdenow, Sp.Pl. 4:1052 (1806). Mimosa longifolia Andr., Bot. Rep. t.207 (1802)."
Acacia maitlandii,"Citation: F. Mueller, Fragm. Phyt. Aust. 3:46 (1862)."
Acacia mearnsii,"Citation: E. de Wildeman, Plant. Bequert. 3:61 (1925)."
Acacia melanoxylon,"Citation: R. Brown in Ait.f., Hort. Kew, ed.2, 5:462 (1813)."
Acacia menzelii,"Citation: J. M. Black, Trans. R.Soc. S. Aust. 41:45 t. ll (1917)."
Acacia merrallii,"Citation: F. Mueller, Proc. Linn. Soc. N.S.W. Ser.2, 5:18(1890)."
Acacia minyura,"Citation: B. Randell, J. Adelaide Bot. Gard. 14:126 (1992)."
Acacia mitchellii,"Citation: G. Bentham, Hook. Lond. J.Bot. 1:387 (1842)."
Acacia montana,"Citation: G. Bentham, Hook. Lond. J. Bot. 1:360 (1842)."
Acacia murrayana,"Citation: G. Bentham, Fl. Aust. 2:370 (1864)"
Acacia mutabilis,Citation: B. Maslin (in press)
Acacia myrtifolia,"Citation: C. L. Willdenow, Sp. Pl. 4:1054 (1806); Mimosa myrtifolia Sm., Trans. Linn. Soc. Lond. 1:252 (1791)."
Acacia nematophylla,"Citation: F. Mueller in Bentham, Linnaea 26:612 (1855)."
Acacia notabilis,"Citation: F. Muell., Fragm. Phyt. Aust. 1:6 (1858)."
Acacia oswaldii,"Citation: F. Mueller, Pl. lndig. Colon. Vic. 2:27 (1863)."
Acacia oxycedrus,"Citation: A. P. de Candolle, Prodr. 2:453(1825)."
Acacia pachyacra,"Citation: J. H. Maiden & W. F. Blakely, J.R. Soc. W. Aust. 13:21 t.14 (1927)."
Acacia papyrocarpa,"Citation: G. Bentham, Fl. Aust. 2:338 (1864)."
Acacia pickardii,"Citation: M.D. Tindale, Telopen 1 (5):372 (1978)."
Acacia pinguifolia,"Citation: J. M. Black, Trans. R. Soc. S. Aust. 71:20 (1947)"
Acacia podalyriifolia,"Citation: G. Don, Gen. Syst. 2:405 (1832)."
Acacia praemorsa,"Citation: P. Lang & B. Maslin, J. Adelaide Bot. Gard. 13:118-123 (1990)."
Acacia prainii,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 51:238 (1917)."
Acacia pravifolia,"Citation: F. Mueller, Fragm. Phyt. Aust. 1:4 (1858)."
Acacia pruinocarpa,"Citation: M.D. Tindale, Contrib.N.S.W. Herb. 4:73 (1968)."
Acacia quornensis,"Citation: J. M. Black, Trans. R. Soc. S.Aust. 73:6 (1949)."
Acacia ramulosa,"Citation: W. V. Fitzgerald, J.W. Aust. Nat. Hist. Soc. 2(1):15 (1905)."
Acacia rhetinocarpa,"Citation: J. M. Black, Trans. R. Soc. S. Aust. 44:193 t.10(1920)."
Acacia rhigiophylla,"Citation: G. Bentham, Linnaea 26:611 (1855)."
Acacia rhodophloia,"Citation: B. R. Maslin, J. Adelaide Bot. Gard. 2:317-319(1980)."
Acacia rigens,"Citation: G. Don, Gen.Syst. 2:403 (1832)."
Acacia rivalis,"Citation: J. M. Black, Trans. R.Soc. S.Aust. 42:173 t.18 (1918)."
Acacia rupicola,"Citation: G. Bentham, Linnaea 26:610 (1855)."
Acacia stowardii,"Citation: J. H. Maiden, J. Proc. R. Soc. N.S.W. 51:269-271(1917)."
Acacia spilleriana,"Citation: J.E. Brown, Forest FI.S.Aust. 7th. Pt. t.31 (1886)."
Acacia spinescens,"Citation: G. Bentham, Hook. Lond. J. Bot. 1: 323 (1842)."
Acacia wattsiana,"Citation: G. Bentham, FI. Aust. 2:374 (1864)."
Acacia stricta,"Citation: C. L. Willdenow, Sp. Pl. 4:1052 (1806). Mimosa stricta Andr., Bot. Repos. 1 :t.53, col. (1799)."
Acacia strongylophylla,"Citation: F. Mueller, Fragm. Phyt. Aust. 8:226 (1874)."
Acacia suaveolens,"Citation: C. L. Willdenow, Sp. Pl. 4:1050 (1806). Mimosa suaveolens Sm., Trans. Linn. Soc. Lond. 1:253 (1791)"
Acacia olgana,"Citation: J. R. Maconochie, J. Adelaide Bot. Gard. 1 (3): 183  (1978)."
Acacia symonii,Citation: J. Adelaide Bot. Gard. 2:167-169 (1980).
Acacia tarculensis,"Citation: J. M. Black, Trans. R.Soc. S.Aust. 36:171 (1912)."
Acacia tenuior,"Citation: J. Proc. Roy. Soc. N.S.W. 53:186, t.10 (9-17) (1920)"
Acacia tenuissima,"Citation: F. Mueller, J. Proc. Linn. Soc. Bot. 3:122 (1859)."
Acacia tetragonophylla,"Citation: F. Mueller, Fragm. Phyt. Aust. 4:3 (1863)."
Acacia trineura,"Citation: F. Mueller, Pl. lndig, Colon. Vic. 2:25 (1863)."
Acacia validinervia,"Citation: J. H. Maiden & W. F. Blakely, J.R. Soc. W. Aust. 13:15 t.ll (1927)."
Acacia verniciflua,"Citation: A. Cunningham in Field, Geogr. Mem. N.S.W. 344 (1825)."
Acacia verticillata,"Citation: C. L. Willdenow, Sp. Pl. 4:1049 (1806). Mimosa verticillata L'Her., Sert. Angl. 30 (1789)."
Acacia victoriae,"Citation: G. Bentham in Mitch., J. Exped. Trop. Aust. 333(1848)."
Acacia wilhelmiana,"Citation: F. Mueller, Trans. Phil. Soc. Vic. 1:37 (1855), vide, A. B. Court, Muelleria 2 (3): 159 (1972)."
Aeschynomene,"Citation: L., Sp. Pl. 713 (1753)."
Aeschynomene indica,"Citation: L., Sp. Pl. 713 (1753)."
Alhagi,"Citation: [Alhagia] Gagnebin, Acta Helvet. 2:59 (1755)."
Alhagi maurorum,"Citation: Medikus, Vorles. Churpf. Phys.Oekon. Ges. 2:397 (1787)."
Aotus,"Citation: Smith, Ann. Bot.(Koenig & Sims) 1:504 (1805)."
Aotus subspinescens,"Citation: Crisp, comb. & stat. nov.*"
Astragalus,"Citation: L., Sp. Pl. 755 (1753)."
Astragalus hamosus,"Citation: L., Sp. Pl. 758 (1753)."
Astragalus sesameus,"Citation: L., Sp. Pl. 759 (1753)."
Lysiphyllum gilvum,"Citation: Pedley, Austrobaileya 1:33 (1977)."
Bossiaea cinerea,"Citation: R. Br. in W.T. Aiton, Hort. Kew. edn 2, 4:268 (1812)."
Bossiaea ensata,"Citation: Sieber ex DC., Prod. 2:117 (1825)."
Bossiaea prostrata,"Citation: R. Br., Curtis's Bot. Mag. 36:t. 1493 ( 1812)."
Bossiaea walkeri,"Citation: F. Muell., Fragm. Phyt. Aust. 2:120 (1861)."
Cytisus proliferus,"Citation: L.f., Suppl. 328 (1782)."
Crotalaria,"Citation: L., Sp. Pl. 714 (1753)."
Crotalaria cunninghamii,"Citation: R. Br. in Sturt, Exped. Centr. Aust., Bot. App. 71 (1849)."
Crotalaria eremaea,"Citation: F. Muell., Enum. Greg. Pl. 5 (1859)."
Crotalaria eremaea eremaea,"Citation: Ill. Cunningham et al. (1982) Plants of western New South Wales, p. 387."
Crotalaria eremaea strehlowii,"Citation: A. Lee, Telopea 1:338 (1978)."
Crotalaria medicaginea,"Citation: Lam., Encycl. 2:201 (1786)."
Crotalaria novae-hollandiae,"Citation: -hollandiae, DC., Prod. 2:127 (1825) subsp. lasiophylla (Benth.)A. Lee, Telopea 1:352 (1978)."
Crotalaria smithiana,"Citation: A. Lee, Telopea 1:344 (1978)."
Psoralea australasica,"Citation: Schldl., Linnaea 20:668 (1847)."
Psoralea patens,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:8 (1838)."
Psoralea cinerea,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:66 (1838). Comm_name: Annual verbine."
Psoralea graveolens,"Citation: Domin, Biblthca Bot. 89, 2:739 (1926)."
Psoralea adscendens,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:40 (1855)."
Psoralea pallida,"Citation: N. Burb., Telopea 2:127 (1980)."
Psoralea parva,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:40 (1855)."
Cytisus,"Citation: L., Sp. Pl. 739 (1753)."
Cytisus scoparius,"Citation: Link, Hort. bot. Berol. 2:241 (1822)."
Daviesia,"Citation: Smith, Trans. Linn. Soc. 4:220 (1798)."
Daviesia benthamii,"Citation: Meissner in Lehm., Pl. Preiss. 1:48 (1844)."
Daviesia genistifolia,"Citation: Cunn. ex Benth., Commentat. Ldgum. Gener. 11 (1837)."
Daviesia arenaria,"Citation: Crisp, J. Adelaide Bot. Gard. 2:163, fig. 1 (1980)."
Daviesia arthropoda,"Citation: F. Muell., Fragm. Phyt. Aust. 8:225 (18_74)."
Daviesia asperula,"Citation: Crisp, J. Adelaide Bot. Gard. 6:55 (1982)."
Daviesia asperula asperula,"Citation: Ill. Crisp (19152) d. Adelaide Bot. Gard. 6:fig. 1, A-C."
Daviesia asperula obliqua,"Citation: Crisp, J. Adelaide Bot. Gard. 6:58, fig. 1D-G (1982)."
Daviesia brevifolia,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:200 (1838). Comm_name: Leafless bitter-pea."
Daviesia benthamii humilis,"Citation: Crisp, J. Adelaide Bot. Gard. 6:60 (1982)."
Daviesia leptophylla,"Citation: * (see Note opposite), Cunn. ex Don, Gert. Hist. 2:125 (Oct. 1832)."
Daviesia pectinata,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral. 2:150 (1838)."
Daviesia stricta,"Citation: Crisp, J. Adelaide Bot. Gard. 6:63, fig. 4 (1982)."
Daviesia ulicifolia,"Citation: Andrews, Bot. Rep. 5:t. 304 (1803)."
Dillwynia,"Citation: Smith, Ann. Bot.(Koenig & Sims) 1:510 (1805)."
Dillwynia cinerascens,"Citation: R. Br. ex Sims, Curtis's Bot. Mag. 48:t. 2247 (1821)."
Dillwynia glaberrima,"Citation: Smith, Ann. Bot.(Koenig & Sims) 1:510 (1805)."
Dillwynia hispida,"Citation: Lindley in T.L. Mitchell, Three Exped. Int. eastern Austral 2:249 (1838)."
Dillwynia sericea,"Citation: Cunn. in B. Field, Geogr. Mem. N.S. W. 347 (1825)."
Dillwynia uncinata,"Citation: J. Black, Fl. S. Aust. 303 (1924)."
Dipogon,"Citation: Liebm., Ind. Sem. Hort. Acad. Hauniensi 27 (1854), Annls Sci. nat. 4, 2:374 (1854)."
Dipogon lignosus,"Citation: Verdc., Taxon 17:537 (1968)."
Erythrina,"Citation: L., Sp. Pl. 706 (1753)."
Erythrina vespertilio,"Citation: Benth. in T.L. Mitchell, J. Trop. Austral. 218 (1848)."
Eutaxia,"Citation: R. Br., in W.T. Aiton, Hort. Kew. edn 2, 3:16 (1811)."
Eutaxia microphylla,"Citation: J. Black, Fl. S. Aust. 297 (1924)."
Eutaxia microphylla diffusa,"Citation: Court, Victorian Nat. 73:173 (1957)."
Gastrolobium,"Citation: R. Br., in W.T. Aiton, Hort. Kew. edn 2, 3:16 (1811)."
Genista,"Citation: L., Sp. Pl. 709 (1753)."
Genista linifolia,"Citation: L., Sp. Pl. edn 2, 2:997 (1763)."
Genista monspessulana,"Author:(L.)L. Johnson,; Citation: Contr. N.S. W. natn. Herb. 3:98 (1962)."
Glycine,"Citation: L., Sp. Pl. 753 (1753)."
Glycine canescens,"Citation: F.J. Herm., Tech. Bull. U.S. Dept Agric. 1268:19 (1962)."
Glycine latrobeana,"Citation: Benth., FI. Aust. 2:244 (1864)."
Glycine tabacina,"Citation: Benth., Fl. Aust. 2:244 (1864)."
Glycine clandestina,"Citation: Wendl., Bot. Beob. 54 (1798)."
Glycine clandestina sericea,"Citation: Benth., Fl. Aust. 2:244 (1864)."
Glycyrrhiza,"Citation: L., Sp. Pl. 741 (1753)."
Glycyrrhiza acanthocarpa,"Citation: J. Black, Trans. R. Soc. S. Aust. 43:351 (1919)."
Glycyrrhiza glabra,"Citation: L., Sp. Pl. 742 (1753)."
Gompholobium,"Citation: Smith, Trans. Linn. Soc. 4:20 (1798)."
Gompholobium ecostatum,"Citation: Kuchel in H. Eichler, Suppl. 182 (1965)."
Goodia,"Citation: Salisb., Parad. Lond. t. 41 (1806)."
Goodia lotifolia,"Citation: Salisb., Parad. Lond. t. 41 (1806)."
Goodia lotifolia lotifolia,Citation:
Goodia lotifolia pubescens,"Citation: H.B. Williamson in Ewart, Fl. Vict. 658 (1931)."
Hardenbergia,"Citation: Benth., in Endl., Enum. Pl. H gel 40 (1837)."
Hardenbergia violacea,"Citation: Stearn, J. Bot. Lond. 78:70 (1940)."
Hovea,"Citation: R. Br., in W.T. Aiton, Hort. Kew. edn 2, 4:275 (1812)."
Hovea heterophylla,"Citation: Cunn. ex Hook. f., Fl. Tasm. 1:93 (1856)."
Hovea longifolia,"Citation: R. Br. in W.T. Aiton, Hort. Kew. edn 2, 4:275 (1812) var. longifolia."
Indigofera,"Citation: L., Sp. Pl. 751 (1753)."
Indigofera australis,Citation: Willd. Sp. Pl. 3:1235 (1802) var. australis.
Indigofera basedowii,"Citation: Pritzel, Reprium nov. Spec. Regni veg. 15:356 (1918)."
Indigofera colutea,"Citation: Merr., Phillipp. J. Sci.(Bot.) 19:335 (1921)."
Indigofera leucotricha,"Citation: E. Pritzel, Reprium nov. Spec. Regni veg. 15:357 (1918)."
Indigofera georgei,"Citation: E. Pritzel in DieIs & E. Pritzel, Bot. Jb. 35:268 (1904)."
Indigofera brevidens,"Citation: Benth. in T.L. Mitchell, J. Trop. Austral. 385 (1848) var. brevidens."
Indigofera uncinata,"Citation: Ewart & Kerr, Proc. R. Soc. Vic. 39:3 (1927)."
Indigofera linifolia,"Citation: Retz., Obs. Bot. 4:29 (1786/7)."
Indigofera linnaei,"Citation: Ali, Bot. Notis. 111:549 (1958)."
Isotropis,"Citation: Benth., in Endl., Enum. Pl. H gel 28 (1837)."
Isotropis centralis,"Citation: Maconochie, J. Adelaide Bot. Gard. 2:323, fig. 1 (1980)."
Isotropis wheeleri,"Citation: F. Muell. ex Benth., Fl. Aust. 2:40 (1864)."
Kennedia,"Citation: Vent., Jard. Malm. 2:t. 104 (1805)."
Kennedia nigricans,"Citation: Lindley, Edward's Bot. Reg. 20:t. 1715 (1835)."
Kennedia prorepens,"Citation: F. Muell., Syst. Census Aust. Pl. 1:41 (1882)."
Kennedia prostrata,"Citation: R. Br. in W.T. Alton, Hort. Kew, edn 2, 4:299 (1812)."
Lathyrus,"Citation: L., Sp. Pl. 729 (1753)."
Lathyrus latifolius,"Citation: L., Sp. Pl. 733 (1753)."
Lathyrus sphaericus,"Citation: Retz., Obs. Bot. 3:39 (1783)."
Lathyrus tingitanus,"Citation: L., Sp. Pl. 732 (1753)."
Leptosema,"Citation: Benth., Commentat. Legum. Gener. 20 (1837)."
Leptosema chambersii,"Citation: F. Muell., Rept Burdek. Exped. 40 (1860)."
Sutherlandia frutescens,"Citation: R. Br. in W.T. Aiton, Hort. Kew. edn 2, 4:327 (1812)."
Lotus,"Citation: L., Sp. Pl. 773 (1753)."
Lotus angustissimus,"Citation: L., Sp. Pl. 774 (1753)."
Lotus australis,"Citation: Andrews, Bot. Rep. 10:t. 624 (1811) var. australis."
Lotus cruentus,"Citation: Court, Victorian Nat. 73:174 (1957)."
Lotus subbiflorus,"Citation: Lagasca, Varied. Ci. 2, 4:213 (1805)."
Lotus uliginosus,"Citation: Schkuhr, Handb. 2:412 (1796)."
Lupinus,"Citation: L., Sp. Pl. 721 (1753)."
Lupinus cosentinii,"Citation: Guss., Fl. Siculae. Prod. 2:398 (1828)."
Medicago,"Citation: L., Sp. Pl. 778 (1753)."
Medicago arabica,"Citation: Hudson, Fl. Angl. 288 (1762)."
Medicago polymorpha,"Citation: L., Sp. Pl. 779 (1753) var. polymorpha."
Medicago littoralis,"Citation: Rohde ex Lois., Not. Pl. Fr. 118 (1810)."
Medicago rugosa,"Citation: Desr. in Lam., Encycl. 3:632 (1792)."
Medicago laciniata,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Medicago lupulina,"Citation: L., Sp. Pl. 779 (1753)."
Medicago minima,"Citation: Bartal., Cat. Plants Siena 61 (1776) var. minima."
Medicago orbicularis,"Citation: Bartal., Cat. Plants Siena 60 (1776)."
Medicago praecox,"Citation: DC., Cat. Pl. Hort. Bot. Monsp. 123 ( 1813)."
Medicago sativa,"Citation: L., Sp. Pl. 778 (1753)."
Medicago scutellata,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Medicago truncatula,"Citation: Gaertner, Fruct. 2:350 (1791)."
Melilotus,"Citation: Miller, Gard. Dict. edn 4 (1754)."
Melilotus alba,"Citation: Medikus, Vorles. ChurpfPhys.Oekon. Ges. 2:382 (1787)."
Melilotus indica,"Citation: All., Fl. Ped. 1:308 (1785)."
Melilotus officinalis,"Citation: Pallas, Reise Prov. Russ. Reichs. 3:537 (1776)."
Melilotus messanensis,"Citation: ,, All., Fl. Ped. 1:309 (1785)."
Muelleranthus,"Citation: Hutch., Gen. Fl. Pl. 1:361 (1964)."
Muelleranthus stipularis,"Citation: A. Lee, Contr. N.S.W. natn. Herb. 4:419 (1973)."
Neptunia,"Citation: Lout., Fl. Cochinch. 2:653 (1790)."
Neptunia dimorphantha,"Citation: Domin, Biblthca Bot. 89:802 (1926)."
Albizia lophantha,"Citation: Benth., London J. Bot. 3:86 (1844)."
Parkinsonia,"Citation: L., Sp. Pl. 375 (1753)."
Parkinsonia aculeata,"Citation: L., Sp. Pl. 375 (1753)."
Petalostylis,"Citation: R. Br., in Sturt, Exped. Centr. Aust., Bot. App. 79 (1849)."
Petalostylis cassioides,"Citation: Symon in Jessop, Fl. Cent. Aust. 105 (1981)."
Petalostylis labicheoides,"Citation: R. Br. in Sturt, Exped. Centr. Aust., Bot. App. 79 (1849)."
Phyllota,"Citation: Benth., in Endl., Enum. Pl. H gel 33 (1837)."
Phyllota pleurandroides,"Citation: F. Muell., Trans. Phil. Soc. Vic. 1:38 (1855)."
Phyllota remota,"Citation: J.H. Willis, Victorian Nat. 73:191 (1957)."
Platylobium,"Citation: Smith, Sp. Bot. New Holl. 1:7 (1793)."
Platylobium obtusangulum,"Citation: Hook., Curtis's Bot. Mag. 60:t. 3258 (1853)."
Prosopis,"Citation: L., Syst. Nat. edn 12, 2:282 (1767)."
Psoralea,"Citation: L., Sp. Pl. 762 (1753)."
Psoralea pinnata,"Citation: L., Sp. Pl. 762 (1753)."
Pultenaea,"Citation: Smith, Sp. Bot. New Holl. 3:35 (1794)."
Pultenaea acerosa,"Citation: R. Br. ex Benth., Fl. Aust. 2:131 (1864)."
