family,taxa,spauth,infraspecauth,species3author,thousandseedweight,materialweigheddesc,seedweightnotes,weightprecision,refdesc,refshort
LEGUMINOSAE-MIMOSOIDEAE,Acacia acuminata,Benth.,,,18.4,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",1,"FAO. 1975. Forest Tree Seed Directory. Rome, Food and Agriculture Organisation of the United Nations.","(FAO, 1975)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia acuminata,Benth.,,,12.2972,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adoxa var. adoxa,Pedley,,,7.3148,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adsurgens,Maiden & Blakely,,,7.169,Diaspore,SD=1.249; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80°C for 24 hours prior to weighing.,3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adsurgens,Maiden & Blakely,,,7.8184,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adunca,A.Cunn. ex G.Don,,,56.2,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adunca,A.Cunn. ex G.Don,,,40.9884,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adunca,A.Cunn. ex G.Don,,,43.576,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia adunca,A.Cunn. ex G.Don,,,50.7992,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aestivalis,E.Pritz.,,,83.8092,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aestivalis,E.Pritz.,,,138.388,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia alata,R.Br.,,,7.3511,Seed,,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia alata var. alata,R.Br.,,,11.2092,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia alata var. platyptera,R.Br.,(Lindl.) Meisn.,,19.6516,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia alcockii,Maslin & Whibley,,,18.1524,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia alpina,F.Muell.,,,13.2432,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia alpina,F.Muell.,,,17.604,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia amanda,G.J.Leach,,,44.9375369,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia amblygona,Benth.,,,8.3852,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia amblygona,Benth.,,,11.6228,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia amblyophylla,F.Muell.,,,78.2244,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ammobia,Maconochie,,,7.401,Diaspore,SD=0.881; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80°C for 24 hours prior to weighing.,3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ammobia,Maconochie,,,9,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",0,"von Carlowitz, P.G. 1991. Multipurpose trees and shrubs: sources of seeds and inoculants. ICRAF, Nairobi. USDA 25.","(von Carlowitz, 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia amoena,H.L.Wendl.,,,5.57,Seed,air dry,2,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia amoena,Wendl.,,,14.1916,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ampliata,R.S.Cowan & Maslin,,,20.7956,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ampliceps,Maslin,,,26.5,Seed,"Mid-point of 1000 seed weight range 26-27g; seed mc not stated, but weight is likely to refer to air-dry seed.",2,"von Carlowitz, P.G. 1991. Multipurpose trees and shrubs: sources of seeds and inoculants. ICRAF, Nairobi. USDA 25.","(von Carlowitz, 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ampliceps,Maslin,,,19.2448,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia anaticeps,Tindale,,,487.28,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia anceps,DC.,,,23.2308,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ancistrocarpa,Maiden & Blakely,,,48,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"von Carlowitz, P.G. 1991. Multipurpose trees and shrubs: sources of seeds and inoculants. ICRAF, Nairobi. USDA 25.","(von Carlowitz, 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ancistrocarpa,Maiden & Blakeley,,,24.2388,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ancistrocarpa,Maiden & Blakeley,,,37.78,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ancistrophylla var. perarcuata,C.R.P.Andrews,(R.S.Cowan) & Maslin,,5.4152,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,8.509,Diaspore,SD=3.238; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80°C for 24 hours prior to weighing.,3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,11.4,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,11.82,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"FAO. 1975. Forest Tree Seed Directory. Rome, Food and Agriculture Organisation of the United Nations.","(FAO, 1975)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,14.6,Embryo+endosperm,Dry weight.,1,"Ganade, G. and Westoby, M. 1999. Seed mass and the evolution of early-seedling etiolation. The American Naturalist, 154:469-480.","(Ganade & Westoby, 1999)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,17,Seed,"Mid-point of 1000 seed weight range 10-24g; seed mc not stated, but weight is likely to refer to air-dry seed.",2,"von Carlowitz, P.G. 1991. Multipurpose trees and shrubs: sources of seeds and inoculants. ICRAF, Nairobi. USDA 25.","(von Carlowitz, 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,13.6824,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aneura,F.Muell. ex Benth.,,,11.6964,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia anfractuosa,Maslin,,,3.7552,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia anthochaera,Maslin,,,14.9732,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aphylla,Maslin,,,16.248,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aphylla,Maslin,,,17.9132,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprepta,Pedley,,,5.8828,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,2.7782083,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,4.0008,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,3.6128,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,3.6066667,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,3.3692,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,1.7553846,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,1.5115385,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,1.2772727,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aprica,Maslin & A.R.Chapm.,,,3.0066667,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aptaneura,Maslin & J.E.Reid,,,16.45996,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia araneosa,Whibley,,,15.59604,Seed,*Seed weights reported may include minor covering structures,5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia argyrophylla,Hook.,,,58.7632,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia arida,Benth.,,,4.6892,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ascendens,Maslin,,,5.6156,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia asepala,Maslin,,,4.6832,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia asparagoides,A.Cunn.,,,7.318,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aspera,Lindl.,,,8.2336,Seed,,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aspera,Lindl.,,,17.9,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aspera subsp. parviceps,Lindl.,N.G.Walsh,,14.514,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia assimilis,S.Moore,,,2.302,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia assimilis subsp. atroviridis,S.Moore,R.S.Cowan & Maslin,,2.3264,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia assimilis subsp. atroviridis,S.Moore,R.S.Cowan & Maslin,,3.4156,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ataxiphylla subsp. magna,Benth.,Maslin,,31.0371,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ataxiphylla subsp. magna,Benth.,Maslin,,33.4689,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ataxiphylla subsp. magna,Benth.,Maslin,,36.5152,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ataxiphylla subsp. magna,Benth.,Maslin,,28.276,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia atkinsiana,Maslin,,,10.2324,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia atopa,Pedley,,,11.58,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia attenuata,Maiden & Blakeley,,,28.2388,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,,12.05,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"FAO. 1975. Forest Tree Seed Directory. Rome, Food and Agriculture Organisation of the United Nations.","(FAO, 1975)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,,13,Seed,oven dry,0,"Grubb, P.J., Metcalfe, D.J., Grubb, E.A.A. and Jones, G.D. 1998. Nitrogen-Richness and Protection of Seeds in Australian Tropical Rainforest: A Test of Plant Defence Theory. Oikos, 82:467-482.","(Grubb et al., 1998)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,,16.3433,Seed,,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,,23.5,Seed,"Mid-point of 1000 seed weight range 14-33g; seed mc not stated, but weight is likely to refer to air-dry seed.",2,"von Carlowitz, P.G. 1991. Multipurpose trees and shrubs: sources of seeds and inoculants. ICRAF, Nairobi. USDA 25.","(von Carlowitz, 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,,29.9,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aulacocarpa,A.Cunn. ex Benth.,,,16.7612,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auratiflora,R.S.Cowan & Maslin,,,4.905,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia aureocrinita,B.J.Conn & Tame,,,28.4136,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,,11.2,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,,20,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",1,"Barclay, A.S. and Earle, F.R. 1974. Chemical analyses of seeds III: oil and protein content of 1253 species. Economic Botany, 28:178-236.","(Barclay & Earle, 1974)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,,20.17,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",2,"FAO. 1975. Forest Tree Seed Directory. Rome, Food and Agriculture Organisation of the United Nations.","(FAO, 1975)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,,22,Seed,"Mid-point of 1000 seed weight range 11-33g; seed mc not stated, but weight is likely to refer to air-dry seed.",2,"von Carlowitz, P.G. 1991. Multipurpose trees and shrubs: sources of seeds and inoculants. ICRAF, Nairobi. USDA 25.","(von Carlowitz, 1991)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia auriculiformis,A.Cunn. ex Benth.,,,25,Seed,"Seed mc not stated, but weight is likely to refer to air-dry seed.",0,"Murali, K.S. 1997. Patterns of seed size, germination and seed viability of tropical tree species in southern India. Biotropica, 29:271-279.","(Murali, 1997)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ausfeldii,Regel,,,11.676,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia awestoniana,R.S.Cowan & Maslin,,,7.5847,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia awestoniana,R.S.Cowan & Maslin,,,10.188,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia axillaris,Benth.,,,6.3744,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia ayersiana,Maconochie,,,9.6076,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia baeuerlenii,Maiden & R.T.Baker,,,24.45,Seed,*Seed weights reported may include minor covering structures,2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia baeuerlenii,Maiden & R.T.Baker,,,30.652,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia bakeri,Maiden,,,39.7932,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia bancroftiorum,Maiden,,,58.914,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia barattensis,J.M.Black,,,7.998,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia barrettiorum,Lewington & Maslin,,,4.457561,Seed,*Seed weights reported may include minor covering structures,6,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia barringtonensis,Tindale,,,11.812,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia baueri subsp. aspera,Benth.,(Maiden & Betche) Pedley,,13.5827027,Seed,*Seed weights reported may include minor covering structures,7,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia beadleana,R.H.Jones & J.J.Bruhl,,,13.884,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia beauverdiana,Ewart & Sharman,,,2.8772,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia beckleri,Tindale,,,17.8,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia beckleri subsp. beckleri,Tindale,,,18.1468,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia betchei,Maiden & Blakely,,,32.314,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia binervata,DC.,,,16.8221,Seed,,3,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia binervata,DC.,,,19,Seed,Weight refers to seed dry mass.,1,"O'Dowd, D.J. and Gill, A.M. 1986. Seed dispersal syndromes in Australian Acacia. In: Seed Dispersal (Ed. by D.R.Murray), pp 87-123. Academic Press, London.","(O'Dowd & Gill, 1986)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia binervata,DC.,,,18.788,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia binervia,(J.C.Wendl.) J.F.Macbr.,,,10.248,Seed,*Seed weights reported may include minor covering structures,3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia bivenosa,DC.,,,8.4332,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
LEGUMINOSAE-MIMOSOIDEAE,Acacia bivenosa,DC.,,,26.6608,Seed,*Seed weights reported may include minor covering structures,4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
