Species,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. sideroxylon,Elv,280,370,32.2,0.253,932,4.61,1.92,2.7,0.5,27.32,31.01,26,1200.8,1180.42,22.93,25.359,64.29,71.1,499.5,1801
E. sideroxylon,Elv,280,370,32.3,0.253,932,4.6,1.91,2.7,0.5,27.32,30.98,26,1200.78,1180.39,22.934,25.357,64.31,71.11,499.5,1801
E. sideroxylon,Elv,280,370,32.1,0.251,932,4.58,1.92,2.7,0.5,27.31,30.99,26,1200.83,1180.57,22.938,25.349,64.35,71.11,499.4,1802
E. sideroxylon,Elv,280,360,12.7,0.257,184,4.17,1.7,2.4,0.5,30.67,32.43,30.12,279.91,273.28,29.252,31.195,67.6,72.09,499.6,1799
E. sideroxylon,Elv,280,360,12.8,0.257,183,4.17,1.7,2.4,0.5,30.67,32.43,30.12,279.92,273.24,29.252,31.195,67.6,72.09,499.5,1799
E. sideroxylon,Elv,280,360,12.9,0.257,183,4.18,1.7,2.4,0.5,30.67,32.44,30.12,279.97,273.25,29.255,31.201,67.61,72.1,499.5,1799
E. sideroxylon,Elv,280,360,12.9,0.258,182,4.18,1.7,2.4,0.5,30.67,32.43,30.12,279.97,273.23,29.262,31.208,67.61,72.11,499.5,1799
E. sideroxylon,Elv,280,360,12.7,0.258,183,4.19,1.7,2.4,0.5,30.67,32.44,30.12,279.88,273.21,29.264,31.213,67.61,72.11,499.5,1799
E. sideroxylon,Elv,280,360,12.9,0.257,182,4.18,1.7,2.4,0.5,30.67,32.44,30.12,279.9,273.17,29.269,31.215,67.62,72.12,499.5,1799
E. sideroxylon,Elv,280,360,12.9,0.256,182,4.17,1.7,2.4,0.5,30.67,32.44,30.12,279.94,273.17,29.272,31.216,67.63,72.12,499.5,1799
E. sideroxylon,Elv,280,360,12.9,0.256,182,4.18,1.71,2.4,0.5,30.68,32.46,30.12,279.96,273.2,29.277,31.222,67.64,72.13,499.5,1799
E. sideroxylon,Elv,280,360,12.7,0.257,183,4.18,1.7,2.4,0.5,30.68,32.45,30.12,279.9,273.25,29.279,31.225,67.64,72.14,499.5,1799
E. sideroxylon,Elv,280,360,12.8,0.257,183,4.19,1.7,2.4,0.5,30.68,32.45,30.12,279.91,273.21,29.281,31.229,67.65,72.15,499.6,1799
E. sideroxylon,Elv,280,360,31.3,0.285,969,4.4,1.64,2.4,0.5,26.96,29.54,26.02,1201.05,1183.52,22.509,24.571,64.44,70.34,499.4,1800
E. sideroxylon,Elv,280,360,31.4,0.285,969,4.4,1.64,2.4,0.5,26.96,29.53,26.02,1201.07,1183.5,22.507,24.57,64.43,70.34,499.4,1800
E. sideroxylon,Elv,280,360,31.4,0.285,968,4.4,1.64,2.4,0.5,26.96,29.54,26.02,1201.1,1183.5,22.508,24.569,64.43,70.33,499.5,1800
E. sideroxylon,Elv,280,360,31.6,0.285,967,4.41,1.64,2.4,0.5,26.96,29.55,26.02,1201.09,1183.41,22.5,24.568,64.41,70.33,499.4,1800
E. sideroxylon,Elv,280,360,31.4,0.286,968,4.42,1.64,2.4,0.5,26.96,29.54,26.02,1201.18,1183.56,22.491,24.562,64.39,70.32,499.5,1800
E. sideroxylon,Elv,280,360,31.3,0.286,969,4.42,1.64,2.4,0.5,26.96,29.54,26.02,1201.16,1183.59,22.49,24.561,64.39,70.32,499.5,1800
E. sideroxylon,Elv,280,360,31.4,0.285,968,4.41,1.64,2.4,0.5,26.96,29.55,26.02,1201.16,1183.57,22.49,24.559,64.39,70.31,499.5,1800
E. sideroxylon,Elv,280,360,31.4,0.285,968,4.41,1.64,2.4,0.5,26.96,29.56,26.02,1201.09,1183.52,22.49,24.558,64.39,70.31,499.5,1800
E. sideroxylon,Elv,280,360,31.5,0.284,967,4.41,1.64,2.4,0.5,26.96,29.56,26.02,1201.15,1183.48,22.489,24.557,64.39,70.31,499.5,1800
E. sideroxylon,Elv,280,360,31.3,0.285,969,4.42,1.64,2.4,0.5,26.96,29.55,26.02,1201.02,1183.47,22.484,24.554,64.37,70.3,499.4,1800
E. sideroxylon,Elv,280,386,21.9,0.905,216,9.2,1.23,2.6,0.5,30.64,31.73,30.12,279.21,266.58,29.298,33.917,67.86,78.56,500.5,1801
E. sideroxylon,Elv,280,386,21.8,0.905,216,9.2,1.23,2.6,0.5,30.64,31.73,30.12,279.2,266.58,29.295,33.914,67.86,78.56,500.5,1801
E. sideroxylon,Elv,280,386,21.8,0.907,216,9.2,1.23,2.6,0.5,30.64,31.72,30.12,279.21,266.63,29.294,33.913,67.86,78.56,500.5,1801
E. sideroxylon,Elv,280,386,21.8,0.907,216,9.21,1.23,2.6,0.5,30.64,31.72,30.12,279.21,266.61,29.291,33.911,67.85,78.56,500.5,1801
E. sideroxylon,Elv,280,386,21.7,0.907,216,9.2,1.23,2.6,0.5,30.64,31.72,30.12,279.19,266.62,29.289,33.908,67.85,78.55,500.5,1801
E. sideroxylon,Elv,280,386,21.8,0.906,216,9.2,1.23,2.6,0.5,30.64,31.72,30.12,279.18,266.56,29.289,33.906,67.85,78.55,500.4,1801
E. sideroxylon,Elv,280,386,21.9,0.905,215,9.2,1.23,2.6,0.5,30.64,31.72,30.12,279.21,266.56,29.289,33.905,67.85,78.55,500.4,1801
E. sideroxylon,Elv,280,386,22,0.902,215,9.19,1.23,2.6,0.5,30.64,31.73,30.12,279.25,266.55,29.288,33.901,67.85,78.54,500.4,1801
E. sideroxylon,Elv,280,386,21.9,0.902,215,9.19,1.23,2.6,0.5,30.64,31.73,30.12,279.24,266.6,29.287,33.9,67.85,78.54,500.4,1801
E. sideroxylon,Elv,280,386,21.7,0.901,216,9.18,1.23,2.6,0.5,30.63,31.73,30.12,279.16,266.62,29.284,33.893,67.85,78.53,500.4,1801
E. sideroxylon,Elv,280,386,31.2,0.0748,480,1.38,1.85,2.6,0.5,27.14,30.83,26.01,1199.5,1182.46,24.868,25.566,70.48,72.45,500.4,1800
E. sideroxylon,Elv,280,386,31,0.0751,486,1.38,1.85,2.6,0.5,27.14,30.83,26.02,1199.47,1182.51,24.866,25.567,70.47,72.45,500.4,1800
E. sideroxylon,Elv,280,386,30.9,0.0751,488,1.39,1.86,2.6,0.5,27.14,30.85,26.02,1199.46,1182.55,24.864,25.566,70.46,72.45,500.4,1800
E. sideroxylon,Elv,280,386,30.9,0.0751,487,1.39,1.86,2.6,0.5,27.14,30.85,26.02,1199.46,1182.54,24.863,25.565,70.46,72.45,500.4,1800
E. sideroxylon,Elv,280,386,31.1,0.0748,482,1.38,1.86,2.6,0.5,27.14,30.85,26.02,1199.51,1182.51,24.865,25.565,70.46,72.45,500.4,1800
E. sideroxylon,Elv,280,386,31.2,0.0745,476,1.37,1.85,2.6,0.5,27.14,30.84,26.02,1199.55,1182.47,24.866,25.562,70.47,72.44,500.3,1800
E. sideroxylon,Elv,280,386,30.9,0.0749,486,1.38,1.85,2.6,0.5,27.14,30.83,26.02,1199.45,1182.54,24.864,25.562,70.46,72.44,500.4,1800
E. sideroxylon,Elv,280,386,30.9,0.0749,486,1.38,1.86,2.6,0.5,27.14,30.84,26.02,1199.44,1182.54,24.864,25.563,70.46,72.44,500.4,1800
E. sideroxylon,Elv,280,386,30.8,0.075,489,1.38,1.86,2.6,0.5,27.14,30.84,26.02,1199.47,1182.6,24.863,25.564,70.45,72.44,500.4,1800
E. sideroxylon,Elv,280,386,31,0.0751,486,1.39,1.86,2.6,0.5,27.14,30.85,26.02,1199.61,1182.64,24.862,25.563,70.44,72.43,500.4,1800
E. sideroxylon,Elv,280,355,17.3,0.336,178,7,2.22,1.9,0.5,30.33,30.97,30.12,280.84,273.55,19.839,22.436,46.55,52.64,500.4,1799
E. sideroxylon,Elv,280,355,17.2,0.337,178,7.01,2.22,1.9,0.5,30.33,30.96,30.12,280.79,273.53,19.841,22.442,46.56,52.66,500.4,1799
E. sideroxylon,Elv,280,355,17.3,0.337,178,7.01,2.21,1.9,0.5,30.33,30.96,30.12,280.79,273.5,19.846,22.447,46.57,52.67,500.4,1799
E. sideroxylon,Elv,280,355,17.4,0.337,177,7,2.21,1.9,0.5,30.34,30.96,30.12,280.83,273.52,19.854,22.453,46.58,52.68,500.4,1799
E. sideroxylon,Elv,280,355,17.3,0.337,178,7,2.21,1.9,0.5,30.34,30.96,30.12,280.86,273.56,19.859,22.458,46.59,52.69,500.5,1799
E. sideroxylon,Elv,280,355,17.3,0.337,178,7.01,2.21,1.9,0.5,30.34,30.96,30.12,280.85,273.57,19.862,22.462,46.6,52.7,500.5,1799
E. sideroxylon,Elv,280,355,17.1,0.337,179,7,2.21,1.9,0.5,30.34,30.96,30.12,280.79,273.59,19.867,22.465,46.61,52.7,500.5,1799
E. sideroxylon,Elv,280,355,17,0.337,179,7.01,2.21,1.9,0.5,30.34,30.98,30.12,280.78,273.6,19.885,22.488,46.65,52.75,500.4,1799
E. sideroxylon,Elv,280,355,17.1,0.338,179,7.02,2.21,1.9,0.5,30.34,30.98,30.12,280.76,273.55,19.9,22.505,46.68,52.79,500.4,1799
E. sideroxylon,Elv,280,355,17.1,0.338,179,7.01,2.21,1.9,0.5,30.34,30.98,30.12,280.76,273.53,19.905,22.508,46.69,52.79,500.4,1799
E. sideroxylon,Elv,280,355,40,0.081,355,1.55,1.92,1.9,0.5,27.33,31.4,26.01,1198.74,1182.84,25.881,26.455,72.26,73.86,500.4,1799
E. sideroxylon,Elv,280,355,40,0.08,348,1.53,1.92,1.9,0.5,27.33,31.41,26.02,1199.84,1183.98,25.945,26.512,72.41,73.99,500.4,1799
E. sideroxylon,Elv,280,355,40.1,0.0802,348,1.54,1.92,1.9,0.5,27.33,31.42,26.02,1199.82,1183.92,25.948,26.516,72.42,74,500.4,1799
E. sideroxylon,Elv,280,355,40.2,0.0802,345,1.54,1.92,1.9,0.5,27.33,31.42,26.02,1199.8,1183.86,25.951,26.52,72.42,74.01,500.4,1799
E. sideroxylon,Elv,280,355,40,0.0808,355,1.54,1.91,1.9,0.5,27.33,31.4,26.02,1199.76,1183.9,25.955,26.525,72.43,74.02,500.4,1799
E. sideroxylon,Elv,280,355,40.1,0.0806,352,1.55,1.92,1.9,0.5,27.33,31.45,26.01,1199.76,1183.85,25.96,26.534,72.45,74.05,500.3,1799
E. sideroxylon,Elv,280,355,40.2,0.0805,348,1.54,1.92,1.9,0.5,27.34,31.43,26.02,1199.8,1183.85,25.966,26.537,72.46,74.05,500.3,1799
E. sideroxylon,Elv,280,355,40.2,0.0809,352,1.55,1.91,1.9,0.5,27.34,31.41,26.02,1199.81,1183.86,25.97,26.541,72.46,74.06,500.4,1799
E. sideroxylon,Elv,280,355,40.2,0.081,353,1.54,1.91,1.9,0.5,27.34,31.39,26.02,1199.93,1183.98,25.976,26.547,72.48,74.07,500.4,1799
E. sideroxylon,Elv,280,355,40.1,0.0811,356,1.55,1.91,1.9,0.5,27.34,31.42,26.02,1199.93,1184.01,25.984,26.557,72.5,74.1,500.4,1799
E. sideroxylon,Amb,400,168,15.5,0.177,238,2.57,1.51,2.7,0.5,26.51,28.25,26.02,399.98,391.05,21.464,22.818,63.38,67.38,500.5,1801
E. sideroxylon,Amb,400,168,15.5,0.178,238,2.57,1.51,2.7,0.5,26.51,28.24,26.02,399.97,391.06,21.461,22.816,63.38,67.38,500.4,1800
E. sideroxylon,Amb,400,168,15.6,0.178,237,2.57,1.5,2.7,0.5,26.5,28.23,26.02,399.97,391.01,21.454,22.807,63.37,67.37,500.5,1800
E. sideroxylon,Amb,400,168,15.5,0.178,239,2.57,1.5,2.7,0.5,26.5,28.21,26.02,399.95,391.05,21.444,22.8,63.35,67.36,500.5,1800
E. sideroxylon,Amb,400,168,15.4,0.179,240,2.57,1.5,2.7,0.5,26.5,28.2,26.02,399.93,391.1,21.435,22.79,63.34,67.34,500.5,1800
E. sideroxylon,Amb,400,168,15.3,0.179,241,2.57,1.5,2.7,0.5,26.49,28.18,26.02,399.92,391.11,21.421,22.778,63.32,67.33,500.5,1800
E. sideroxylon,Amb,400,168,15.2,0.18,243,2.58,1.49,2.7,0.5,26.48,28.15,26.02,399.86,391.11,21.38,22.742,63.25,67.27,500.4,1800
E. sideroxylon,Amb,400,168,15.2,0.181,243,2.59,1.49,2.7,0.5,26.48,28.14,26.02,399.88,391.12,21.364,22.729,63.21,67.25,500.4,1800
E. sideroxylon,Amb,400,168,15.3,0.181,243,2.59,1.49,2.7,0.5,26.47,28.12,26.02,399.9,391.11,21.349,22.715,63.17,67.21,500.5,1801
E. sideroxylon,Amb,400,168,15.3,0.182,243,2.59,1.49,2.7,0.5,26.47,28.1,26.02,399.91,391.11,21.326,22.693,63.12,67.17,500.5,1801
E. sideroxylon,Amb,400,168,26.7,0.16,882,2.35,1.52,2.8,0.5,26.39,27.77,26.03,1199.81,1183.29,20.374,21.661,60.52,64.34,500.5,1799
E. sideroxylon,Amb,400,168,26.8,0.16,880,2.35,1.52,2.8,0.5,26.39,27.77,26.03,1199.82,1183.26,20.381,21.664,60.54,64.35,500.4,1800
E. sideroxylon,Amb,400,168,26.9,0.16,880,2.35,1.52,2.8,0.5,26.4,27.77,26.03,1199.82,1183.23,20.383,21.668,60.55,64.36,500.4,1800
E. sideroxylon,Amb,400,168,26.9,0.16,880,2.35,1.52,2.8,0.5,26.4,27.77,26.03,1199.83,1183.23,20.386,21.671,60.55,64.37,500.4,1800
E. sideroxylon,Amb,400,168,27,0.16,880,2.35,1.52,2.8,0.5,26.4,27.78,26.03,1199.83,1183.19,20.392,21.68,60.56,64.39,500.5,1800
E. sideroxylon,Amb,400,168,26.8,0.161,882,2.35,1.52,2.8,0.5,26.4,27.77,26.03,1199.73,1183.2,20.398,21.686,60.58,64.4,500.5,1800
E. sideroxylon,Amb,400,168,26.9,0.161,880,2.35,1.52,2.8,0.5,26.4,27.78,26.03,1199.75,1183.13,20.4,21.689,60.58,64.41,500.5,1800
E. sideroxylon,Amb,400,168,27,0.161,880,2.36,1.52,2.8,0.5,26.4,27.78,26.03,1199.78,1183.14,20.402,21.692,60.59,64.41,500.5,1800
E. sideroxylon,Amb,400,168,27,0.16,879,2.35,1.52,2.8,0.5,26.4,27.79,26.03,1199.78,1183.11,20.407,21.694,60.6,64.42,500.5,1800
E. sideroxylon,Amb,400,168,26.9,0.16,879,2.35,1.52,2.8,0.5,26.4,27.79,26.03,1199.79,1183.16,20.42,21.704,60.63,64.44,500.5,1800
E. sideroxylon,Amb,400,194,17,0.235,255,3.48,1.57,3.6,0.5,26.59,28.4,26.03,399.2,385.99,20.045,22.495,58.88,66.07,500.4,1801
E. sideroxylon,Amb,400,194,16.9,0.235,256,3.48,1.57,3.6,0.5,26.59,28.39,26.03,399.15,386.02,20.049,22.498,58.89,66.08,500.4,1801
E. sideroxylon,Amb,400,194,16.9,0.235,257,3.48,1.57,3.6,0.5,26.59,28.4,26.03,399.15,386.05,20.053,22.5,58.9,66.08,500.4,1801
E. sideroxylon,Amb,400,194,16.8,0.235,257,3.48,1.57,3.6,0.5,26.59,28.4,26.03,399.16,386.09,20.054,22.503,58.9,66.09,500.5,1801
E. sideroxylon,Amb,400,194,16.8,0.235,257,3.49,1.57,3.6,0.5,26.59,28.4,26.03,399.2,386.11,20.057,22.509,58.9,66.1,500.5,1801
E. sideroxylon,Amb,400,194,16.9,0.235,256,3.49,1.57,3.6,0.5,26.59,28.4,26.03,399.23,386.08,20.058,22.51,58.91,66.11,500.5,1801
E. sideroxylon,Amb,400,194,17,0.235,256,3.49,1.57,3.6,0.5,26.59,28.4,26.03,399.22,386.05,20.06,22.511,58.91,66.11,500.5,1801
E. sideroxylon,Amb,400,194,17,0.235,256,3.48,1.57,3.6,0.5,26.59,28.4,26.03,399.19,385.99,20.066,22.515,58.93,66.12,500.5,1801
E. sideroxylon,Amb,400,194,16.8,0.236,257,3.49,1.57,3.6,0.5,26.59,28.4,26.03,399.08,386.02,20.067,22.52,58.93,66.14,500.5,1801
E. sideroxylon,Amb,400,194,23.7,0.138,872,2.04,1.53,3.6,0.5,26.52,28.4,26.03,1199.51,1180.75,21.516,22.95,63.42,67.65,500.4,1800
E. sideroxylon,Amb,400,194,23.6,0.138,873,2.04,1.53,3.6,0.5,26.52,28.4,26.03,1199.49,1180.79,21.516,22.951,63.42,67.65,500.4,1800
E. sideroxylon,Amb,400,194,23.5,0.138,874,2.05,1.53,3.6,0.5,26.52,28.42,26.03,1199.48,1180.87,21.519,22.957,63.43,67.67,500.4,1800
E. sideroxylon,Amb,400,194,23.5,0.137,873,2.05,1.54,3.6,0.5,26.52,28.45,26.03,1199.5,1180.86,21.524,22.964,63.44,67.68,500.4,1800
E. sideroxylon,Amb,400,194,23.7,0.137,871,2.05,1.54,3.6,0.5,26.53,28.44,26.03,1199.55,1180.78,21.527,22.965,63.45,67.69,500.4,1800
E. sideroxylon,Amb,400,194,23.6,0.137,871,2.04,1.54,3.6,0.5,26.53,28.44,26.03,1199.53,1180.8,21.531,22.967,63.46,67.69,500.5,1800
E. sideroxylon,Amb,400,194,23.7,0.138,871,2.04,1.54,3.6,0.5,26.53,28.44,26.03,1199.55,1180.79,21.536,22.973,63.47,67.71,500.5,1800
E. sideroxylon,Amb,400,194,23.7,0.138,871,2.05,1.54,3.6,0.5,26.53,28.44,26.03,1199.59,1180.79,21.538,22.976,63.48,67.71,500.5,1800
E. sideroxylon,Amb,400,194,23.5,0.138,873,2.05,1.54,3.6,0.5,26.53,28.44,26.03,1199.52,1180.88,21.543,22.981,63.49,67.72,500.5,1800
E. sideroxylon,Amb,400,194,23.5,0.138,873,2.04,1.53,3.6,0.5,26.53,28.43,26.03,1199.53,1180.86,21.548,22.982,63.5,67.73,500.4,1800
E. sideroxylon,Amb,400,165,15.8,0.333,298,4.47,1.45,3.5,0.5,26.45,27.96,26.03,400.56,388.31,19.854,22.909,58.4,67.38,500.5,1799
E. sideroxylon,Amb,400,165,15.8,0.333,299,4.47,1.45,3.5,0.5,26.45,27.96,26.03,400.52,388.29,19.856,22.912,58.4,67.39,500.5,1799
E. sideroxylon,Amb,400,165,15.9,0.333,298,4.47,1.45,3.5,0.5,26.45,27.97,26.03,400.55,388.25,19.86,22.917,58.41,67.4,500.5,1799
E. sideroxylon,Amb,400,165,15.9,0.333,298,4.47,1.45,3.5,0.5,26.45,27.97,26.03,400.6,388.25,19.864,22.92,58.41,67.4,500.5,1799
E. sideroxylon,Amb,400,165,16.1,0.332,297,4.47,1.45,3.5,0.5,26.45,27.98,26.03,400.67,388.24,19.868,22.921,58.43,67.4,500.5,1799
E. sideroxylon,Amb,400,165,16,0.332,297,4.47,1.45,3.5,0.5,26.45,27.98,26.03,400.66,388.24,19.873,22.926,58.44,67.41,500.5,1799
E. sideroxylon,Amb,400,165,16,0.332,297,4.47,1.45,3.5,0.5,26.45,27.98,26.03,400.63,388.26,19.878,22.929,58.45,67.42,500.5,1799
E. sideroxylon,Amb,400,165,15.9,0.332,297,4.46,1.45,3.5,0.5,26.46,27.99,26.03,400.61,388.27,19.882,22.932,58.46,67.42,500.5,1799
E. sideroxylon,Amb,400,165,16,0.332,297,4.46,1.46,3.5,0.5,26.46,27.99,26.03,400.64,388.26,19.884,22.935,58.46,67.43,500.5,1799
E. sideroxylon,Amb,400,165,15.9,0.332,297,4.47,1.45,3.5,0.5,26.46,27.99,26.03,400.63,388.27,19.887,22.941,58.46,67.44,500.5,1799
E. sideroxylon,Amb,400,165,25.6,0.176,916,2.32,1.36,3.5,0.5,26.45,28.06,26.03,1200.76,1180.95,22.448,24.031,65.97,70.62,500.4,1799
E. sideroxylon,Amb,400,165,25.5,0.177,918,2.32,1.36,3.5,0.5,26.45,28.06,26.03,1200.67,1180.94,22.449,24.033,65.97,70.63,500.4,1799
E. sideroxylon,Amb,400,165,25.4,0.177,918,2.32,1.36,3.5,0.5,26.45,28.06,26.03,1200.6,1180.93,22.45,24.036,65.97,70.63,500.4,1799
E. sideroxylon,Amb,400,165,25.2,0.177,920,2.32,1.36,3.5,0.5,26.45,28.06,26.03,1200.51,1180.93,22.453,24.039,65.98,70.64,500.4,1799
E. sideroxylon,Amb,400,165,25.3,0.177,919,2.33,1.36,3.5,0.5,26.45,28.07,26.03,1200.59,1180.94,22.461,24.049,65.99,70.66,500.4,1799
E. sideroxylon,Amb,400,165,25.5,0.177,917,2.32,1.36,3.5,0.5,26.45,28.07,26.03,1200.67,1180.92,22.466,24.051,66,70.66,500.5,1799
E. sideroxylon,Amb,400,165,25.6,0.176,916,2.32,1.36,3.5,0.5,26.45,28.07,26.03,1200.69,1180.86,22.471,24.054,66.02,70.67,500.5,1799
E. sideroxylon,Amb,400,165,25.6,0.177,916,2.32,1.36,3.5,0.5,26.45,28.07,26.03,1200.64,1180.85,22.476,24.059,66.03,70.68,500.5,1799
E. sideroxylon,Amb,400,165,25.5,0.177,917,2.32,1.36,3.5,0.5,26.46,28.07,26.03,1200.55,1180.8,22.481,24.064,66.04,70.69,500.5,1799
E. sideroxylon,Amb,400,165,25.4,0.177,919,2.32,1.36,3.5,0.5,26.46,28.06,26.03,1200.54,1180.84,22.482,24.067,66.04,70.7,500.5,1799
E. sideroxylon,Amb,400,176,15,0.171,240,2.56,1.54,2.1,0.5,26.45,28.14,26.03,400.06,393.35,21.396,22.446,62.9,65.98,500.5,1799
E. sideroxylon,Amb,400,176,15,0.171,241,2.57,1.54,2.1,0.5,26.45,28.15,26.03,400.06,393.36,21.399,22.451,62.9,65.99,500.5,1799
E. sideroxylon,Amb,400,176,15,0.171,240,2.57,1.54,2.1,0.5,26.45,28.16,26.03,400.09,393.38,21.407,22.459,62.92,66.01,500.5,1800
E. sideroxylon,Amb,400,176,15,0.171,241,2.57,1.54,2.1,0.5,26.45,28.17,26.03,400.1,393.38,21.41,22.464,62.92,66.02,500.4,1800
E. sideroxylon,Amb,400,176,15,0.172,241,2.57,1.54,2.1,0.5,26.46,28.17,26.03,400.1,393.4,21.414,22.469,62.93,66.03,500.4,1800
E. sideroxylon,Amb,400,176,15.1,0.173,241,2.58,1.54,2.1,0.5,26.46,28.17,26.03,400.07,393.33,21.43,22.49,62.96,66.08,500.5,1800
E. sideroxylon,Amb,400,176,15.1,0.173,240,2.59,1.54,2.1,0.5,26.46,28.18,26.03,400.11,393.34,21.436,22.497,62.97,66.09,500.5,1800
E. sideroxylon,Amb,400,176,15.1,0.173,241,2.59,1.54,2.1,0.5,26.46,28.18,26.03,400.1,393.35,21.441,22.502,62.98,66.1,500.4,1800
E. sideroxylon,Amb,400,176,14.9,0.173,243,2.59,1.54,2.1,0.5,26.46,28.19,26.03,400.06,393.39,21.445,22.507,62.99,66.11,500.4,1800
E. sideroxylon,Amb,400,176,14.9,0.173,242,2.59,1.54,2.1,0.5,26.47,28.19,26.03,400.03,393.35,21.455,22.516,63.02,66.13,500.5,1800
E. sideroxylon,Amb,400,176,27.6,0.108,745,1.79,1.67,2.1,0.5,26.4,28.1,26.03,1201.06,1188.59,20.313,21.047,59.86,62.02,500.4,1799
E. sideroxylon,Amb,400,176,27.7,0.108,745,1.79,1.67,2.1,0.5,26.4,28.1,26.03,1201.11,1188.61,20.314,21.05,59.86,62.03,500.4,1799
E. sideroxylon,Amb,400,176,27.7,0.109,746,1.79,1.67,2.1,0.5,26.4,28.1,26.03,1201.14,1188.62,20.314,21.051,59.85,62.03,500.4,1799
E. sideroxylon,Amb,400,176,27.7,0.109,745,1.79,1.67,2.1,0.5,26.4,28.1,26.03,1201.03,1188.52,20.315,21.051,59.86,62.03,500.4,1799
E. sideroxylon,Amb,400,176,27.6,0.109,747,1.79,1.68,2.1,0.5,26.4,28.11,26.03,1201.04,1188.57,20.315,21.053,59.85,62.03,500.4,1799
E. sideroxylon,Amb,400,176,27.6,0.109,746,1.79,1.68,2.1,0.5,26.4,28.11,26.03,1201.03,1188.55,20.317,21.053,59.86,62.03,500.4,1799
E. sideroxylon,Amb,400,176,27.5,0.109,750,1.8,1.67,2.1,0.5,26.4,28.11,26.03,1201.06,1188.63,20.317,21.056,59.85,62.03,500.4,1799
E. sideroxylon,Amb,400,176,27.5,0.109,749,1.8,1.67,2.1,0.5,26.4,28.1,26.03,1201.08,1188.62,20.318,21.058,59.85,62.03,500.5,1799
E. sideroxylon,Amb,400,176,27.7,0.109,748,1.8,1.67,2.1,0.5,26.4,28.11,26.03,1201.14,1188.62,20.32,21.061,59.85,62.04,500.5,1799
E. sideroxylon,Amb,400,176,27.7,0.109,748,1.8,1.67,2.1,0.5,26.4,28.1,26.03,1201.1,1188.59,20.32,21.062,59.85,62.03,500.5,1799
E. sideroxylon,Amb,400,172,12.8,0.159,252,2.14,1.4,2.9,0.5,25.83,25.53,26.04,401.24,393.31,17.221,18.44,52.62,56.35,500.5,1799
E. sideroxylon,Amb,400,172,12.7,0.16,254,2.16,1.4,2.9,0.5,25.83,25.53,26.04,401.21,393.34,17.213,18.439,52.6,56.35,500.5,1799
E. sideroxylon,Amb,400,172,12.7,0.159,253,2.15,1.4,2.9,0.5,25.83,25.54,26.04,401.18,393.31,17.209,18.431,52.59,56.32,500.5,1799
E. sideroxylon,Amb,400,172,12.9,0.159,252,2.14,1.4,2.9,0.5,25.83,25.54,26.04,401.21,393.27,17.208,18.428,52.58,56.31,500.5,1799
E. sideroxylon,Amb,400,172,13,0.159,251,2.15,1.4,2.9,0.5,25.83,25.55,26.04,401.26,393.26,17.203,18.427,52.56,56.3,500.5,1799
E. sideroxylon,Amb,400,172,12.8,0.159,253,2.16,1.4,2.9,0.5,25.83,25.55,26.04,401.23,393.35,17.195,18.423,52.54,56.29,500.5,1799
E. sideroxylon,Amb,400,172,12.7,0.16,254,2.2,1.43,2.9,0.5,25.85,25.63,26.04,401.27,393.39,17.104,18.357,52.21,56.03,500.5,1799
E. sideroxylon,Amb,400,172,12.8,0.16,254,2.2,1.43,2.9,0.5,25.85,25.63,26.04,401.28,393.39,17.097,18.35,52.19,56.01,500.5,1799
E. sideroxylon,Amb,400,172,12.8,0.16,253,2.21,1.43,2.9,0.5,25.85,25.64,26.04,401.36,393.42,17.081,18.338,52.13,55.97,500.5,1799
E. sideroxylon,Amb,400,172,12.9,0.161,253,2.22,1.43,2.9,0.5,25.85,25.65,26.04,401.41,393.42,17.072,18.333,52.1,55.95,500.5,1800
E. sideroxylon,Amb,400,172,18.3,0.0527,594,1.13,2.17,2.9,0.5,26.54,28.41,26.03,1200.12,1188.72,16.222,16.868,47.54,49.43,500.5,1800
E. sideroxylon,Amb,400,172,18.1,0.0527,602,1.14,2.17,2.9,0.5,26.54,28.42,26.03,1199.97,1188.72,16.223,16.87,47.54,49.43,500.5,1800
E. sideroxylon,Amb,400,172,18.2,0.0525,597,1.13,2.17,2.9,0.5,26.54,28.45,26.03,1200.07,1188.75,16.229,16.874,47.55,49.44,500.5,1800
E. sideroxylon,Amb,400,172,18.4,0.0529,594,1.14,2.17,2.9,0.5,26.54,28.45,26.03,1200.17,1188.73,16.228,16.879,47.55,49.45,500.5,1800
E. sideroxylon,Amb,400,172,18.3,0.0526,593,1.13,2.17,2.9,0.5,26.54,28.45,26.03,1200.11,1188.7,16.234,16.88,47.56,49.45,500.5,1800
E. sideroxylon,Amb,400,172,18.1,0.0526,600,1.13,2.17,2.9,0.5,26.54,28.45,26.03,1200.02,1188.75,16.234,16.881,47.56,49.45,500.4,1800
E. sideroxylon,Amb,400,172,18.3,0.0519,586,1.12,2.18,2.9,0.5,26.55,28.47,26.03,1200.15,1188.76,16.248,16.887,47.58,49.45,500.5,1800
