euclid_name,accepted_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit
eucalyptus_fulgens,Eucalyptus fulgens,4,10.5,cm,1.8,3.5,cm
eucalyptus_fusiformis,Eucalyptus fusiformis,4,9,cm,1.3,4.2,cm
eucalyptus_gamophylla,Eucalyptus gamophylla,3.5,10,cm,2,6,cm
eucalyptus_gardneri_subsp._gardneri,Eucalyptus gardneri subsp. gardneri,NA,NA,NA,NA,NA,NA
eucalyptus_gardneri_subsp._ravensthorpensis,Eucalyptus gardneri subsp. ravensthorpensis,NA,NA,NA,NA,NA,NA
eucalyptus_georgei_subsp._fulgida,Eucalyptus georgei subsp. fulgida,6,8,cm,2,5,cm
eucalyptus_georgei_subsp._georgei,Eucalyptus georgei subsp. georgei,6,13.5,cm,2,10,cm
eucalyptus_gigantangion,Eucalyptus gigantangion,5.5,11,cm,2.5,5,cm
eucalyptus_gillenii,Eucalyptus gillenii,NA,NA,NA,NA,NA,NA
eucalyptus_gillii,Eucalyptus gillii,2,5.7,cm,2,5.3,cm
eucalyptus_gittinsii_subsp._gittinsii,Eucalyptus gittinsii subsp. gittinsii,5.5,11,cm,3,5,cm
eucalyptus_gittinsii_subsp._illucida,Eucalyptus gittinsii subsp. illucida,6,14,cm,2.5,4.5,cm
eucalyptus_glaucescens,Eucalyptus glaucescens,1.5,7,cm,2,8,cm
eucalyptus_glaucina,Eucalyptus glaucina,6,10,cm,5,6.5,cm
eucalyptus_globoidea,Eucalyptus globoidea,4,10,cm,2,4.5,cm
eucalyptus_globulus_subsp._bicostata,Eucalyptus globulus subsp. bicostata,4,11.5,cm,2.2,6,cm
eucalyptus_globulus_subsp._globulus,Eucalyptus globulus subsp. globulus,4,10.5,cm,2.2,5,cm
eucalyptus_globulus_subsp._maidenii,Eucalyptus globulus subsp. maidenii,4,11,cm,1.7,6,cm
eucalyptus_globulus_subsp._pseudoglobulus,Eucalyptus globulus subsp. pseudoglobulus,3.3,10,cm,2,6,cm
eucalyptus_glomericassis,Eucalyptus glomericassis,NA,NA,NA,NA,NA,NA
eucalyptus_glomerosa,Eucalyptus glomerosa,2.5,7,cm,1,3.3,cm
eucalyptus_gomphocephala,Eucalyptus gomphocephala,9,15,cm,5.5,9.5,cm
eucalyptus_gongylocarpa,Eucalyptus gongylocarpa,2.5,5,cm,2,5.5,cm
eucalyptus_goniantha_subsp._goniantha,Eucalyptus goniantha subsp. goniantha,NA,NA,NA,NA,NA,NA
eucalyptus_goniantha_subsp._kynoura,Eucalyptus goniantha subsp. kynoura,NA,NA,NA,NA,NA,NA
eucalyptus_goniocalyx_subsp._exposa,Eucalyptus goniocalyx subsp. exposa,1.7,6.3,cm,1.7,4,cm
eucalyptus_goniocalyx_subsp._goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx,3.5,10,cm,3.5,11,cm
eucalyptus_goniocalyx_subsp._viridissima,Eucalyptus goniocalyx subsp. viridissima,2.7,8,cm,3,8,cm
eucalyptus_goniocarpa,Eucalyptus goniocarpa,NA,NA,NA,NA,NA,NA
eucalyptus_gracilis,Eucalyptus gracilis,3.3,9,cm,0.9,1.8,cm
eucalyptus_grandis,Eucalyptus grandis,4,14,cm,2,8.5,cm
eucalyptus_granitica,Eucalyptus granitica,6,11,cm,1.4,2,cm
eucalyptus_gregoriensis,Eucalyptus gregoryensis,8,18,cm,4,9,cm
eucalyptus_gregsoniana,Eucalyptus gregsoniana,5.5,13,cm,1,4.5,cm
eucalyptus_griffithsii,Eucalyptus griffithsii,4.5,13.5,cm,1.6,3.5,cm
eucalyptus_grisea,Eucalyptus grisea,NA,NA,NA,NA,NA,NA
eucalyptus_grossa,Eucalyptus grossa,4.5,8,cm,3,5.5,cm
eucalyptus_guilfoylei,Eucalyptus guilfoylei,8,13,cm,5.5,7,cm
eucalyptus_gunnii,Eucalyptus gunnii,1.3,4.5,cm,1.7,4,cm
eucalyptus_gypsophila,Eucalyptus gypsophila,3,5.5,cm,2.5,4.5,cm
eucalyptus_haemastoma,Eucalyptus haemastoma,7,15,cm,2,6,cm
eucalyptus_hallii,Eucalyptus hallii,12,22,cm,4.5,9,cm
eucalyptus_halophila,Eucalyptus halophila,4,8.5,cm,0.3,0.6,cm
eucalyptus_hebetifolia,Eucalyptus hebetifolia,5,9.5,cm,1.7,5.3,cm
eucalyptus_helidonica,Eucalyptus helidonica,6,13.5,cm,0.7,1.8,cm
eucalyptus_herbertiana,Eucalyptus herbertiana,7,10,cm,3.5,6.5,cm
eucalyptus_histophylla,Eucalyptus histophylla,NA,11,cm,NA,4,cm
eucalyptus_horistes,Eucalyptus horistes,1,4.5,cm,0.8,3,cm
eucalyptus_houseana,Eucalyptus houseana,8,13,cm,5,9,cm
eucalyptus_howittiana,Eucalyptus howittiana,7,14,cm,3,7.5,cm
eucalyptus_hypolaena,Eucalyptus hypolaena,4,10,cm,2,4,cm
eucalyptus_hypostomatica,Eucalyptus hypostomatica,3.8,7,cm,1.2,4,cm
eucalyptus_ignorabilis,Eucalyptus ignorabilis,2.8,9,cm,0.5,2.3,cm
eucalyptus_imitans,Eucalyptus imitans,2.5,11,cm,1.2,5.5,cm
eucalyptus_imlayensis,Eucalyptus imlayensis,4,7.5,cm,1.5,3,cm
eucalyptus_impensa,Eucalyptus x impensa,6,11,cm,4.5,6.5,cm
eucalyptus_incerata,Eucalyptus incerata,NA,NA,NA,NA,NA,NA
eucalyptus_incrassata,Eucalyptus incrassata,4,10,cm,2,5,cm
eucalyptus_indurata,Eucalyptus indurata,3,10,cm,1.8,4.5,cm
eucalyptus_infera,Eucalyptus infera,4,7,cm,4,7,cm
eucalyptus_insularis,Eucalyptus insularis,3.5,5.5,cm,0.8,1.5,cm
eucalyptus_interstans,Eucalyptus interstans,8,12,cm,3,6.5,cm
eucalyptus_intertexta,Eucalyptus intertexta,3,12,cm,1,3.5,cm
eucalyptus_jacksonii,Eucalyptus jacksonii,12,17,cm,6,10,cm
eucalyptus_jensenii,Eucalyptus jensenii,3.8,6.5,cm,2,3,cm
eucalyptus_johnsoniana,Eucalyptus johnsoniana,3,11,cm,1,3,cm
eucalyptus_johnstonii,Eucalyptus johnstonii,2.5,6,cm,1.3,4.5,cm
eucalyptus_jucunda,Eucalyptus jucunda,2.5,5.7,cm,1.7,3.5,cm
eucalyptus_jutsonii_subsp._jutsonii,Eucalyptus jutsonii subsp. jutsonii,6,10,cm,0.1,0.3,cm
eucalyptus_jutsonii_subsp._kobela,Eucalyptus jutsonii subsp. kobela,NA,NA,NA,NA,NA,NA
eucalyptus_kabiana,Eucalyptus kabiana,6,8,cm,2,3,cm
eucalyptus_kartzoffiana,Eucalyptus kartzoffiana,4.5,6.5,cm,1.5,4.5,cm
eucalyptus_kenneallyi,Eucalyptus kenneallyi,NA,NA,NA,NA,NA,NA
eucalyptus_kessellii_subsp._eugnosta,Eucalyptus kessellii subsp. eugnosta,2.8,7.5,cm,2.6,7.7,cm
eucalyptus_kessellii_subsp._kessellii,Eucalyptus kessellii subsp. kessellii,3,9,cm,4,9,cm
eucalyptus_kingsmillii_subsp._alatissima,Eucalyptus alatissima,4,10,cm,1.5,4,cm
eucalyptus_kingsmillii_subsp._kingsmillii,Eucalyptus kingsmillii subsp. kingsmillii,4,10,cm,1.5,4,cm
eucalyptus_kitsoniana,Eucalyptus kitsoniana,5,8,cm,3.8,6,cm
eucalyptus_kochii_subsp._amaryssia,Eucalyptus kochii subsp. amaryssia,NA,NA,NA,NA,NA,NA
eucalyptus_kochii_subsp._borealis,Eucalyptus kochii subsp. borealis,NA,NA,NA,NA,NA,NA
eucalyptus_kochii_subsp._kochii,Eucalyptus kochii subsp. kochii,NA,NA,NA,NA,NA,NA
eucalyptus_kochii_subsp._plenissima,Eucalyptus kochii subsp. plenissima,7.5,10,cm,1,1.7,cm
eucalyptus_kochii_subsp._yellowdinensis,Eucalyptus kochii subsp. yellowdinensis,NA,NA,NA,NA,NA,NA
eucalyptus_kondininensis,Eucalyptus kondininensis,5.5,8,cm,1,1.5,cm
eucalyptus_kondininensis_subsp._tuberosa,Eucalyptus kondininensis,NA,NA,NA,NA,NA,NA
eucalyptus_koolpinensis,Eucalyptus koolpinensis,4,9,cm,4.5,9,cm
eucalyptus_kruseana,Eucalyptus kruseana,NA,NA,NA,NA,NA,NA
eucalyptus_kumarlensis,Eucalyptus kumarlensis,3,7.5,cm,0.3,0.6,cm
eucalyptus_kybeanensis,Eucalyptus kybeanensis,3.5,8.5,cm,0.6,1.6,cm
eucalyptus_lacrimans,Eucalyptus lacrimans,6.5,11,cm,2.2,4,cm
eucalyptus_laeliae,Eucalyptus laeliae,6.5,12.5,cm,2.3,4.5,cm
eucalyptus_laevis,Eucalyptus laevis,NA,NA,NA,NA,NA,NA
eucalyptus_laevopinea,Eucalyptus laevopinea,3,12,cm,1,4,cm
eucalyptus_lanepoolei,Eucalyptus lane-poolei,3,9,cm,1,3.5,cm
eucalyptus_langleyi,Eucalyptus langleyi,9,14,cm,2,5.5,cm
eucalyptus_lansdowneana,Eucalyptus lansdowneana,7,10,cm,2.5,3.5,cm
eucalyptus_largeana,Eucalyptus largeana,4.8,12,cm,1.5,5.5,cm
eucalyptus_largiflorens,Eucalyptus largiflorens,4,15.5,cm,0.4,1.8,cm
eucalyptus_latens,Eucalyptus latens,2,7,cm,0.5,1,cm
eucalyptus_lateritica,Eucalyptus x lateritica,7,18,cm,1,3.5,cm
eucalyptus_latisinensis,Eucalyptus latisinensis,5,15,cm,3,7,cm
eucalyptus_lehmannii_subsp._lehmannii,Eucalyptus lehmannii subsp. lehmannii,NA,NA,NA,NA,NA,NA
eucalyptus_lehmannii_subsp._parallela,Eucalyptus lehmannii subsp. parallela,NA,NA,NA,NA,NA,NA
eucalyptus_leprophloia,Eucalyptus leprophloia,NA,NA,NA,NA,NA,NA
eucalyptus_leptocalyx,Eucalyptus leptocalyx,5,8.5,cm,3,4.5,cm
eucalyptus_leptophleba,Eucalyptus leptophleba,4.5,13,cm,2.5,5.8,cm
eucalyptus_leptophylla,Eucalyptus leptophylla,1.5,6,cm,0.5,2.5,cm
eucalyptus_leptopoda_subsp._arctata,Eucalyptus leptopoda subsp. arctata,5,13,cm,0.4,1,cm
eucalyptus_leptopoda_subsp._elevata,Eucalyptus leptopoda subsp. elevata,4,8,cm,0.3,1.5,cm
eucalyptus_leptopoda_subsp._leptopoda,Eucalyptus leptopoda subsp. leptopoda,5,13,cm,0.4,1,cm
eucalyptus_leptopoda_subsp._subluta,Eucalyptus leptopoda subsp. subluta,5,13,cm,0.4,1,cm
eucalyptus_lesouefii,Eucalyptus lesouefii,9,13,cm,4.5,7,cm
eucalyptus_leucophloia_subsp._euroa,Eucalyptus leucophloia subsp. euroa,3,7.5,cm,3,7.5,cm
eucalyptus_leucophloia_subsp._leucophloia,Eucalyptus leucophloia subsp. leucophloia,3.2,7,cm,3,8.5,cm
eucalyptus_leucophylla,Eucalyptus leucophylla,6.5,12,cm,3.5,5,cm
eucalyptus_leucoxylon_subsp._leucoxylon,Eucalyptus leucoxylon subsp. leucoxylon,4.5,10.5,cm,2,7.3,cm
eucalyptus_leucoxylon_subsp._megalocarpa,Eucalyptus leucoxylon subsp. megalocarpa,4.5,10,cm,3,7,cm
eucalyptus_leucoxylon_subsp._pruinosa,Eucalyptus leucoxylon subsp. pruinosa,3,9,cm,1.3,8,cm
eucalyptus_leucoxylon_subsp._stephaniae,Eucalyptus leucoxylon subsp. stephaniae,4,10,cm,2.2,5.2,cm
eucalyptus_ligulata_subsp._ligulata,Eucalyptus ligulata subsp. ligulata,6,10,cm,2,4.5,cm
eucalyptus_ligulata_subsp._stirlingica,Eucalyptus ligulata subsp. stirlingica,NA,NA,NA,NA,NA,NA
eucalyptus_ligustrina,Eucalyptus ligustrina,1,3.8,cm,0.7,2.2,cm
eucalyptus_limitaris,Eucalyptus limitaris,NA,NA,NA,NA,NA,NA
eucalyptus_lirata,Eucalyptus lirata,NA,NA,NA,NA,NA,NA
eucalyptus_litoralis,Eucalyptus litoralis,3.5,12.5,cm,3,11.5,cm
eucalyptus_litorea,Eucalyptus litorea,3.5,7.5,cm,2,4,cm
eucalyptus_livida,Eucalyptus livida,NA,NA,NA,NA,NA,NA
eucalyptus_lockyeri_subsp._exuta,Eucalyptus lockyeri subsp. exuta,5.5,7.5,cm,0.9,1.6,cm
eucalyptus_lockyeri_subsp._lockyeri,Eucalyptus lockyeri subsp. lockyeri,8,16,cm,3.5,5.5,cm
eucalyptus_longicornis,Eucalyptus longicornis,2,8.5,cm,0.9,2.6,cm
eucalyptus_longifolia,Eucalyptus longifolia,6.5,20,cm,2,9,cm
eucalyptus_longirostrata,Eucalyptus longirostrata,4,10,cm,1.2,2.7,cm
eucalyptus_longissima,Eucalyptus longissima,NA,NA,NA,NA,NA,NA
eucalyptus_loxophleba_subsp._gratiae,Eucalyptus loxophleba subsp. gratiae,3.5,13,cm,2.5,9,cm
eucalyptus_loxophleba_subsp._lissophloia,Eucalyptus loxophleba subsp. lissophloia,3.5,8.5,cm,3,6.5,cm
eucalyptus_loxophleba_subsp._loxophleba,Eucalyptus loxophleba subsp. loxophleba,4.5,10,cm,3.5,9,cm
eucalyptus_loxophleba_subsp._supralaevis,Eucalyptus loxophleba subsp. supralaevis,NA,NA,NA,NA,NA,NA
eucalyptus_lucasii,Eucalyptus lucasii,8.5,14.5,cm,3.5,5.5,cm
eucalyptus_lucens,Eucalyptus lucens,8,10,cm,1.5,2.5,cm
eucalyptus_luculenta,Eucalyptus luculenta,6,15,cm,2.5,4.5,cm
eucalyptus_luehmanniana,Eucalyptus luehmanniana,7,17.5,cm,3,7.5,cm
eucalyptus_luteola,Eucalyptus luteola,NA,NA,NA,NA,NA,NA
eucalyptus_macarthurii,Eucalyptus macarthurii,3.5,7,cm,2.5,4.5,cm
eucalyptus_mackintii,Eucalyptus mackintyi,4.5,10.3,cm,3.5,9,cm
eucalyptus_macrandra,Eucalyptus macrandra,4,7,cm,1.5,3,cm
eucalyptus_macrocarpa_subsp._elachantha,Eucalyptus macrocarpa subsp. elachantha,5.5,8.5,cm,3.5,5,cm
eucalyptus_macrocarpa_subsp._macrocarpa,Eucalyptus macrocarpa subsp. macrocarpa,7,13.5,cm,3.5,8.5,cm
eucalyptus_macrorhyncha_subsp._cannonii,Eucalyptus macrorhyncha subsp. cannonii,5,11,cm,2,5.5,cm
eucalyptus_macrorhyncha_subsp._macrorhyncha,Eucalyptus macrorhyncha subsp. macrorhyncha,2.5,10.5,cm,2,5.2,cm
eucalyptus_magnificata,Eucalyptus magnificata,3.5,8,cm,3.5,6.5,cm
eucalyptus_major,Eucalyptus major,7.5,10,cm,2.5,4,cm
eucalyptus_malacoxylon,Eucalyptus malacoxylon,4,7,cm,3,7,cm
eucalyptus_mannensis_subsp._mannensis,Eucalyptus mannensis subsp. mannensis,NA,NA,NA,NA,NA,NA
eucalyptus_mannensis_subsp._vespertina,Eucalyptus mannensis subsp. vespertina,NA,NA,NA,NA,NA,NA
eucalyptus_mannifera_subsp._gullickii,Eucalyptus mannifera subsp. gullickii,3,9.5,cm,1.4,3.2,cm
eucalyptus_mannifera_subsp._mannifera,Eucalyptus mannifera subsp. mannifera,4,10,cm,0.5,1.8,cm
eucalyptus_mannifera_subsp._praecox,Eucalyptus mannifera subsp. praecox,4.5,8.5,cm,4.5,6,cm
eucalyptus_marginata_subsp._elegantella,Eucalyptus marginata subsp. marginata,6,9.5,cm,2.5,4.5,cm
eucalyptus_marginata_subsp._marginata,Eucalyptus marginata subsp. marginata,6,9.5,cm,2.5,4.5,cm
eucalyptus_marginata_subsp._thalassica,Eucalyptus marginata subsp. thalassica,6.5,12.5,cm,2.5,5.5,cm
eucalyptus_mckieana,Eucalyptus mckieana,3,7,cm,0.2,1.3,cm
eucalyptus_mcquoidii,Eucalyptus mcquoidii,NA,NA,NA,NA,NA,NA
eucalyptus_medialis,Eucalyptus hebetifolia,NA,NA,NA,NA,NA,NA
eucalyptus_mediocris,Eucalyptus mediocris,6,13,cm,1,5.3,cm
eucalyptus_megacarpa,Eucalyptus megacarpa,10,13,cm,3.5,5,cm
eucalyptus_megacornuta,Eucalyptus megacornuta,3.5,8,cm,2.5,6,cm
eucalyptus_megasepala,Eucalyptus megasepala,NA,NA,NA,NA,NA,NA
eucalyptus_melanoleuca,Eucalyptus melanoleuca,4.5,8.5,cm,2,4,cm
eucalyptus_melanophitra,Eucalyptus melanophitra,NA,NA,NA,NA,NA,NA
eucalyptus_melanophloia_subsp._melanophloia,Eucalyptus melanophloia subsp. melanophloia,2,10,cm,1.3,10,cm
eucalyptus_melanophloia_subsp._nana,Eucalyptus melanophloia subsp. nana,3.5,7,cm,2.5,5.3,cm
eucalyptus_melanoxylon,Eucalyptus melanoxylon,4,7.5,cm,1.2,3,cm
eucalyptus_melliodora,Eucalyptus melliodora,2.5,6.5,cm,0.9,3.5,cm
eucalyptus_merrickiae,Eucalyptus merrickiae,NA,NA,NA,NA,NA,NA
eucalyptus_michaeliana,Eucalyptus michaeliana,5,15,cm,1.2,5.5,cm
eucalyptus_micranthera,Eucalyptus micranthera,NA,9,cm,NA,1.5,cm
eucalyptus_microcarpa,Eucalyptus microcarpa,6,15,cm,3,5.5,cm
eucalyptus_microcorys,Eucalyptus microcorys,4,11,cm,1.5,5,cm
eucalyptus_microneura,Eucalyptus microneura,NA,NA,NA,NA,NA,NA
eucalyptus_microschema,Eucalyptus microschema,NA,NA,NA,NA,NA,NA
eucalyptus_microtheca,Eucalyptus microtheca,5,15,cm,0.5,2.5,cm
eucalyptus_mimica_subsp._continens,Eucalyptus mimica subsp. continens,NA,NA,NA,NA,NA,NA
eucalyptus_mimica_subsp._mimica,Eucalyptus mimica subsp. mimica,NA,NA,NA,NA,NA,NA
eucalyptus_miniata,Eucalyptus miniata,5.5,12,cm,3.5,6.5,cm
eucalyptus_misella,Eucalyptus misella,6.5,9.5,cm,1.2,1.5,cm
eucalyptus_mitchelliana,Eucalyptus mitchelliana,6.5,11.5,cm,0.9,2,cm
eucalyptus_moderata,Eucalyptus moderata,5.5,12,cm,2,4.5,cm
eucalyptus_moluccana,Eucalyptus moluccana,4,8,cm,2.5,5.5,cm
eucalyptus_mooreana,Eucalyptus mooreana,NA,NA,NA,NA,NA,NA
eucalyptus_moorei_subsp._moorei,Eucalyptus moorei subsp. moorei,2.8,4.5,cm,0.6,2.5,cm
eucalyptus_moorei_subsp._serpentinicola,Eucalyptus moorei subsp. serpentinicola,3,7,cm,0.2,0.7,cm
eucalyptus_morrisbyi,Eucalyptus morrisbyi,1,4.5,cm,1,3.5,cm
eucalyptus_morrisii,Eucalyptus morrisii,6,15,cm,0.5,2,cm
eucalyptus_muelleriana,Eucalyptus muelleriana,5.5,13.5,cm,1,5,cm
eucalyptus_multicaulis,Eucalyptus multicaulis,5,9.5,cm,2,4.5,cm
eucalyptus_myriadena,Eucalyptus myriadena,NA,NA,NA,NA,NA,NA
eucalyptus_nandewarica,Eucalyptus nandewarica,6,12.5,cm,1,5,cm
eucalyptus_nebulosa,Eucalyptus nebulosa,2.5,4.5,cm,1,2.5,cm
eucalyptus_neglecta,Eucalyptus neglecta,4.8,7.5,cm,4,5.2,cm
eucalyptus_neutra,Eucalyptus neutra,3.5,8,cm,1.8,4,cm
eucalyptus_newbeyi,Eucalyptus newbeyi,NA,NA,NA,NA,NA,NA
eucalyptus_nicholii,Eucalyptus nicholii,2,6.5,cm,0.2,1,cm
eucalyptus_nigrifunda,Eucalyptus nigrifunda,NA,NA,NA,NA,NA,NA
eucalyptus_nitens,Eucalyptus nitens,6.5,11,cm,2.8,5.5,cm
eucalyptus_nitida,Eucalyptus nitida,4.5,8.5,cm,1,3,cm
eucalyptus_nobilis,Eucalyptus nobilis,5,15,cm,1.4,6.5,cm
eucalyptus_normantonensis,Eucalyptus normantonensis,4,9.5,cm,1.2,4,cm
eucalyptus_nortonii,Eucalyptus nortonii,2.5,9,cm,3,8,cm
eucalyptus_notabilis,Eucalyptus notabilis,7,13,cm,1.8,4.5,cm
eucalyptus_notactites,Eucalyptus notactites,3,12,cm,2.5,11,cm
eucalyptus_novaanglica,Eucalyptus nova-anglica,4,6,cm,3.5,6.5,cm
eucalyptus_nudicaulis,Eucalyptus nudicaulis,NA,NA,NA,NA,NA,NA
eucalyptus_nutans,Eucalyptus nutans,NA,NA,NA,NA,NA,NA
eucalyptus_obconica,Eucalyptus obconica,NA,13,cm,NA,3.5,cm
eucalyptus_obesa,Eucalyptus obesa,3,5.5,cm,1.5,3,cm
eucalyptus_obliqua,Eucalyptus obliqua,6,21,cm,2.3,8.5,cm
eucalyptus_obtusiflora,Eucalyptus obtusiflora,4,8,cm,2.5,5,cm
eucalyptus_occidentalis,Eucalyptus occidentalis,6,13.5,cm,3,6.5,cm
eucalyptus_ochrophloia,Eucalyptus ochrophloia,8.5,16,cm,0.5,2,cm
eucalyptus_odontocarpa,Eucalyptus odontocarpa,3.5,10,cm,2,5.5,cm
eucalyptus_odorata,Eucalyptus odorata,4,10.5,cm,0.4,2.3,cm
eucalyptus_oldfieldii,Eucalyptus oldfieldii,6,12,cm,1,3.5,cm
eucalyptus_oleosa_subsp._corvina,Eucalyptus oleosa subsp. corvina,4,7,cm,1,1.6,cm
eucalyptus_oleosa_subsp._cylindroidea,Eucalyptus oleosa subsp. cylindroidea,3,5,cm,1.2,2,cm
eucalyptus_oleosa_subsp._oleosa,Eucalyptus oleosa subsp. oleosa,4.5,8,cm,0.4,2.2,cm
eucalyptus_olida,Eucalyptus olida,4.5,10,cm,2.5,5.5,cm
eucalyptus_oligantha,Eucalyptus oligantha,5,13.5,cm,3.5,13.5,cm
eucalyptus_olivina,Eucalyptus olivina,2.5,6.5,cm,0.2,0.6,cm
eucalyptus_olsenii,Eucalyptus olsenii,3,7.5,cm,1.2,4,cm
eucalyptus_ophitica,Eucalyptus ophitica,7.5,20,cm,3,7,cm
eucalyptus_opimiflora,Eucalyptus opimiflora,NA,NA,NA,NA,NA,NA
eucalyptus_optima,Eucalyptus optima,3,17,cm,2,5,cm
eucalyptus_oraria,Eucalyptus oraria,5,9,cm,1.3,3.5,cm
eucalyptus_orbifolia,Eucalyptus orbifolia,NA,NA,NA,NA,NA,NA
eucalyptus_ordiana,Eucalyptus ordiana,4,8,cm,4.5,10,cm
eucalyptus_oreades,Eucalyptus oreades,8,20,cm,3.5,10,cm
eucalyptus_orgadophila,Eucalyptus orgadophila,3,6,cm,1.8,4,cm
eucalyptus_ornata,Eucalyptus ornata,NA,NA,NA,NA,NA,NA
eucalyptus_orthostemon,Eucalyptus orthostemon,NA,NA,NA,NA,NA,NA
eucalyptus_ovata_subsp._grandiflora,Eucalyptus ovata var. grandiflora,5.5,11,cm,3,7,cm
eucalyptus_ovata_subsp._ovata,Eucalyptus ovata var. ovata,3,8.5,cm,2.5,6,cm
eucalyptus_ovularis,Eucalyptus ovularis,6.5,10,cm,1.5,2.5,cm
eucalyptus_oxymitra,Eucalyptus oxymitra,NA,NA,NA,NA,NA,NA
eucalyptus_pachycalyx__subsp._waajensis,Eucalyptus pachycalyx subsp. waajensis,5.5,13,cm,2.2,5.5,cm
eucalyptus_pachycalyx_subsp._pachycalyx,Eucalyptus pachycalyx subsp. pachycalyx,8,15,cm,4,5.5,cm
eucalyptus_pachyloma,Eucalyptus pachyloma,4,8,cm,0.9,2,cm
eucalyptus_pachyphylla,Eucalyptus pachyphylla,NA,16,cm,NA,5,cm
eucalyptus_paedoglauca,Eucalyptus paedoglauca,8,15,cm,3.5,7,cm
eucalyptus_paliformis,Eucalyptus paliformis,6.5,11,cm,1.5,2,cm
eucalyptus_paludicola,Eucalyptus paludicola,4,10,cm,2.8,7,cm
eucalyptus_panda,Eucalyptus panda,5,9,cm,1,1.5,cm
eucalyptus_paniculata,Eucalyptus paniculata,3.5,7,cm,1.5,3,cm
eucalyptus_pantoleuca,Eucalyptus pantoleuca,NA,NA,NA,NA,NA,NA
eucalyptus_parramattensis_subsp._decadens,Eucalyptus parramattensis subsp. decadens,6,13,cm,1.5,3.2,cm
eucalyptus_parramattensis_subsp._parramattensis,Eucalyptus parramattensis subsp. parramattensis,5,12,cm,0.5,3,cm
eucalyptus_parramattensis_var._sphaerocalyx,Eucalyptus parramattensis var. sphaerocalyx,5,13,cm,0.5,4,cm
eucalyptus_parvula,Eucalyptus parvula,1.6,4,cm,0.9,1.3,cm
eucalyptus_patellaris,Eucalyptus patellaris,9,13.5,cm,3.5,6,cm
eucalyptus_patens,Eucalyptus patens,8,20,cm,4.5,10.5,cm
eucalyptus_pauciflora_subsp._acerina,Eucalyptus pauciflora subsp. acerina,3,8,cm,2,5,cm
eucalyptus_pauciflora_subsp._debeuzevillei,Eucalyptus pauciflora subsp. debeuzevillei,5.5,9,cm,3,5.5,cm
eucalyptus_pauciflora_subsp._hedraia,Eucalyptus pauciflora subsp. hedraia,4.5,12,cm,2.3,6,cm
eucalyptus_pauciflora_subsp._niphophila,Eucalyptus pauciflora subsp. niphophila,2.5,7.5,cm,2,3.5,cm
eucalyptus_pauciflora_subsp._pauciflora,Eucalyptus pauciflora subsp. pauciflora,4.4,17,cm,2,8.5,cm
eucalyptus_pellita,Eucalyptus pellita,NA,NA,NA,NA,NA,NA
eucalyptus_pendens,Eucalyptus pendens,4,9,cm,2,5,cm
eucalyptus_peninsularis,Eucalyptus peninsularis,NA,NA,NA,NA,NA,NA
eucalyptus_perangusta,Eucalyptus perangusta,1,3.5,cm,0.1,0.3,cm
eucalyptus_percostata,Eucalyptus percostata,5,10,cm,3,6,cm
eucalyptus_perriniana,Eucalyptus perriniana,3.2,8.5,cm,5,8,cm
eucalyptus_persistens_subsp._persistens,Eucalyptus persistens,4.5,10,cm,0.4,1,cm
eucalyptus_persistens_subsp._tardecidens,Eucalyptus tardecidens,8,11.5,cm,0.8,1.7,cm
eucalyptus_petiolaris,Eucalyptus petiolaris,6,9,cm,3.8,6.8,cm
eucalyptus_petraea,Eucalyptus petraea,6.5,9,cm,2,3.5,cm
eucalyptus_petrensis,Eucalyptus petrensis,4.5,11,cm,3,5,cm
eucalyptus_phaenophylla_subsp._interjacens,Eucalyptus phaenophylla subsp. interjacens,NA,NA,NA,NA,NA,NA
eucalyptus_phaenophylla_subsp._phaenophylla,Eucalyptus phaenophylla subsp. phaenophylla,NA,NA,NA,NA,NA,NA
eucalyptus_phenax_subsp._compressa,Eucalyptus phenax subsp. compressa,5,9,cm,1,2.5,cm
eucalyptus_phenax_subsp._phenax,Eucalyptus phenax subsp. phenax,4,8.5,cm,0.9,3,cm
eucalyptus_phoenicea,Eucalyptus phoenicea,4,13,cm,2,6,cm
eucalyptus_pilbarensis,Eucalyptus pilbarensis,5,8,cm,2,5,cm
eucalyptus_pileata,Eucalyptus pileata,5.5,9,cm,1,2,cm
eucalyptus_pilularis,Eucalyptus pilularis,5.5,13,cm,1,3.6,cm
eucalyptus_pimpiniana,Eucalyptus pimpiniana,6,8,cm,2.5,4,cm
eucalyptus_piperita_subsp._piperita,Eucalyptus piperita,4.3,12.5,cm,1.8,6.5,cm
eucalyptus_piperita_subsp._urceolaris,Eucalyptus piperita,4,12.5,cm,1.7,6.5,cm
eucalyptus_placita,Eucalyptus placita,5,8,cm,3,5,cm
eucalyptus_planchoniana,Eucalyptus planchoniana,7,20,cm,2.3,7,cm
eucalyptus_platycorys,Eucalyptus platycorys,6,10,cm,1.5,4,cm
eucalyptus_platydisca,Eucalyptus platydisca,4,11,cm,0.5,1.5,cm
eucalyptus_platyphylla,Eucalyptus platyphylla,9,20,cm,6,16.5,cm
eucalyptus_platypus_subsp._congregata,Eucalyptus platypus subsp. congregata,4,5.5,cm,2.5,3.5,cm
