apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max
Eucalyptus brachyandra,0.25,0.4,0.2,0.25,0.2,0.3,0.2,0.3,3,7,white_cream,NNNNNNNYYYYN,3.3,9.7,0.9,4.5
Eucalyptus brachycalyx,0.5,1,0.3,0.6,0.4,0.8,0.5,0.8,7,11,white_cream,YYYYNNNNNYYY,5,11,0.5,2
Eucalyptus brandiana,5,6.5,3,6,5.6,6.8,4.8,6,1,1,pink,YYNNNNNNNNNN,14,23.8,4.2,6.2
Eucalyptus brassiana,1,1.5,0.4,0.7,0.4,1,0.7,1.2,7,7,white_cream,NNNNNNNNNNNN,10,22,1,2.5
Eucalyptus brevifolia,0.6,0.9,0.4,0.8,0.4,0.8,0.6,0.9,7,7,white_cream,NNYYYNNYNNNN,5,11,1.5,2.8
Eucalyptus brevipes,0.7,0.8,0.3,0.5,0.6,0.7,0.4,0.7,7,7,white_cream,NNNNNNYYYNNN,7,12.5,0.7,1
Eucalyptus brevistylis,0.3,NA,0.3,NA,0.6,1,0.6,0.9,9,13,white_cream,NYNYYNNNNNNN,5.3,9,1,3
Eucalyptus bridgesiana,0.5,0.8,0.3,0.5,0.3,0.7,0.4,0.8,7,7,white_cream,YYYNYNNNNNNN,12,20,1.5,2.5
Eucalyptus brockwayi,0.6,0.8,0.3,0.4,0.4,0.6,0.4,0.7,11,15,white_cream,NNYYNYNNNNNN,7,15,0.8,1.8
Eucalyptus brookeriana,0.6,1,0.3,0.6,0.4,0.8,0.5,0.7,7,7,white_cream,YYYYYNNNYNYY,6.5,16,1.3,5.5
Eucalyptus broviniensis,0.5,0.6,0.5,NA,0.3,0.5,0.6,1.1,7,7,white_cream,NNNNNNNNNNNN,10,15,2.5,4.5
Eucalyptus brownii,0.2,0.4,0.2,0.3,0.2,0.3,0.2,0.3,11,15,white_cream,YNNNYNNYYYNN,6,17,1,3.6
Eucalyptus buprestium,0.5,0.6,0.3,0.5,1.8,2.6,1.7,2.6,9,15,white_cream,NNNNNNNNYYYN,3,7.7,0.6,1
Eucalyptus burdettiana,2,5.8,0.4,1.3,1.9,2.7,2,2.5,7,11,green,NNYYNYNYNNNN,6.5,9.5,1,2.5
Eucalyptus burgessiana,0.7,1.1,0.3,0.6,0.9,1.2,0.7,1.3,7,11,white_cream,NNNNYNNYYNYY,7,13,1.3,2.5
Eucalyptus burracoppinensis,1.6,3,1.3,2,0.6,1.3,1.7,2.5,3,3,white_cream,NNNNNNNYYYYN,6,11.5,0.9,2.3
Eucalyptus cadens,0.45,0.7,0.25,0.4,0.3,0.4,0.4,0.6,7,7,white_cream,NNYYYNNNNNNN,5,13,0.9,2
Eucalyptus caesia,1.7,3,1,1.3,1.5,3,1.8,2.8,3,3,pink,NNNNNYYYYNNN,8,20,1.5,4
Eucalyptus calcareana,0.7,1.3,0.5,0.6,0.5,1,0.6,0.9,7,9,white_cream,NNYYNNNNNNNN,7.5,14,1,2.5
Eucalyptus calcicola,0.7,1.5,0.5,0.9,0.8,1.3,0.9,1.5,7,13,white_cream,YYYYYYNNNNNN,4.5,11,1.2,2.2
Eucalyptus caleyi,0.7,1,0.4,0.7,0.6,1.2,0.4,0.9,7,7,white_cream,NNNYNYYYYYYN,4.5,11,1.5,4.5
Eucalyptus caliginosa,0.5,0.6,0.2,0.4,0.4,0.6,0.6,0.8,7,11,white_cream,NNYNYYYNYYNN,5,18,1.3,3.5
Eucalyptus calycogona,0.6,1.5,0.3,0.7,0.7,1.5,0.4,0.9,7,7,pink white_cream,NNNNYYYYYYYN,5,11,0.7,2.5
Eucalyptus calyerup,2,3.3,0.5,0.8,0.8,1.4,0.8,1.2,7,7,white_cream,NNNNNNNNNYYY,3.8,7.7,1.5,4
Eucalyptus camaldulensis,0.4,1.8,0.3,0.7,0.2,0.7,0.3,1,7,11,white_cream,YYYYYYYYYYYY,8,30,0.7,4.2
Eucalyptus cambageana,0.4,0.5,0.2,0.4,0.3,0.6,0.5,0.6,7,7,white_cream,NNNNNNYYYNNN,7.5,16.5,1.2,3
Eucalyptus cameronii,0.4,0.5,0.3,NA,0.4,0.5,0.4,0.6,9,15,white_cream,NNYNNNNNNNNN,5.5,13,0.8,2.6
Eucalyptus camfieldii,0.6,1,0.3,0.4,0.4,0.5,0.7,0.9,9,15,white_cream,NYYNNYNYYYYY,6,11,1.8,4
Eucalyptus campanulata,0.3,0.5,0.3,0.4,0.4,0.6,0.4,0.7,11,15,white_cream,NNNNNNNNNYYY,9,17.5,1.5,4
Eucalyptus campaspe,0.9,1.2,0.6,1,0.5,1,0.8,1.5,7,7,white_cream,NNNYNNNYNNNY,7,12,0.8,2.5
Eucalyptus camphora,0.4,0.8,0.25,0.5,0.2,0.6,0.4,0.7,7,7,white_cream,YYYYYYNNNNNN,5,15,1.5,6
Eucalyptus canaliculata,0.8,1.1,0.6,0.7,0.6,1,1,1.5,7,7,white_cream,NYNNNNNNNNNN,8,17,1.5,5
Eucalyptus canescens,0.9,1.4,0.8,0.9,0.8,1.2,0.9,1.2,7,9,white_cream,NNNNNNNNNNNN,7.5,12.5,2,5.8
Eucalyptus canobolensis,0.6,NA,0.4,NA,0.5,0.6,0.5,0.8,3,3,white_cream,YYNNNNNNNNYY,6.5,19,1.1,3.7
Eucalyptus capillosa,0.8,1.6,0.2,0.4,0.5,0.8,0.4,0.6,9,13,white_cream,YYNNNYNNNNNY,7,12.5,1,2.2
Eucalyptus capitellata,0.6,0.8,0.3,0.4,0.4,0.7,0.7,1,7,15,white_cream,YYNNNNNYYNNY,8,13,2,3.5
Eucalyptus captiosa,1.3,1.9,0.5,0.7,0.8,1.5,0.8,1.1,3,7,white_cream,NNNNYNYYYYYN,4,8.8,0.5,1.3
Eucalyptus carnea,0.6,0.7,0.3,0.4,0.3,0.7,0.5,0.8,7,11,white_cream,NNNYNNNNYYYN,8,17,1.7,4
Eucalyptus carnei,0.9,1.3,0.5,0.6,0.5,1,0.6,0.9,7,7,white_cream,NNNYYNNNNNNN,8.3,14.5,1.5,3
Eucalyptus castrensis,0.5,0.6,0.2,0.4,0.4,0.5,0.4,0.6,7,7,white_cream,NA,6,13,0.8,2.2
Eucalyptus celastroides,0.5,1,0.2,0.4,0.5,0.8,0.4,0.8,7,9,white_cream,YNNNNNNYYYYY,5,10.5,0.4,1.5
Eucalyptus cephalocarpa,0.3,0.6,0.3,0.4,0.3,0.6,0.4,0.8,7,7,white_cream,NYYYYYNNNNNN,8.5,25,0.8,3
Eucalyptus ceracea,1.5,1.7,0.6,NA,1.7,3.3,1.1,1.7,7,9,yellow_orange,NNNNNYNNNNNN,6,10,3,5.5
Eucalyptus cerasiformis,0.9,1.1,0.5,0.6,0.8,1,0.6,1.1,7,7,white_cream,NNNNNNNNNYNN,5,11.2,0.5,1.5
Eucalyptus ceratocorys,1.7,3,0.6,1.1,1.2,2,0.8,1.6,7,9,red_brown white_cream,NNNNNNYYYYYY,6,15.5,1.2,4.5
Eucalyptus cernua,1,1.6,0.6,1,0.9,1.4,0.8,1.3,7,7,green pink white_cream,NNNNNNNNNYNY,5.5,8.3,1.4,2.5
Eucalyptus chapmaniana,0.7,0.9,0.5,0.6,0.5,0.9,0.7,1,3,3,white_cream,YYYNNNNNNNNN,14,30,1.7,4.8
Eucalyptus chartaboma,1.6,2.1,0.8,1.1,3,7.5,3,6.5,7,7,yellow_orange,YYYYNNNNNNNN,8.5,16.5,1.3,2.5
Eucalyptus chloroclada,0.7,1.2,0.3,0.6,0.2,0.5,0.4,0.7,7,7,white_cream,NNNNNNNYYYYY,8.5,18,1,3.5
Eucalyptus chlorophylla,0.5,0.8,0.3,0.4,0.3,0.7,0.3,0.6,7,7,white_cream,NNNNNNNNNNYY,7,16.5,1,2.5
Eucalyptus cinerea,0.6,0.8,0.3,0.5,0.4,0.7,0.4,0.9,3,3,white_cream,NYNNYYNYYYYY,3.5,14,1.2,5
Eucalyptus cladocalyx,0.8,1.1,0.4,0.5,0.6,1.6,0.4,1.1,7,11,white_cream,YYYYNNNNNNNY,6.5,17,1.2,4
Eucalyptus clelandiorum,0.7,1.2,0.4,0.7,0.5,0.9,0.5,0.8,7,11,white_cream,YYYNNNNYYYYY,8,15.5,0.9,2.5
Eucalyptus clivicola,1.4,2.1,0.3,0.4,0.6,1,0.5,0.6,9,13,yellow_orange,NYYYNNNNNNNN,4.5,9.5,0.5,2
Eucalyptus cloeziana,0.4,0.6,0.3,0.4,0.4,0.7,0.6,1.1,7,7,white_cream,YNNNNNNNNNNY,6,14.5,0.9,3.2
Eucalyptus cneorifolia,0.6,1.1,0.3,0.6,0.4,0.7,0.5,0.8,7,11,white_cream,YNYYYNNNNNYY,4.5,10,0.5,1
Eucalyptus coccifera,0.5,0.8,0.4,0.7,0.6,1.2,0.8,1.3,3,9,white_cream,YYYYNNNNNNNY,5,10,1,2
Eucalyptus codonocarpa,0.5,0.6,0.3,0.4,0.5,0.8,0.6,0.9,3,3,white_cream,NNYYNYNNNNNN,6.5,15,1,2
Eucalyptus comitae-vallis,0.6,0.9,0.3,0.5,0.5,0.8,0.5,0.7,7,11,white_cream,NYYYNNNNNNNN,6,10,0.6,1.5
Eucalyptus concinna,0.6,1.2,0.4,1,0.5,1.2,0.6,1.1,7,11,white_cream,NNNYNNNNYYYN,7.3,14,0.8,2
Eucalyptus conferruminata,NA,NA,NA,NA,NA,NA,NA,NA,7,27,green,YNNNNNNNNYNN,4.5,9.3,1,3.2
Eucalyptus confluens,0.5,0.8,0.3,0.5,0.4,0.7,0.6,0.7,7,7,white_cream,NYYNNNNNNYNN,6,15,0.9,2.2
Eucalyptus conglobata,0.5,1.5,0.4,0.8,0.4,1,0.5,1.1,7,7,white_cream,YYYYNNNNNNYY,6.2,13,0.8,4
Eucalyptus conglomerata,0.4,0.5,0.3,NA,0.2,0.5,0.4,0.7,11,15,white_cream,NNNYYYNYNNNN,7,13.7,1.4,3.5
Eucalyptus conica,0.4,0.5,0.2,0.3,0.3,0.6,0.3,0.5,7,7,white_cream,NNNNNNYYYYYY,5.5,14,1,2.5
Eucalyptus consideniana,0.3,0.4,0.2,0.4,0.5,0.9,0.6,0.8,11,19,white_cream,YYYNNNNNYYYY,6.5,18,1,3
Eucalyptus conspicua,0.6,1,0.4,0.6,0.4,0.9,0.5,0.9,3,7,white_cream,YYYYYNNNNYNN,3.5,22,1.4,6.7
Eucalyptus conveniens,1,1.3,0.5,NA,1,2.1,0.8,1.2,3,3,white_cream,YYNNNNNNNNNN,6,13,2.3,4
Eucalyptus coolabah,0.3,0.5,0.2,0.4,0.2,0.4,0.3,0.5,7,7,white_cream,YYYYYNYNYNYY,8,17,1,2.5
Eucalyptus cooperiana,0.6,1.1,0.4,0.5,0.5,1,0.7,0.9,9,13,white_cream,NNNYNYNNYNYN,6.5,10.5,1,2.5
Eucalyptus cordata,0.9,1.3,0.6,1,0.6,1.3,0.8,1.5,3,3,white_cream,NNNYNNYNYNNY,3,8.5,2.5,8
Eucalyptus cornuta,2.3,4.2,0.5,0.8,0.5,1.2,0.6,1.3,11,21,yellow_orange,NNNNNNNNNNNN,6,13.5,1,3.3
Eucalyptus coronata,2.7,3,2.2,2.3,1.7,2.5,3.2,5.3,3,3,white_cream,NNNNNNNNNNNN,7,13,1.3,2.5
Eucalyptus corrugata,1,1.8,0.9,1.3,0.7,1.5,1.1,1.8,3,3,white_cream,NNNNNNNNNYNN,9,13,1.2,2
Eucalyptus corticosa,0.4,0.5,0.3,0.4,0.3,0.5,0.3,0.6,7,7,white_cream,YYYNNYNNNNNN,7,15,0.9,2.2
Eucalyptus corynodes,0.6,0.7,0.3,0.4,0.6,0.9,0.4,0.8,7,7,white_cream,NNNYYNNNYNNN,8,17,1.5,3.5
Eucalyptus cosmophylla,1.1,2.2,0.7,1.5,0.9,1.8,1,2.2,3,3,white_cream,NNYYYYYYYYYN,8,18,1.3,5
Eucalyptus crebra,0.3,0.7,0.2,0.4,0.2,0.7,0.25,0.6,7,11,white_cream,NYNYYYYYYYYN,5.5,18,0.7,2.7
Eucalyptus crenulata,0.5,0.7,0.3,0.4,0.3,0.5,0.4,0.6,7,11,white_cream,YYNNNYNYYYYY,2,6.5,1.5,5.5
Eucalyptus creta,1.5,2.2,1.4,2,0.8,1.3,1.5,2.8,3,3,white_cream,NNNNNNNNNNNN,5.5,13.2,1.2,3.5
Eucalyptus cretata,0.8,1.4,0.4,0.8,0.6,1,0.7,1.1,7,7,white_cream,YNNNYYNNNNNN,7.8,15,1.3,3.5
Eucalyptus crispata,0.9,1.2,0.3,0.4,0.5,0.8,0.4,0.6,9,13,white_cream,NNNNNNNNNNNN,5.5,12.5,1,2
Eucalyptus croajingolensis,0.3,0.5,0.2,0.3,0.4,0.6,0.4,0.6,9,19,white_cream,YNNNNNNNNNNY,8,18,1.2,4.2
Eucalyptus crucis,0.7,1.5,0.5,1.1,0.4,1,1,1.5,7,7,white_cream yellow_orange,NNNNNNNNNNYN,1.7,10,0.7,6.5
Eucalyptus cullenii,0.4,0.6,0.3,0.4,0.2,0.4,0.4,0.8,7,7,white_cream,YYYYYNNNNNNN,7,15,0.8,1.5
Eucalyptus cunninghamii,0.4,0.6,0.3,NA,0.5,0.8,0.5,0.7,7,9,white_cream,NNNYNNNNYNNY,3,10,0.3,0.8
Eucalyptus cuprea,0.5,NA,0.3,0.4,0.4,0.7,0.4,0.5,7,7,white_cream,NNNNNNNNNNNN,8,13.5,1.2,2
Eucalyptus cupularis,0.75,1.4,0.4,0.9,0.5,1.2,0.7,1.2,7,7,white_cream,NNNNNNNNNYYN,10,23,0.9,2.7
Eucalyptus curtisii,0.5,0.8,0.4,0.7,0.5,1.1,0.6,1.1,7,7,white_cream,NNNNNNNNYYYY,6.3,14.5,1,3.3
Eucalyptus cyanophylla,0.7,1.3,0.5,0.8,0.6,1,0.7,1,7,7,white_cream,NNNNNYYYYYYN,7,16,1.7,3.5
Eucalyptus cyclostoma,0.8,1.4,0.5,0.7,0.8,1,0.7,1,7,11,white_cream,NYNYNNNNNNNN,6,10,1,1.5
Eucalyptus cylindriflora,1,1.3,0.4,0.7,0.6,1,0.6,0.9,7,7,white_cream,YYYNNNNNNNNN,4,7.5,0.4,1
Eucalyptus cylindrocarpa,0.7,1.3,0.3,0.4,0.6,1.2,0.4,0.6,7,11,white_cream,YYYYNNNNNNYY,6,10,0.5,1.3
Eucalyptus cypellocarpa,0.8,1.1,0.3,0.6,0.5,1,0.5,1,7,7,white_cream,YYYYYYYNNYYY,9,30.5,1,4.8
Eucalyptus dalrympleana,0.5,1,0.2,0.6,0.3,0.8,0.5,0.9,3,7,white_cream,NYYYYYNNYNNY,7,24,1,4
Eucalyptus dawsonii,0.3,0.5,0.2,0.3,0.3,0.5,0.3,0.4,7,7,white_cream,NNYNNNNYYYYY,7,16,1.2,3.2
Eucalyptus dealbata,0.6,1.3,0.35,0.5,0.2,0.6,0.5,0.7,7,11,white_cream,NNNNYYYYYYYN,5.5,14,1,4
Eucalyptus deanei,0.4,0.8,0.3,0.5,0.4,0.7,0.4,0.7,7,11,white_cream,NYYYNNNNNNNN,7,18.5,1.5,4
Eucalyptus decipiens,0.9,1,0.35,0.5,0.3,0.6,0.5,0.9,11,21,white_cream,NNNNNNNNNNNN,6.5,10.5,1,2.5
Eucalyptus decolor,0.4,NA,0.2,0.3,0.4,0.5,0.4,0.6,7,7,white_cream,NNYNNNNNNNNY,6.5,13,0.8,2.2
Eucalyptus decorticans,0.6,0.7,0.3,0.4,0.7,0.9,0.5,0.6,7,7,white_cream,NNNYNNNYYNNN,5.5,12.5,1,3
Eucalyptus decurva,0.5,1,0.4,0.5,0.7,1.1,0.7,1,7,7,white_cream,NNNYNYNYNYNN,5,10.5,1.2,2.5
Eucalyptus deflexa,0.8,1.2,0.4,0.5,0.9,1.2,0.7,0.9,7,7,white_cream,NNNNYNNYYYYN,5,7.5,0.5,0.9
Eucalyptus delegatensis,0.4,0.6,0.3,0.5,0.6,1.3,0.6,1.1,7,15,white_cream,YYYNNNNNNNNY,7,23,1.3,5.5
Eucalyptus delicata,0.5,0.8,0.3,NA,0.4,0.5,0.4,0.5,7,11,white_cream,NNYNNNNNNNNN,7,10,0.5,1
Eucalyptus dendromorpha,0.5,0.6,0.2,0.3,0.7,1,0.7,1.1,7,11,white_cream,YNNNNYNNNNNY,7,12,1,2.5
Eucalyptus densa,1.5,3.5,0.3,0.5,0.7,1.4,0.5,0.7,7,11,white_cream yellow_orange,NNNYYYYYYYYN,4,9,0.4,1
Eucalyptus denticulata,0.5,NA,0.3,NA,0.5,0.7,0.4,0.6,7,7,white_cream,YYYNNNNNNNNN,13,25,1.4,2.5
Eucalyptus depauperata,1.6,2.4,0.5,0.6,0.8,1,0.6,0.9,7,7,pink white_cream,NNNNNNNNNYYN,3,7.7,0.4,1.5
Eucalyptus desmondensis,0.7,1.2,0.4,0.6,0.5,1,0.6,0.9,9,19,white_cream,YNYYYYNYNYYN,5.5,11,1.5,2.5
Eucalyptus deuaensis,0.8,NA,0.6,0.7,0.5,0.6,1,1.5,7,7,white_cream,YNNNNNNNNNYN,7,10,1,2.3
Eucalyptus dielsii,1.1,1.9,0.6,0.9,0.8,1.1,1,1.4,7,7,green,YNNNNNNNNNYN,5,10,0.8,2
Eucalyptus diminuta,1.8,2.7,0.4,0.8,0.7,1.2,0.7,1.2,7,7,white_cream,NNNNNNNYYYYN,5,11.5,0.6,2
Eucalyptus diptera,0.8,1.5,0.6,1.1,0.5,0.9,0.9,1.5,3,3,white_cream,NNNNNYNYYYYN,6,12,0.7,2
Eucalyptus discreta,0.4,0.7,0.3,0.4,0.5,0.6,0.5,0.6,7,9,white_cream,NNNYNNNNNNNN,4,9.5,0.5,1.5
Eucalyptus dissimulata,0.7,1.2,0.4,0.5,0.5,0.7,0.5,0.8,7,11,white_cream,YNNNNNNNNNNY,4.5,9.5,0.5,1.7
Eucalyptus distans,0.3,0.4,0.3,NA,0.3,0.5,0.3,0.5,7,7,white_cream,NNYYNNNNNNNN,7,15,1.2,2.6
Eucalyptus distuberosa,0.6,1,0.5,0.7,0.5,0.8,0.6,0.8,7,7,white_cream,NNNNNNNNNYNN,5.8,10,0.8,1.6
Eucalyptus diversicolor,1.1,1.6,0.5,0.7,1,1.2,0.8,1,7,7,white_cream,YNNYYNNYNNNY,7,13.5,1.5,3.7
Eucalyptus diversifolia,0.5,1.2,0.4,0.7,0.5,1.1,0.6,1.1,7,11,white_cream,YNNNYYYYYYYY,5.5,11.5,0.9,2.2
Eucalyptus dives,0.3,0.6,0.2,0.4,0.3,0.7,0.4,0.8,11,11,white_cream,YNNNYYYNYYYY,7,15,1.4,4.2
Eucalyptus dolichocera,1.2,1.9,0.35,0.5,0.5,0.9,0.5,0.8,9,13,white_cream,NNNNNNNNNYYY,6,15,1.2,2.3
Eucalyptus dolichorhyncha,3.2,5.5,1,1.8,2.9,4,1.3,3,1,1,red_brown yellow_orange,YYNYNNNYYNNY,4.5,9,1,2.7
Eucalyptus dolorosa,0.7,0.8,0.5,0.6,1,1.2,1.1,1.4,7,7,white_cream,NYNNNNNNNNNN,7.5,10.2,1.4,2.3
Eucalyptus doratoxylon,0.8,1.1,0.3,0.4,0.5,0.9,0.5,0.8,7,7,white_cream,YYNNNYNYYYNY,4.2,9.5,0.5,1.6
Eucalyptus dorrigoensis,0.4,0.5,0.2,0.3,0.3,0.4,0.4,0.5,7,7,white_cream,NNNNYNNNNNNN,6,22,1.2,2.7
Eucalyptus drummondii,0.8,1.8,0.4,1,0.5,0.9,1,1.2,7,7,white_cream,YYNYYYYYYYYY,4,7,1,2
Eucalyptus dumosa,0.6,1.1,0.3,0.5,0.4,0.9,0.5,0.7,7,7,white_cream,YYYYYNNYYYYY,4.8,12,0.8,2.5
Eucalyptus dundasii,0.7,1.1,0.3,0.4,0.6,0.9,0.4,0.6,7,7,white_cream,YNNNYNNNNNNN,6,12,0.6,1.7
Eucalyptus dunnii,0.6,0.7,0.3,0.5,0.4,0.6,0.5,0.9,7,7,white_cream,NNYYYNNNNNNN,8,30,1.5,4
Eucalyptus dura,0.7,0.9,0.4,0.5,0.6,1,0.5,0.7,7,7,white_cream,NNNYYYNYNNNN,9,18,1.5,3.3
Eucalyptus dwyeri,0.6,1.3,0.3,0.6,0.3,0.9,0.5,0.7,7,7,white_cream,NNNNNNYYYYYY,7,15,1,2.7
Eucalyptus ebbanoensis,0.4,0.8,0.5,0.7,0.6,1.1,0.7,1.2,3,3,white_cream,NNNNNNNNYYYN,5.5,13,0.7,2.4
Eucalyptus ecostata,1.3,2,0.4,0.6,0.5,0.9,0.6,1,11,15,white_cream,NNNNNNNNNYYN,7,8.3,1.3,2.4
Eucalyptus educta,1.3,1.5,0.3,0.6,0.5,0.6,0.8,1.1,7,7,white_cream,NNYYNNNNNNNN,2.5,3.5,2,3
Eucalyptus effusa,0.6,0.8,0.3,0.5,0.4,0.6,0.4,0.7,7,7,white_cream,YNNYNNNNNYYN,5,12.5,0.5,2
Eucalyptus elaeophloia,0.5,0.7,0.3,0.5,0.4,0.5,0.6,0.8,3,3,white_cream,NNYNNNNNNNNN,7,11.5,1.2,2.5
Eucalyptus elata,0.2,0.4,0.15,0.3,0.3,0.5,0.3,0.6,11,30,white_cream,YNNNNNNYYYYY,6,22,0.6,2
Eucalyptus elliptica,0.5,0.8,0.3,0.4,0.4,0.6,0.5,0.8,7,7,white_cream,YYYYYNYNYYYY,7,20,1.3,3
Eucalyptus erectifolia,0.7,1.1,0.4,0.6,1.1,1.4,1.4,1.8,7,13,white_cream,NNYYYNNNNNNN,5.5,10.5,0.7,1.5
Eucalyptus eremicola,0.6,0.9,0.2,0.4,0.3,0.6,0.4,0.6,9,15,white_cream,YNNNNYYNYNNN,4.5,10,0.6,1.7
Eucalyptus eremophila,2.2,3,0.5,0.7,0.8,1.4,0.7,1.2,7,11,pink white_cream,NNNNNNNYYYYY,5,11,0.5,2.5
Eucalyptus erosa,0.6,0.8,0.3,0.4,0.4,0.6,0.6,0.8,9,9,white_cream,NNNNYNYNNNNN,7,14,1.1,2.8
Eucalyptus erythrocorys,2,2.5,2,2.6,2.8,4,3,5.5,3,3,yellow_orange,YYNYNNNNYNNN,9,20,1.2,3
Eucalyptus erythronema,0.9,2.3,0.7,1,0.6,1.4,1,1.4,3,3,red_brown white_cream,NNNNNYYYYYNN,5,8.5,0.7,1.7
Eucalyptus eudesmioides,0.5,0.7,0.3,0.5,0.7,1.4,0.5,1.1,3,3,white_cream,NYYYYNNNNNNN,4,10,0.6,2
Eucalyptus eugenioides,0.6,0.8,0.3,0.4,0.4,0.6,0.6,1,9,15,white_cream,YNNNNYYYYYYY,7,16,0.9,3.5
Eucalyptus ewartiana,0.6,0.9,0.5,0.7,0.2,0.6,0.7,1.3,7,7,white_cream,NYYNNNNYNNYN,4.5,9.5,1,3
Eucalyptus exigua,0.6,0.7,0.4,0.5,0.5,0.7,0.5,0.8,7,11,white_cream,NNNNNNNNNNNN,4,9,0.5,1.3
Eucalyptus exilipes,0.5,0.6,0.2,0.3,0.4,0.6,0.4,0.6,7,7,white_cream,NNNNNNYYNNNN,5,13,0.4,1
Eucalyptus exilis,0.6,0.8,0.4,0.5,0.8,1.5,0.9,1.3,11,11,white_cream,NNNNNNYNYYNY,3.5,6.5,0.8,1.5
Eucalyptus expressa,0.5,0.7,0.2,0.3,0.35,0.5,0.5,0.8,7,24,white_cream,NNNNNNNNNYYN,9,16,1.8,4.8
Eucalyptus exserta,0.7,1.1,0.4,0.7,0.2,0.7,0.4,0.8,7,7,white_cream,YYNNYNNNNNYY,6.5,18,0.7,2.7
Eucalyptus extensa,2.4,3.2,0.5,0.7,0.6,0.8,0.8,1.2,7,7,white_cream,NNNNNNNNNYNN,4,10.5,0.7,1.8
Eucalyptus extrica,0.6,0.8,0.5,0.6,1.3,2.1,1,2.2,3,3,white_cream,NYYYNNNNYNNN,7,15,2,5
Eucalyptus falcata,1,2,0.5,0.7,0.4,0.9,0.7,1,7,19,white_cream,YYNNNYNYNYYY,6.8,13,0.7,2
Eucalyptus falciformis,0.3,0.5,0.3,0.4,0.5,0.8,0.5,0.8,11,11,white_cream,NNNNNNNNYYYY,7.5,18,1,3
Eucalyptus famelica,0.9,1.7,0.4,0.7,0.8,1.2,0.7,1,7,7,white_cream,NNNYNNYNYNYN,4.5,11,0.9,2.3
Eucalyptus farinosa,0.7,0.8,0.4,0.5,0.7,0.9,0.6,0.9,7,7,white_cream,NNNNNNNNNYNN,6,12,2.2,5
Eucalyptus fasciculosa,0.4,0.7,0.3,0.4,0.5,0.9,0.4,0.8,7,7,white_cream,YYYYYYYYYYYY,8,13,1.3,3.5
Eucalyptus fastigata,0.3,0.6,0.2,0.3,0.5,0.9,0.4,0.8,11,15,white_cream,YYNNNNNNNNNY,7,20.5,1.5,3.6
Eucalyptus fibrosa,0.7,2,0.3,0.5,0.4,1,0.4,1,7,11,white_cream,YYYYYYYNYYYY,8.5,23,1.5,5.5
Eucalyptus flavida,2.3,2.9,0.3,0.5,1,1.1,0.5,0.6,9,11,yellow_orange,NNNNNNNNNNYN,6.5,11,0.9,1.5
Eucalyptus flindersii,0.7,1.3,0.4,0.6,0.3,0.7,0.4,1,3,7,white_cream,NNNNNNNYYYYN,5.5,18,1,3
Eucalyptus flocktoniae,1.1,2.1,0.4,0.6,0.7,1,0.5,0.9,7,9,white_cream,YYYYNNNYYYYY,6,14,0.8,2
Eucalyptus foecunda,0.2,0.5,0.3,0.4,0.4,0.6,0.4,0.6,9,11,white_cream,YYNNNNNYNNNN,5,9.5,0.5,1.3
Eucalyptus foliosa,0.5,NA,0.35,0.4,0.4,0.5,0.6,0.7,7,9,white_cream,NNNNNNNNNNNN,4.5,7.5,0.5,1.1
Eucalyptus formanii,0.4,0.7,0.25,0.3,0.3,0.4,0.4,0.5,7,9,white_cream,NNNNNNNNNNNN,3.5,9.5,0.2,0.5
Eucalyptus forrestiana,3.5,4.3,1.1,2,3.5,5,1.7,3.3,1,1,yellow_orange,YNNNNNNNNNNN,5.5,9.5,1.5,2.5
Eucalyptus fraseri,1,1.6,0.6,0.7,0.7,1.1,0.7,1.2,7,9,white_cream,NNNYNNNNNNNN,9,17,1.3,4
Eucalyptus fraxinoides,0.5,0.6,0.3,0.4,0.6,1,0.6,1.1,7,11,white_cream,YYNNNNNNNNNY,8,18,1,3.5
Eucalyptus frenchiana,1,1.5,0.8,1.2,0.9,1.2,1,1.3,3,3,white_cream,NNNNNNNNNNNN,6,10,0.7,1
Eucalyptus froggattii,0.7,1,0.5,0.7,0.6,0.9,0.5,0.8,7,11,white_cream,YYYYNNYNYYYY,6.5,13,1.2,2.5
Eucalyptus fruticosa,0.7,1,0.3,0.4,0.4,0.8,0.5,0.6,9,11,white_cream,NNNNYNNNNNNN,3,8,0.7,1.7
Eucalyptus fulgens,0.4,0.6,0.3,0.4,0.3,0.4,0.4,0.6,7,7,white_cream,YNYYYNNNNNNN,9,24.5,1.3,4
Eucalyptus fusiformis,0.5,0.9,0.3,0.5,0.5,1,0.4,0.5,7,7,white_cream,NNNNYYYYNNNN,7.5,17.5,1.3,2.6
Eucalyptus gamophylla,0.4,0.7,0.3,0.4,0.5,1.4,0.5,0.8,3,3,white_cream,YYYNNYYNYYYY,4,10,0.9,2
Eucalyptus gardneri,1.5,2.6,0.2,0.5,0.7,1.1,0.5,0.6,9,11,white_cream,YNNNNYYNNNNY,5,11,0.8,2.7
Eucalyptus georgei,0.9,1.4,0.5,0.8,0.8,1.3,0.8,1.1,7,11,white_cream,YNNNNNNNNNNN,10,20,1.5,4.5
