taxon,mean time to germinate,quickest time to germinate,longest time to germinate,times sown,recommended pretreatment
Daviesia bursarioides,28,28,28,1,HW
Daviesia cordata,28,16,85,25,HW
Daviesia daphnoides,50,48,53,3,HW
Daviesia decurrens,21,15,26,3,HW
Daviesia divaricata,15,7,35,4,HW
Daviesia epiphyllum,23,19,28,6,HW
Daviesia flexuosa,21,15,15,2,HW
Daviesia horrida,21,14,25,8,HW
Daviesia longifolia,19,15,24,4,HW
Daviesia megacalyx,28,28,28,1,HW
Daviesia nudiflora,24,16,35,6,None
Daviesia oppositifolia,20,20,20,1,HW
Daviesia pachyphylla,28,25,30,3,HW
Daviesia pectinata,25,0,0,1,HW
Daviesia polyphylla,27,26,29,3,HW
Daviesia preissii,23,14,34,9,HW
Daviesia quadrilatera,16,0,0,1,HW
Daviesia spiralis,25,25,25,1,HW
Daviesia striata,35,0,0,1,HW
Decazesia hecatocephala,20,18,21,3,
Dianella caerulea,82,0,0,1,SMK+GA
Dianella revoluta,79,38,188,4,SMK+GA
Dichopogon capillipes,26,13,76,9,SMK
Dichopogon preissii,29,23,35,5,SMK
Dicliptera armata,11,11,11,1,
Dicrastylis fulva,64,53,85,4,
Dicrastylis parvifolia,28,0,0,1,
Dillwynia dillwynioides,18,12,22,6,
Dillwynia uncinata,40,0,0,1,
Dioscorea hastifolia,35,14,48,6,GA
Diplolaena angustifolia,36,28,50,13,SMK
Diplolaena dampieri,33,0,0,1,SMK
Diplolaena grandiflora,28,20,38,9,SMK
Diplolaena microcephala,37,29,50,5,SMK
Diplopeltis eriocarpa,20,8,25,11,SMK
Diplopeltis huegelii,16,6,31,17,HW
Diplopeltis petiolaris,13,1,14,3,HW
Diplopeltis stuartii,28,13,64,5,HW
Dipteracanthus australasicus subsp. australasicus,14,0,0,1,
Disphyma crassifolium,9,9,9,1,
Disphyma crassifolium subsp. clavellatum,11,8,15,7,
Dodonaea adenophora,19,12,44,8,HW
Dodonaea aptera,22,14,37,6,HW
Dodonaea ceratocarpa,32,18,59,6,HW
Dodonaea concinna,40,0,0,1,HW
Dodonaea divaricata,13,0,0,1,HW
Dodonaea hackettiana,13,11,17,3,HW
Dodonaea inaequifolia,14,11,22,13,HW
Dodonaea lanceolata,28,0,0,1,HW
Dodonaea lobulata,13,8,42,8,HW
Dodonaea microzyga,28,9,40,3,HW
Dodonaea oxyptera,16,13,19,5,HW
Dodonaea pachyneura,18,13,22,2,HW
Dodonaea peduncularis,20,15,26,3,HW
Dodonaea petiolaris,21,11,29,11,HW
Dodonaea physocarpa,22,10,40,3,HW
Dodonaea pinifolia,32,19,39,6,HW
Dodonaea ptarmicaefolia,17,13,22,7,HW
Dodonaea rigida,19,0,0,1,HW
Dodonaea stenozyga,23,14,40,4,HW
Dodonaea viscosa,16,8,28,10,HW
Drosera gigantea,57,52,62,3,SMK
Drosera heterophylla,47,47,48,2,SMK
Drosera macrantha,62,51,78,3,SMK
Drosera menziesii,45,35,56,2,SMK
Drosera stolonifera,62,0,0,1,SMK
Dryandra arborea,26,22,28,8,None
Dryandra arctotidis,32,19,45,3,None
Dryandra armata,36,30,41,3,None
Dryandra baxteri,32,21,39,5,None
Dryandra bipinnatifida,43,29,56,2,None
Dryandra calophylla,39,32,62,18,None
Dryandra carlinoides,40,25,54,9,None
Dryandra cirsioides,49,32,70,8,None
Dryandra conferta,44,0,0,1,None
Dryandra cuneata,43,28,56,9,None
Dryandra cynaroides,41,0,0,1,None
Dryandra erythrocephala,43,38,49,7,None
Dryandra falcata,37,31,45,10,None
Dryandra ferruginea,42,31,52,2,None
Dryandra foliosissima,52,42,63,11,None
Dryandra formosa,35,24,59,21,None
Dryandra fraseri,31,22,47,12,None
Dryandra hewardiana,35,23,117,16,None
Dryandra ionthocarpa,94,59,129,2,None
Dryandra mucronulata,37,30,47,13,None
Dryandra nana,32,30,34,2,None
Dryandra nivea,41,28,56,5,None
Dryandra nobilis,26,19,70,24,None
Dryandra obtusa,43,27,52,11,None
Dryandra plumosa,35,27,42,12,None
Dryandra polycephala,30,18,71,18,None
Dryandra praemorsa,37,28,47,16,None
Dryandra preissii,54,49,58,2,None
Dryandra proteoides,43,32,59,12,None
Dryandra pteridifolia,40,31,66,17,None
Dryandra quercifolia,37,30,47,17,None
Dryandra seneciifolia,44,32,52,3,None
Dryandra serra,63,54,75,4,None
Dryandra serratuloides,32,31,33,2,None
Dryandra sessilis,36,30,42,2,None
Dryandra shuttleworthiana,37,27,47,7,None
Dryandra speciosa,55,28,79,9,None
Dryandra squarrosa subsp. argillacea,27,27,27,1,None
Dryandra squarrosa subsp. squarrosa,37,24,75,10,None
Dryandra stuposa,42,32,55,3,None
Dryandra subpinnatifida,36,0,0,1,None
Dryandra subulata,45,0,0,1,None
Dryandra tenuifolia,39,35,46,4,None
Dryandra vestita,47,41,53,2,None
Duboisia hopwoodii,73,0,0,1,
Dysphania rhadinostachya,24,14,39,6,
Dysphania plantaginella,8,8,8,1,
Dysphania rhadinostachya subsp. inflata,23,20,27,2,
Emblingia calceoliflora,22,0,0,1,
Enchylaena tomentosa,32,11,53,2,
Enneapogon avenaceus,3,3,3,1,
Enneapogon oblongus,7,7,7,1,
Enneapogon polyphyllus,2,2,2,1,
Eragrostis clarkeyi,27,0,0,1,
Eragrostis dielsii,23,8,55,6,
Eragrostis setifolia,6,6,6,1,
Eremaea acutifolia,19,0,0,1,
Eremaea asterocarpa subsp. asterocarpa,62,62,62,1,
Eremaea asterocarpa subsp. histoclada,57,57,57,1,
 Eremaea beaufortioides,20,14,53,15,
Eremaea ebracteata,26,12,35,17,
Eremaea fimbriata,21,10,46,22,
Eremaea pauciflora,21,13,50,20,
Eremaea purpurea,20,0,0,1,
Eremaea violacea,18,10,27,23,
Eremophila alternifolia,37,36,38,2,
Eremophila bignoniiflora,30,18,38,5,
Eremophila clarkei,59,0,0,1,
Eremophila cuneifolia,31,18,50,7,
Eremophila decipiens,43,38,50,3,
Eremophila denticulata,44,39,48,3,
Eremophila duttonii,22,0,0,1,
Eremophila exilifolia,26,18,34,2,
Eremophila freelingii,30,22,35,3,
Eremophila georgei,32,0,0,1,
Eremophila glabra,44,38,50,2,
Eremophila hughesii,17,0,0,1,
Eremophila latrobei,27,0,0,1,
Eremophila leucophylla,27,18,44,12,
Eremophila macmillaniana,36,22,50,3,
Eremophila maculata,44,38,50,2,
Eremophila maitlandii,28,18,38,11,
Eremophila margarethae,23,19,25,4,
Eremophila miniata,37,0,0,1,
Eremophila oldfieldii,36,25,46,2,
Eremophila pantonii,33,27,39,4,
Eremophila punicea,27,14,52,6,
Eremophila scoparia,15,0,0,1,
Eremophila serrulata,25,16,38,4,
Eremophila spectabilis,40,0,0,1,
Eremophila viscida,45,42,48,3,
Eriachne flaccida,11,8,13,2,
Eriachne sulcata,8,8,8,1,
Erichsenia uncinata,21,17,25,2,
Erodiophyllum elderi,36,0,0,1,
Erymophyllum ramosum subsp. involucratum,6,6,6,1,
Erymophyllum tenellum,10,7,15,8,
Eryngium pinnatifidum,23,19,28,7,
Erythrina vespertilio,12,7,15,5,Light
Erythrophleum chlorostachys,21,10,26,6,
Eucalyptus aff. patellaris,13,13,13,1,None
Eucalyptus albida,10,0,0,1,None
Eucalyptus angulosa,19,11,23,6,None
Eucalyptus angustissima,18,12,25,4,None
Eucalyptus annulata,12,12,13,2,None
Eucalyptus argillacea,11,0,0,2,None
Eucalyptus astringens,19,15,23,3,None
Eucalyptus beardiana,22,12,32,5,None
Eucalyptus bennettiae,24,21,27,2,None
Eucalyptus bigalerita,17,17,17,1,None
Eucalyptus blaxellii,25,25,25,1,None
Eucalyptus brachycalyx,6,6,6,1,None
Eucalyptus brachycorys,12,12,12,1,None
Eucalyptus brevifolia,16,12,18,3,None
Eucalyptus brevistylis,10,8,13,3,None
Eucalyptus brockwayi,18,12,23,6,None
Eucalyptus buprestium,21,18,27,3,None
Eucalyptus burdettiana,15,12,22,10,None
Eucalyptus burracoppinensis,16,10,23,6,None
Eucalyptus caesia,17,8,21,21,None
Eucalyptus caesia subsp. caesia,9,7,11,9,None
Eucalyptus caesia dwarf form,12,12,12,1,None
Eucalyptus caesia subsp. magna,7,7,8,11,None
Eucalyptus calycogona,25,0,0,1,None
Eucalyptus camaldulensis,13,6,20,8,None
Eucalyptus campaspe,20,12,29,4,None
Eucalyptus carnei,20,17,22,2,None
Eucalyptus celastroides,15,12,17,2,None
Eucalyptus ceracea,12,12,12,1,None
Eucalyptus clelandii,13,0,0,1,None
Eucalyptus concinna,12,0,0,1,None
Eucalyptus conglobata,18,9,25,4,None
Eucalyptus coolabah,9,9,9,1,None
Eucalyptus cooperiana,14,5,20,9,None
Eucalyptus cornuta,12,12,12,2,None
Eucalyptus coronata,22,16,29,5,None
Eucalyptus corrugata,18,11,25,7,None
Eucalyptus crucis,24,12,47,7,None
Eucalyptus crucis subsp. praecipua,9,9,9,1,None
Eucalyptus cuprea,21,21,21,1,None
Eucalyptus cylindriflora,15,0,0,1,None
Eucalyptus cylindrocarpa,15,0,0,2,None
Eucalyptus decipiens,13,8,22,5,None
Eucalyptus decurva,19,15,22,3,None
Eucalyptus desmondensis,16,10,22,11,None
Eucalyptus diptera,26,12,46,5,None
Eucalyptus diversicolor,11,4,22,9,None
Eucalyptus diversifolia,19,17,21,2,None
Eucalyptus dolichorhyncha,18,18,18,1,None
Eucalyptus doratoxylon,15,11,19,5,None
Eucalyptus drummondii,15,8,21,10,None
Eucalyptus dumosa,25,0,0,1,None
Eucalyptus dundasii,22,13,29,5,None
Eucalyptus ebbanoensis,17,8,25,3,None
Eucalyptus educta,14,14,14,1,None
Eucalyptus elongata,16,14,18,2,None
Eucalyptus eremophila,12,6,24,11,None
Eucalyptus erythrocorys,15,4,41,19,None
Eucalyptus erythronema,20,13,31,9,None
Eucalyptus eudesmioides,18,12,25,3,None
Eucalyptus ewartiana,20,12,27,5,None
Eucalyptus eyreana,8,7,8,3,None
Eucalyptus falcata,16,11,20,2,None
Eucalyptus famelica,10,8,12,2,None
Eucalyptus flocktoniae,26,25,27,3,None
Eucalyptus foecunda,18,12,26,3,None
Eucalyptus formanii,18,12,28,11,None
Eucalyptus forrestiana,21,14,31,13,None
Eucalyptus gamophylla,13,7,21,4,None
Eucalyptus gardneri,16,9,28,12,None
Eucalyptus georgei,17,17,17,1,None
Eucalyptus gomphocephala,13,5,21,23,None
Eucalyptus gongylocarpa,12,14,14,2,None
Eucalyptus goniantha,15,10,20,2,None
Eucalyptus gracilis,20,12,25,3,None
Eucalyptus gratiae,17,0,0,1,None
Eucalyptus griffithsii,22,0,0,1,None
Eucalyptus grossa,17,12,27,7,None
Eucalyptus guilfoylei,13,3,20,6,None
Eucalyptus houseana,20,16,27,3,None
Eucalyptus impensa,10,6,16,3,None
Eucalyptus incerata,8,7,10,3,None
Eucalyptus incrassata,11,0,0,1,None
Eucalyptus insularis,12,12,13,3,None
Eucalyptus jacksonii,13,8,21,4,None
Eucalyptus jucunda,17,16,17,2,None
Eucalyptus jutsonii,21,0,0,1,None
Eucalyptus kingsmillii,12,5,25,13,None
Eucalyptus kochii,25,22,29,2,None
Eucalyptus kondininensis,22,0,0,1,None
Eucalyptus kruseana,14,10,25,13,None
Eucalyptus laeliae,16,9,9,2,None
Eucalyptus lane-poolei,15,9,20,9,None
Eucalyptus lata,11,11,11,1,None
Eucalyptus latens,8,8,8,1,None
Eucalyptus lateritica,12,12,12,1,None
Eucalyptus lehmannii,18,12,29,8,None
Eucalyptus leptophylla,22,0,0,1,None
Eucalyptus leptopoda,16,11,21,5,None
Eucalyptus longicornis,22,0,0,1,None
Eucalyptus loxophleba,18,11,29,3,None
Eucalyptus lucasii,11,7,7,2,None
Eucalyptus macrandra,15,12,21,9,None
Eucalyptus macrocarpa,12,8,21,18,None
Eucalyptus macrocarpa x pyriformis,8,8,8,1,None
Eucalyptus macrocarpa x pyriformis x macrocarpa,16,16,16,1,None
Eucalyptus marginata,19,7,44,20,None
Eucalyptus megacarpa,14,7,19,5,None
Eucalyptus megacornuta,18,16,20,6,None
Eucalyptus melanoxylon,6,0,0,1,None
Eucalyptus merrickiae,12,10,15,3,None
Eucalyptus micranthera,17,0,0,1,None
Eucalyptus microtheca,16,9,21,5,None
Eucalyptus miniata,19,12,24,3,None
Eucalyptus myriadena,9,9,9,1,None
Eucalyptus obtusiflora,19,15,21,4,None
Eucalyptus occidentalis,15,0,0,1,None
Eucalyptus oldfieldii,21,19,22,2,None
Eucalyptus oleosa,22,15,29,2,None
Eucalyptus oraria,20,10,31,4,None
Eucalyptus orbifolia,18,12,27,6,None
Eucalyptus pachyloma,19,14,25,4,None
Eucalyptus pantoleuca,7,7,7,1,None
Eucalyptus patellaris,17,17,17,1,None
Eucalyptus patens,16,10,23,6,None
Eucalyptus pendens,26,12,50,9,None
Eucalyptus perangusta,14,14,14,1,None
Eucalyptus petila,12,12,12,1,None
Eucalyptus phaenophylla subsp. interjacens,10,10,10,1,None
Eucalyptus phoenicea,10,6,13,2,None
Eucalyptus pileata,22,0,0,1,None
Eucalyptus pimpiniana,11,11,11,1,None
Eucalyptus platypus,19,11,31,19,None
Eucalyptus preissiana,17,10,28,7,None
Eucalyptus prominens,16,13,19,2,None
Eucalyptus pyriformis,15,8,25,19,None
Eucalyptus rameliana,12,8,17,4,None
Eucalyptus ravida,15,14,15,2,None
Eucalyptus redunca,13,0,0,1,None
Eucalyptus rhodantha,18,13,27,6,None
Eucalyptus rigidula,11,0,0,1,None
Eucalyptus roycei,13,7,20,10,None
Eucalyptus rudis,10,9,11,2,None
Eucalyptus salmonophloia,18,14,25,5,None
Eucalyptus salubris,21,19,24,3,None
Eucalyptus sargentii,14,9,17,5,None
Eucalyptus scyphocalyx,22,18,25,2,None
Eucalyptus sepulcralis,20,14,30,14,None
Eucalyptus sessilis,10,8,13,4,None
Eucalyptus setosa,19,14,21,4,None
Eucalyptus socialis,15,0,0,1,None
Eucalyptus spathulata,18,14,23,4,None
Eucalyptus staeri,18,17,18,2,None
Eucalyptus steedmanii,24,16,31,5,None
Eucalyptus stoatei,23,21,24,3,None
Eucalyptus stowardii,15,8,20,7,None
Eucalyptus stricklandii,23,19,27,3,None
Eucalyptus subangusta subsp. subangusta,8,8,8,1,None
Eucalyptus synandra,19,6,32,5,None
Eucalyptus terminalis,12,0,0,1,None
Eucalyptus tetragona,13,7,24,15,None
Eucalyptus tetraptera,16,13,24,11,None
Eucalyptus todtiana,18,12,29,11,None
Eucalyptus torquata,13,11,20,10,None
Eucalyptus transcontinentalis,20,16,23,2,None
Eucalyptus victrix,7,7,7,3,None
Eucalyptus virginae,9,9,9,1,None
Eucalyptus wandoo,24,14,27,4,None
Eucalyptus websteriana,20,17,32,7,None
Eucalyptus woodwardii,19,14,24,5,None
Eucalyptus x carnabyi,13,8,21,5,None
Eucalyptus x erythrandra,19,13,31,3,None
Eucalyptus youngiana,19,15,23,5,None
Euchilopsis linearis,29,17,56,4,
Eulalia aurea,5,5,5,1,
Euphorbia australis,36,14,55,4,
Euphorbia boophthona,20,14,37,6,
Euphrasia scabra,33,25,44,5,
Euromyrtus leptospermoides,60,0,0,1,SMK
Exocarpos sparteus,95,63,149,6,SMK
Ficus platypoda,66,0,0,1,
Flaveria australasica,8,6,14,7,
Frankenia pauciflora,17,0,0,1,
Gastrolobium bilobum,23,19,30,3,HW
Gastrolobium bracteolosum,7,0,0,1,HW
Gastrolobium callistachys,15,11,24,13,HW
Gastrolobium calycinum,19,12,33,7,HW
Gastrolobium capitatum,19,9,31,8,HW
Gastrolobium celsianum,31,10,75,14,HW
Gastrolobium coriaceum,35,0,0,1,
Gastrolobium crassifolium,26,0,0,1,HW
Gastrolobium cuneata,24,0,0,1,
Gastrolobium dilatatum,35,23,53,6,
Gastrolobium epacridoides,18,16,20,3,HW
Gastrolobium latifolium,26,26,27,3,HW
Gastrolobium laytonii,21,12,38,7,HW
Gastrolobium microcarpum,18,13,24,4,HW
Gastrolobium oxylobioides,20,0,0,1,HW
Gastrolobium parviflorum,21,13,30,12,
Gastrolobium polystachyum,12,13,28,8,HW
Gastrolobium praemorsum,28,14,14,2,HW
Gastrolobium racemosum,19,16,22,7,
Gastrolobium sericeum,27,26,27,2,HW
Gastrolobium spathulatum,15,12,20,6,HW
Gastrolobium spinosum,23,13,31,14,HW
Gastrolobium stenophyllum,17,13,21,8,HW
Gastrolobium villosum,22,15,33,14,HW
Geleznowia verrucosa,41,24,61,18,SMK
Gilberta tenuifolia,10,7,12,5,
Gilruthia osbornei,19,14,27,4,
Glischrocaryon aureum,35,26,99,12,
Glischrocaryon roei,67,36,99,2,
Glycine canescens,5,5,5,1,
Glycine clandestina,16,7,38,9,
Glycine tabacina,9,6,12,5,
Glycyrrhiza acanthocarpa,15,0,0,1,
Gnephosis angianthoides,9,4,16,4,
Gnephosis macrocephala,8,5,11,3,Light
Gnephosis tenuissima,19,10,28,5,Light
Gompholobium aff. aristatum,9,9,9,1,HW
Gompholobium aristatum,17,0,0,1,HW
Gompholobium baxteri,72,0,0,1,HW
Gompholobium confertum,34,22,55,3,
Gompholobium gompholobioides,30,0,0,1,
Gompholobium knightianum,19,19,27,8,HW
Gompholobium marginatum,16,10,38,18,HW
Gompholobium ovatum,13,0,0,1,HW
Gompholobium polymorphurn,30,25,38,3,HW
Gompholobium polyzygum,15,8,25,6,
Gompholobium preissii,34,0,0,1,HW
Gompholobium scabrum,28,14,55,17,
Gompholobium shuttleworthii,29,19,49,4,HW
Gompholobium tomentosum,15,7,53,14,HW
Gompholobium venustum,29,12,42,3,HW
Gompholobium villosum,20,18,22,4,
Gomphrena affinis,10,2,25,13,
Gomphrena brachystylis,29,0,0,1,
Gomphrena canescens,12,2,49,35,
Gomphrena cucullata,8,3,12,8,
Gomphrena cunninghamii,9,7,10,2,SMK
Gomphrena diffusa,7,7,7,1,
Gomphrena flaccida,11,4,16,10,
Gomphrena leptoclada,9,9,9,1,
Gomphrena 'Meda',5,2,7,4,
Gomphrena tenella,15,5,25,2,
Gonocarpus trichostachyus,15,0,0,1,
Goodenia armitiana,36,18,55,6,
Goodenia azurea,47,0,0,1,
Goodenia berardiana,12,7,21,12,
Goodenia caerulea,43,19,73,13,
Goodenia concinna,63,0,0,1,
Goodenia coronopifolia,17,17,17,1,
Goodenia corynocarpa,13,9,16,2,
Goodenia eatoniana,30,25,35,3,
Goodenia filiformis,14,7,17,11,
Goodenia forrestii,32,20,55,5,
Goodenia hassallii,73,25,129,4,
Goodenia havilandii,16,15,19,3,
Goodenia microptera,21,15,27,6,
Goodenia pinifolia,48,26,73,7,
Goodenia pinnatifida,15,9,18,6,
Goodenia redacta,17,17,17,1,
Goodenia scapigera,42,19,67,12,
Goodenia sericostachya,34,21,48,4,
Goodenia stobbsiana,33,23,45,8,
Goodenia tenuiloba,54,51,56,2,
Goodenia trichophylla,13,0,0,1,
Goodenia vilmoriniae,20,19,20,2,
Goodenia viscida,20,17,23,4,
Goodenia watsonii,65,32,85,6,
Goodia medicaginea,27,17,69,11,
Gossypium australe,19,10,51,16,
Gossypium robinsonii,14,6,52,15,
Gossypium sturtianurn,14,5,28,12,
Grevillea acacioides,23,23,23,1,SMK
Grevillea acrobotrya,34,26,47,5,SMK
Grevillea amplexans,27,17,47,9,SMK
Grevillea annulifera,29,20,58,18,SMK
Grevillea apiciloba,35,25,46,5,SMK
Grevillea argyrophylla,21,17,47,9,SMK
Grevillea armigera,34,20,59,10,SMK
Grevillea asparagoides,32,22,67,8,SMK
Grevillea banksii,44,0,0,1,SMK
Grevillea berryana,13,13,13,1,SMK
Grevillea biformis,37,26,49,3,SMK
Grevillea bipinnatifida,34,18,56,15,SMK
Grevillea biternata,30,2,72,8,SMK
Grevillea brachystachya,16,0,0,1,SMK
Grevillea bracteosa,39,27,61,9,SMK
Grevillea calliantha,30,28,31,2,SMK
Grevillea candelabroides,27,17,55,12,SMK
Grevillea candicans,28,17,69,12,SMK
Grevillea commutata,200,18,373,5,SMK
Grevillea concinna,57,0,0,1,SMK
Grevillea costata,27,18,47,4,SMK
Grevillea crithmifolia,23,13,46,11,SMK
Grevillea deflexa,30,20,47,6,SMK
Grevillea didymobotrya,39,28,74,7,SMK
Grevillea dielsiana,28,20,73,14,SMK
Grevillea diversifolia,32,0,0,1,SMK
Grevillea drummondii,48,41,59,7,SMK
Grevillea dryandroides,33,0,0,1,SMK
Grevillea endlicheriana,30,25,50,12,SMK
Grevillea erectiloba,25,0,0,1,SMK
Grevillea eriobotrya,27,24,29,2,SMK
Grevillea eriostachya,28,20,72,19,SMK
Grevillea eryngioides,34,24,78,14,SMK
Grevillea excelsior,56,18,73,23,SMK
Grevillea fasciculata,44,32,51,4,SMK
Grevillea globosa,47,40,54,3,SMK
Grevillea gordoniana,25,12,51,10,SMK
Grevillea hakeoides subsp. stenophylla,29,0,0,1,SMK
Grevillea hookeriana,45,19,71,8,SMK
Grevillea inconspicua,15,15,15,1,SMK
Grevillea incrassata,40,0,0,1,SMK
Grevillea insignis,74,40,152,6,SMK
Grevillea intricata,32,18,50,4,SMK
Grevillea juncifolia,34,25,60,8,SMK
Grevillea leptobotrys,69,0,0,1,SMK
Grevillea leucopteris,24,14,56,15,SMK
Grevillea maccutcheonii,20,20,20,1,SMK
Grevillea macrostylis,47,25,69,7,SMK
Grevillea manglesii subsp. manglesii,35,23,46,5,SMK
Grevillea manglesioides,52,0,0,1,SMK
Grevillea microcarpa,36,0,0,1,SMK
Grevillea monticola,49,40,57,4,SMK
Grevillea myosodes,38,38,38,1,SMK
Grevillea nana,44,29,104,17,SMK
Grevillea nematophylla,44,28,71,7,SMK
Grevillea nudiflora,43,0,0,1,SMK
Grevillea obliquistigma,26,18,64,13,SMK
Grevillea obtusifolia,19,0,0,1,SMK
Grevillea occidentalis,42,0,0,1,SMK
Grevillea paniculata,36,28,47,4,SMK
Grevillea paradoxa,41,18,57,10,SMK
Grevillea patentiloba,47,36,57,2,SMK
Grevillea petrophiloides,44,26,60,22,SMK
Grevillea phanerophlebia,15,15,15,1,SMK
Grevillea pilulifera,34,21,51,10,SMK
Grevillea pityophylla,40,34,45,2,SMK
Grevillea plurijuga,38,3,43,4,SMK
Grevillea polybotrya,43,21,76,10,SMK
Grevillea pterosperma,27,16,40,13,SMK
Grevillea pulchella,77,62,93,2,SMK
Grevillea pyramidalis,38,16,50,7,SMK
Grevillea quercifolia,39,30,53,4,SMK
Grevillea refracta,31,21,37,4,SMK
Grevillea robusta,27,17,37,4,SMK
Grevillea rogersoniana,28,24,33,3,SMK
Grevillea rudis,29,21,40,8,SMK
Grevillea sarissa subsp. sarissa,30,0,0,1,SMK
Grevillea shuttleworthiana,32,27,38,5,SMK
Grevillea spinosa,17,17,17,1,SMK
Grevillea stenobotrya,22,10,31,11,SMK
Grevillea superba,20,18,21,2,SMK
Grevillea synapheae,33,21,39,14,SMK
Grevillea tenuiflora,34,26,51,7,SMK
Grevillea tenuiloba,44,39,49,2,SMK
Grevillea teretifolia,24,11,38,11,SMK
Grevillea thelemanniana,23,19,26,2,SMK
Grevillea thyrsoides,62,18,106,2,SMK
Grevillea trachytheca,21,16,29,6,SMK
Grevillea tridentifera,32,28,39,5,SMK
Grevillea triloba,23,16,30,2,SMK
Grevillea tripartita,35,31,56,4,SMK
Grevillea variifolia,26,0,0,1,SMK
Grevillea vestita,26,22,31,6,SMK
Grevillea wickhamii,29,18,60,15,SMK
Grevillea wilsonii,59,21,94,6,SMK
Guichenotia ledifolia,27,11,50,6,
Guichenotia macrantha,36,13,47,10,
Gunniopsis glabra,15,9,33,12,
Gunniopsis quadrifida,30,13,49,6,
Gyrocarpus americanus,34,0,0,1,
Gyrostemon ramulosus,28,15,50,13,SMK
Haemodorum laxum,19,19,19,3,SMK
Haemodorum paniculatum,32,11,95,10,SMK
Haemodorum simplex,37,11,55,8,SMK
Haemodorum simulans,38,29,57,8,SMK
Haemodorum spicatum,45,26,77,11,SMK
Hakea aculeata,16,15,16,2,None
Hakea adnata,23,16,30,9,None
Hakea ambigua,31,24,50,4,None
Hakea amplexicaulis,36,28,43,5,None
Hakea arborescens,21,0,0,1,None
Hakea auriculata,22,17,30,7,None
Hakea baxteri,27,18,41,9,None
Hakea brachyptera,27,15,36,6,None
Hakea bucculenta,19,15,37,26,None
Hakea candolleana,23,21,30,5,None
Hakea ceratophylla,28,21,30,5,None
Hakea cinerea,27,17,35,10,None
Hakea circumalata,22,17,34,8,None
Hakea clavata,44,62,62,2,None
Hakea commutata,23,19,28,4,None
Hakea conchifolia,28,23,40,14,None
Hakea corymbosa,28,21,40,7,None
Hakea costata,26,21,34,12,None
Hakea cristata,22,20,24,2,None
Hakea cucullata,33,21,41,11,None
Hakea cyclocarpa,25,21,39,12,None
Hakea drupacea,30,26,40,10,None
Hakea elliptica,33,21,46,6,None
Hakea erinaceae,27,19,31,3,None
Hakea falcata,28,20,33,11,None
Hakea ferruginea,32,26,57,11,None
Hakea flabellifolia,30,23,33,9,None
Hakea florida,35,34,38,5,None
Hakea francisiana,22,18,33,4,None
Hakea gilbertii,27,23,33,7,None
Hakea hookeriana,30,23,37,5,None
Hakea incrassata,27,19,31,8,None
Hakea invaginata,22,16,33,7,None
Hakea kippistiana,29,0,0,1,None
Hakea lasiantha,32,30,33,3,None
Hakea laurina,26,17,36,19,None
Hakea lehmanniana,37,25,51,14,None
Hakea lissocarpha,39,16,83,9,None
Hakea longiflora,40,40,40,1,None
Hakea lorea,16,15,16,3,None
Hakea lorea subsp. lorea,19,15,21,3,None
Hakea marginata,30,26,40,7,None
Hakea megalosperma,28,15,97,12,None
Hakea meisneriana,31,27,35,3,None
Hakea minyma,18,14,28,16,None
Hakea multilineata,26,16,33,28,None
Hakea myrtoides,26,20,38,12,None
Hakea neurophylla,37,22,61,4,None
Hakea nitida,28,21,34,8,None
Hakea obliqua,25,16,47,7,None
Hakea obliqua subsp. obliqua,25,22,30,3,None
Hakea obtusa,39,28,47,6,None
Hakea oldfieldii,19,0,0,1,None
Hakea oleifolia,28,23,36,10,None
Hakea orthorrhyncha,23,15,48,14,None
Hakea pandanicarpa,24,20,29,6,None
Hakea petiolaris,25,16,36,14,None
Hakea platysperma,22,16,30,14,None
Hakea preissii,25,0,0,1,None
Hakea prostrata,20,13,37,9,None
Hakea pycnoneura,21,14,36,12,None
Hakea recurva subsp. arida,27,0,0,1,None
Hakea rhombales,17,16,20,4,None
Hakea roei,29,18,50,8,None
Hakea ruscifolia,25,19,32,10,None
Hakea scoparia,25,20,29,10,None
Hakea smilacifolia,27,21,33,6,None
Hakea stenocarpa,21,8,26,4,None
Hakea stenophylla,19,0,0,2,None
Hakea strumosa,37,20,45,5,None
Hakea subsulcata,24,17,35,8,None
Hakea sulcata,31,18,45,12,None
Hakea trifurcata,22,20,25,4,None
Hakea undulata,28,20,40,9,None
Hakea varia,35,28,41,5,None
Hakea verrucosa,32,24,38,6,None
Hakea victoria,37,25,86,20,None
Halgania gustafsenii,12,7,23,3,
Halgania lavandulacea,50,0,0,1,
Haloragis gossei,25,17,36,5,
Haloragis trigonocarpa,17,14,21,3,
Halosarcia halocnemoides,55,0,0,1,
Hannafordia bissillii,30,0,0,1,
Hannafordia quadrivalvis,43,23,92,6,
Haptotrichion colwillii,13,5,23,4,
Haptotrichion conicum,9,9,9,1,
Hardenbergia comptoniana,13,8,37,22,HW
Heliotropium curassavicum,29,0,0,1,
Heliotropium undulatum,26,19,37,5,
Helipterum craspedioides,15,5,58,8,
Hemiandra gardneri,22,0,0,1,
Hemiandra pungens,23,14,34,18,
Hemiandra rubriflora,23,16,48,6,
Hemigenia curvifolia,23,19,25,4,
Hemigenia incana,30,29,31,2,
Hemigenia macrantha,153,0,0,1,
Hemigenia westringioides,59,34,85,4,
