"","species","tree","context","location","state","country","vessel_area_per_image","distance_from_apex","sapwood_density","sapwood_density_stdev","lat","lon","elevation","image","vessels_per_image","vessels_per_tree","vessel_area","image_area","vessel_density_per_tree","void.wood_ratio_per_tree","vessel_diameter","Dh_per_tree","D_800","tree_height","T_min","T_max","P","P_min","P_max","E","E_min","E_max","AI"
"63","Eucalyptus patens",3,"sampled 130 cm abut the tree base","31 Mile Brook","WA","Australia","739230.339","N/A","0.63","0.016",-32.25,116.15,360,1.99346405228758,51.0130718954248,153,15588.7983889275,5838977.15,873.4406505,13.6158902,134.594640522876,165.6904757,22,1600,20.34,23.7,1211.96,696.6,2037.9,1263.57,1088.9,1396.6,0.96
"64","Eucalyptus pauciflora",1,"sampled 130 cm abut the tree base","Snowy Mountains","NSW","Australia","428946.6304","N/A","0.474","0.05",-36.11,148.54,1562,2,53.6832298136646,161,7698.72964810932,5838977.15,919.1107498,7.075985172,95.3899378881988,115.1439639,27.7,1172,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82
"65","Eucalyptus pauciflora",2,"sampled 130 cm abut the tree base","Snowy Mountains","NSW","Australia","473229.251","N/A","0.474","0.05",-36.11,148.54,1562,1.98148148148148,36.0185185185185,108,12124.3063263241,5838977.15,616.5463415,7.46266087,119.586018518519,145.4503695,45.4,1090,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82
"66","Eucalyptus pauciflora",3,"sampled 130 cm abut the tree base","Snowy Mountains","NSW","Australia","385375.6784","N/A","0.474","0.05",-36.11,148.54,1562,2.12096774193548,42.3064516129032,124,10960.5657015645,5838977.15,707.8865402,7.758836956,115.505887096774,131.2965233,34.5,1265,9.36,12.62,1484.44,641.6,2363.9,814.22,693.2,971.6,1.82
"67","Eucalyptus pauciflora_Falls Creek",1,"sampled 130 cm abut the tree base","Falls Creek","VIC","Australia","386050.7095","N/A","0.52","0.03",-36.94,147.34,1543,1.98058252427184,34.378640776699,103,9963.04882443689,5838977.15,588.0025294,5.858297909,108.925533980583,132.0856233,26.4,NA,7.48,11.53,2273.99,925.2,4452.1,776.53,646.1,917.2,2.93
"68","Eucalyptus pauciflora_Falls Creek",2,"sampled 130 cm abut the tree base","Falls Creek","VIC","Australia","534025.074","N/A","0.52","0.03",-36.94,147.34,1543,1.97385620915033,51.0915032679739,153,9548.18387872614,5838977.15,873.4406505,8.339771938,107.166535947712,125.0039689,33.4,NA,7.48,11.53,2273.99,925.2,4452.1,776.53,646.1,917.2,2.93
"69","Eucalyptus pauciflora_Falls Creek",3,"sampled 130 cm abut the tree base","Falls Creek","VIC","Australia","426707.7073","N/A","0.52","0.03",-36.94,147.34,1543,1.94949494949495,33.1414141414141,99,12374.7232818343,5838977.15,565.1674797,6.993791169,120.757777777778,141.3155714,51.7,NA,7.48,11.53,2273.99,925.2,4452.1,776.53,646.1,917.2,2.93
"70","Eucalyptus polyanthemos",1,"sampled 800 cm below the tree apex","Pyrenees State Forest","VIC","Australia","710401.0602","800","N/A","N/A",-36.67,143.29,248,2.11528822055138,98.1478696741855,284.864661654135,8311.44463740652,5081666.20428571,1830.58120066165,15.2675796354887,96.2561524426316,139.657239703509,22.528320802005,1419.44862155388,19.31,22.31,489.65,202.5,863.2,1161.31939849624,1021,1299.9,0.43
"71","Eucalyptus polyanthemos",2,"sampled 800 cm below the tree apex","Pyrenees State Forest","VIC","Australia","1219491.912","800","N/A","N/A",-36.67,143.29,248,2.00275103163686,121.577716643741,363.654745529574,9924.17472942476,5838977.15,2129.13280820633,20.6252658937552,104.166024933741,146.390087816231,17.0814305364512,1200,19.31,22.31,489.65,202.5,863.2,1156.73917469051,1021,1299.9,0.43
"72","Eucalyptus polyanthemos",3,"sampled 800 cm below the tree apex","Pyrenees State Forest","VIC","Australia","1115851.577","800","N/A","N/A",-36.67,143.29,248,1.74946921443737,98.8895966029724,263.704883227176,10011.2945655265,5401983.637431,1768.61338264756,18.0244902630149,105.36430942913,144.233265047558,24.1169851380042,1370,19.31,22.31,489.65,202.5,863.2,1154.08789808917,1021,1299.9,0.43
